评分,comments,sentiment
5,《 印象 · 刘三姐 》 大型 桂林山水 实景 演出 ， 曾 开创 中国 旅游 实景 演出 先河 ， 张艺谋 “ 印象 ” 系列 开山鼻祖 。 2004 年 3 月 ， 《 印象 • 刘三姐 》 阳朔 开始 公演 ， 至今 已达 6500 场 ， 接待 观众 近 1600 万人次 。,positive
5,时隔 五年 再 一次 来 阳朔 旅行 上次 来 下 大雨 没 能 看到 《 印象 · 刘三姐 》 所以 这次 奔 着 演出 来 而且 特意 提前 网上 买 VIP 票 看过 不少 国内 山水 实景 演出 本 以为 不会 有太大 感受 可是 远山 灯光 亮起 时候 还是 非常 激动 来 之前 很多 点评 有些 人吐槽 说 看不懂 演出 却 这么 认为 演出 本身 的确 没有 明确 故事 脉络 但是 却 用 艺术 手法 展现 广西 少数民族 生活 让 感受 大师 艺术 高度 十几年 前 创意 现在 仍然 经久不衰 就是 艺术 本身 魅力 让 惊喜 不仅 演出 园区 里 博物馆 竹笼 灯 让 特别 惊喜 本 以为 个 普通 景区 配套 设施 可 没想到 到处 可以 打卡 拍照 网红 经典 发 朋友圈 倍儿 面子 好多 朋友 以为 日本 没想到 国内 景区 能 这么 洋气 凭心 而论 五星 好评 真的 不虚此行 ！,positive
5,酣畅淋漓 ， 精美绝伦 ， 内心 震撼 ， 山 歌唱 得人心 魂 飘渺 ， 想 融入 天地 山水 之中 ， 好 ， 好好 ！ 想 给 演出 人员 鞠个 躬 ， 以 感谢 他们 给 带来 一次 完美 演出 ， 令人 魂牵梦绕 ， 挥之不去 ... .. 多谢 ， 这片 山水 馈赠 。 多谢 ， 美丽 山歌 洗礼 。 多谢 ， 台前幕后 工作人员 ， 感谢 这场 与 自然 演出 ， 与 山水 那一刻 完美 融合 ， 让 心灵 大自然 绿色 怀抱 ， 得到 安抚 洗礼 。,positive
5,偶然 来看 这个 传说 大型 演出 ， 当时 只是 觉得 依山傍水 表演 应该 有点 氛围 吧 ， 只是 当 现实 真实 呈现 时 ， 那种 震撼 感觉 完全 被 震撼 。 选到 Vip 正中 位置 ， 可观 全部 场面 ， 只是 当 歌声 响起 时 ， 被 美妙 歌声 给 感动 哭 ， 且 所有 表演 从 服饰 灯光 歌舞 太 唯美 ， 把 侗族 悠久 文化 及 人们 真挚 情感 全部 浓缩 于 此 ， 山峰 隐现 、 水镜 倒影 、 烟雨 点缀 、 竹林 轻吟 、 月光 披洒 随时 进入 演出 ， 成为 美妙 插曲 。 尤其 最 喜欢 齐 秦 齐豫 《 藤缠树 》 响起 时 ， 仿佛 天籁 与 天地 融合 为了 一体 。 真的 ， 所有 偶遇 值得 感恩 ！,positive
5,刚刚 完 印象 刘三姐 ， 整场 演出 剧目 非常 非常 紧凑 动人心弦 。 配合 杰出 灯光 以及 舞蹈 。 让 整个 感官 体验 达到高潮 。 第一幕 很多 举着 火把 划着 竹筏 漓江 上 走 ， 非常 非常 壮观 啊 ， 第二幕 红色 印象 最 震撼 ， 灯光 亮 全场 整齐划一 大喊 一声 “ 哇 ” ， 每天 演 两场 ， 一年 演 十一个月 ， 无一例外 每场 这个 地方 听到 “ 哇 ” 声 。 真的 很 惊艳 。 强烈推荐 。,positive
5,阳朔 大型 实景 演出 ～ 印象 刘三姐 一部 相当 当地 文化 特色 与 少数民族 传承 文艺 汇演 ， 巨大 舞台 就是 阳朔 漓江 及 远处 喀斯特 大山 ， 演出 耗费 人力 之多 让 不得不 呐喊 惊叹 ， 由 张艺谋 导演 ， 整场 汇演 生动 感人 ， 让 回味 悠长 ， 反映 桂林 全国 文化 历史 底蕴 不可磨灭 地位 与 文化 特质 ， 值得一看 ！,positive
5,印象 刘三姐 世界 上 最大 山水 实景 剧场 ， 坐落 漓江 与 田家 河 交汇处 ， 与 闻名遐迩 阳朔 书童 山 隔水相望 ， 既 强调 艺术 表现 ， 高度重视 环境保护 ， 整个 工程 与 大自然 融为一体 。 方圆 两公里 阳朔 书童 山段 漓江 水域 ， 十二 座 背景 山峰 ， 广袤无际 天穹 ， 歌 圩 几乎 全部 被 绿色 覆盖 ， 里面 种植 茶树 、 凤尾竹 等 ， 加上 所植 草皮 ， 绿化率 达到 90 [ % ] 以上 。 其中 ， 灯光 、 音响系统 均 采用 隐蔽 式 设计 ， 与 环境 融为一体 ， 水上 舞台 全部 采用 竹排 搭建 ， 演出 时 可以 全部 拆散 、 隐蔽 ， 对 漓江 水体 及 河床 造成 影响 。 观众席 依 地势 而建 ， 梯田 造型 ， 与 环境 协调 ， 同时 考虑 行洪 安全 。 另外 ， 100 多亩 建设 用 地上 ， 鼓楼 、 风雨 桥 以及 贵宾 观众席 等 建筑 散发 着 浓郁 民族特色 ， 整个 工程 不用 一颗 铁钉 ， 令人 叹为观止 。,positive
5,舞台 天然 ， 山水 相间 ， 加上 灯光 映衬 ， 美得 让 无法 呼吸 。 整台 表演 能 感觉 总 策划 用心良苦 ， 尽力 表现 原生态 样子 ， 比如 当地人 生活 ， 渔民 生活 等等 ， 让 看到 不同 文化 民族 。 不过 毕竟 表演 ， 个人 意见 觉得 太 原始 化 一点 ， 比如 让 当地人 穿着 民族服装 唱歌 ， 却 不带 小蜜蜂 ， 以致于 坐在 稍微 后面 一点 根本 听不见 ， 如果 一点点 瑕疵 能 变换 一下 ， 更 完美 。,positive
5,当天 住 阳朔 山水 剧场 旁 维也纳 印象 店 ， 离得 近 ， 走路 几分钟 ， 晚 7 : 00 领票 第一场 ， 8 : 00 开演 ， 中途 飘 点 小雨 ， 但 演出 还是 继续 ， 可能 群演 人数 多 ， 票价 有点 小贵 ！ 总的来说 还 不错 ， 气势 比较 大 ！,neutral
5,网上 众口 ， 但是 还是 高 人气 ， 山为 背景 ， 水为 舞台 ， 结合 非常 棒 。 觉得 刘三姐 震撼 在于 演员 数量 庞大 。 效果 非常 不错 ， 觉得 不亏 。 备注 : 水 不能 带进去 很气 ， 刚买 水 扔 垃圾桶 。,positive
5,《 印象 刘三姐 》 大型 桂林山水 实景 演出 ， 《 印象 刘三姐 》 讲述 壮族 民间传说 人物 刘三姐 故事 ， 刘三姐 歌谣 享誉 海内外 ， 景区 位于 东街 田园 路 1 号 ， 《 印象 刘三姐 》 曾经 桂林 阳朔 最 有名 表演 ， 现在 更多 人会 选择 《 桂林 千古 情 》 。 从 阳朔 西街 打车 前往 大概 2 公里 ， 打车 10 元 左右 ， 西街 入口 前往 《 印象 刘三姐 》 专车 ， 5 元 / 。 《 印象 刘三姐 》 门票 分等级 ， 分 B1 席 B2 席 ， 途牛 上 预定 ， B2 座位 票价 198 ， B1 座位 票价 280 ， 基本 露天 座位 席 舞台 。 演出 每天 两场 ， 第一场 晚上 7 点 40 分 ， 第二场 晚上 9 点 20 分 。 表演 时间 约 为 1 小时 左右 。 《 印象 刘三姐 》 总导演 张艺谋 ， 张艺谋 导演 节目 ， 说实话 有点 看不懂 ， 因此 觉得 这个 票价 有点 不值 ， 整个 表演 ， 讲述 桂林 少数民族 文化 ， 没有 什么 讲解 ， 游客 很难 理解 。 张艺谋 导演 ， 基本 人海战术 ， 表演 演员 非常 多 ， 看上去 很 震撼 ， 但 实际 内容 知道 ， 这是 《 印象 刘三姐 》 值得 改善 一点 。 给 留下 印象 比较 深刻 舞台 背后 群山 ， 这是 实景 演出 ， 灯光 照 后面 群山 所 呈现出 画面 很 难 看到 。,positive
5,场面 宏达 ， 演员 众多 ， 估计 500.600 。 而且 这种 所谓 演员 还 农民 ， 白天 种地 打鱼 ， 晚上 来 参加 表演 渔民 。 让 不得不 佩服 ， 他们 动作 整齐划一 。 表演 内容 丰富 ， 演绎 这些 少数民族 日常生活 ， 已经 把妹 经过 。 夜间 背后 山 水成 表演 背景 场地 ， 加上 光影 效果 。 非常 耐人寻味 ， 本来 犹豫 要 不要 。 后来 觉得 不虚此行 。 而且 基本 每次 座无虚席 （ 2000 多个 座位 ） 住 辅特 戴斯 酒店 走 大门口 10 分钟 。 很 方便 。,positive
5,以 清秀 漓江 水为 舞台 ， 以 灵动 阳朔 山为 背景 ， 皎洁 月光 下 山水 交融 ， 呈现出 一场 视觉 盛宴 宴 ， 唯美 浪漫 场景 ， 清亮 动听 弦律 ， 除了 震撼 就是 陶醉 ， 来 阳朔 不看 绝对 遗憾 。,positive
4,还是 很 震撼 ， 不过 觉得 坐 前排 好 一些 ， 对 山歌 时候 没有 音响 后面 听 不了 ， 前排 右侧 双号 部分 最好 ， 网评 后悔 不去 更 后悔 ， 觉得 还是 值得一看 ， 不过 演员 不太 敬业 ， 毕竟 好多 普通 村民 ， 总体 表现 就是 原始 生活,positive
5,舞台灯光 效果 确实 很 震撼 对 山歌 主题 不错 山水 呼应 美腻 啦 ！ 下 着 朦胧 小雨 更 感觉 ！ 坐 b 区 29 排 还 算 可以 路上 碰到 工作人员 说 坐 20 排 以上 效果 好些 哈哈 对比 千古 情 觉得 这个 没什么 主题 就是 唱山歌 不过 视觉效果 比 千古 情 更 大气 宽阔,positive
4,张艺谋 导演 经典 山水 实景 演出 ， 果然 名不虚传 ！ 整场 演出 以 恢弘 气势 ， 动人 爱情故事 贯穿 始终 ， 展现 少数民族 风土人情 ， 将 民俗文化 融于 山水 之间 ， 直击 心灵 。 虽然 背景 很 黑 ， 表演者 举着 火把 漫无目的 到处跑 ， 但是 超高 评价 影响 下 ， 坚信 后边 章节 精彩 起来 ， 期待 着 ， 忍着 寒风 ， 看着 舞台 上 演员 持续 走位 ， 靠着 想象 ， 结合 周围 游客 猜想 ， 享受 着 这次 演出 。 这样 ， 迎来 谢幕 仪式 ， 看着 一个个 演员 从 面前 走过 ， 闺密 相视 一笑 ， 结束 ， 这样 结束 ？ ！ excuse me ？ ！ （ 黑人 问号 脸 ） 这是 什么 鬼 ？ 可能 一场 假 印象 刘三姐,positive
5,山水 实景 剧场 ， 各种 灯光 映射 比较 漂亮 ， 场面 算 宏大 ， 内容 不太 丰满 ， 总体 还 不错 ， 既然 桂林 应该 一看 。 自由 行 的话 从 西街 剧场 不太 方便 ， 电瓶车 10 元 一位 ， 出租车 15 - 20 元 ， 从 西街 剧场 仅仅 1.8 公里 ， 如果 脚力 可以 ， 懂 高德 地图 建议 步行 。 总 觉得 车钱 有所 不值 ， 让 舒服 。 一路 走 过去 ， 很多 自由 行 小伙伴 。 演出 票 建议 淘宝 自由 风 网店 购买 ， 新 贵宾票 150 元 ， 便宜 靠 谱 。,positive
4,实景 演出 所 提供 视觉效果 不错 。 买 170 一张 票 。 位置 中间视觉 很棒 ！ 演出 内容 觉得 一般 吧 ！ 个人 觉得 没有 千古 情 好看 ！ 噱头 成份 比较 大 ！ 当地 以及 导游 力推 这个 景点 。 民族 气氛 还 不错 ， 里面 次序 安保 感觉 做 蛮 好 ！,positive
5,张艺谋 、 王潮 歌 导演 真的 很 震撼 、 娃娃 们 表演 很 认真 ！ 民族 文化 就是 世界 ！ 值得 被 看见,positive
