评分,comments,sentiment
5,龙脊 梯田 金坑 景色 很 美 ， 一号 观景台 适合 拍 晨曦 落日 ， 个人 觉得 2 号 观景台 拍出 照片 更美 一些 ， 总之 一路 走来 ， 一步 一景 ， 也许 觉得 爬山 很累 ， 但 美景 能 冲淡 疲惫 ， 放松 心情 ， 敞开 心灵 ， 发现 所 景色 比 拍 还要 美丽 。,positive
5,平安 壮寨 位于 桂林 市区 西南 方向 ， 距离 市区 约 90 多公里 ， 这里 最高 海拔 880 米 ， 最低 海拔 380 米 ， 主要 生活 居民 北壮民 ， 这里 共有 大小 各异 梯田 15862 块 ， 最大 只有 0.62 亩 ， 最小 只能 插 3 株 禾苗 ， 青蛙 一跳 3 块 田 一床 蓑衣 盖过 田 说法 ， 开田时 留下来 7 个 小 土包 像 7 颗 星星 ， 放水 季节 伴随 着 山顶 水田 ， 远 像 7 颗 星星 伴随 着 一轮 明月 ， 组成 一幅 美丽 画卷 ， 不同 天气 ， 不同 季节 ， 不同 景色 ， 让 流连忘返 ！,positive
5,龙脊 梯田 平安 梯田 ， 登上 山顶 能 看到 七星 伴月 美景 。 没有 跟团 ， 所以 没有 导游 解说 ， 没 搞懂 哪里 七星 ， 哪儿 伴 月 ， 纯属 个 热闹 ， 不过 平安 梯田 里 景色 真的 很漂亮 ， 看着 层层叠叠 梯田 ， 很 心旷神怡 。,positive
5,七星 伴月 龙脊 梯田 平安 壮寨 梯田 光 景区 一处 观景台 ， 其 精华 景观 之一 ， 龙脊 梯田 必到 之处 ， 很多 游人 集中 这里 拍照 ， 很 代表性 ； 不少 女士 穿 上 当地 少数民族 服装 拍照 ， 特别 融合 ， 衬托 得 梯田 更 色彩 。 几座 小山包 像 闪烁 星星 ， 陪伴着 山顶 块 银光 闪亮 水田 ， 远远望去 像 七星 陪伴着 一轮 明月 ， 组成 一幅 美丽 画卷 ， 让 不禁 感慨 劳动 人民 伟大 ， 于 无形中 创下 这样 奇美 之景 。,positive
5,沁园春 . 龙脊 梯田 （ 其二 ） 并序 初登 ， 望 满目 壮阔 ， 兴至 为 前 篇 。 及 ， 过 田间 翁 媪 ， 俱言 诸 子女 皆 弃 农桑 ， 奔 大邑 ， 谋生 于 闹市 之间 ； 今青壮 乃 余十 之一 二 ， 村寨 所余 ， 叟 妪 孩童 尔 。 大慨 ， 因作 此篇 ： 壮美 梯田 ， 游人 知否 ， 往事 从头 ： 始 开山 辟 ， 荆棘 险恶 ； 刀耕火种 ， 竟 日 无休 。 登梯 运水 ， 拾阶耘 耨 ， 遍野 艰辛 汗马 牛 。 致 劳苦 ， 祐 族群 衍育 ， 千百 春秋 。 而今 儿女 壮游 ， 但余此 、 童稚 伴 白头 。 思 少女 芳心 ， 非甘 燕雀 ； 男儿 大志 ， 更 高楼 。 陇上 生芜 ， 檐 间 裂瓦 ， 应怜 父老 苦 淹留 。 念 骨肉 ， 耐 青山 遮断 ， 漓水 悠悠 。 希望 大山 孩子 们 不要 忘记 故土 壮丽 纯朴 ， 能够 继续 耕耘 这片 祖先 留下 奇迹 与 希望 ， 不要 让 梯田 寂灭 物欲横流 今天,positive
5,龙脊 平安 壮寨 “ 七星 伴月 ” 景点 流传 着 凄美 爱情故事 ， 相传 几百年 前有 叫 阿星 壮族 小伙 爱上 叫 阿 月 瑶妹 。 当时 村寨 里 非常 传统 民族 婚姻 观念 ， 壮族 瑶族 青年 男女 不能 通婚 ， 如果 结婚 就是 范了 寨 规 ， 要 被 族人 惩罚 。 为了 避开 双方 族人 目光 ， 他们 几经周折 来到 一年四季 被 云雾 缭绕 高山 过 隐居 生活 ， 她们 开山 种田 ， 沿着 山底 用 竹筒 做 水平 尺 开出 一层层 围绕 着 山顶 梯田 ， 阿星 阿月 相依 为伴 生儿育女 ， 不久 他们 便 三 男三女 ， 一家人 过上 像 蜜糖 一样 甜 生活 。,positive
5,七星 伴月 龙脊 梯田 最 有鬼 斧 天工 之 魅力 景点 ， 七个 梯田 最高点 远远 宛如 七个 星座 ， 七个 仙台 似的 ， 徒步 最高点 最佳 观赏 平台 ！ 需要 耗时 两三个 小时 ！,positive
5,海拔 920 米 高 ， 爬 近 一个半 小时 ， 用 手机 计算 一下 相当于 56 层 高楼 ， 不禁 为 努力 点赞 。 等 上 顶峰 ， 美景 尽收眼底 ， 漂亮 七星 伴月 漂亮 极了 ， 层层 梯田 宛如 一幅 立体 画 心旷神怡 ， 不是 节假日 所以 很少 ， 所以 可以 随心所欲 拍照 ， 顶峰 有个 休息 食品店 ， 有水 、 饮料 、 方便面 、 冷饮 ， 价格比 山下 稍微 贵点 ， 买 个 可爱多 蛋筒 十元 ， 店主人 还 可 为 量身 定制 拍照 ， 20 元 一张 带 塑封 ， 可以 多 拍 选择 喜欢 付费 。 登 梯田 虽然 有点累 但 美景 值得一看 ，,positive
5,龍脊 梯田 一共 三个 梯田 ， 选择 中间 平安 梯田 。 这条线 需要 体力 ， 要 爬上去 景是 七星 伴月 。 大车 半山腰 上 ， 要换 景区 车 ， 这个 季节 已经 没 庄稼 但 依旧 很 壮观 ！ 壮哉 ！ 祖国 ！,neutral
4,这里 平安 壮寨 最高点 ， 龙脊 梯田 必到 之处 ， 很多 游人 集中 这里 拍照 ， 很 代表性 ； 看见 不少 女士 穿 上 当地 少数民族 服装 拍照 ， 特别 融合 ， 衬托 得 梯田 更 色彩 。 其实 龙脊 寨子 连 着 ， 时间 慢慢 走走 ， 享受 这里 淳朴 宁静 ， 很 不错 。,positive
