评分,comments,sentiment
5,15 年 国庆节 ， 喜欢 可以 静静地 游逛 感觉 。 古老 桥 ， 虽然 农家 住宿 很 简陋 ， 但 喜欢 这种 游客 不是 太 多 ， 可以 清早 夜晚 可以 到处 乱逛 感觉 。 喜欢 油茶 农家菜 ， 还有 那些 盯 着 小朋友 。 还有 当地人 提供 农家菜 。,neutral
4,绝地 逃亡 ， 想来 看看 淳朴 民风 ~ 建筑 很 古老 ， 走 风雨 桥 上 ， 感觉 年代久远 ， 程阳 里面 一座 桥 ， 从 不同 方向 看字 还 一样 呢 。 可是 只有 本地 人才 知道 ， 而且 侗族 姑娘 们 很 热情 ， 百 家宴 菜色 一般 ， 但图 就是 个 氛围 ， 坐妹 表演 ， 看到 侗家 青年 婚嫁 ~ 最后 有感而发 ！ 三江 本地 好 酒店 比较 少 ， 住 连锁 维也纳 酒店 ， 房间 装修 比较 舒适 ， 价格 比较 合理 ， 性价比 高 ~,positive
5,三江 侗族 文化 ， 非常 特色 风雨 桥 鼓楼 很 艺术 建筑风格 独特 。 侗族 热情好客 ， 好山 ！ 好水 ！ 好酒 ！ 迎 宾客 ！ 非常 值得 休闲 度假 好 地方,positive
4,程阳八寨 雨桥 鼓楼 非常 值得 观赏 ， 宁静 寨里 ， 流水 潺潺 ， 风车 轮转 ， 好一派 田野 风光 。 侗族 歌声 侗家 姑娘 翩翩起舞 下 让 人流 年 忘 返,positive
4,三江 侗乡 景区 被 五湖四海 誉为 “ 世界 桥楼 之 乡 ， 侗族 风情 殿堂 ” ， 木质 桥梁 、 鼓楼 大屋 建筑 十分 出色 ， 侗族 人口 较 多 ， 有着 原生态 民族 文化 ， 每晚 桐乡 鸟巢 上映 《 坐妹 》 演出 更是 精彩纷呈 ， 韵味 浓郁 。 景区 主要 景点 世界 第一 风雨 桥 — — 三江 风雨 桥 ， 基尼斯 之 最 木构 建筑 杰出代表 — — 中国 侗城 ， 侗乡 第一 鼓楼 — — 三江 鼓楼 ， 世界 规模 最大 、 长度 最长 、 内容 最 丰富 侗族 历史 文化 碑廊 ， 侗族 特色 一条街 — — 月亮 街 ， “ 中国 观赏石 之 乡 ” 三江 奇石 荟萃 之地 — — 三江 奇石 城 ， 少数民族 佛教 宝地 — — 福禄 寺 ， 三江 民族特色 休闲 庆典 之 所 — — 多耶 广场 等 价值 品味 极高 闻名中外 著名 旅游景点 。,positive
5,柳州市 三江侗族自治县 其实 还是 很 有意思 ！ 这里 除了 三江 鼓楼 ， 鼓楼 对面 还有 一个月 侗寨 ！ 最 显眼 地方 这里 有个 鸟巢 似的 建筑 ， 餐饮 娱乐 一应俱全 ， 好 还是 好 这里 斗牛场 ！ 疫情 开始 蔓延 ！ 没有 斗牛 可惜 ！,positive
5,没有 来过 这里 可以 过来 看一看 。 这里 这里 特色 ， 但是 一点 ， 如果 要 寨子 里 住宿 ， 这里 酒店 木质 。 上 下楼 发出声响 ， 大家 要 互相 谅解 。 问题 要 找 店主 。 大家 出来 玩 不要 太 冲动 。,neutral
4,"三江 侗乡 美丽 风雨 桥 、 程阳八寨 、 鼓楼 、 鸟巢 等 景点 ， 还有 侗乡 百 家宴 、 重阳 酒 等 特色美食 极具 侗乡 风情 "" 坐妹 ‘ 表演 丶 芦笙 表演 等 ， 非常 值得 体验 一下 。",positive
4,挺好玩 地方 ， 侗家 风情 侗乡 美食 ， 简单 又 有趣 ！,positive
5,山好 水好 茶叶 更好 大家 可以 哦 独峒 乡 干 冲村 千户 侗寨 。 还有 各种各样 ， 侗乡 特产 ！,positive
5,一方水土养一方人 ， 无论 从 建筑 还是 吃喝 特色 ， 走过 风雨 桥 ， 吃 过 米粉 。 逛过 小吃街 ， 看过 与众不同 美景 ， 另外 一种 心情 ， 风雨 桥 免费 ， 许多 游客 旅游 大巴 此 欣赏 拍照 ，,positive
5,极具 民族特色 三江 侗乡 建筑 ， 这里 能 亲身 体验 一番 “ 百 家宴 ” 豪迈 ， 感受 侗乡 人民 人情 ， 玩 一把 跳 竹竿 、 对歌 、 唱山歌 … … 民族 游戏 ， 晚上 再 感受一下 这里 夜景 ， 伴着 凉风 入眠 。,positive
4,三江侗族自治县 广西 北部 ， 与 湖南 ， 贵州 接壤 ， 三江 美 ， 朦胧 含蓄 美 ， 安静 美 ， 江山如画 ， 美景 如酒 ， 一时 多少 豪杰 竟 折腰 ！,positive
4,还 记得 爷爷奶奶 还有 曹 大姑 小朋友 ， 吃 住 很 便宜 ， 而且 大 人们 其实 上 60 岁 老年人 ， 很多 门票 免费 ， 所以 老年 团 特别 划得来 。 是从 桂林 出发 ， 坐 动车 前往 三江 ， 住 酒店 药浴 ， 每个 澡堂 得 泡 一泡,positive
4,三江 侗乡 位于 广西 柳州 三江 县 ， 一处 侗族 主要 聚居地 之一 ， 保留 着 很多 当地 民族特色 木 建筑 ， 一个集 民族风情 与 观当 旅游 好去处 。,positive
3,三江 风雨 桥 的确 很 美 ， 壮观 又 浓浓的 少数民族 特色 ， 只 可惜 保护 不够 ， 灰尘 厚厚 约 一层 ， 桥边 木板 橙 不敢 坐 。 可能 只太多 车辆 从桥 上 通行 吧 ， 当地 应 加强 保护 。,positive
5,三江 侗乡 位于 湖南 、 贵州 、 广西 三 省区 毗邻 地带 ， 临河 沿溪 一带 ， 许多 极富 民族特色 民舍 木楼 ， 就是 保留 完整 侗乡 民居 ， 它们 带有 浓郁 传统 民间文化 神秘色彩 ， 令人 向往 。,positive
5,侗族 喜欢 濒水 居住 民族 ， 村寨 大都 沿着 河溪 岸边 而建 ， 建筑 极具 民族特色 。 侗族 占 三江 县 人口 一半 以上 ， 整座 县城 风景如画 。,neutral
5,三江 侗乡 最 有名 地方 应该 就是 风雨 桥 ， 里边 县城 风雨 桥 ， 新建 ， 据说 记录下来 全国 最大 风雨 桥 ， 晚上 夜景 非常 漂亮 ， 他 这边 还 可以 走车 ， 游人 可以 上面 徒步 过江 ， 整个 非常 好 地方 ， 还 不要 钱 整个 三江 小 天长 ， 还是 见得 比较 特色 ， 但是 如果说 想 正宗 老 风雨 桥 ， 还是 要 城阳办 ， 带 河北 县市 景区 ， 需要 晚上,positive
5,有空 可以 看看 ， 就是 八个 寨子 连在一起 ， 各个 寨子 风俗习惯 ， 各自 文化 特色 。 遇到 很 好 ， 很 热情 。 整体 就是 商业化 重 ， 到处 新建 木屋 楼房 ， 酒店 。,positive
3,那里 曾经 辉煌 地方 ， 八个 寨 集中 居住 ， 但 历史 过 这么 多年 己 显得 破破烂烂 ， 显得 管理 保护 问题 ， 而且 门票 收费 60 块 显得 不合理 ， 如果 当地 管理 问题 解决 ， 房子 继续 烂 下去 … … ！,neutral
5,少数民族 风情 ， 回归自然 感觉 ， 当地 美食 小吃 多 ！,positive
4,三江 大 侗寨 景区 位于 三江 县城 ， 临河 沿溪 一带 ， 许多 极 富 民族特色 民舍 木楼 ， 就是 保留 完整 侗乡 民居 ， 它们 带有 浓郁 传统 民间文化 神秘色彩 ， 令人 向往 。 景区 内 主要 景点 包括 木构 建筑 侗乡 鸟巢 、 被誉为 “ 世界 第一 鼓楼 ” 三江 鼓楼 、 长度 规模 均 为 世界之最 三江 风雨 桥 ， 以及 侗族 历史 文化 碑廊 、 月亮 街 、 三江 奇石 城 、 多耶 广场 等 景点 。 这些 具有 侗族 建筑 特色 标志性 景点 ， 构成 精美绝伦 三江 大 侗寨 。,positive
5,三江侗族自治县 总面积 为 2454 平方公里 ， 东连 龙胜各族自治县 、 融安县 ， 西接 融水县 、 贵州省 从江县 ， 北靠 湖南省 通道 县 、 贵州省 黎平县 ， 南邻 融安县 、 融水县 。 县城 古宜镇 距离 柳州市 203 公里 ， 距 桂林市 167 公里 [ 2 ] 。,neutral
4,从 龙脊 梯田 过来 ， 一直 走 老路 ， 好多 地方 修路 ， 虽说 通畅 ， 路况 一般 。 三江 侗乡 ， 风雨 桥 ， 太有 民族特色 ， 鼓楼 大气 ， 可惜 来晚 点 ， 关门 ， 只能 外围 看看 。,positive
5,很 不错 县城 ， 安静 舒适 。 侗乡 鸟巢 ， 得 过 吉尼斯世界纪录 。 世界 最高 木制 鼓楼 ， 进楼 参观 收费 25 元 。 最长 风雨 桥 。 交通管理 很 好 。,positive
5,天黑 时 入住 侗乡 国宾馆 ， 窗外 即 世界 第一 风雨 桥 ， 顾不得 舟车劳顿 辛苦 ， 沿着 廊桥 步道 走 来回 ， 灯光 闪烁 ， 微风习习 ， 夜色 好美 ！,positive
5,广西 柳州市 三江侗族自治县 ， 位于 桂湘 黔 交界处 ， 这里 不仅 侗族 千户 大寨 — — 程阳八寨 ， 还 能够 体验 这个 全国 只有 296 万 人口 少数民族 风土人情 ， 感受 侗寨 建筑 之美 。 这里 妇女 多 梳 盘发 包头 ， 喜爱 佩戴 银等 饰品 ， 银制 复杂 头饰 十分 引人注目 ， 但 见到 年长 妇女 ， 虽然 唱山歌 ， 但 毫无 表情 面容 让 没多大 兴致 。 侗寨 没有 多 ， 天气 热得 让 窒息 ， 虽有 其 民族 风俗 文化 ， 只是 匆匆忙忙 过目,positive
4,门票 80 ， 这个 比较 贵 ， 坑人 感觉 ， 30 比较 合适 。 村民 卖 东西 可不 便宜 哦 ！ 不够 民族风情 还是 值得 体验 体验 ， 表演 没什么 好看 ， 不算 精彩 ， 适合 散散心 ， 换个 环境 体验生活,positive
5,空气清新 ， 景色宜人 … 避暑胜地 ， 休闲 娱乐 … 放松 好去处,positive
4,三江 侗乡 临河 沿溪 一带 ， 以 低山 丘陵 地貌 为主 ， 许多 极富 民族特色 民舍 木楼 ， 保留 完整 侗乡 民居 ， 它们 带有 浓郁 传统 民间文化 神秘色彩 ， 令人 向往 。,positive
5,三江 ， 一定 要 侗寨 看看 程阳桥 三江 ， 一定 要 尝尝 “ 牛瘪 ” 三江 ， 一定 要 爬 爬 鼓楼,neutral
5,柳州 附近 三江侗族自治县 冷门 旅游 ， 这里 民风 淳朴 ， 风景如画 ， 国内 其他 热门 少数民族 村寨 一样 ， 这里 物价 不高 ， 值得 一去 。,positive
4,三江 本身 侗族 自治县 ， 侗族 占 很大 比例 。 虽然 很多 已经 变成 楼房 ， 县內 仍然 存在 特色 建筑 ， 鼓楼 更是 当地 地标 ， 游客 必到 之处 。,neutral
4,三江侗族自治县 风景 不算 特别 好 ， 传统 建筑 保存 一些 ， 风雨 桥 、 鼓楼 之类 ， 本地 还是 热情 ， 物价 不高 ， 县城 随便 走走 走 完 。,positive
