评分,comments,sentiment
5,开始 以为 人造 古建筑 景点 ， 想着 只 徒步 坐船 ， 结果 发现 门票 就是 含 坐船 ， 而且 主要 游玩 就是 坐船 绕 一圈 。 不过 小姐姐 讲解 非常 精彩 ， 按照 桃花源记 流程 让 有种 身临其境 感觉 ， 必须 给 解说员 点赞 。 坐 完船 之后 没 啥 好玩 ， 就是 卖 纪念品 工业品,positive
5,世外桃源 景区 以 晋代 陶渊明 所著 《 桃花源记 》 描绘 意境 为 蓝本 ， 结合 当地 田园 山水 风光 开发 建设 首批 国家 AAAA 级 景区 。 它 位于 桂林 阳朔县 白沙镇 五里店 ， 距离 桂林 39 公里 、 阳朔 15 公里 ， 一个集 田园风光 、 民俗风情 、 民寨 大观 为 一体 旅游 目的地 。 景区 游览 方式 主要 分为 水上 游览 徒步 观赏 。 水上 游览 可以 乘 轻舟 环绕 湖光山色 ， 欣赏 田园 村舍 ， 体验 原始 形态 迎宾 、 祭祀 、 狩猎 ， 以及 民族特色 狂歌 劲舞 、 边寨 风情 。 徒步 观赏 则 可以 游览 民寨 群 ， 这些 民寨 桂北 各 少数民族 建筑 缩影 ， 包括 鼓楼 、 风雨 桥 、 对 歌台 、 花楼 、 长廊 、 图腾 等 ， 充分 展示 各 民族 文化 光彩 特征 。 渊明 山庄 景区 有机 组成部分 ， 融合 苏州园林 布局 桂北 民居 建筑风格 ， 开窗 即景 ， 一窗 一景 ， 移步 换景 。 渊明 山庄 里 还 可以 回顾 古文明 光辉 ， 如 古代 酿酒 、 造纸 、 印刷 、 竹雕 、 木刻 、 陶器 表演 等 ， 再现 中华民族 智慧 。 世外桃源 门票价格 为 70 元 / ， 开放 时间 为 8 : 30 - 17 : 30 。 景区 地址 桂林 阳朔县 白沙镇 五里店 ， 游客 可以 通过 乘坐 桂林 阳朔 班车 世外桃源 门口 下车 ， 车费 大约 10 元 ， 车程 约 40 分钟 。 自驾车 游客 可以 方便 到达 ， 景区 提供 免费 停车场 。 此外 ， 世外桃源 还是 理想 研学 实践 教育 基地 ， 于 2022 年 5 月 荣获 桂林市 第四批 中小学生 研学 实践 教育 基地 ， 同年 11 月 荣获 广西 第四批 中小学生 研学 实践 教育 基地 。 世外桃源 ， 游客 可以 体验 梦中 理想 家园 ， 遗落 人间 仙境 ， 这里 自然风光 民族 文化 融合 ， 为 游客 提供 远离 都市 喧嚣 宁静 之地 。,positive
5,世外桃源 位于 阳朔 至 桂林 之间 ， 白沙镇 附近 ， 自驾游 必经之地 。 主要 由 荷花池 、 燕子 湖 、 燕子 洞 、 侗乡 风情 原始部落 组成 。 游览 世外桃源 要 乘船 燕子 湖 ， 整个 燕子 湖 并 不是 很大 ， 但 却 为 世外桃源 平添 一份 柔情 ， 乘船 游览 这里 一种 享受 ， 当 小船 绿 丝绸 般的 湖面 上 悠然 滑行 ， 让 游人 一种 “ 复得 返 自然 ” 惬意 。 天旷云近 ， 岸阔 波平 ， 远山近水 ， 绵延 绝 ， 像是 一幅 色彩 饱满 油画 挥洒 游人 眼前 。 有人 说 这里 像是 一位 朴素 姑娘 静静 伫立 城市 边上 ， 既 张扬 造作 ， 完全 一派 天然 ， 纯真 模样 。,positive
5,国庆 期间 ， 我带 儿子 游览 桂林 著名景点 世外桃源 。 进入 景点 大门 ， 顿时 一幅 田园 山水画 展现 眼前 ， 近处 碧绿 湖水 ， 远处 青山 似黛 ， 宽阔 水面 点缀着 点点 游船 。 儿子 乘 上 游船 ， 风雨 桥 、 侗乡 楼 从 眼前 掠过 ， 儿子 兴奋 不停 拍照 ， 似乎 想 把 美景 尽收 囊中 。,positive
5,游 世外桃源 书 《 恋恋不舍 桃园 情 》 桂林山水 甲天下 ， 阳朔 山水 甲 桂林 ， 世外 桃园 离世 ， 阳朔 山水 景上 锦 。 锦绣 挑园赛 古今 ， 迷倒 隐士 陶渊明 ， 桃花源记 赞挑园 ， 漓江 净土 客 如云 。 荷花池 前赏 莲花 ， 人山人海 花 自矜 ， 足 踏 淤泥 一身 净 ， 洁身自好 清浊 分 。 燕子 湖 上乘 游船 ， 千 道 霞光 透 园林 ， 远山近水 披 异彩 ， 山水 相映 景 缤纷 。 群山 耸翠 碧水 纹 ， 垂柳 依依 含 柔情 。 阡陌 纵横 薄雾 绕 ， 山 湖 万物 伴 落英 。 良田 美池 桑竹 ， 水车 吱呀 秧歌 吟 。 五谷 果蔬 布 田园 ， 农舍 错落 养五禽 。 牛羊 草狗 林间 放 ， 蝶燕 双飞 蜂 一群 ， 牛郎织女 耕织 园 ， 世外 桃园 水乡 静 。 一声 山歌 飘 过河 ， 载歌载舞 仙姑 迎 ， 游船 穿过 燕子 洞 ， 稻香村 外 又 一村 。 桃花 小岛 环 碧水 ， 桃红 草绿 闻 鼓声 ， 绣球 楼下 对 山歌 ， 恋恋不舍 桃园 情 。,positive
5,世外桃源 景区 ， 是因为 这里 李冰冰 ， 任泉 拍摄 康美 药业 那个 极美 广告 取景 。 这里 能 体验 浓郁 壮族 风情 。 乘船 游览 景区 ， 水质 清澈 ， 比起 遇 龙河 水 更加 清澈 ， 两岸 寂静 ， 固定 地点 当地 壮族 村民 表演 ， 非常 独特 。 景区 里 一段 要 乘船 穿过 低矮 洞口 ， 出来 真的 世外桃源 感觉 ， 桃花 瓣 瓣 ， 远离 喧嚣 世间 嘈杂 。 如果 时间 可以 这里 住 客栈 ， 好好 感觉 一下 。 乘船 游览 完 可以 康美 药业 拍摄地 那个 长廊 拍摄 ， 总之 这是 值得 景区 。,positive
5,桂林 阳朔县 按照 陶渊明 桃花源记 建成 人工 景点 ， 但是 利用 漓江 边 丰富 水系 ， 建成 独立 小岛 ， 小岛 上 模仿 原始 农耕 生活 。 另外 还 建成 具有 当地人 特色 民居 ， 其中 原始 织机 表演 。 屋外 竖立 着 当地人 图腾 。,positive
5,这个 地方 真的 很美 很 美 ， 有山有水 称为 世外桃源 真的 不过 分 ， 定 酒店 附近 公里 ， 酒店 柜台 还 写 着 可以 代售 门票 78 元 ， 称 直接 购买 很 贵 ， 后来 对比 某宝 电子 票 更 优惠 ， 最终 还是 某宝定 。 不是 节假日 ， 所以 不算 多 。 整个 园区 里 悠哉 逛 ， 大概 一个半 小时 。,positive
5,"11 月 20 日 跟 团游 阳朔 "" 世外桃源 "" ， 荷花池 、 燕子 湖 、 燕子 洞 、 侗乡 风情 原始部落 。 虽 初冬 季节 四面 暴雨 ， 境点 零星小雨 ， 却 能 体味 "" 沾衣 欲 湿 杏花 雨 ， 吹面 清凉 杨柳风 "" 收获 . 踏进 "" 世外桃源 "" ， 展现 眼前 将 一片 秀美 山水 田园风光 。 清波 荡漾 燕子 湖 镶嵌 大片 绿野 平畴 之中 ， 湖面 漂游 小群 鸭子 ， 湖 岸边 垂柳 依依 ， 轻拂 水面 。 湖边 古老 阁楼 前 少数民族 青年 男女 吟唱 乡村 古老 歌谣 。 放眼望去 ， 远方 群山 ， 村树 含烟 ， 阡陌 纵横 ， 屋宇 错落 ， 宛若 陶渊明 笔下 "" 芳草 鲜美 ， 落英缤纷 "" "" 良田 美池 桑竹 之 属 "" 桃源 画境 。 美极 ， 赞哉 ！",positive
5,世外桃源 李冰冰 任泉 拍 “ 康美 之恋 ” 取景 ， 所以 名声在外 ， 阳朔 这么 多 景点 里 排队 时间 最长 地方 ， 游船 游览 路线 两岸 自然风光 美的 没话说 ， 水清 可以 一览 到底 ， 那个 地方 真的 萌生 就此 归隐 想法 。,positive
