评分,comments,sentiment
5,国庆 假期 跟着 朋友 几家 人一 起来 。 早上 九点 到达 景区 ， 居然 下午 六点 才 离开 ， 从未有过 这种 情况 。 国庆 门票 90 元 套票 包 一家 三口 。 里面 除了 沙滩车 以外 ， 几乎 可以 玩 。 从 门口 拍 汉服 照 ， 各种 亲子 手工 ， 扎染 ， 竹 蜻蜓 ， 鲁班锁 ， 打铁 。 再 米汤 ， 豆浆 ， 酒 ， 还有 各种 游乐 设施 。 小朋友 还 可以 河边 玩水 捞鱼 🐟 。 特别 介绍 : 沙滩车 ， 双人 108 元 一辆车 。 全程 领队 带 着 ， 非常 安全 。 高级 线路 ， 可以 跟上 。 什么 斜坡 ， 泥塘 ， 水池 冲过 。 [ 呲 牙 ] 非常 刺激 ， 每个 想 玩 第二次 。 所以 特别 推荐 大家 来 这里 玩 。 人少 ， 景美 ， 胜价 比 超高 。,neutral
5,单独 安排 一天 带娃 到访 古村 ： 1 . 一步 一景 ， 能 感受 开发 单位 用心 设计 ； 2 . 村内 约 10 可 亲子 互动 文化 传承 活动 ， 预期 内 收费 标准 ； 3 . 略有 商业 感 ， 但 不会 令人 感到 过分 兜售 ， 自由选择 ； 4 . 整个 村 江水 两边 ， 成全 城市 孩子 亲水 愿望 。 从 体力 财力 均 简奢由君 ！ 推荐 ！,positive
5,东漓 古村 对 桂林地区 ， 特别 湘桂 古 商道 漓江 沿岸 古村 ， 进行 详细 调查 并 仔细 研究 重点 村落 人文 历史 、 建筑 形式 以及 生活 状态 ， 进而 仿旧 复建 桂北 古村 。 一条 潮田河 贯穿 整个 村落 ， 沿河 分布 着 近 200 多栋 各类 古建筑 。 其中 秦家 大院 元亨利 金 、 朝照 乾坤 、 吉门 余庆 、 本固枝荣 、 永振家声 以及 水龙 、 李氏 宗祠 等 ， 庞大 建筑群 全部 鲜活 再现 桂北 历史 建筑 文化 。,positive
5,灵川县 东漓 古村 ， 了解 桂林 以及 桂北 民居 好 地方 。 交通 便利 ， 景色 不错 ， 休闲 周末 游玩 还 不错 ， 值得 推荐 给 大家 。 还有 很多 工艺 作坊 等,positive
4,既 活态 漓江 传统 文化 艺术 村 ， 又 浸没 式 人文 体验 ＋ 野奢 田园生活 综合体 。 目前 景区 外省 游客 免费 ， 还 没 完全 建 好 ， 建议 一年 再 来 。,positive
5,文化 教义 ， 似乎 对于 这块 土地 特别 偏爱 ， 这里 不仅 建筑 特色 古镇 ， 更 经历 时间 积淀 古村 。 东漓 古村 之所以 能够 榜上 名 ， 这种 多元 文化 忠实 再现 。,positive
5,有趣 好玩 ， 去年 去过 ， 旅行 有时候 只是 一种 心情 释放 ， 好比 沉在 水底 鱼儿 ， 雷雨 到来 之前 感觉 烦闷 ， 迫切 想要 水面 透一口气 。 远离 城市 ， 奔赴 另外 城市 ， 无论 这个 城市 给 你好 与 坏 感觉 ， 但 有点 不变 ， 对于 未知 风景 ， 总抱 着 憧憬 好奇 。,positive
5,作为 一种 古朴 建筑 ， 东漓 古村 灵川 处于 一种 特殊 状态 ， 它 建筑 经历 风雨 洗礼 ， 又 能够 完整 保留 下来 ， 作为 人们 观赏 景色 平台 ， 很 美 。,positive
5,景色 不错 ， 去年 去过 ， 旅行 有时候 只是 一种 心情 释放 ， 好比 沉在 水底 鱼儿 ， 雷雨 到来 之前 感觉 烦闷 ， 迫切 想要 水面 透一口气 。 远离 城市 ， 奔赴 另外 城市 ， 无论 这个 城市 给 你好 与 坏 感觉 ， 但 有点 不变 ， 对于 未知 风景 ， 总抱 着 憧憬 好奇 。,positive
5,景色 不错 ， 去年 去过 ， 旅行 有时候 只是 一种 心情 释放 ， 好比 沉在 水底 鱼儿 ， 雷雨 到来 之前 感觉 烦闷 ， 迫切 想要 水面 透一口气 。 远离 城市 ， 奔赴 另外 城市 ， 无论 这个 城市 给 你好 与 坏 感觉 ， 但 有点 不变 ， 对于 未知 风景 ， 总抱 着 憧憬 好奇 。,positive
5,性价比 高 ， 去年 去过 ， 旅行 有时候 只是 一种 心情 释放 ， 好比 沉在 水底 鱼儿 ， 雷雨 到来 之前 感觉 烦闷 ， 迫切 想要 水面 透一口气 。 远离 城市 ， 奔赴 另外 城市 ， 无论 这个 城市 给 你好 与 坏 感觉 ， 但 有点 不变 ， 对于 未知 风景 ， 总抱 着 憧憬 好奇 。,positive
5,有趣 好玩 ， 去年 去过 ， 旅行 有时候 只是 一种 心情 释放 ， 好比 沉在 水底 鱼儿 ， 雷雨 到来 之前 感觉 烦闷 ， 迫切 想要 水面 透一口气 。 远离 城市 ， 奔赴 另外 城市 ， 无论 这个 城市 给 你好 与 坏 感觉 ， 但 有点 不变 ， 对于 未知 风景 ， 总抱 着 憧憬 好奇 。,positive
5,景色 不错 ， 去年 去过 ， 旅行 有时候 只是 一种 心情 释放 ， 好比 沉在 水底 鱼儿 ， 雷雨 到来 之前 感觉 烦闷 ， 迫切 想要 水面 透一口气 。 远离 城市 ， 奔赴 另外 城市 ， 无论 这个 城市 给 你好 与 坏 感觉 ， 但 有点 不变 ， 对于 未知 风景 ， 总抱 着 憧憬 好奇 。,positive
