评分,comments,sentiment
5,东西 巷 桂林 明清 时代 遗留下 一片 历史 街巷 ， 位于 桂林市 中心 ， 邻近 靖江 王府 ， 桂林 历史 文化名城 重要 组成部分 。 这里 集 旅游 、 民俗 、 文化 、 购物 、 餐饮 、 休闲 、 娱乐 为 一体 ， 一片 综合型 商业街 区 。 东西 巷 包含 正阳 街东巷 、 江南 巷 、 兰 井巷 等 桂林 传统 街巷 ， 空间 尺度 宜人 ， 桂林 古 历史风貌 观 景区 。 这里 保留 众多 名人 故居 、 老字号 以及 桂北 传统 民居 ， 首批 国家级 旅游 休闲 街区 。 东西 巷 改造 秉承 “ 以 保护 修缮 为主 ， 改造 建设 为辅 ” 修旧 如旧 政策 ， 还原 明 、 清古 风貌 建筑群 ， 同时 建设 改造 传统 与 时尚 紧密结合 历史 文化 休闲 街区 。 东西 巷 打造 注重 对 传统 文化 品牌 、 “ 老字号 ” 品牌 以及 非遗 品牌 引进 ， 如 桂林 本土 雕版 印刷 非遗 品牌 厚博 工艺 坊 ， 地方 文化 演艺 传播 品牌 “ 讲古 堂 ” ， 以及 中华 老字号 、 非 遗及 地方 文创 品牌 等 。 东西 巷 每年 举办 各类 丰富 文化 活动 ， 如 “ 壮族 三月 三 ” 歌圩节 、 国庆 以及 春节 民俗 活动 、 状元 巡游 、 桂剧 展演 、 国际 街舞 大赛 以及 潮流 音乐会 等 ， 让 这条 老 街巷 重新 焕发 出 勃勃生机 。 东西 巷 全天 免费 开放 ， 地址 广西壮族自治区 桂林市 秀峰区 正阳 路 与 解放 东路 交叉口 东 100 米 。 游客 可以 乘坐 市区 内 多路 公交车 “ 解放 桥 ” 站 下车 即可 到达 。 东西 巷 适合 晚上 过来 逛街 ， 灯光 璀璨 ， 人流 涌动 ， 非常 热闹 。 靖江 王府 逍遥 楼 边上 ， 可以 安排 同一天 游玩 。,positive
5,20230314 晚上 ： 1 、 “ 东西 巷 ” 桂林市 历史 最为 悠久 古 街区 ， 始于 唐代 武德 年间 ， 得名 并 兴盛 于 明清 时代 ， 清光绪 六年 （ 1880 年 ） 《 临桂县 志 》 最早 出现 “ 东巷 ” “ 西巷 ” ， 2016 年 按 明清 风格 修复 。 古巷 西邻 5A 景区 “ 独秀峰 • 王城 ” 南城门 “ 正阳门 ” ， 因此 东西 巷 又称 “ 正阳 东巷 ” “ 正阳 西巷 ” 。 南邻 解放 东路 、 东临 漓江 。 东西 巷 与 相邻 桂林市 最大 夜市 步行街 “ 正阳 步行街 ” 通过 地下通道 相连 ， 均 免费 开放 。 ① 地址 ： 桂林市 秀峰区 解放 东路 18 号 。 ② 交通 ： 公交 直达 ， 开车 不好 停 。 ③ 旺季 ： 无 。 ④ 用时 ： 1 小时 。 2 、 历史 上 此 居住 过 名人 岑春煊 （ 清 光绪年间 两广总督 ， 其父 光绪年间 云贵 总督 岑毓英 ， 岑毓英 与 他 三弟 岑毓英 宝对 中法战争 胜利 作出 一定 贡献 ， 后者 岑毓英 去世 代理 过 83 天 云贵 总督 一职 ， 因此 岑家 “ 一门 三 总督 ” 之称 。 旧址 所在地 仍 留有 最后 一进院 “ 岑 家塾 院 ” ， 后来 考古 发现 岑氏 家庙 叠压 明代 靖江 王 宗庙 遗址 之上 ， 故 将 此地 开辟 成 遗址 广场 ， 地面 上用 玻璃罩 加以 保护 ） 、 龙朝言 / 龙朝翊两 兄弟 （ 清 光绪年间 同入 翰林院 ， 东巷 1 号 旧址 外立 “ 兄弟 翰林 ” 石碑 ） 、 魏继昌 （ 民国时期 书法家 、 政府 文员 ， 新 中国 建国 后官 至 桂林市 副 市长 。 旧址 “ 江南 巷 ” 1 号 ， 1910 年 同盟会 广西 支部 便 秘密 设立 他 宅 内 ） 、 谢和赓 （ 中共 著名 地下党 ， 与 周总理 单线 联络 ， 代号 “ 八一 ” ， 他 凭借 他 父亲 ， 即 著名 书法家 谢顺慈 与 中华民国 国防部 部长 、 “ 小 诸葛 ” 白崇禧 亲密关系 ， 成为 白崇禧 机要秘书 ， 为 解放战争 胜利 立下 汗马功劳 ） 等 ， 魏 、 谢 、 岑 、 龙 四大家族 东西 巷 四大 书香门第 。 另外 ， 离 东西 巷 700 米 远 “ 杉湖 ” 附近 ， 白崇禧 、 马君武 （ 民国时期 著名 教育家 、 广西大学 校长 ， 我国 第一个 工学 博士 ， 与 北大 校长 蔡元培 合称 “ 北 蔡南马 ” ） 、 唐景 崧 （ 清 光绪年间 台湾 巡抚 ） 、 王 鹏运 （ 清 光绪年间 著名 词人 ） 、 李宗仁 （ 民国时期 代总统 ） 等 名人 居住 过 。 3 、 此街 出现 老字号 “ 又益轩 ” 米粉 （ 目前 解放 西路 上 ） 、 “ 张 永发 ” 染布 、 “ 曹保元 ” 膏丹丸 散 、 “ 熊同 ” 药店 （ “ 兰 井巷 ” 南端 ） 、 “ 巨 丰泰 ” 商行 、 “ 友信 ” 商行 、 “ 黄昌典 ” 毛笔 （ 仍 正阳 步行街 上 营业 ， 自治区 级 非 物质 文化遗产 ） 、 “ 鸿庆隆 ” 月饼 （ 作坊 已经 搬 桂林市 灵川县 ， 扩建 成 工厂 ） 等 。 4 、 不同于 正阳 步行街 小吃摊 ， 东西 巷以 时尚 店铺 、 酒吧 为主 ， “ 妙美粒 糖果屋 ” 颜值 超高 ， 很 适合 小资 美女 们 打卡 拍照 … 字数 超限 ， 最后 一张 图片 里 继续,positive
5,東西巷 給人 一種 古風 朴朴 感覺 ， 從 東西巷 穿過 一條 小 隧道 等 看到 靖江 王府 ， 東西巷 有分 地上 地下 商城 ， 地上 話 晚上 人流量 會大 一點 ， 而且 那裡 小吃街 小吃 品種 蠻 多 ， 建議 吃 桂花 味 豆花 ， 別有 一番 風味 。,neutral
5,很 不错 地方 先去 步行街 逛 逛 吃 鸭脚 煲 参观 靖 王府 感受 广西师范大学 校园 氛围 登 独秀峰 天时 下场 雨 刚开 网吧 坐 一会 试营业 限时 免费 网上 住 名城 大酒店 准备 第二天 出发 阳朔 旅游 还是 要 用心 玩 用心 感受 ！ 大概 行程,positive
5,市中心 著名 步行街 周围 停车 不太 方便 景区 周围 还有 逍遥 楼 景区 跟 正阳 路 步行街 隔 一条 马路 跟 全国 大多数 步行街 相比 建筑风格 特色 值得 一游 。,positive
5,春天 有个 约会 — — “ 东西 巷 ” （ 四十二 ） ， “ 东西 巷 ” — — 桂林 历史 文化 街区 ， 位于 靖江 王城 正阳门 前 ， 分别 称 “ 正阳 东巷 ” “ 正阳 西巷 ” ， 明清 时期 遗留下 唯一 一片 历史 街巷 ， 桂林 古 历史风貌 观 景区 ， 见证 桂林 城自 唐代 武德 年间 建城后 近 1400 年 历史 兴衰 。 东西 巷早 明清 时期 盛极一时 ， 鼎盛 时有 “ 青龙 白虎 ” 宝地 之 美誉 。 这里 不仅 鸿儒 商贸 云集 往来 ， 达官显贵 此 栖居 ， 同时 桂林 许多 老字号 发地 … … ， 游览 靖江 王城 ， 顺路 游览 独具 桂林 特色 东西 巷 ， 寻找 着 属于 它 故事 … … ，,positive
4,解放 桥 公交站 旁 ， 因 位于 桂林 王城 正阳门 东西 两侧 得名 ， 形成 于 清代 东西 巷 ， 经 改造 整洁 干净 ， 巷子 大 ， 各地 商业街 大同小异 ， 服装 ， 饰品 ， 纪念品 ， 小吃店 ， 晚上 亮满 灯笼 ， 淡季 来 ， 不是 很多 ， 散步 舒服 。,positive
5,虽然 现在 各种 仿古 巷子 大同小异 ， 但是 东西 巷 还是 显得 比较 文 气 ， 艺术性 历史感 很 好 ， 强 过 南锣鼓巷 宽窄 巷子 ， 从 江南 巷 进去 ， 穿 东巷 喝茶 戏 ， 从 西边 出来 过 状元 廊 逍遥 楼 ， 解放 桥 夜景 ， 沿着 漓江 赏月 吹风 ， 非常 舒服 。,positive
5,东西 巷 ， 桂林 明清 时期 遗留下 唯一 历史 街巷 ， 空间 尺度 宜人 ， 桂林 历史风貌 观 景区 ， 包含 正阳 街东巷 、 江南 巷 、 兰 井巷 等 桂林 传统 街巷 ， 体现 桂林 历史 文脉 ， 现在 桂林市 一个集 旅游 、 民俗 、 文化 、 购物 、 餐饮 、 休闲 、 娱乐 为 一体 综合型 商业街 区 。 了解 桂林 历史 ， 东西 巷 值得 一逛 。,positive
4,刚 重建 好 ， 建筑物 新 ， 比较 古色古香 。 里面 主要 一些 饮食店 工艺品 商店 ， 可能 刚开 不久 ， 很多 商铺 空 。 巷子 里 还有 一些 历史 建筑 ， 比如 广东 会馆 ， 某个 历史 人物 主宅 之类 。,positive
