评分,comments,sentiment
4,位于 市中心 中山路 上 ， 不远处 就是 榕杉湖 以及 日月 双塔 ， 依仁路 美食街 旁边 。 这里 市区 难得 一处 大型 露天 广场 ， 时候 正值 五一节 搞 商家 活动 ， 临时 展览 占据 大部分 地方 ， 来 这里 目的 ， 大多 为了 晚上 8 点半 ， 广场 东南角 漓江 大 瀑布 饭店 “ 放水 ” 演出 。 伴着 音乐 ， 瀑布 从 楼顶 倾泻 下 ， 历时 约 12 分钟 。 气势 ， 但 感觉 灯光 色彩 不够 丰富 。,positive
4,中心广场 位于 中山 中路 商业街 区 ， 旁边 杉湖 日月 塔 、 正阳 步行街 ， 晚上 可以 瀑布 ， 作为 世界 上 少有 从 楼上 下 水帘 ， 现场 看到 感觉 真的 非常 震撼 。 广场 上 很多 游玩 ， 休闲 逛逛 好 地方 。,positive
5,桂林 中心广场 自然 位于 桂林市 中心 ， 广场 不算 大 ， 周边 很多 宾馆酒店 ， 如 漓江 大 瀑布 饭店 ； 旁边 还有 工人 文化宫 一条 热闹非凡 步行街 ， 那里 离 两塔 特别 近 ， 晚上 游人 常在 那里 游玩 ! 傍晚 ， 照 相片 有点 黑 。,positive
4,中心广场 紧靠 中山路 ， 面积 5 万多平方米 ， 桂林 最大 集会 、 休闲 、 购物 多功能 广场 。 广场 地面 由 花岗岩 地砖 铺 成 ， 不同 色彩 装饰 成 一幅 巨大 世界地图 ， 图上 标有 世界 重要 城市 ， 象征 桂林 正在 走向世界 。 广场 周围 没有 太高 建筑物 ， 只有 漓江 瀑布 大酒店 八桂 大厦 比较 显眼 。,positive
5,中心广场 桂林 市区 城市 中心广场 ， 广场 两侧 设有 小 香港 商业城 ， 往前走 桂林 体育馆 。 广场 整体 开阔 大气 ， 适合 居民 休闲 。 旁边 就是 正阳 步行街 日月 双塔 公园 。,positive
4,位于 桂林 中山路 阳桥 附近 ， 市中心 大型 露天 广场 ， 周边 体育馆 、 大 瀑布 酒店 等 ， 市民 休闲 锻炼 地方 ， 但 感觉 绿化率 低 ， 而且 地下 商城 生意 冷清 。,positive
5,桂林 中心广场 ， 应该 算是 最 中心 位置 ， 景点 很 方便 这边 白天 夜晚 两个 景象 ， 别 乐趣 ， 广场 人们 休闲 娱乐 散步 好 地方 ， 可以 来 看看,positive
4,桂林 中心广场 ， 室外 白天 无法 逛 ， 8 月份 桂林 毒辣 太阳 实在 让 受不了 。 黄昏 时 对面 吃 甜品 ， 看着 太阳 渐渐 下山 ， 出去 蹦 跶 。 几颗 椰子树 挺 高大 ， 倒 没有 瞧见 上面 椰子 ， 不像 10 月初 三亚 满大街 椰子树 上 椰子 。 这个 广场 周围 吃 很多 ， 离 正阳 路 步行街 近 ， 算是 市中心 。,positive
4,桂林 中心广场 中山路 上 ， 边上 就是 正阳 步行街 ， 广场 下面 像 个 小商品 市场 ， 桂林 瀑布 大酒店 瀑布 ， 热心 出租 司机 告诉 ， 晚上 八点半 瀑布 ， 提前 十几分钟 到达 ， 市民 游客 挺 多 ， 八点半 ， 瀑布 缓缓 开始 ， 伴着 音乐 ， 色彩 变幻 ， 一共 持续 10 分钟 左右 ， 还 不错 ， 毕竟 人工 瀑布 ， 又 酒店 外墙 。,neutral
5,晚上 20 : 30 - 20 : 45 可以 看大 瀑布 酒店 人工 瀑布 。 周围 很多 吃 ， 还有 步行街 。 周围 很 热闹 。 作为 游客 可以 感受一下 。,neutral
