评分,comments,sentiment
4,美丽 乌桕 滩 。 柏油 马路 尽头 一间 简陋 房子 ， 开 小小的 小卖部 ， 门口 有个 中年 阿姨 拦路 收费 ， 每个 人要 交 2 块 人头费 。 应该 附近 村民 ， 游客 来 又 ， 或多或少 留下 垃圾 就是 靠 他们 清理 ， 可以 说 他们 乌桕 滩 美丽 守护者 。 2 块钱 门票 对于 那些 动辄 上百 门票 来说 确实 不算 贵 ， 痛痛快快 交 钱 准备 进入 乌桕 滩 撒欢 。 收钱 阿姨 又 提醒 沙滩 上 有点 湿滑要 小心 摔倒 之类 ， 顺便 说 不要 扔 垃圾 乌桕 滩 上 。,neutral
5,乌桕 滩 桂林 市区 处于 漓江 河湾 ， 位于 竹 江村 河滩 上 一片 乌桕 树林 。 百里 漓江 ， 江滩 相连 ， 春有 风景如画 黄布滩 ， 秋有 红叶 似火 乌桕 滩 。 乌桕 滩 位于 漓江 边上 大 江滩 ， 江滩 上 一丛丛 乌桕 林 。 每逢 秋冬 时节 ， 树叶 红透 ， 三五 处 红叶 ， 清澈 漓江 流水 ， 素有 “ 小 九寨沟 ” 之 美誉 。 秋冬 时节 乌桕 滩 最能体现 漓江 魅力 风情 ， 高处 俯瞰 乌桕 滩 ， 宛若 一幅 诗意 盎然 水墨画 。,positive
4,此滩 长满 乌桕树 ， 所以 名为 乌桕 滩 。 上滩 需交 每人 5 元 ， 车子 20 元 ， 附近 村民 乱收 。 11 月 乌桕 叶子 还 没有 红 ， 可能 再 迟 一个月 比较 好看 。,neutral
4,或许 去过 桂林 不下 10 次 ， 但 却 未必 知道 百里 漓江 竟 藏有 这么 个 水色 斑斓 地儿 。 当地人 说 它 “ 桂林 小 九寨 ” ， 这里 乌桕 林 橙红 橘绿 ， 化身 诗意 水墨画 。,neutral
3,刚到 乌桕 滩 ， 一窝蜂 上来 十个 村民 问 要钱 ， 给 20 块钱 ， 他们 立刻 分 钱 散 。 过 一会 ， 又 来 问 要钱 ， 说 之前 没分 。 没见 过 这么 无赖 景区,neutral
5,乌桕 滩 素有 “ 小 九寨沟 ” 美誉 ， 乌桕 丛生 ， 春夏 滩头 涨水 时 ， 乌桕 林 成为 孤岛 ， 绿林中 白鹭 飞翔 ， 生机盎然 。,positive
5,百里 漓江 ， 江滩 相连 ， 春有 风景如画 黄布滩 ， 秋有 红叶 似火 乌桕 滩 。 应该 看看,positive
5,冬天 乌桕 红 似火 ， 桂林人 最爱 赏冬地 之一,neutral
4,还 不错 景色 来 拍拍 照片 还是 不错 花儿 为何 那样 红,positive
1,压根 值得 ， 拍个 婚纱照 还 五十多 块钱 ， 而且 属于 双层 收费 ， 凭 什么 收 停车费 还有 收 人头费 ， 没 丢 垃圾 为什么 还要 收 垃圾 费 ？ 村民 想 钱 想 疯 吗 ？ ？ ？ 搞不懂 什么 好 ， 河 他们 村 村 吗 ？ ？ 蛮不讲理,neutral
