评分,comments,sentiment
5,非常适合 小朋友 玩 ！ ！ ！ 里面 好多 角色扮演 ！ ！ 就是 等 时间 太长 ！ 宝贝 没有 玩 过瘾 ！ ！ 工作人员 很 热情 ！ ！ 里面 有股 热狗 味道 闻久 老想 吐 ！ 只有 下次 玩 ！,positive
5,很 值得 小朋友 体验 一下 ！ ！ ！ 就是 打工 内容 不够 明确 ！,positive
5,让 小孩 做 回 大人 感觉 。 挺 好 啊 ， 价格 可以 。,positive
4,可以 带 孩子 体验 体验 哦 ， 小孩子 比较 喜欢 大 朋友 旁边 指导 一下 可以 ， 不用 干涉 ， 只要 没有 出 什么 岔子 情况 下 ， 全程 让 孩子 体验 。,positive
5,玩 两次 ， 还 行 ， 就是 第二次 时候 好多 职业 不来 ， 知道 搞 什么 鬼,neutral
5,今天 星期五 ， 很少 ， 只有 三四个 小朋友 ， 工作人员 态度 不错 ， 玩 很 开心 ， 满意 。,positive
4,里面 可以 让 孩子 体验 各种 职业 ， 孩子 还是 很 喜欢 ， 可惜 ， 部分 工作人员 工作 强度 太 大 ， 导致 质量 很差 ， 部分 热门 职业 参与 人数 过多 导致 一定 程度 混乱 ， 建议 改进 。,positive
5,很 适合 小朋友 玩 ， 就是 价钱 贵 点 ， 半天 玩 不了 多少 样,positive
4,第一次 还是 值得 ， 小朋友 蛮 喜欢 ， 趣味性 比较 好 ， 服务 等 需 加强 ， 性价比 一般,positive
5,小朋友 玩 很 开心 适合 培养 小朋友 专注 力 没想到 儿子 专注 力 还 不错 能 很 认真 听 完 然后 参与 活动 一次 大概 能 玩 五个 活动 下次 还要,positive
4,值得 一去 ， 身心 舒畅 ， 回味无穷 ， 再接再厉 。,positive
5,小朋友 特别 喜欢 ， 早上 早早 她们 还是 玩 不够 ， 该次 假期 带 孩子 玩 。,positive
4,很 好玩 ！ 环境 一流 ！ 魔法 馆 工作人员 态度 不错 ！,positive
4,很 好玩 ， 尤其 小孩子 很 喜欢 ， 可以 玩 一上午 。 周边 停车 吃饭 很 方便 ， 亲子活动 好 地方 ， 值得 体验 。,positive
5,小孩子 乐园 ， 非常适合 周末 没 去处 家长 。,positive
4,小朋友 们 喜欢 玩 ， 个人 觉得 贵 点 。,positive
5,这样 定票 很 方便 ， 我狠 喜欢 ， 下次 继续 使用 ！,neutral
5,非常 不错 ， 小朋友 玩得 很 开心 ， 一次 只能 玩 几个 项目 ， 还要 几次,positive
5,小朋友 很 喜欢 玩 ， 儿子 3 岁 ， 就是 等待 过程 有点 长 ， 坐不住,positive
4,总体 还是 不错 ， 小朋友 很 喜欢 来 ， 要是 门票 再 优惠 点 更好,positive
5,小孩 很 喜欢 ， 项目 多 。 还有 蛋糕 吃,positive
5,可以 ， 便宜 点 比较 好 。 干净 整洁 。,positive
5,小孩 玩得 很 开心 ， 下次 还要 来 玩,positive
5,优惠 多 ， 但是 值得 一游 ， 一定 要 按时 进去 才 够 瘾,neutral
5,带 着 小孩 体验 一把 ， 玩得 不错 ， 很 不错,positive
5,孩子 们 玩 得 很 开心 ！ 以后 还会 。,positive
5,还 不错 ， 只是 很多 场馆 没有 开放 。,positive
5,第二次 儿子 依旧 很 开心 非常 好,positive
4,"小朋友 乐欢 天 地方 , 直得 一去",positive
4,还 可以 小孩 很 喜欢 。 值得 带 小孩,positive
3,几次 ， 主要 让 孩子 玩耍 ， 价格 偏高,positive
3,孩子 很 喜欢 玩 ， 就是 性价比 很 一般,positive
3,性价比 很 一般 ， 孩子 喜欢 玩,positive
