评分,comments,sentiment
5,书童 山 就是 印象 刘三姐 剧场 旁边 ， 驻江 而立 ， 远 看似 书童 静读 ， 优雅 宁静 ， 行致 山脚下 仰望 又 如 一位 美女 梳妆 ， 让 感叹 大自然 神奇 ！ 田家 河有 一座 桥 ， 桥 上 远望 书童 倒影 漓江 支流 田家 河 上 ， 与 凤尾竹 交相辉映 ， 造就 一副 山水 诗意 画卷 ， 让 陶醉 其中 ， 可 踩 单车 沿途 观赏 ！,positive
4,观莲路 唐人街 码头 ， 左 唐人街 酒店 斜对面 ， 书童 山段 竹筏 漂流 。 漂流 时间 长 ， 来回 1 个 小时 左右 ， 沿途 风景 还 不错 ， 可以 远观 书童 山 。,positive
4,书童 山是 做 木筏 ， 木筏 可以 坐 4 。 坐船 沿着 江看 ， 很多 各色 特点 山 ， 木筏 上 可以 感受 到来 着 漓江 凉爽 ， 木筏 师傅 一边 开船 一边 讲解 ， 还是 很 不错 ， 还会 地方 拍照 。,positive
5,"山若 书童 闭目 沉思 , 神态自若 , 山 因此 辱名 。 书童 山东 卓笔峰 , 形 如 文笔 倒 : 雨 , "" 卓笔 文峰 "" 之称 。 山南 鸡公 山 , 酷 以雄 雄鸡 报晓 , "" 书童 闻 鸡鸣 而读 "" 之赞 。",positive
5,阳朔 大桥 上 可以 远眺 书童 山 倩影 ！ 秀丽 山水 迷人 极了 ， 可以 坐 竹筏 游船 观赏 ， 这里 游客 并不多 ， 下午 显得 更加 清静 怡人 ， 尤其 晚上 特别 能 感受 江畔 之夜 宁静 迷人 ！ 俺 酒店 近旁 ， 今晚 再 来 … …,positive
5,标志性 山峰 之一 ， 秀丽 迷人 。 骑车 （ 5 元 1 天 ） 游览 高田 遇龙 河风光 、 大榕树 、 月亮山 远眺 、 书童 山 倒影 、 大桥 附近 江边 徒步 风景 特美 ！ 次日 兴坪 镇 （ 20 多公里 ） 游览 码头 （ 兴坪 佳境 ） 、 攀登 老寨 山观 状阔 山水 全景 。,positive
5,景色 不错 ， 被 路边 大妈 拉 买票 ， 知道 有没有 被 坑 ╥ ﹏ ╥,neutral
5,8 : 00 漂 一段 非常 非常 美 ！,positive
5,阳朔 书童 山 阳朔县 城 东南 田家 河 与 漓江 交汇处 ， 距 县城 约 2 公里 。 右临 漓江 ， 山体 挺拔 俊秀 ， 漓江 江滨 最 娇小 隽秀 一座 山峰 。 中文名称 阳朔 书童 山 地理位置 阳朔县 城 东南 田家 河 著名景点 印象 刘三姐 、 钻石 水道 、 碧莲峰 、 山水园 、 西街 交通 指引 坐车 前往 或者 坐船 游览 阳朔 书童 山 高 不过 百余米 ， 远看 ， 如 婷婷玉立 少女 独立 于 江畔 ， 近 ， 则 山腰处 从 主体 分离 出 一块 直立 巨石 ， 若捧书 读 古装 男童 ， 因此 得名 书童 山 。 书童 山 又名 桅杆 山 ， 因 山体 呈 圆柱形 ， 似 船桅 得名 。 书童 山以东 一峰 形 如 文笔 倒插 ， 名曰 卓笔峰 ， “ 卓笔 文峰 立案 头 ” 之称 ； 山南 一峰 为 鸡公山 ， 酷似 雄鸡 报晓 ， 因而 又 “ 书童 闻 鸡鸣 而读 ” 之称 ； 此外 ， 书童 山 周边 还有 灵人山 、 拇指 峰 等 山峰 ， 可 一并 游览 。 相关 传说 相传 很久以前 ， 有条 蛟龙 常在 漓江 出没 ， 危害 一方 百姓,positive
5,书童 山 阳朔县 城 东南 田家 河 与 漓江 交汇处 ， 距 县城 约 2 公里 。 右临 漓江 ， 山体 挺拔 俊秀 ， 漓江 江滨 最 娇小 隽秀 一座 山峰 。 中文名称 阳朔 书童 山 地理位置 阳朔县 城 东南 田家 河 著名景点 印象 刘三姐 、 钻石 水道 、 碧莲峰 、 山水园,positive
5,风景如画 ~ 桂林 上 水 甲天下 下次 带 女儿 起来,neutral
4,这里 景色 非常 值得 一游 ， 它 离 阳朔 非常 近 ， 坐 竹筏 从 阳朔 西街 那段 漓江 边 开始 ， 很快 能 看到 书童 山 远景 。 一峰 独立 ， 风光 十分 迷人 。,positive
5,来 丽江 时候 ， 丽江 水 ， 刚下 雨 ， 闽江 水 比较 浑 ， 但是 风景 不错 ， 水浑 的话 ， 看不到 此地 ， 看不到 鱼 ， 心里 很多 遗憾 。,neutral
5,阳朔 漓江 风光 最 著名 山峰 之一 ， 多处 能 眺望 它 秀丽挺拔 身影 ， 倒影 漓江 景色 非常 迷人 ！,positive
5,漓江 田家 河 、 坐在 竹筏 上 观看 、 神似 书童 伫立 、 故其名 、 非常 山水 田园 美景 。,positive
5,风景 如此 多娇 非常 美丽 好看 值得 再 来,positive
5,就是 心旷神怡 ， 这里 山不高 ， 别样 感觉 ， 发挥 想象,positive
4,桥 上 远望 书童 倒影 漓江 支流 田家 河 上 ， 与 凤尾竹 交相辉映 ， 造就 一副 山水 诗意 画卷 ， 让 陶醉 其中,positive
5,感觉 似 仙境 般 ， 远处 景色 秀丽 ， 很赞,positive
5,山清水秀 ， 人杰地灵 。 好似 世外桃源 。,positive
5,外观 真的 漂亮 ， 唯美 ， 景色宜人 ！,positive
5,风景 还 不错 ， 衬托 整个 山水 ， 漂亮,positive
5,山水 好 风景 桂林 山水 确实 不错,positive
4,非常 值得 看一看 地方 ， 景色 非常 美,positive
4,不错 景点 ， 值得 看看 ！ 环境 很 安静,positive
