评分,comments,sentiment
5.0,公园 很小 ， 但 很 精致 ， 感觉 从进 景区 门 ， 跟 夸 时空 门 ， 一下子 跳脱 出来 ， 江边 风景 ， 很 安逸 慢 节奏 感觉 ， 不用 干 啥 ， 找个 石凳 ， 坐下 来 ， 吹 吹 江风 … … 吹 没 ， “ 椿记 烧鹅 ” 吃 烧鹅 喽 … … … （ 我信 ， 天下 还是 吃货 天下 ！ ！ ）,positive
5.0,伏波山 --- 桂林 滨江路 一座 依水 傍水 孤峰 。 傍晚 时分 ， 可以 看见 慢慢 落下 夕阳 一半 还 悬挂 空中 ， 另一半 似乎 被 洒 漓江 上 ， 整个 漓江 闪耀着 金色 光芒 ， 一艘 艘 渔舟 慢慢 地游过 金色 漓江 ， 划出 一道道 白色 线 。 再 向 远处 ， 袅袅 炊烟 被 青山 环绕 村庄 里 升起 。 真的 可以 让 停下 漂泊 心 。,positive
5.0,桂林市 区内 伏波山 个 老 景点 ， 由于 其 市区 ， 交通 便利 ， 多辆 公交车 到达 。 更是 其 票价 与 其它 徒有虚名 景点 相比 ， 性价比 明显 。 如果 桂林 ， 推荐 去逛 一下 ， 但 不要 忘记 携程网 上 预定 ， 不但 即时 有效 ， 还有 票价 优惠 ， 更 评价 还现 活动 ！,positive
5.0,小而精 景区 ， 觉得 周围 收费 最 合理 最 值得 爬 一座 山 。 首先 它 比 独秀峰 略低 ， 累 但 没有 那么 陡峭 。 其次 山上 视角 既有 城中 王府 周围 群山 ， 又 沙洲 江景 ， 较为 丰富 。 最后 既有 风景 又 人文 ， 还珠洞 千佛岩 格局 还 挺 有趣 ， 还有 公主 钟亭 及 试剑石 可 。 就是 地图 不是 很 清楚 = = 上山 需从 钟亭 旁 走 ， 江边 一侧 山道 只到 听涛 阁 ( 开放 ) 。 千佛岩 试剑石 等 景点 山 背后 必经 还珠洞 进出 。 米芾 像 试剑 石旁 崖壁 较 高处 ， 蓉 镜 上方 ， 没有 任何 标志 当时 错过 = =,positive
5.0,疊 彩山 山頂 俯瞰 桂林 美麗時 ， 無 意中 發現 一座 乍看 有點 像 象山 ， 但 不是 象山 山 ， 一樣 著 一個 洞 ， 但 背脊 高突 。 地圖 顯示 伏波山 ， 因此 決定 拜訪 這個 疊 彩山 附近 伏 波景區 。 伏波山 跟疊彩山 相距 不遠 ， 公里 左右 ， 因此 常常 用疊彩伏 波景區 聯票 方式 售票 。 伏波山 本身 票價 22 元 ， 網絡 預購 會 比 較 便宜 。 伏波山 景區 不大 ， 主要 分為 伏波山 跟 千佛岩 兩大景點 。 公主 鐘 、 萬鍋井 、 將軍劍 瞬間 拍照 結束 景點 。 伏波山 本身 不高 ， 幾部路 可以 登頂 ， 中間 有個 涼亭 設計 很 特別 ， 黑色 木櫃 感覺 可以 儲藏 物品 。 登頂 可以 清楚 俯瞰 王城景區 跟 東西巷 ， 遠眺 對面 疊 彩山 。 千佛岩 很 好玩 ， 上上下下 樓梯 ， 刻 岩壁 上 佛像 以及 文字 ， 充滿 藝術 趣味性 。 不要 只是 單獨 一樓 佛像 群 離開 ， 二樓 三樓 景色 很美麗 ， 而且 真的 好多 石坑 ， 可以 躲 裏 面繞 呀 繞 。 沿江 木 製 走廊 ， 可以 看到 伏波山 秀麗 ， 以及 江水 寧靜 。 還有 各種 前人 遺留 文化 藝術 。 伏波山 大 ， 走馬 看花 一個 小時 內 結束 。 千佛岩 玩 一個 小時 ， 對 而已 一個 很 放 鬆 很 平 靜 地方 。 遊客 極少 ， 時間 可以 來 參觀 。 而且 離疊彩山 、 靖江 王城 不遠 ， 可以 一系列 逛 完 ， 桂林 每個 公園 有點 像 ， 但 又 獨特 魅力 ， 每個 值得 遊覽 。,positive
5.0,伏波山 位于 桂林 市区 东北 ， 滨江路 北端 与 风 北路 交界处 ， 孤峰 突起 ， 西枕 陆地 ， 东临 漓江 ， 遏波 伏澜 之势 ， 因 唐代 曾 山上 修建 汉朝 伏波 将 军马 援祠 得名 。 伏波山 公园 由 多级 山地 庭园 组成 ， 还 珠洞 、 千佛岩 、 珊瑚 岩 、 试剑石 、 听涛 阁 、 半山 亭 、 千人锅 及 大 铁钟 等 景点 文物 ， 集山 、 水 、 洞 、 石 、 亭 、 园 、 文物 于 不足 1 万平方米 范围 内 ， 成为 独特 桂林山水 缩影 。,positive
5.0,春天 有个 约会 — — “ 伏波山 ” （ 四十五 ） ， “ 伏波山 ” ， 位于 广西 桂林 市区 东北 ， 滨江路 北端 与 凤 北路 交界处 ， 孤峰 突起 ， 西枕 陆地 ， 东临 漓江 ， 遏波 伏澜 之势 ， 因 唐代 曾 山上 修建 汉朝 伏波 将 军马 援祠 得名 ， 伏波山 上 ： 古代 石刻 造像 还珠洞 、 千佛岩 ， 铸于 清康熙 二年 （ 公元 1663 年 ） ， 重 1000 公斤 ， 可 煮 米 三担 千人锅 ， 铸于 清康熙 八年 （ 公元 1669 年 ） ， 重 2524 公斤 大 铁钟 ， 元代 修筑 古 河堤 ， 癸水亭 ， 听涛 阁 ， 奇妙 试剑石 … … ， 等 诸胜 ， 集山 、 水 、 洞 、 石 、 亭 、 园 、 文物 于 一体 ， 成为 独特 桂林山水 缩影 ， 登上 山顶 ， 俯瞰 伏波 胜景 如画 … … ，,positive
4.0,伏波山 位于 广西 桂林 漓江 之滨 ， 一座 依水 傍水 孤峰 ， 汉代 时伏波 将 军马 援 南征 曾经 过 此地 ， 故得名 。 唐代 时 山上 曾 建有 伏波 将军 庭 。 现有 癸水亭 、 听涛 阁 、 半山 亭 、 还珠洞 、 米芾 自画像 、 试剑石 、 珊瑚 岩 、 千佛岩 等 名胜 ，,positive
5.0,公园 大 ！ 但 挺 特色 ！ 山洞 可以 好好 逛 ！,positive
5.0,伏波山 公园 由 多级 山地 庭园 组成 ， 还 珠洞 、 千佛岩 、 珊瑚 岩 、 试剑石 、 听涛 阁 、 半山 亭 、 千人锅 及 大 铁钟 等 景点 文物 ， 集山 、 水 、 洞 、 石 、 亭 、 园 、 文物 于 不足 1 万平方米 范围 内 ， 成为 独特 桂林山水 缩影 。,positive
