评分,comments,sentiment
5,风景 好不好 。 一看 知道 。 当然 指 盛夏 荷花 开时 。 本人 极 喜爱 荷花 。 自然 觉得很有 感觉 。 而且 真的 很 大片 湿地 。 划个 船到 时蛮 惬意 。 但 夏天 就是 太热 。 船 还是 相对 原始 ！ 村庄 环境 不是 很 好 。 如果 真是 发展 旅游 。 还是 玩 好好 整理 一番 。 不必 太 刻意 。 但 必须 干净利落 才行,positive
4,尚 处于 原始 状态 景点 。 沿着 让 晕头转向 路牌 ， 半看 半 猜 误打误撞 来到 这里 。 几乎 没有 什么 游客 ， 除了 坐船 、 买 瓶装水 当地 农民 小店 ， 再 没有 其他 项目 。 搭乘 简陋 小船 ， 沿着 一条 小河 走 一圈 ， 旅程 结束 。,positive
5,会仙 湿地 中国 最大 岩溶 湿地 ， 被誉为 “ 漓江 之 肾 ” ， 漓江 流域 最大 喀斯特地貌 原生态 湿地 。 湿地 内 岛屿 星罗棋布 ， 山水 相得益彰 ， 集 “ 山 、 水 、 田 、 园 、 林 、 沼 、 运 ” 等 景观 要素 于 一体 ， 以 其 岩溶 湿地 之 典型 、 山水 景观 之 秀丽 、 历史 文化 之 深蕴 著称 。 该 湿地 风貌 及其 周边环境 不仅 广西 独一无二 ， 全国 乃至 全球 峰林 岩溶 平原 风貌 极为 罕见 ， 极具 研究 价值 典型 湿地 。 铜桥 上 拍 美美 照 。 铜桥 其实 没有 铜 ， 而是 一座 纯 石桥 ， 建于 清朝 ， 距今已有 几百年 历史 。 会仙 铜桥 很多 美丽 故事 ， 桂林 著名 水田 风光 、 玻璃 田 摄影 景区 。,positive
5,玩 仙 ， 宿在 青青 农家饭,neutral
5,这次 吃 好玩 好 睡 好 ， 没有 门票 ， 人少 ， 主要 还有 小龙虾 ， 必须 赞,positive
5,桂林 会仙 喀斯特 湿地 中国 最大 岩溶 湿地 。 这里 地貌 独特 ， 湿地 周围 群山 环抱 ， 河塘 纵横 ， 错综复杂 。 烟波浩渺 湖光 ， 周围 以 凤凰山 龙山 紧紧 拥抱着 它 。 小船 悠悠 ， 倒影 如画 。 游人如织 ， 流连忘返 。,positive
4,会仙 湿地 主要 分布 临桂县 会仙镇 睦 洞 、 四益 、 新民 、 山尾 、 文全 、 马面 等 6 个 村委 以及 该县 四塘 乡 大湾 村委 、 雁山区 竹园村 委 ， 涉及 47 个 自然村 2.2 万 人口 ， 其 地域 范围 内有 相思 江 、 良丰河 、 唐代 开凿 桂柳 运河 （ 又称 相思 埭 运河 ） 及 睦 洞湖 等 河流 湖泊 。 会仙 湿地 穿梭 湿地 桂林 会仙 湿地 还 没有 完全 开发 ， 桂林 可以 坐 桂林 仙 绿皮 车 睦 洞 路口 下车 ， 下车 之后 路口 那里 很多 小 三轮车 ， 2 块钱 ， 送到 湿地 码头 路口 那里 ， 走 几分钟 码头 ， 一般来说 一条 船是 120 块钱 ， 游 2.5 小时 ， 但是 如果 跟 他们 聊聊 ， 收少 一点 ， 80 一条 船 ， 可以 坐 4 个人 哈 ！ 船 碧波 上 ， 画中游,positive
3,还 不错 ， 人少 清净 ， 收 门票 ， 乘船 收费 ， 很 潜力 景区,neutral
5,近日 ， 一只 只 鹭鸟 湿地 飞舞 、 觅食 、 嬉戏 ， 构成 一幅 美丽 生态 画卷 。,positive
4,桂林 周边 湿地 环境 ， 正在 开发 ， 民宿 。,positive
