评分,comments,sentiment
5,侗族 母系社会 结构 ， 女性 为 尊 男性 承担 家庭 内务 。 这个 村庄 住宿 原 侗族 景区 ， 介绍 他们 生活 文化 ， 如 婚姻 文化 、 日常 家庭 结构 安排 、 节日 文化 、 饮食文化 等等 。 导游 侗族 女性 为主 ， 里面 还有 银器 销售 ， 一克 25 左右 ， 不知 是否 符合 市场行情 ， 不知 商品 是否 真材实料 。 网上 查 下 说法不一 没有 买 。 可以 看看 景区 。,positive
4,侗情 水庄 位于 桂林市 象山区 二塘 乡北芳 大村 东面 ， 地处 桂林 旅游 黄金 通道 --- 桂阳 公路 西侧 ， 精心 打造 侗族 文化 主题 景区 ， 侗族 擅长 建筑 ， 侗寨 风雨 桥 、 鼓楼 、 吊脚楼 等 建筑 较具 代表性 。 侗族 建筑 较大 特点 就是 造型 独特 ， 规模 雄伟 ， 多为 木质 结构 ， 且 整座 建筑 均 以 杉木 凿 榫 衔接 ， 不用 一颗 铁钉 。 银饰 加工 艺术 侗民 祖辈 相传 民族 工艺技术 ， 从事 加工 工艺 ， 当地 称之为 银匠 。 侗族 银饰 加工 ， 要 经过 吹烧 、 锻打 、 镶嵌 、 擦洗 抛光 等 五道 工序 ， 全是 以 家庭 作坊 内 男 工匠 手工操作 完成 。 这里 让 感动 不是 风景 ， 这里 淳朴 人民 ， 梦想 理想 ， 为了 山里 村民 全都 搬出 大山 伟大 愿望 。,positive
3,报 漓江 一日游 团 ， 行程 里 包括 这个 桂林 侗情 水庄 景区 ， 所以 。 据 导游 介绍 ， 这是 政府 为了 穷困 山里 侗族 兴建 侗族 居住 点 同时 旅游景点 。 带 小朋友 看看 还是 挺 好 ， 里面 侗族 建筑 特色 风雨 桥 、 吊脚楼 等 、 还会 侗族 人为 大家 进行 歌舞 表演 ， 展示 侗族 民族 文化 。 他们 推销 一些 当地 银 制品 ， 没有 强制 购买 ， 可以 根据 需要 来 决定 要 不要 购买 。,positive
5,20230314 上午 ： 1 、 “ 侗情 水庄 ” 以 少数民族 侗族 风土人情 为 主题 ， 集吃 、 住 、 赏景 、 人文 于 一体 综合性 景区 ， 侗族 真实 生活 村寨 ， 2014 年 由 国家 出资 将 生活 深山 老 村里 艰苦 生活 侗族 移居 舒适 城市 周边 ， 属于 扶贫 项目 一种 。 ① 地址 ： 桂林市 象山区 象塘路 331 号 。 ② 交通 ： 公交 直达 ， 开车 很 好 停 。 ③ 旺季 ： 无 。 ④ 用时 ： 2 小时 。 2 、 携程 上 买 “ 漓江 一日游 ” 产品 里 附带 此 景区 游览 。 入口处 映入眼帘 银色 侗族 图腾 木 水车 ， 高大 壮观 拍照 点 。 进 景区 游客 被 安排 一位 侗族 导游 带领 讲解 . 首先 来到 “ 侗族 民俗 陈列馆 ” ， 馆外 有个 戏台 ， 装饰 与 中原地区 差异 明显 。 3 、 陈列馆 内部 用 实物 、 模型 、 图文 形式 介绍 侗族 吃 、 穿 、 住 、 行 、 耕 、 婚 、 节日 、 音乐 等 习俗 ， 侗族 大歌 世界 非 物质 文化遗产 。 第一个 房间 竟然 竖立 着 很多 个 硕大 钟乳石 ， 能 把 这么 多 大石头 搬进 室内 用心 ， 桂林 以 喀斯特地貌 闻名世界 ， 几乎 每个 山 溶洞 。 之后 经过 婚房 、 银器 “ 富贵 井 ” （ 高大 井亭 增添 一股 神秘感 。 出口处 还有 处 “ 长寿 井 ” ， 外形 几乎 一样 ） 高颜值 拍照 点 。 侗族 菜品 模型 做 得 挺 逼真 ， 让 垂涎欲滴 。 4 、 一出 陈列馆 便是 祭坛 ， 但 不能 拍照 。 然后 穿过 数 民族特色 “ 风雨 桥 ” ， 桥有 阁楼 式 屋顶 可以 避雨 ， 既 像 桥 又 像 楼 ， 桥口 景区 提供 免费 糯米酒 品尝 。 桥 上 两侧 挂 牛 头骨 ， 设小 祭坛 隔间 ， 以往 旅程 中较 少 见到 如此 接地 气 少数民族 桥梁 。 过桥 “ 银壶 广场 ” 中央 矗立 着 景区 精华 雕塑 ， 一只 大 银壶 “ 悬空 ” 向下 倒水 ， 支撑 柱 隐藏 水流 内 ， 所以 茶壶 看似 悬空 ， 周围 餐饮 区 。 远处 “ 侗族 鼓楼 ” 像 一座 小塔 ， 壮观 拍照 点 ， 鼓楼 可以 付费 敲鼓 祈福 。 5 、 进入 民居 区 ， 每家每户 大堂 上 挂 毛主席 和习 主席 画像 。 进入 一户 民居 内 ， 一位 留有 将近 2 米长 头发 侗族 婆婆 为 游客 展示 如何 盘发 ， 以及 用 天然 洗米水 洗头 。 最后 用 银 梳 免费 为 游客 刮痧 环节 ， 然后 不出所料 地带 游客 银器 店 购物 。 银器 店门口 ， 由 十二生肖 石像 凝视 “ 百 福银 壶 ” 个 拍照 点 。 6 、 银器 店 背后 表演 戏台 ， 景区 可能 表演 节目 。 最后 通过 植物园 区出 景区 ， 头顶 上 不断 战斗机 飞驰 过 ， 附近 应该 个 飞行 训练场 。 至此 游览 结束 ， 用时 1 小时 多一点 。 中午 景区 外 路边 饭店 吃 竹筒 鸡 ， 视觉效果 震撼 ， 但 味道 跟 普通 炖鸡 差不多 。,positive
3,侗情 水庄 ， 政府 为 精准 扶贫 ， 把 原来 居住 于 深山中 侗族 古寨 ， 整体 搬迁 城市 内 ， 同时 尽量 保留 侗家 原本 风俗习惯 ， 从 过去 靠天吃饭 ， 辛苦 度日 ， 转为 专门 为 游客 服务 ， 向 更 多 介绍 侗家 风俗习惯 ， 生产 销售 侗家手 工业品 农产品 旅游景点 。 进入 水庄 ， 先是 侗族 阿嫂 为 介绍 这个 现代 村落 历史 ， 又 侗族 阿哥 献上 芦笙 曲 欢迎 远来 游客 。 然后 阿嫂 开始 带 边 走边 介绍 。 侗族 母系社会 ， 妻子 家里 绝对 权威 ， 小伙子 找 心爱 姑娘 ， 还要 爬 竹竿 。 文化 普通话 村民 可以 为 村落 旅游 服务 。 水庄 内 还有 传统工艺 手工 织布 ， 看见 游客 过来 ， 阿嫂 没有 主动 兜售 产品 ， 却 唱起 悠悠的 侗歌 ， 婉转 悠扬 。 侗族 特别 喜欢 银制 物品 ， 不论是 首饰 ， 还是 日常 用品 ， 听 阿嫂 那么 一说 ， 银子 简直 就是 包罗 万福 ， 包治百病 。 刚去 水庄 街口 一家 卖 糍粑 ， 现场 舂 米 制作 ， 还 热乎 着 ， 很 香甜 。 景点 内 建筑 统一 修造 ， 据说 当初 按 各户 原住民 能够 贡献 不同 侗家 工艺水平 高低 来 分配 。 每户 家庭 兼具 日常 居住 展示 之用 。 各家 堂屋 正中 多 悬挂 着 毛主席 画像 ， 时代 特点 统一 鲜明 。 既然 阿嫂 把 银子 夸 那么 神乎其神 ， 自然 行程 最后 以 银饰 铺 收尾 。 买 个 小小的 银 手链 ， 作为 此行 纪念 ， 同时 当为 侗族 水庄 做 奉献 。 这次 旅游 正赶上 新冠 疫情 爆发 ， 随着 旅游 行程 推进 ， 几天 ， 各 景点 相继 关门 停业 ， 侗情 水庄 ， 其实 就是 原定 行程 马岭 鼓寨 替代品 ， 整个 景区 只有 团队 ， 离开 时 商店 已经 开始 理货 准备 休业 。 侗情 水庄 ， 这次 旅游 行程 最后 一站 。 除了 返程 航班 ， 没有 什么 地方 能 。 真是 一次 终身难忘 旅行 ！,positive
5,桂林 侗情 水庄 景区 最 具有 侗族 少数民族 特色 旅游 景区 ， 最有 代表性 侗族 三宝 既 ： 侗族 大歌 、 风雨 桥 、 鼓楼 让 叹为观止 ， 非常 优美 水庄 ， 古香古色 ， 地方 特色 浓郁 ， 很多 地方 特色小吃 ， 手工艺品 等 很 吸引 游客 ， 这里 其实 就是 购物中心 ， 手工艺品 等 特别 多 ， 不过 价格 比较 贵,positive
4,停车场 离 景区 挺远 ， 要 走 一大 段路 。 还要 喝 米酒 过桥 ， 搞 一整套 欢迎仪式 。 然后 就是 侗族 阿嫂 把 带到 家里 ， 介绍 银子 各种 好处 ， 被 忽悠 着 买 三 把 银 梳子 。,positive
5,侗情 水庄 侗族 同胞 居集 ， 中国政府 投资 给 侗族 同胞 修建 ， 说明 政府 对 少数民族 重视 ， 侗族 同胞 勤劳 善良 ， 能歌善舞 。 走进 侗情 水庄 ， 侗族 同胞 用 嘹亮 歌声 、 独特 乐器 演奏 欢迎 。 侗族 乐器 很 独特 ， 虽然 叫 不出 名字 ， 但是 声音 很 好听 。,positive
5,个人感觉 还 不错 ， 景色 优美 ， 水 特别 清澈 ， 真的 清澈见底,positive
3,总体而言 还是 不错 ， 挺 民族特色 ， 尤其 织布 银 制品 加工 ， 令人称奇 。 就是 商业 气息 太 浓 ， 导游 一直 推销 银器 ， 绕来 绕 商业街 。 。 。,positive
