date,ip 属地,评分,comments
2023-05-04,广西,4,布景极具民族特色，仿若身临其境，置身于侗族真实生活中，构思巧妙，以时间为线，展现坐妹这一风俗，让观众深刻体会侗族民族风情，光影效果运用极佳，但个人对于中间有段蓝光打在演员身上这部分不是很喜欢，音响效果挺好，但是如果我没听错的话应该是假唱，当然也有一小段是真唱的，唱的基本都是当地语言，也有普通话，都有字幕，不会存在看不懂的状况，但是，不知道是不是这些歌曲是少数民族传统歌曲的原因，翻译成汉语个人感觉相对直白 演员应该是当地民众，挺热情的，但感觉应该是人手不够，演员频繁上场，有时候会出戏 服装都为传统服饰，很精致，有一段服装展示 观众互动性较强，会有小礼物，最后结尾邀请观众上台，挺有氛围的，体验感极佳 票价个人感觉还是相对来说比较贵，网上预订了，还要当天去现场领纸质票才行，还有一点特别反感，刚入场有两个女演员光速拦着拍照，表演结束后出来，卖二十块一张照片，嗯……
2016-02-14,未知,4,在一个圆形舞台剧场上的侗族歌舞表演，比较有侗族风格，描写侗族男女情歌对唱婚恋过程，舞台效果很好。要是门票价格控制在100一下更好。
2016-08-22,未知,5,场面非常震撼！灯光璀璨！主题突出！服饰鲜艳！音响效果很好！歌声美好！故事连贯性明确，背景配置丰富！引人入胜的情节，看完了才知道（坐妹）是什么意思。
2024-08-28,广西,5,演出大气磅礴，效果显著！好看！鸟巢环境配套齐全，夜市文化丰富，晚上特别热闹！内部演出场地非常宽敞，灯光效果把握得特别精准！
2017-04-04,未知,4,侗族特有的喜欢，夜间打油茶，围坐一起，谈情说爱，看了表演，还是不错的，三月三人多，演出名气不大，但是景色很实在！发个图片！
2021-05-02,未知,5,侗族风情的浓缩，非常典型的侗族民风民俗，可以看到侗族阿妹的善良，专情，勤劳，多才多艺，侗族阿哥的勤劳，风趣勇敢，从对哥找对象，到找到意中人，结成连理，出嫁，归寨，动人，温情，热闹，积极向上，一览无遗，坐妹从阿妹唱的：有凳坐凳，有岩坐岩，无凳无岩，就坐阿妹霸腿来。可以知道这个坐妹就找寻中人的一种原生态的形式。找到喜欢的人就坐在她腿上，相依相靠一辈子。在剧中，结婚的喜庆，服装隆重，接亲回来又可以看到各式各样的侗族服饰，美不胜收。最后还邀现场观众上台跳舞接龙，和每一位上台的观众一一击掌也是一种告别和期待下次的重逢。有趣好玩，总体超赞，景色不错，性价比高，
2021-05-04,未知,5,这个鸟巢的坐妹演出挺不错，美仑美奂，情节完整，趣味十足，看完了之后小孩能完全说出来侗族的民俗风情，父母也仿佛重回了年轻的时候，值得一看
2019-12-27,未知,5,坐妹演出在多耶广场对面的侗乡鸟巢，高铁站坐3路公交车在广场站下车就到了。售票处凭取票码取票入场。携程订票方便实惠，安排的座位位置很好，演出很精彩，通过歌舞展现了侗族行歌坐夜的风俗和生活，演员很卖力，场面很震撼，最后还有小礼物赠送和互动环节，总之感觉很好，不虚此行！
2018-08-03,未知,5,第一次来三江的真的可以去看看，我是托朋友直接帮订的坐妹票，第一排看的真的很清楚，但是会喷雾气，建议坐第一排的最好带多件外套，会冷，表演很大气也很有民族特色，灯光效果很不错，期间和观众会有互动，总之是次不错的体验！
2018-02-24,未知,5,很曲折的一次取票经历。收到的取票电话一上午联系不上，因此和家人在高速口吵了一架，绕开县城三江北下高速直接去了程阳桥定好的客栈。反应给携程客服也联系不上送票人，直到说要退票才有人联系，直接告知当日票不能退，这时家人已经执意不去看演出，一共两个订单六张票，花了很长时间说服他们终于出行，送票人把票留在演出厅旁的服装店。好在表演不错。。。最终挽回了心情。
