date,ip 属地,评分,comments
2018-02-28,未知,5,首先要说的是，这是一场非常值得观看的演出，非常经常。内容主要是杂技和舞蹈，演员们表演卖力，技术高超，整体的舞台灯光音响效果也很好，我的座位在第一排，总体上来说有点近，但是舞台上的演出细节都看的比较清楚！赞！另外要向大家补充一下，在携程买好票后，一定要再打电话给剧场确认订好座位，不然的话有可能因为没有预留座位而无法观看！
2018-02-18,未知,4,山水壮风情的灯光杂技秀，点评返现后价格40元一人，音乐舞美5星，舞台4星，整齐度3星。总体好评4星。演出时一直很好奇舞蹈演员的工作，一个舞蹈要排练多久，一天3场天天演，工作会不会有倦怠感，如果选择了这条路，就要像机器一样规定好什么时候做什么动作做到什么程度吗？舞台后他们的生活是什么样，啊，感觉我想巨婴版的十万个为什么。有没有人解答一下
2018-04-11,未知,5,非常不能的表演，演员水平很高，灯光效果也不错，只是民族特色节目少了一点，杂技很惊险，但到了广西想多看一下民族特色和风情的节目，要是能增加一点就更完美了！
2016-11-24,未知,5,"梦幻漓江，门市价150,跟携程的团队游赠送的项目，我感觉就是杂技灯光秀，一个融合了音乐、舞蹈、激光的一个秀，但是老妈比较喜欢。"
2018-06-26,未知,5,Day 1. 下午参观完芦笛岩之后，大家自行解决晚餐，晚上就去漓江剧院看了山水间表演。我和铮哥以为会很无聊，没想到当晚的表演非常精彩，我们全程坐得笔直，伸长脖子观看。铮哥更可爱，右手捂嘴惊讶状看完～哈哈哈主要是杂技表演，表演人员都很年轻。看完表演就回酒店休息了，住的好像是帝禾国际大酒店（非常满意～）
2016-11-25,未知,5,不愧是大片的导演制作的动幻场景，利用天然的自然风光和当地的人们，演出了一部美轮美奂的视觉效果，不仅让看的人大叹口福，给当地的人们也增加了自己收入，何乐而不为！
2018-04-02,未知,5,性价比挺高，基本都是旅行团包团的去看，开场都是卖画，然后表演很不错，光影效果非常酷炫。演员非常辛苦！表演出彩。
2018-02-18,未知,5,杂技表演惊险刺激，舞蹈表演优美多姿，儿童超级喜欢，值得一看！
2017-04-25,未知,5,演员很敬业，我们买的VIP，但其实买普通票就可以看得很好了哦！
2019-02-03,未知,5,带孩子去看的，总体水平不错。灯光和舞台风格都很有烟雨迷蒙的漓江感觉。孩子喜欢
2018-12-02,未知,5,不得不说，在桂林梦幻漓江场馆边上生活了六年，没有去观赏过，都是听说一般般，是给旅游的人看的，院子里每天至少几十辆大巴往来，节目不敢评价，如果要问周边的吃喝住地方我还能回答些
2017-08-13,未知,5,剧院很旧了，排队等候的时候，有点像小时候到会堂看演出的感觉～但节目一开始就被经惊艳到了，整部剧采用芭蕾和杂技完美结合的表演形式，场面宏大，气势磅礴，现代化舞美、灯光、音响立体而玄妙。好看！！
2019-10-03,未知,5,1-17，2-18，这是中间观众席位。 每天三场3-5-7.30，每场表演 表演前20分钟左右准时开始卖“屈山云老师”亲笔字画，300元一幅，第一幅卖8幅，第二幅卖5幅。 杂技歌舞表演，一百几十元的很值得饭后来看看，很赞的。
2017-10-07,未知,5,该节目超值！一定打分评价的话，可以打5分满分！当然，可能每个游客心中的观感不同，甚至会有人吐槽剧院外观老旧、剧场偏小、节目开始前“名人书法拍卖的俗气”！但就我个人而言，这些都无伤大雅！就整体节目表演的质量、水准来看，必须来个大赞！从“舞台灯光、剧场音响、服装舞美、音乐声效、剧场氛围、多层次舞台背景、激光背景”到各演员多类型的精彩节目表演，数十多个节目可以说是“一气呵成”！每个节目都非常好看，演员精神饱满！特别值得称赞的是，表演所有节目的演员年龄都不大，差不多都是一些12岁至17岁的青少年，但这些小演员都非常敬业，均是卖力演出！表演非常出色、紧凑、到位！可以说每个节目都让人眼前一亮，称得上“为之惊艳”！好多节目都让人过目难忘，如杂技“橙技、织锦空中二人飞天舞”、歌舞“铜鼓舞”、歌舞与杂技结合的“菱形框舞”等等，让人“目不睱接、眼花瞭乱、美不胜收”！整个表演，“传统与现代结合、民族与生活结合、杂技与巴蕾结合”，整场晚会给人“恢宏大气、气势磅礴、优雅舒展”！可以说是在桂林看过的“《印象刘三姐》、《象山传奇》等表演类中最为出色的剧场演出！”虽没有《印象西湖》、《宋城千古情》激情，但丝毫不逊色任何大电视台的节日综艺晚会！是在桂林游山玩水后最佳的休闲亨受！更令人感动的是，节目结束，所有演员在出口列队鼓掌欢送游客！更热情的由众游客与之合影留念！观众游客在纷纷称赞节目精彩同时更不舍与众小演员们握手、拥抱、道别！大家纷纷竖起大拇指向送别的小演员“点赞”！演出过程中，大家更是为精彩的表演鼓掌欢呼！这是一场“难忘、精美”的演出！较为难过的是，节目才开演不久，发现手机没电了，没有拍到可心的照片，着实遗憾！但说实话此节目实在值得推荐给大家去看和感受！再说，携程订票非实惠！总之，看到这样的节目，感觉很“值”！
2017-04-28,未知,5,团队游客看的比较多，几乎是满座的。感觉和山水漓江没什么关系，就是舞蹈和杂技，也没有实景的背景，但是杂技还是挺高水平的，观众都一致叫好。
2019-08-16,未知,4,演出主要是舞蹈与杂技的结合，虽然没有印象刘三姐那么山水一体气势磅礴，但是杂技演出难度甚高，演员十分敬业，令人眼花撩乱。总体上值得观看
2016-04-09,未知,4,价格合适值得一看～尤其是最后的摩托车还是很不错的
2018-04-05,未知,4,还不错啦，演员很努力，女儿还买了幅字，就300
2017-08-28,未知,4,灯光不错，场面还是小了一些，舞台可以再豪华一些
2017-12-17,未知,5,在桂林那一周一直下雨，去哪儿都看不到景色，真的是心塞的 实在没办法，想着能去室内看个表演消磨消磨时间 看到携程这里的票价也便宜得很，就马上定了 带着男朋友还有奶奶一起去看的 换票很方便，位置也特别好 表演也很有意思，很美，灯光效果，音效等等都很棒 奶奶特别喜欢 总之，很满意 推荐大家去!
2017-04-14,未知,5,节目丰富，演员表演的很有感情，推荐
