date,ip 属地,评分,comments
2017-08-09,未知,5,龙脊梯田金坑景色很美，一号观景台适合拍晨曦和落日，个人觉得2号观景台拍出的照片更美一些，总之一路走来，一步一景，也许你会觉得爬山很累，但美景能冲淡你的疲惫，放松心情，敞开心灵，你会发现你所看的景色比我拍的还要美丽。
2016-03-25,未知,5,平安壮寨位于桂林市区西南方向，距离市区约90多公里，这里最高海拔880米，最低海拔380米，主要生活居民是北壮民，在这里共有大小各异的梯田15862块，最大的只有0.62亩，最小的只能插3株禾苗，有青蛙一跳3块田和一床蓑衣盖过田的说法，开田时留下来有7个小土包像7颗星星，放水的季节伴随着山顶的水田，远看就像7颗星星伴随着一轮明月，组成一幅美丽的画卷，不同的天气，不同的季节，都有不同的景色，让人流连忘返！
2017-01-13,未知,5,龙脊梯田的平安梯田，登上山顶就能看到七星伴月美景。因为没有跟团，所以没有导游解说，也没搞懂哪里是七星，哪儿是伴月，纯属看了个热闹，不过平安梯田里的景色真的很漂亮，看着层层叠叠的梯田，很是心旷神怡。
2020-07-22,未知,5,七星伴月是龙脊梯田平安壮寨梯田光景区的一处观景台，也是其精华景观之一，看龙脊梯田必到之处，很多游人集中在这里拍照，很有代表性；不少女士穿上当地少数民族的服装拍照，特别融合，衬托得梯田更有色彩。几座小山包像闪烁的星星，陪伴着山顶那块银光闪亮的水田，远远望去像七星陪伴着一轮明月，组成了一幅美丽的画卷，让人不禁感慨劳动人民的伟大，于无形中创下了这样的奇美之景。
2017-12-21,未知,5,沁园春.龙脊梯田（其二）并序 初登，望满目壮阔，兴至而为前篇。及去，过田间翁媪，俱言诸子女皆弃农桑，奔大邑，谋生于闹市之间；今青壮乃余十之一二，村寨所余，叟妪孩童尔。大慨，因作此篇： 壮美梯田，游人知否，往事从头：始开山辟地，荆棘险恶；刀耕火种，竟日无休。登梯运水，拾阶耘耨，遍野艰辛汗马牛。致劳苦，祐族群衍育，千百春秋。 而今儿女壮游，但余此、童稚伴白头。思少女芳心，非甘燕雀；男儿大志，更在高楼。陇上生芜，檐间裂瓦，应怜父老苦淹留。念骨肉，耐青山遮断，漓水悠悠。 希望大山的孩子们不要忘记故土的壮丽纯朴，能够继续耕耘这片祖先留下的奇迹与希望，不要让梯田寂灭在物欲横流的今天
2016-09-08,未知,5,龙脊平安壮寨“七星伴月”景点流传着一个凄美的爱情故事，相传几百年前有一个叫阿星的壮族小伙爱上了一个叫阿月的瑶妹。当时村寨里有非常传统的民族婚姻观念，壮族和瑶族的青年男女是不能通婚，如果结婚了那就是范了寨规，要被族人惩罚的。为了避开双方族人的目光，他们几经周折来到这一年四季被云雾缭绕的高山过隐居的生活，她们开山种田，沿着山底用竹筒做水平尺开出了一层层围绕着山顶的梯田，阿星和阿月相依为伴生儿育女，不久他们便有了三男三女，一家人过上像蜜糖一样甜的生活。
2017-05-21,未知,5,七星伴月是龙脊梯田最有鬼斧天工之魅力的景点，七个梯田最高点远远看去宛如七个星座，七个仙台似的，徒步到最高点是最佳观赏平台！需要耗时两三个小时！
2018-05-01,未知,5,海拔920米高，爬了近一个半小时，用手机计算了一下相当于56层高楼，不禁为自己的努力点赞。等上顶峰，美景尽收眼底，漂亮的七星伴月漂亮极了，层层梯田宛如一幅立体的画看了心旷神怡，因为不是节假日所以人很少，所以可以随心所欲拍照，顶峰有个休息的食品店，有水、饮料、方便面、冷饮，价格比山下稍微贵点，买了个可爱多蛋筒十元，店主人还可为你量身定制拍照，20元一张带塑封，可以多拍选择喜欢的付费。登梯田虽然有点累但美景值得一看，
2016-11-28,未知,5,龍脊梯田一共有三个梯田，我们选择的是中间的平安梯田。这条线需要体力，要自己爬上去 看的景是七星伴月 。大车到了半山腰上不去，要换景区的车，这个季节已经没庄稼了 但依旧很壮观！壮哉！我的祖国！
2017-04-04,未知,4,这里是平安壮寨的最高点，看龙脊梯田必到之处，很多游人集中在这里拍照，很有代表性；看见不少女士穿上当地少数民族的服装拍照，特别融合，衬托得梯田更有色彩。其实龙脊的寨子都是一个连着一个的，有时间慢慢走走，享受这里的淳朴宁静，很不错。
2016-08-05,未知,5,七星伴月是2号景点，很值得去，在二号景色看日落日出也不错。最好在二号景点附近住一晚，等二天大早看完日出，再下山吃早餐，早上空气特别好
2019-04-30,未知,5,在龙胜县龙脊镇有很漂亮的梯田，在龙胜县因为八山一水一分田，所以平原地区的良田很少，当地壮族和瑶族少数民族创造了梯田。在开发梯田时，留下了山顶上的小山包，这七处小山包在灌水梯田的映衬下，仿佛七星伴月一样。
2018-01-01,未知,4,爬到观景台其实挺累的，不过层层叠叠的梯田是真的很美，去的时候是九十月份，一片绿油油的很值得一看，听说春季的梯田刚刚放水会更好看。 山上的精品客栈餐馆青旅很多，不愁没得住，饮食消费水平稍微贵点。 但是，带着行李箱的上去就很困难了，石板路坑坑洼洼，自己很难拎上去，不过可以雇佣当地人背篓背上去。
2017-12-14,未知,5,沁园春.龙脊梯田 形胜江南，桂林居次，哪个争先？观天营地造，尤钟龙胜；神工鬼斧，且看梯田。山彰水隐，稻黄竹绿，户户田歌唱丰年。谓陶令，思存身世外，何必桃源？ 相望山上人间，念去去、纷纭往事烟。惜少年矫矫，未知苦短；今朝碌碌，又忘余闲。愿守长林，堪耕禾陇，摘云抚雨自在天。笑谈罢，照潭中秋鬓，更误流年。
2017-03-18,未知,4,金坑大寨2号观景台，我们入住的七星楼就在七星伴月的地方。到达时是老板开车下山去接的，没有费体力就上山了。在客栈的阳台上就可以看见这一颗颗“小星星”。全凭想象吧！
2020-09-07,未知,5,前些天去了趟龙脊梯田平安寨子，正巧住在七星伴月景点最近的：龙胜境悦度假酒店。老板的儿子才十一岁就特别的懂事能办事，房间阳台就望见七星伴月那块地方的梯田。
2016-10-09,未知,5,天气不是太好，也感觉到了美景，就是在雨雾中时隐时现，让我不知道如何面对，最大的收获就是穿了壮族服装，扮演了一把阿牛哥，兴奋
2020-12-25,未知,5,七星伴月是龙脊梯田的一个景点，是因七个小梯田圆顶，伴着一个大圆顶而得名。观赏美景之余听听关于七星伴月形成的爱情传说，会加深印像。在灌水的季节，月亮田中如灌满水，就会像十五的月亮落在了人间。众星伴月的形容很形象，而事实上也是很不错，关键还要看老天爷的脸色。
2017-09-23,未知,5,提前住一个晚上，是看日出的最佳位置，天气好的话，早点起床，还可以看到天上的北斗七星。当你看完日出后，整个人精神换发，可以慢慢下山，看看梯田的美景，很优闲。
2016-07-23,未知,5,梯田绿油油的，非常养眼，七星追月非常形象，而且很漂亮！好有特色！景点附近有多家客栈，坐在客栈享受慢生活，真幸福！不想走了！
2017-08-26,未知,4,入门景点太贵了，进了景点了以后路很窄，也很烂，更是觉得收贵了。酒店在半山腰，停车点离酒店有20分钟的步行爬山里程。早上吃过早餐后爬山到七星伴月景点，妈妈80多岁了还坚持步行上去，真的是太厉害了！七星伴月的故事很凄美，希望以后大家都要支持自由恋爱结婚，少一些悲剧。
2019-05-02,未知,5,在广西北部桂林市的龙胜县龙脊镇，有多处梯田，在修建中在山顶留有平台，这里有七个小山包，从高处看就象北斗七星一样，故称七星伴月。
2019-03-01,未知,5,在广西壮族自治区的桂林市北部的龙胜县的龙脊乡，有当地壮瑶少数民族创造的梯田，广西省山多田少，有八山一水一分田之说，这种梯田在高坡度地上保持了水土。
2016-08-05,未知,4,也叫七星追月，是金坑大寨梯田的有名景点之一，在2号观景点附近是最佳的观景处。而在云景山庄门口是最近的观景处，距离大寨门口约45分钟路程。
2019-06-12,未知,5,龙脊梯田中的七星半月观景台景色很壮观，推荐一个饮品店非常不错，她家果汁才10块钱，真是太便宜了！自己带一些吃的在她家二楼坐一个小时，吃吃饭看着景真是一种享受！下面的图片就是在她家二楼拍的，环境非常干净！关键居然才10块钱，真是良心！一定帮助宣传一下！
2019-04-27,未知,5,越往下田埂缠绕的范围就越广，形成气势恢宏、富有韵律的优美曲线，仿佛大自然的五线谱，正在谱写一曲农业丰收的交响曲。晚上入住建于梯田中的壮家2 层木楼旅馆，位于2楼的房间十分简陋，只有一张木板床、一张小木桌和一盏小灯泡。厕所兼洗澡间在楼下，或说就在我房间的一层木板下，里面的动静房间能听得很清楚。
2016-11-01,未知,5,最美的看点就是“七星伴月”。七星伴月是龙脊梯田的代表作，七星是指当初开田时留下来的七个小山包像七颗闪烁的星星，陪伴着山顶那块银光闪亮的水田，远远望去就像七颗星星陪伴着一轮明月，故名。好多介绍龙脊梯田的画册都是将其作为封面的。
2016-01-27,未知,5,龙脊梯田分为金坑（大寨）瑶族梯田观景区，平安壮族梯田观景区。通常意义上的龙脊梯田是指龙脊平安壮族梯田，也是开发较早的梯田。梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路，一直升到约海拔600米以上，到梯田时海拔达到880米。
2016-01-05,未知,4,田间劳作的村民，层层叠叠高低错落的梯田，让人不禁感叹大自然鬼斧神工。被眼前的美景震惊的说不出话，上图给你们感受一下。虽然爬了一天的山累得气都喘不过来，爬到最后都快手脚并用了。但是山顶的美景是没爬上来到人无法感受到的，有时候走得远，是为了更好地遇见。
2020-02-05,未知,5,七星半月是龙脊梯田，一个最具有代表性的景观，其实就是7座山头上的梯田，就像7颗星星排列在那里一样，因此被称之为七星伴月，每次到了山头导游就会这样介绍给大家。
2016-07-10,未知,3,这个季节去还有点早，听说秋季去是最赞的。不过也有收获，看到了白龙马运砖头，在这里建房子，都是靠马来搬运材料，车子没法上去，所以房子造价很高，住宿费也很贵的
2017-10-11,未知,5,现在平安寨开放多一条去水库的公路，可以直接开到山顶观景台，可以俯瞰七星伴月景点又不用爬太多的山。很奇怪其他梯田已经很黄乐，甚至倒伏乐，七星伴月还有点青。
2018-06-05,未知,5,到七星伴月要有点体力才行，毕竟要看好景是要登高嘛，山上的雾比较大，时而清晰可见，时而云雾潦绕，拍照要乘好时机
2018-04-12,未知,5,梯田放眼看去都是绿油油的一片，听说七星伴月是有个故事的，虽然我数来数去都不止七星，不过景色还是挺不错的.本想着可以看到日落，可惜太阳完全被山挡住了.
2019-06-20,未知,4,道路非常差，从龙胜收费站下道之后，开车需要1-2小时，才能到达平安壮寨，道路坎坷，颠肠子都卷到一起了，道路太破了，要想富，先修路，何时这地方路修好了，去的人会增加多少，不可想象，如果近期打算去龙脊梯田的，要做好2天的准备，路太难走，一天只能玩一个景点，龙脊梯田分四段梯田，我们只玩了一段去平安壮寨的七星伴月，景区内的指示牌很乱，运气不好可能会走很多冤枉路，但是景色还是非常美的
2017-10-15,未知,4,“七星伴月”是平安壮寨梯田的一大景观，因七个小梯田圆顶伴着一个大圆顶而得名，观赏美景之余听听关于七星伴月形成的爱情传说，会对这里多一份不同的印象，景色超美。
2017-11-06,未知,5,这里是平安壮寨的龙脊梯田，在这个村子里有一个规模很大的梯田群，七星伴月是它的最大景观，因七个小圆顶梯田伴着一个大圆顶梯田而得名。
2019-07-04,未知,5,七星伴月在平安寨，爬山很累，老人建议不要去七星伴月，老人应该去九龙五虎，可以坐车直接到观景台，不过我感觉景色七星伴月更美！
2019-12-24,未知,4,龙脊梯田，在广西龙胜各族自治县龙脊镇平安村龙脊山，距县城22公里。 龙脊梯田分为金坑（大寨）瑶族梯田观景区，平安壮族梯田观景区。通常意义上的龙脊梯田是指龙脊平安壮族梯田，梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路，一直升到约海拔600米以上，到梯田时海拔达到880米。
2018-10-03,未知,4,七星伴月是龙脊梯田金坑大寨景区的一个景观，位于观景台上清晰可见，远方隆起的梯田，仿佛一颗颗群星，环绕月亮而伴，故而得名。金坑大寨梯田非常壮观恢弘，令人流连，我是在拍照时听见旁边的游人说起才知道这个景观的典故的。
