date,ip 属地,评分,comments
2019-03-27,未知,5,去过的桂林那么多景区，感觉，这个景区是最上档次的一个景区，里边的服务人员态度非常得好，商店也很上档次。有很多当地特色的东西，文化的东西非常值得去看一看逛一逛，另外景色非常的漂亮，晚上的也有值得推荐，山水美景秒杀现在所有的演出。
2019-05-29,未知,5,当地朋友推荐兴坪古镇刚刚建成新的旅游景点，美食人文，还有晚上节目表演，最最意外的是园区里面，还有一家新媒体艺术感官餐厅，看了介绍还是米其林三星厨师团队，临时决定为女朋友增加惊喜，预定了晚宴，这一次体验简直超值，原价980元一位法式大餐，由于试营业期间享受了特殊折扣，这件餐厅的鹅肝简直太棒了，入口即化，不油腻，另外女朋友也非常喜欢，对于刚刚在一起，第一次制造浪漫，我非常满意！ 【美食】 【景色】 【性价比】
2019-12-15,未知,5,十分值得去，人文度假区环境清幽，离广州很近，只需要两个半小时的车程，下车可联络免费班车送到酒店。是周末度假好地方。里面桂林米粉，音乐餐吧应有尽有。很方便。到兴坪古镇走路只需要15分钟。就可以享受漓江美景啦。酒店设施很新，服务十分到位！
2021-02-07,未知,5,三千漓中国山水人文度假村占地面积较大，据说有两千多亩，融合山水文化，鱼耕文化，旅游文化为特色，打造休闲度假的风格，建筑设计理念也凸显山水人文，是休闲度假的地方。
2019-05-29,未知,5,阳朔兴坪三千漓人文度假区，你看到过阳光下的青山绿水，却未必感受过月色下的漓水山境。夜幕降临，璀璨华灯映照下的三千漓更显五彩缤纷，梦幻绝伦，每晚三生三世三千漓梦幻夜游实景演出，特别推荐永和豆浆除了油条和豆浆，这里也提供各种小吃和快炒，味道超赞。据说已经成为景区员工的第二食堂高性价比的不二选择。
2021-02-28,未知,5,三千漓中国山水人文度假区位于阳朔县兴坪古镇境内，离阳朔高铁站只有6公里，即是酒店也是景区，占地面积超过2000亩，景区沿大源河——漓江支流建设，集山水风光为一体的综合性旅游度假区。
2019-06-03,未知,5,三千漓这个名字真是太好听了，三千弱水只取一瓢饮。生活总是有很多种的可能性，遇到不顺也好，欢喜也罢，最重要的是可以出来走走，度假会发现不一样的世界，更会看到不一样的自己。三千漓给度假客人提供了去兴坪古镇的穿梭巴士，去了一趟古镇的老寨山，从山上看三千漓发现不一样的美。广州过来太方便了，下次跟男朋友再来。
2019-05-29,未知,5,清晨起床呼吸着田园山水中新鲜空气，点上一杯永和豆浆与油条，悠闲享受着早餐时光。这里没有城市喧哗的快节奏气息，只有悠闲慵懒的舒适生活。牵着爱人的手，漫步在河边享受着三千漓带来的绝美山水，看着精彩浪漫的爱情故事演绎和地道的桂剧文化，晚上住着河边船宿，这次的度假地没有选错。
2019-05-29,未知,5,昨天晚上看了梦幻实景演艺（三生三世三千漓），感受了一把小渔娘和渔夫的动人爱情故事。在这美丽的漓江大拐弯处，能有一个放慢脚步，能让人静下心来过几天慢生活的好去处真是太好了，听说景区还会在六月份开通去古镇的巴士车，那真是太方便了。值得再来。
2021-02-25,未知,5,度假区位于兴坪古镇凤凰路1号，白天游玩不同的地方，晚上可以观看三生三世三千漓的实景演出，冬天他们也演出，实在佩服，江边寒冷，小鱼娘与渔夫的爱情故事在上演。
