date,ip 属地,评分,comments
2016-08-05,未知,5,15年国庆节去的，喜欢可以静静地游逛的感觉。古老的桥，虽然农家的住宿很简陋，但喜欢这种游客不是太多，可以在清早和夜晚可以到处乱逛的感觉。喜欢油茶和农家菜，还有那些盯着我们看的小朋友。还有当地人提供的农家菜。
2016-12-20,未知,4,看了绝地逃亡，想来看看淳朴的民风~建筑很古老，走在风雨桥上，感觉年代久远，程阳里面有一座桥，从不同方向看字还不一样呢。这可是只有本地人才知道的，而且侗族的姑娘们很热情，百家宴菜色一般，但图的就是个氛围，坐妹表演，看到的侗家青年的婚嫁~最后我都有感而发！三江本地好酒店比较少，住的是连锁的维也纳酒店，房间装修比较舒适，价格也比较合理，性价比高~
2016-08-17,未知,5,三江的侗族文化，非常特色的风雨桥和鼓楼都很有艺术的建筑风格独特。侗族有热情好客，好山！好水！好酒！迎宾客！是一个非常值得休闲度假的好地方
2016-11-02,未知,4,程阳八寨的雨桥和鼓楼非常值得去观赏，在宁静的寨里，流水潺潺，风车轮转，好一派田野风光。在侗族人的歌声和侗家姑娘的翩翩起舞下让人流年忘返
2017-10-10,未知,4,三江侗乡景区被五湖四海的人誉为“世界桥楼之乡，侗族风情殿堂”，木质的桥梁、鼓楼和大屋建筑都十分出色，侗族人口也较多，有着原生态的民族文化，每晚在桐乡鸟巢上映的《坐妹》演出更是精彩纷呈，韵味浓郁。 景区主要景点有世界第一风雨桥——三江风雨桥，基尼斯之最木构建筑杰出代表——中国侗城，侗乡第一鼓楼——三江鼓楼，世界规模最大、长度最长、内容最丰富的侗族历史文化碑廊，侗族特色一条街——月亮街，“中国观赏石之乡”三江奇石荟萃之地——三江奇石城，少数民族佛教宝地——福禄寺，三江民族特色休闲庆典之所——多耶广场等价值品味极高的闻名中外的著名旅游景点。
2020-03-16,未知,5,柳州市三江侗族自治县其实还是很有意思的！这里除了三江鼓楼，在鼓楼对面还有一个月也侗寨！最显眼的地方是这里有个鸟巢似的建筑，餐饮娱乐一应俱全，好还是好的这里有一个斗牛场！疫情开始蔓延了！没有斗牛可惜了！
2019-06-20,未知,5,没有来过这里的也可以过来看一看。这里有这里的特色，但是有一点，如果要在寨子里住宿，这里的酒店都是木质的。上下楼会发出声响，大家要互相谅解。有问题要找店主。大家出来玩不要太冲动了。
2017-04-16,未知,4,"三江侗乡有美丽的风雨桥、程阳八寨、鼓楼、鸟巢等景点，还有侗乡百家宴、重阳酒等特色美食和极具侗乡风情的""坐妹‘表演丶芦笙表演等，非常值得去体验一下。"
2016-08-11,未知,4,挺好玩的地方，侗家风情侗乡美食，简单又有趣！
2016-01-24,未知,5,山好水好茶叶更好大家可以去哦独峒乡干冲村千户侗寨。还有各种各样的，侗乡特产！
2018-08-03,未知,5,一方水土养一方人，无论从建筑还是吃喝都有自己的特色，走过风雨桥，吃过米粉。逛过小吃街，看过与众不同的美景，都是另外一种心情，风雨桥免费，许多游客和旅游大巴到此欣赏拍照，
2016-10-10,未知,5,极具民族特色的三江侗乡建筑，在这里能亲身体验一番“百家宴”的豪迈，感受侗乡人民的人情，玩一把跳竹竿、对歌、唱山歌……民族游戏，晚上再感受一下这里的夜景，伴着凉风入眠。
2017-03-30,未知,4,三江侗族自治县在广西北部，与湖南，贵州接壤，三江的美，是朦胧含蓄的美，是安静的美，江山如画，美景如酒，一时多少豪杰竟折腰！
2018-04-28,未知,4,还记得是和爷爷奶奶还有曹大姑和一个小朋友去的，吃住都很便宜，而且大人们其实都是上了60岁的老年人，很多门票都是免费，所以老年团特别划得来。 我们是从桂林出发，坐动车前往三江，住的酒店有药浴，每个澡堂都得泡一泡
2018-01-02,未知,4,三江侗乡位于广西柳州三江县，是一处侗族的主要聚居地之一，保留着很多有当地民族特色的木建筑，是一个集民族风情与观当旅游的好去处。
2017-10-14,未知,3,三江风雨桥的确很美，壮观又有浓浓的少数民族特色，只可惜保护不够，灰尘厚厚约一层，桥边的木板橙都不敢坐。可能只太多车辆从桥上通行吧，当地应加强保护。
2019-05-01,未知,5,三江侗乡位于湖南、贵州、广西三省区毗邻地带，临河沿溪一带，会有许多极富民族特色的民舍木楼，这就是保留完整的侗乡民居，它们带有浓郁的传统民间文化和神秘色彩，令人向往。
2017-03-21,未知,5,侗族也是一个喜欢濒水居住的民族，村寨大都是沿着河溪岸边而建，建筑极具民族特色。侗族占三江县人口的一半以上，整座县城风景如画。
2021-07-29,未知,5,三江侗乡最有名的地方应该就是风雨桥，里边有一个县城的风雨桥，新建的，据说是记录下来全国最大的一个风雨桥，晚上夜景非常漂亮，他这边还可以走车，游人也可以在上面徒步过江，整个是一个非常好的地方，还不要钱 整个三江小天长，还是见得比较特色的，但是如果说想看正宗的老风雨桥，还是要到城阳办，带去河北县市的景区，需要晚上
2019-03-12,未知,5,有空可以去看看，就是八个寨子连在一起，各个寨子都有自己的风俗习惯，各自的文化特色。遇到的人都很好，很热情。整体就是商业化重，到处是新建的木屋楼房，都是酒店。
2017-10-06,未知,3,那里曾经辉煌的地方，八个寨集中居住，但历史过了这么多年己显得破破烂烂的，显得管理和保护有问题，而且门票收费60块显得不合理，如果当地管理问题不解决，我看房子继续烂下去……！
2016-10-03,未知,5,少数民族风情，回归自然的感觉，当地美食小吃多！
2021-05-09,未知,4,三江大侗寨景区位于三江县城，临河沿溪一带，会有许多极 富民族特色的民舍木楼，这就是保留完整的侗乡民居，它们带有浓郁的传统民间文化和神秘色彩，令人向往。景区内主要景点包括木构建筑侗乡鸟巢、被誉为“世界第一鼓楼”的三江鼓楼、长度和规模均为世界之最的三江风雨桥，以及侗族历史文化碑廊、月亮街、三江奇石城、多耶广场等景点。这些具有侗族建筑特色的标志性景点，构成了精美绝伦的三江大侗寨。
2021-04-06,未知,5,三江侗族自治县总面积为2454平方公里，东连龙胜各族自治县、融安县，西接融水县、贵州省从江县，北靠湖南省通道县、贵州省黎平县，南邻融安县、融水县。县城古宜镇距离柳州市203公里，距桂林市167公里[2]。
2019-08-19,未知,4,从龙脊梯田过来，一直走的老路，好多地方在修路，虽说通畅，路况一般。到三江侗乡，看风雨桥，太有民族特色了，鼓楼也是大气，可惜来晚了点，关门了，只能在外围看看。
2018-02-26,未知,5,很不错的县城，安静舒适。有侗乡鸟巢，得过吉尼斯世界纪录。有世界最高的木制鼓楼，进楼参观收费25元。有最长的风雨桥。交通管理很好。
2018-09-29,未知,5,天黑时入住侗乡国宾馆，窗外即是世界第一风雨桥，顾不得舟车劳顿的辛苦，沿着廊桥步道走了一个来回，灯光闪烁，微风习习，夜色好美！
