date,ip 属地,评分,comments
2016-11-26,未知,5,三江风雨桥很美，尤其是亮灯时。 白天看浔江上的三江风雨桥，与晚上比，又是另一番景象 我们上午去时，在桥边看雾锁浔江，很有诗意。 这座桥是进城的通道之一，两边的廊是人行道，中间行车，晚上车速很快。 在距离桥二三十米的马路上有两个安全岛，看样子是专供游客照相的，很人性化。
2018-01-17,未知,5,今天从贵州进入了广西，依然还是侗寨风情，侗族建筑。特地去看了著名的三江风雨桥和三江鼓楼。三江风雨桥横跨浔江之上，它是世界上最大的风雨桥，桥面是钢筋混凝土结构，但桥上的长廊和塔式建筑全部采用传统的侗族特色木构建筑技艺。是由著名侗族木匠师傅、国家级非物质文化遗产侗族木构建筑营造技艺传承人杨似玉及7个木构建筑工程队建造而成。桥的两边是供行人散步及休憩的区域，全木的美人靠，它是一座可以通小车的现代公路桥。桥两头还在路中心设了围栏供游客拍照用，实在是很贴心的设计。碧绿深邃的浔江犹如一块翡翠镜子，把风雨桥和江边的美景一并倒映其中。 桥上可见浔江河畔的三江鼓楼与遥相呼应。连接两处景点的路叫月亮湾大道，相处相距不过一千米左右，步行就可以一同游玩了。三江风雨桥是免费景点，而三江鼓楼入楼需要15元门票，而且不能登顶。不作推荐。
2015-11-05,未知,5,三江风雨桥位于广西柳州三江县浔江河上，风雨桥融现代建筑工艺与传统工艺于一体，桥的上半部分为木质结构的廊桥，下半部分为钢筋水泥结构的拱桥，其规模之宏伟工艺之精巧，可称侗乡之最，也可称世界之最，来此处不能不看。
2016-03-28,未知,5,除了中间车道是水泥路，其他都是木头做的路，走上去好响的声音，不过一路走路沿河看风景感觉挺好的，旁边还有出租少数民族衣服的店铺，可以穿着去桥上拍照片留念。这风雨桥总的来说很值得一去。
2018-08-06,未知,5,中午到达的三江，吃晚饭酒店休息会便去游玩，侗族的建筑风格大多都很有历史，走过三江鼓楼，经过月亮街，到达三江风雨桥。位于广西柳州三江侗族自治县浔江河上，由钢筋混凝土月牙形单桥拱和集侗族特色木构建筑技艺精华于一体，堪称世界第一风雨桥。
2018-08-19,未知,5,这座桥全都是用木头堆积而成，是迄今为止保存得很好的一座木桥。桥顶装饰用的瓦片，非常非常完整无缺。我个人认为此桥的寓意是：风调雨顺，风雨无阻。
2018-02-19,未知,5,这是横跨浔江的风雨桥，在广场西侧大超市对面，下台阶来到江边，可以远望大桥。沿路标继续前行可以近距离欣赏大桥，在桥上俯瞰远眺，远山江水，让我这个北方人心生欢喜。
2018-05-02,未知,4,值得一看的是坐妹，表演票不需要预定，住宿的宾馆都有人帮买，程阳风雨桥，还有那里山寨的百家宴，路上有村民招客，直接跟去，不用门票。布央茶庄都值得一去。
2023-12-15,广东,4,从定位看，三江风雨桥指的应该是市区这座可以人车通行的风雨桥，看评论及景点介绍，很多人又在说程阳八寨那座古老的风雨桥，搞得有些混乱。 从三江鼓楼一路走过来，一边走一边看，大概十多分钟 从岸边看整条跨江风雨桥颇为震撼，以结构来说应该是属于近代建筑。
2018-02-26,未知,5,三江风雨桥，位于广西省柳州市三江县，中国最长的一座风雨桥，可以行车通过，来去两车道，边上还有人行道，建在江面上，景色很美。
2020-06-06,未知,5,三江风雨桥位于广西柳州三江侗族自治县浔江河上，由钢筋混凝土月牙形单桥拱和集侗族特色木构建筑技艺精髓于一体，全桥长368米，宽16米，至高处为18米，有7个桥亭，其长度和规模均名列世界前茅。
2019-01-13,未知,4,在月亮街闲逛，大概步行15分钟左右就可到达三江风雨桥。除了车路，两边是人行通道。侗族的木造结构的外观是它的特色，也是游客必到的景点。
2017-03-31,未知,4,夜景很美，好像是2010年新建的，风雨桥是侗族，苗族等少数民族的杰作！有特色，有文化底蕴！
2018-10-06,未知,5,比较有特色的风雨桥，可以开车慢慢看，也可以步行欣赏，没有门票，周边的风景也不错，可惜时间关系，没有看到晚上的夜景，留点遗憾
2016-08-12,未知,4,县城的风雨桥是世界最大的。三江县为旅游在城区中心沿江建设的的大侗寨景区（免费）拥有三项世界吉尼斯记录：世界最大侗族风雨桥、最大侗族鼓楼（晚上亮灯时漂亮多了）、最大鸟巢式侗寨（侗文化商业建筑，外观更像圆型的客家土楼）。
2020-10-10,未知,3,三江侗族的地标性建筑，不是传统的木石结构了，是在现代工艺的钢筋混凝土跨度桥上加建的木质风雨桥样式，桥面可通机动车。就规模而言，算是蛮宏伟的，值得一去。
2019-05-29,未知,5,晚上景色更好看，白天景色就差一点，不过三江县的侗乡鸟巢表演还是值得一看的，程阳八寨正在开发中，现在过去也是去寨子里逛逛还是可以的，建筑很有特色。
2017-02-02,未知,5,太美了，地标景点，还免费，旁边有土菜馆
2019-04-05,未知,4,三江风雨桥挺长的一条风雨桥，挺漂亮的一座桥，在桥头路中间还专门设了拍照的地方。桥上设置了很多装饰灯，晚上在灯光的照射下，就更好看了。
2019-08-22,未知,4,从龙脊梯田开老路过来，一进县城就看到这个建筑，走进一看是风雨桥，太大气了，为保护桥的意思还限行了货车等大型车不准通行。这一定是县城的地标，民族的典范。
2020-09-02,未知,5,景色优美，再下雨天别有一番滋味在心头，很适合久居北方的人来感受一下南方的唯美，古老的木饰建筑，给人不一样的感觉，能让心情变好。
2017-10-13,未知,5,居然是可以行车的风雨桥，是世界上最长的风雨桥，横跨江两岸，中间是两车道。旁边是人行道。侗族是有创意的民族，风雨桥可以遮风挡雨。
2019-06-11,未知,3,全桥都是木石结构，最神奇的是建桥的时候竟然没有用一颗钉子，全是古老的榫卯结构。奇特精巧的风雨桥，映着青山绿水，组成了一幅幅秀丽的风俗画卷，微风拂过，带来阵阵凉意，是夏季消暑的好去处。
2018-04-15,未知,4,侗族特色桥，很漂亮，也是当地最大的风雨桥
2018-03-13,未知,1,跟团游纯粹是温笨七，自由行才是最好的选择。一般以二天游最好。第一天到达后可租面包车到程阳八寨景区（当地车免景区门票），当晚住侗寨民宿，晚上参加侗族百家饭活动。第二天回三江，参观三江风雨桥，鸟巢，月亮街等景区，下午搭高铁回家。
2018-07-28,未知,5,这是一处非常好的酒店，就在三江最美的风雨桥桥头边，位置相当好，周围吃饭、乘车、购物都很方便。酒店客房的卫生条件也不错，挺干净，床单很白。酒店人员服务态度也好，住在这里让人很舒服。
2016-12-09,未知,5,位于广西柳州三江侗族自治县浔江河上，由钢筋混凝土月牙形单桥拱和集侗族特色木构建筑技艺精华于一体，全桥长368米，宽16米，最高处为18米，有7个桥亭，其长度和规模均为世界之最
2016-02-07,未知,5,不需要门票，景色也很美周边也有挺多小店面吃喝玩乐
2018-02-26,未知,4,很长很大，看过的最大最长风雨桥，白天很壮观，夜景很美。
2019-06-17,未知,4,2018年带孩们去游玩了三江风雨桥，桥两旁是全木搭建，有些大梁柱两个小孩才抱得过来！木头和木头是之间找不到一个钉子很了不起的搭建技术，桥很古朴的感觉！值得一游！
2018-01-18,未知,4,广西三江侗族的特色建筑，到处可见。
2016-02-11,未知,5,号称世界最大最长的壮族风雨桥，虽然是现代建筑，但造型古朴美观，尤其晚上亮灯后拍照更加漂亮，桥上观景也很开阔。
2017-01-23,未知,5,很美，旅游去三江，想不到的意外，感受民族风情
2017-04-23,未知,5,不花钱嘿哈！绝对是性价比高！哈哈
2016-03-17,未知,5,真心的觉得不错，是个值得去的地方哦
2018-04-16,未知,5,三江風雨橋頭有一家昕美有機農業公司，現在以推動全縣有機農業的概念。
2017-08-06,未知,5,这里山水相连，风景如画 ，是原生态的旅游景点
2018-09-30,未知,4,三江风雨桥的桥身是现代钢筋水泥结构，可通汽车，桥上为木质结构，有亭有塔，横跨于浔江之上，有美感。
2016-03-02,未知,5,鸟巢棒棒的，美女多，人民朴素和蔼可亲
2021-08-18,未知,5,这里的景色十分美丽，风景十分优美。
2017-04-18,未知,5,美丽大三江风雨桥，你值得到此一游
2016-03-03,未知,5,长长的桥好玩，这个地方值得去。
2016-03-12,未知,4,三江楼桥的新代表作品，是侗族工匠智慧的结晶的集大成者，值得一看！
