date,ip 属地,评分,comments
2021-10-05,未知,5,国庆假期跟着朋友几家人一起来的。早上九点到达景区，居然我们下午六点才离开，从未有过这种情况。 国庆门票90元套票包一家三口。里面除了沙滩车以外，几乎都可以玩。从门口的拍汉服照，到各种亲子手工，扎染，竹蜻蜓，鲁班锁，打铁。再到米汤，豆浆，酒，还有各种游乐设施。小朋友还可以到河边玩水捞鱼🐟。 特别介绍:沙滩车，我们双人108元一辆车。全程有领队带着，非常安全。高级线路，我也可以跟上。什么斜坡，泥塘，水池都冲过。[呲牙]非常刺激，每个人都想玩第二次。 所以特别推荐大家来这里玩。人少，景美，胜价比超高。
2023-07-01,广西,5,单独安排了一天带娃到访的古村：1.一步一景，能感受到开发单位的用心设计；2.村内约10种可亲子互动的文化传承活动，预期内的收费标准；3.略有商业感，但不会令人感到过分的兜售，自由选择；4.整个村在江水两边，成全城市孩子亲水的愿望。 从体力到财力均简奢由君！推荐！
2020-11-14,未知,5,东漓古村是对桂林地区，特别是湘桂古商道和漓江沿岸的古村，进行详细的调查并仔细研究重点村落的人文历史、建筑形式以及生活状态后，进而仿旧复建的一个桂北古村。一条潮田河贯穿整个村落，沿河分布着近200多栋各类古建筑。其中秦家大院的元亨利金、朝照乾坤、吉门余庆、本固枝荣、永振家声以及水龙会、李氏宗祠等，庞大的建筑群全部鲜活的再现了桂北历史建筑文化。
2020-07-23,未知,5,灵川县东漓古村，是一个了解桂林以及桂北民居的一个好地方。交通便利，景色不错，休闲周末游玩都还不错，值得推荐给大家。还有很多工艺作坊等
2020-12-09,未知,4,既是一个活态的漓江传统文化艺术村， 又是一个浸没式的人文体验＋野奢的田园生活综合体。目前景区外省游客免费，还没完全建好，建议一年后再来。
2021-04-05,未知,5,文化的教义，似乎对于这块土地特别偏爱，这里不仅有建筑特色的古镇，更有经历时间积淀的古村。东漓古村之所以能够榜上名，就在这种多元文化忠实再现。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-04-06,未知,5,作为一种古朴的建筑，东漓古村在灵川处于一种特殊的状态，因为它的建筑经历风雨的洗礼，又能够完整的保留下来，作为人们观赏景色的平台，很美。
2021-01-30,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
