date,ip 属地,评分,comments
2018-05-10,未知,5,山下有个瑶族风情园石头寨，有簸箕宴、瑶族舞曲、竹杆舞、高山流水⋯蛮不错的。很有味道。
2017-06-26,未知,5,第二次来这里了，充满回忆。东郎山，风景秀丽，地处美丽的阳朔县以北，少数的地广人稀的风景区，周末来人也不是很多，有一种世外桃源的感觉。
2020-03-17,未知,5,从兴坪漓江回来的路上，看到这座山。很像一个人。后天有人介绍这个叫东郎山，另外还有一座西郎山。他们应该是远远的对视，虽然看不清楚容貌，但那种凄凄切切的感觉还是很神似。
2021-06-07,未知,5,东郎山也叫人仔山。位置就在省道旁边，去旅游景点兴坪古镇的路上，远处看起来确实很像一个人站在山顶上，好像是在等远方即将归来的丈夫。
2017-07-17,未知,4,这是在去阳朔兴坪镇路上，一个叫福利镇的地方。在大马路上就可以看到，那座小山上的石头特像一个站着的人，当地人也叫它人仔山，周边的环境也不错，这个叫福利的古镇也值得一游，它有一种大扇子非常有名。
2015-11-10,未知,5,在福利镇一公里处、山形奇特、形似人直立于此、故名东郎山、与西郎山齐名、是天公造美于人间、真是自然的鬼斧神功之作。
2016-08-23,未知,5,还可以吧，风景挺美丽的，挺壮观
2021-03-01,未知,5,山上突立一巨石，如人形，与隔江的西郎山相应，故名东郎，又名东人山，俗称人仔山。
2018-05-07,未知,5,开车路过，蓦然回望，真的好像一个低头思念恋人的情郎。
2016-06-12,未知,5,很喜欢的地方！放假了可以带家人来玩玩
2019-07-23,未知,5,好看，去了不后悔，很赞，服务很好！
2018-05-22,未知,5,很好，就是船上讲解员特别态度不好，
2017-11-15,未知,5,知道这个景点的人不多，确实很像！
2017-10-15,未知,5,看了点评的介绍，好想去试一下！
2017-05-20,未知,5,东郎山景色特别不错，环境也好。
2017-01-30,未知,4,阳朔太热了，塞车塞到心塞呀呀呀!
2017-08-31,未知,3,这样地方没什么特色鲜明的地方，不是很正常啊。
