date,ip 属地,评分,comments
2023-01-16,海南,5,不错，喜欢这里，暑假虽然很热，这里很阴凉，在这里散步，游玩，都挺好，带娃，溜娃，不错哦，有时间还会再来，里面很美，很湿润
2024-04-14,广西,4,大型森林公园，在晴天去比较好，可以乘凉，阴天湿度大，不舒服。本来是想看看杜鹃花的，据说是因为下雨已经没了，有点遗憾。。。。。
2018-04-03,未知,5,桂林植物位于雁山镇，是青少年科技教育基地也是全国科普教育基地，这里是游览漓江后返回桂林的必经之地，园内有3000多种植物，还有尼克松总统送的北美红杉。
2015-11-02,未知,4,始建于一九五八年的桂林植物园、位于雁山山麓、占地一千多亩、植物品种繁多、空气非常好、适合多种类植物生长。
2015-10-19,未知,4,据当地人说，这个植物园以前是免费的，但现在是收费的。进去逛了逛，感觉空气比较清新，花草树木品种也蛮多的，还是值得一逛的。
2017-04-30,未知,5,跟朋友去玩。玩的挺开心的。建议可以去
2016-03-03,未知,5,真心不错，值得游客来到桂林的时候去走走
2019-08-29,未知,4,园区比较大，除了温室外，最值得观赏的是龙洞琪林景区。一泓湖水旁植满了落羽杉，红色的、苍绿的、红绿相间的杉叶与湖水相映成趣，构成了植物园的一道靓丽的风景线。
2016-11-18,未知,3,不知道怎么说呀！人民还算热情吧！风景园林感觉一般般
2023-05-19,广西,3,以前门票是10块，现在网上买要16了，谈不上什么服务，对市民也不免费，以前导游证记者证可以免门票的，现在也没有了，杜鹃花区也被大妈们瓜分完拍抖音了，哎，我们的植物园，以后不会再来了
2016-03-06,未知,3,空气蛮好的，青山绿水。鸟语花香！值得一去
2024-06-06,广西,5,杜鹃花盛开的时候，美的不要不要的，性价比很高，每年必来一次喔！
2023-03-29,广西,5,没拍照片 景色不错 进园直接走左边 景色好看
2024-11-23,广西,5,秋冬去很不错 夏天蚊虫有点多
2024-03-31,广西,3,不怎么建议大家去，你懂的，门票虽然只有十几块钱，但是不值啊，本来是一个科研单位，还卖门票。踩雷了。
2022-04-13,未知,4,拍照很出片，空气很好
2022-04-13,未知,4,体验感不错，花很好看
2018-06-26,未知,1,差评差评差评差评 没有人在值班
2024-03-31,广西,2,不推荐，不推荐，不如免费的黑山植物园。还那么远，科研单位卖门票，蛮坑的。
