date,ip 属地,评分,comments
2016-05-13,未知,4,位于市中心中山路上，不远处就是榕杉湖以及日月双塔，依仁路美食街就在旁边。这里是市区难得的一处大型露天广场，而我们去的时候正值五一节搞商家活动，临时展览占据了大部分地方，而来这里的目的，大多是为了晚上8点半，在广场东南角的漓江大瀑布饭店的“放水”演出。伴着音乐，瀑布从楼顶倾泻而下，历时约12分钟。气势有了，但感觉灯光的色彩不够丰富。
2015-12-14,未知,4,中心广场位于中山中路商业街区，旁边是杉湖和日月塔、正阳步行街，晚上可以看瀑布的，作为世界上少有的从楼上而下的水帘，现场看到的感觉真的是非常的震撼。广场上有很多人游玩，是休闲逛逛的好地方。
2018-08-23,未知,5,桂林中心广场自然位于桂林市中心，广场不算大，周边有很多宾馆酒店，如漓江大瀑布饭店；旁边还有工人文化宫和一条热闹非凡的步行街，那里离两塔特别近，晚上游人常在那里游玩!我傍晚去的，照的相片有点黑。
2018-05-06,未知,4,中心广场紧靠中山路，面积5万多平方米，是桂林最大的集会、休闲、购物多功能的广场。广场地面由花岗岩地砖铺成，不同的色彩装饰成一幅巨大的世界地图，图上标有世界重要城市，象征桂林正在走向世界。广场周围没有太高的建筑物，只有漓江瀑布大酒店和八桂大厦比较显眼。
2019-09-13,未知,5,中心广场是桂林市区的城市中心广场，广场两侧设有小香港商业城，往前走有桂林体育馆。广场整体开阔大气，适合居民休闲。旁边就是正阳步行街和日月双塔公园。
2021-03-29,未知,4,位于桂林中山路阳桥附近，是市中心的大型露天广场，周边有体育馆、大瀑布酒店等，是市民休闲锻炼的地方，但感觉绿化率低，而且地下商城生意冷清。
2022-10-09,广西,5,桂林中心广场，应该算是最中心位置了，去景点都很方便这边白天和夜晚两个景象，都别有乐趣，广场也是人们休闲娱乐散步的好地方，可以来看看
2019-12-25,未知,4,桂林中心广场，室外白天无法逛，8月份桂林这这毒辣的太阳实在让人受不了。 到黄昏时在对面吃甜品，看着太阳渐渐下山了，出去蹦跶了。 几颗椰子树挺高大的，倒是没有瞧见上面有椰子，不像10月初在三亚满大街椰子树上都有椰子。 这个广场周围吃的很多，离正阳路步行街也近，算是市中心。
2016-08-11,未知,4,桂林中心广场在中山路上，边上就是正阳步行街，广场下面像个小商品市场，我们是去看桂林瀑布大酒店的瀑布去的，热心的出租司机告诉我们，晚上八点半有瀑布，我们提前十几分钟到达，市民和游客挺多的，八点半，瀑布缓缓开始，伴着音乐，色彩变幻，一共持续10分钟左右，还不错，毕竟是人工瀑布，又是在酒店外墙。
2017-07-07,未知,5,晚上20:30-20:45可以看大瀑布酒店的人工瀑布。周围有很多吃的 ，还有步行街。周围很热闹。作为游客可以去感受一下。
2019-08-31,未知,3,桂林中心广场，说是地标，其实就是和步行街还有双塔公园近，我才去看一眼，果然，就很普通的广场，没啥出彩的地方，还不如去马路对面环湖散步呢，两江四湖晚上分几天走走还是很好看的，比到这个广场打卡好多了。
2020-09-08,未知,5,广场附近有一家有名的王城马肉米粉店，原价12元卤马肉米粉团购秒杀8元！虽然不是太大碗，但是马肉与马肺都份量充足，感觉比粤式叉烧还要更甘香些，独特又好吃！
2017-08-21,未知,5,大瀑布酒店，非常神奇的地方。听着悠扬的老歌，看看从屋顶倾泻而下瀑布，人山人海，都在抬头仰望。我们在想这到底是什么原理呢？
2022-03-15,未知,5,中心广场位于桂林主城区，交通便利，广场地势开阔，绿化优美，周边有两江四湖景区、正阳路步行街及各类大型百货公司，热闹繁华。
2017-08-25,未知,5,重点是要晚上去，才能觉得美。周围吃的店很多，可以从广场看瀑布酒店，可以去正阳街，可以在湖边看双塔，这几个都很集中，可以一路跑下去。公交车也很方便，可以到附近的。
2015-11-11,未知,5,来中心广场主要是为了晚上看音乐瀑布的，作为世界上少有的从楼上而下的水帘，现场看到的感觉真的是非常的震撼。广场上也有很多人在放风筝，地下也有一座商场。
2016-11-21,未知,4,中心广场非常热闹，逛街的好去处，吃的店很多，还有很多卖芒果的店，芒果好吃，也没有特别贵，5.5一斤，贵1块左右，还削好，很棒
2017-10-03,未知,3,中心广场位于桂林的市中心，晚上会比较热闹，晚上会有人跳广场舞，也有很多情侣在这儿逛街散步，与正阳路步行街相通，交通也是很方便
2017-08-29,未知,5,广场大，很干净。广场的地下商业城很繁华，大多数店铺是卖服装，价格便宜，式样多。另外还有一些买鞋子、帽子、化妆品等的店家。
