date,ip 属地,评分,comments
2019-04-17,未知,5,已经不叫临桂县了，现在叫临桂区，被打造成了新桂林，未来的桂林市中心。虽然没有老城区那些标志性的景点，比如象鼻山、骆驼峰、芦笛岩等有名，但是临桂的山水风光却不输老桂林（以照片为证）。临桂区楼高、路宽、干净，有免费的新的两江四湖（也叫环城水系）和山水公园（也叫中央公园），一院两馆（桂林歌剧院、博物馆、图书馆）、国展（在建）等高端文化及旅游设施均设在临桂区。在临桂区的北方人不少，尤其是东北人。
2018-03-10,未知,5,在桂林，只有临桂这个城区拥有一院两馆、金融大厦、建设大厦、发展大厦、桂林日报社传媒中心、广电中心、创业大厦、新国际会展中心等这么多个城市高端建筑及现代化摩天大楼。如今的临桂新区内涵与气势兼备，绝不输大都市！ 其中央公园，是继园博园之后桂林市区又一座城市公园，是临桂新区乃至桂林市最大的公园。
2016-10-01,未知,5,携程的闫导在这次旅游途中工作认真和善耐心细致，我们出外来到桂林感到在家的感觉，对老人小孩无比的关心，办事踏实有条有理深得大家的好评，在此感谢小闫导游付出的辛勤劳动。
2017-03-17,未知,5,空气质量很好，环境保护好，景色优美，两江四湖国家级景点，美不胜收，漓江大瀑布虽然是人工瀑布，但是真是巧夺天工的设计和巧思奇想！
2019-10-07,未知,5,桂林市政府和市直机关都迁到这里了，政府要将这里打造成新的市中心和高标准的国际旅游城，到机场20分钟，华为浪潮比亚迪等大型企业都在这里入驻了，还有吾悦广场，万达广场，花生塘等大型商业区 期待临桂新区的早日爆发！
2017-01-12,未知,5,非常漂亮的一个城市，好喜欢这里，山美水美，人更美！真的不想离开，有时间我还会回来的，这里太漂亮了！有想来的朋友可以加我微信，我会带你疯狂的！
2017-07-13,未知,5,这里真正是世界级宜居城市，风景如画，美不胜收，生活在这里，人有如生活在蓬莱仙境！去过了两江四湖，漓江大瀑布，漓江春水，都是独一无二的美景！让人流涟忘返！
2016-04-26,未知,5,作为新区，除了配套设施差些，感觉比桂林要好
2019-07-15,未知,4,桂林市政府等多数国家机关搬到了临桂，到处可见新的楼盘在施工，离机场也比较近，因为是新建城市，规划全新，道路宽，高楼大厦鳞次栉比，再过几年就会成为一个令人瞩目的桂林政治文化中心。
2017-04-30,未知,3,已改成临桂区。市委、政府都迁到此区。到处大兴土木，建了很多新房子新街道，俨然成为新一座新城。不过，人不多，房子虽多但入住率仍然不高。
2016-03-28,未知,5,山水没得说，太美了！新区的基础设施建设的非常全面，一院两馆的文化气息相当浓厚！喜欢
2016-11-28,未知,5,临桂新城，真的很好玩，交通便利，没有市区的吵闹，再加上又有许多景区比如飞虎公园，等会上传图片给你们看看。还有桂林医学院。
2016-09-11,未知,4,感觉还可以，就是整体环境一般，毕竟是在开发中也能理解。 与想象中的甲天下有点出入，不过单纯的山水还是很有特色的，不虚此行
2016-03-20,未知,5,山好水好风景美，天然氧吧不虚此行
2017-02-10,未知,5,景色很美，真是桂林山水佳天下，有机会再来。
2016-10-07,未知,5,桂林山水甲天下，大美桂林，美丽风光！
2016-04-10,未知,5,空气清新，环境优美，临桂市民和蔼可亲
2016-06-08,未知,5,风景如画，空气清新，来第三次了
2017-01-01,未知,5,风景不错不错，空气清新，修身养性的好地方！
2016-02-20,未知,5,非常完美，美丽，直的一去，我去过了，你们去了吗，没去的，快点去吧！
2017-06-28,未知,4,气候宜人，环境优美，治安及交通秩序良好，物价水平稳定，生活节奏慢，适合退休后的闲适生活，也适合居家旅行，去各公园能呼吸新鲜空气及负氧离子交换剂
2016-12-26,未知,5,环境好，最重要的是空气质量特别高！
2016-12-15,未知,5,临桂是桂林的总统之乡，将军之乡，状元之乡，冠军之乡，人才辈出，风水宝地。
2016-08-08,未知,5,每次离开临桂都好舍不得。临桂现在很漂亮好和谐，
2019-08-04,未知,5,桂林的飞虎公园值得一去，全是桂林以前打仗用的东西，如果是来桂林看历史的值得去这个地方
2016-11-21,未知,5,第一次来临桂，正在榕山酒家吃饭，男人们喝得好欢，好痛快!
2019-06-15,未知,5,现在临桂县发展很快，桂林市政府都搬到了临桂，机场也都在临桂哦，高楼大厦到处是，有的路都不认识了
2017-09-19,未知,5,临桂位于“山水甲天下”的桂林西郊，不仅有九滩瀑布、李宗仁古居、罗山水库，还有与兴安灵渠相对，也称西渠的古桂柳运河。
2016-12-26,未知,5,购物方便，物廉价美，美女如云帅哥多
2017-01-16,未知,5,正在开发中，城市性价比超高，商品价格实惠。
