date,ip 属地,评分,comments
2018-02-19,未知,5,广西之行最大的惊喜就是丹洲游了。丹洲是一个被融江环绕的小岛，需要坐船抵达，不过，船程不到两分钟哈！建议站在甲板上，可以一面看山一面看水，也许还可以一面想起某个人。船票20元，是往返的，也算是上岛门票。虽然家家户户也都被开发成客栈和饭店，但是因为岛上没有机动车，在车轮滚滚车声鼎沸的今天，真可谓世外桃源。 岛上的特产是柚子和腊味，粽子和一种炸完裹上白糖的糯米点心非常美味，边走边吃，肚子也填饱了。 丹洲游的不足是交通不便，从三江县过去要50多公里的国道车程。所以包车游三江是明智的选择，如果你既想深度游侗寨，又想感受山水田园的宁静，就要留出2天的时间，慢慢走细细看。你可以尝试选择三江地导侯祖光，人多的时候更划算更方便。 如果可以有更多的选择，我愿意在柚子开花时节留宿丹洲，看江上日出，品腊肉吃粽子，乘小船绕岛一周，在古榕下发呆。
2016-02-06,未知,5,和男朋友一起去的，租了个双人车差不多两个小时就全部逛完了，风景不错，水特别的清，那天很开心，不过广西好像真的没什么好吃的，这点挺遗憾的。
2016-09-14,未知,5,一个很安静的小岛村，和其他农家乐不太一样，安安静静。。没太多繁华的商业街，可以自己岛上逛逛，傍晚才舒服，吃好饭去洲头的鹅卵石那里走走坐坐，河边的风徐徐吹来，很舒服！适合疗伤和需要释放压力的游客。
2017-03-09,未知,4,古城四面环水，须摆渡登岛，沿着石板街可见古城墙、古城楼、天后宫、丹江书院、古县衙遗址、闽粤会馆等，岛上随处可见柚子树，还可品尝老腊肉，丹江鱼，喜欢幽静的还可在岛上住 住 一晚，到处有客栈。乘船返回，有车去融安，在融安乘车去融水落住 住 。
2020-12-27,未知,5,丹洲景区即丹洲古镇，位于融江江心的一个小岛上，是个唯一四面环水的古镇。上岛需坐渡船，在东岸码头坐渡船。漫步在小岛上，可以看到气势恢宏的丹洲明代北门楼，历史悠久的明代书院，供奉妈祖的闽粤会馆，还有古县衙礼堂等历史遗迹。丹洲称柚子岛还很贴切，家家户户都以种沙田柚为主产业，门前是柚树，门后是柚园。全岛除了房屋和菜园，几乎被柚子树占领。四月柚子花开时，清香宜人。十一月柚子丰收时，热闹非凡。
2018-02-26,未知,4,古城环境不错，很干净。问路的时候那里的人很热心，特别是去古城的路上，乘坐去板江大巴的大巴司机还把我们送到景区门口，很感谢。丹州古城的油堆好好吃。
2016-02-13,未知,4,一个比较有古朴气息的岛上村落，四周都是柚子林。没有太多娱乐项目。
2022-03-30,未知,5,柳江河三江段的丹洲是一个四面环水的小岛，把车子停在路边农家的停车场后坐船上去，10块钱一个人。丹洲曾是明清两朝时期的县城所在地，现遗留了不少下古迹。岛上最有名的是柚子、腊味。镇上有许多的农家乐可吃可宿，价钱都不贵。小岛不大，晚上吃完饭可以延岛散步非常悠闲。镇上主要景观有福建会馆、北门楼、古城墙、古书院、东门、柚子林、古县衙门、城皇庙、古民居建筑等。
2017-05-02,未知,4,丹州古城属于三江县境内，丹州古城四面环水，是柳江河上一座椭圆型的岛屿。曾经是明清两朝时期的县城所在地，遗留下许多400年前的古迹。古城不大，给人的感觉就是一个湖中小村落。登上岛去发现还是有不少历史的厚重感。有时间的，可以看看，关键是不收门票，只有来回二十元船票。还有停车场居然也不收费，如今的景点真是少有。
2020-08-19,未知,4,是个有些历史的地方，据说最早能追溯到明代万历年间，曾经是府衙所在地。由于各种各样的原因，奇葩与否且先不论，这座面积不算很小的岛屿始终没有架设桥梁，这样，通行和经济都受到了不小的影响。有些讽刺味道的是，这样反而在很大程度上保留了历史古迹。直到今天，这里仍能感受到旧时代的光影和气息。
2019-05-05,未知,4,其实我觉得这个景区处于好与一般之间，最让人吐槽的是，本来已买了景点门票(即上岛的船票)，可是在售票处服务人员却交待，现在是洪水期，等会坐船要交1元钱洪水费，坐船离岛时也要再交1元钱洪水费，而且原来是免费停车的，可在五一却要收10元停车费，还不提供票据。
2021-07-29,未知,5,丹洲景区位于三江、融安、融水三县交界209国道旁，处在融江河中四面环水的一座小岛上，景色不错，趣味性强，坐船游览，很舒服，棒棒的。
2022-04-14,未知,5,环境干净卫生，空气清新，丹洲村古村街道原生态古色古香，很多自产自销的腊猪头、腊肉、腊猪脚、腊鸭等腊系列，生态的果园也很多，甘蔗、桔子、柿子、最多最有名气的柚子，还有柚子皮的柚皮糖，柚皮做的菜色，还有历史悠久的丹洲书院，寓古色古乡的景色、生态游玩、吃于一体的综合性景区
2020-11-07,未知,4,柳州三江县丹州景区，据说是唯一不通桥梁的小岛，小岛不大，西西拉拉有几个码头，小岛上面最多的是柚子，腊鸭腊肉，在一个晴朗的秋日，来到了这里，五颜六色的糯米饭，又好看又好吃，建议有时间一日游的可以看看去
2018-08-19,未知,5,丹洲古镇保存了许多当年建筑物的原来的面目。古镇的客栈，饭馆，风味小食应有尽有。尤其是各种河鱼干，香菇酱，虾酱味道别具风韵。
2019-07-27,未知,5,我开车去融水路过就顺便去玩了，自己一个人去的，真的一个游客都没有，有也可能是居民吧。岛上的居民说过几天节日才会有人，我把岛上逛了个遍，有好多柚子，街道建设得蛮好的，如果人多的话可能会很热闹，值得一去，门票又便宜。
2017-04-30,未知,5,距离柳州市区约一百四十公里，是一座位于柳江河上的小岛，古城已有数百年历史，明清时期县治所在。岛上栽种了很多沙田柚，所以这里也叫“柚子洲”。
2020-03-31,未知,5,丹洲，是一个去了就不想离开的地方，丹洲和黄姚一样，是我认为在广西值得一去，且一去再去的地方。那里有远离喧嚣的宁静，残亘的古朴记忆，原生绿色的地道美味，满眼的沙田柚，还有静静流淌的江水。
2023-03-09,广西,3,大概是因为淡季。啥也没有。店不开门。街上没人。所有店里有人的都在打牌。想着喝杯蜂蜜柚子茶也没得。根本没人招待你。想吃个饭也没人搭理你都在打牌。除了打牌的，见到人很难。柚子树上也没几个柚子。卖柚子的有两件。一家五元一个，一家十元三个。立的手写牌子。喜欢安静可以看看。不推荐特意来。
2020-11-11,未知,4,金秋时节，柚子成熟了，又到一年柚子节，来到三江丹洲，小岛很不错，天气又给力，乘上渡船，踏上岛屿，悠闲自在小岛逛起来，柚子腊鸭糯米饭，样样都喜欢，值得一看好地方！
2017-12-29,未知,4,四面环水的丹洲古城位于柳州与湖南边界，古城没有过多的商业化，城里布满着明清时期的遗迹，由于并不知名，所以游客不算太多，另古城保持恬静，可以静心游玩。
2021-10-05,未知,4,交通：门口有通勤大巴车，车次不多，建议自驾。自驾路线沿融江两岸，左侧国道，右侧高速加省道，我们从三江县城出发走右侧，后半段省道路不太好走。景区服务中心停车5块，但是服务简直了，开车排队等了十几分钟，自己下车走进去停车场转一圈发现停车场划线不合理，大片空地不让小车进去，把门的逻辑是要不你是大巴车，要不然你得同时开两台车，景区可能是为了接待团体游客，但是真没有几个团来这里。来一个，司机和把门的吵一架，循环往复，门口堵车严重。门外路边停车村民收费小车20，第一次见这种景区，可能是故意给村民留点生意的。 门票➕往返船票携程预订18，现场二十，当地人可以白嫖 古城那物价不会。满大街都是卖柚子的。国道上¥5一个，景区门口¥6一个，景区内8块一个。干货有腊肉腊鸭笋干菜干。 顺路可以过来花费两三个小时看看
2020-05-31,未知,5,要坐船才能到的古城，在融江的一个江心岛上，四边柚林环抱，古朴而幽静，没有太多的商业化和喧嚣的游客，景色不错，晚上江边的竹林和柚林中还能看到星星点点的萤火虫。
2021-01-29,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2018-02-21,未知,1,停车免费，可是车位满了，私人的停车场收费20. 洲上全是客栈和卖蜡味的，做腊味的鸭子是从山东沂南县批发过来的。一家饭馆，一斤多的一条江团做大鱼炖豆腐，来一桌客人分为两分，再来一桌分成三份，一份要七十。70一份的大鱼炖豆腐，不到半斤鱼，真是可以了。除了半截子废城墙，都是新修的伪古物。
2015-12-20,未知,3,坐车时间比在古镇时间还长，没有很古老的感觉，就是些买东西的，感觉不值得再去……
2018-09-29,未知,4,丹洲景区是融江中的一个江心岛，曾经是三江的古县城，岛上还有不少古迹文物，如明代北门楼、明代书院、闽粤会馆。我去的时候，书院正进行保护维修，会馆荒废无人管。
