date,ip 属地,评分,comments
2015-12-22,未知,4,美丽的乌桕滩 。在柏油马路尽头有一间简陋的房子，开了一个小小的小卖部，门口有个中年阿姨拦路收费，每个人要交2块的人头费。应该是附近的村民，游客来了又去，或多或少的留下垃圾就是靠他们清理，可以说他们是乌桕滩 美丽的守护者。2块钱的门票对于那些动辄上百的门票来说确实不算贵，痛痛快快的交了钱准备进入乌桕滩 撒欢。收钱的阿姨又提醒我沙滩上有点湿滑要小心摔倒之类的，顺便说不要扔垃圾在乌桕滩 上。
2016-01-13,未知,5,乌桕滩是桂林市区处于漓江的一个河湾，位于竹江村河滩上的一片乌桕树林。 百里漓江，江滩相连，春有风景如画的黄布滩，秋有红叶似火的乌桕滩。乌桕滩位于在漓江边上的一个大江滩，江滩上有一丛丛的乌桕林。每逢秋冬时节，树叶红透，三五处红叶，清澈的漓江流水，素有“小九寨沟”之美誉。秋冬时节的乌桕滩最能体现漓江的魅力风情，高处俯瞰乌桕滩，宛若一幅诗意盎然的水墨画。
2017-11-13,未知,4,此滩因为长满了乌桕树，所以名为乌桕滩。上滩需交每人5元，车子20元，是附近的村民自己乱收。11月去乌桕叶子还没有红，可能再迟一个月比较好看。
2017-06-14,未知,4,你或许去过桂林不下10次，但却未必知道百里漓江 竟藏有这么个水色斑斓的地儿。当地人说它是“桂林小九寨”，这里的乌桕林就橙红橘绿，化身诗意水墨画。
2018-12-31,未知,3,刚到乌桕滩，一窝蜂上来十个村民问要钱，给了20块钱，他们立刻就分了钱散了。过了一会，又来了一个问要钱，说之前没分到。没见过这么无赖的景区
2017-09-18,未知,5,乌桕滩素有“小九寨沟”的美誉，乌桕丛生，春夏滩头涨水时，乌桕林成为孤岛，绿林中白鹭飞翔，生机盎然。
2017-05-07,未知,5,百里漓江，江滩相连，春有风景如画的黄布滩，秋有红叶似火的乌桕滩。应该去看看
2017-12-08,未知,5,冬天乌桕红的似火，桂林人最爱的赏冬地之一
2021-12-07,未知,4,还不错的景色 来拍拍照片还是不错的 花儿为何那样红
2020-11-30,未知,1,压根就不值得去，拍个婚纱照还去了五十多块钱，而且属于双层收费，凭什么收了停车费还有收人头费，没丢垃圾为什么还要收一个垃圾费？村民是想钱想疯了吗？？？搞不懂有什么好去的，河就他们村一个村的吗？？蛮不讲理
