date,ip 属地,评分,comments
2017-08-27,未知,5,非常适合小朋友去玩！！！里面有好多角色扮演！！就是等的时间太长了！宝贝没有玩过瘾！！工作人员很热情！！里面有股热狗的味道闻久了老想吐！只有下次在玩了！
2017-08-29,未知,5,很值得小朋友去体验一下！！！就是打工的内容不够明确！
2017-06-17,未知,5,让小孩做回大人的感觉。挺好的啊，价格可以。
2019-11-28,未知,4,可以带孩子体验体验哦，小孩子比较喜欢大朋友就在旁边指导一下就可以，不用干涉，只要没有出什么岔子的情况下，全程让孩子自己体验。
2017-08-21,未知,5,玩了两次了，还行，就是第二次去的时候好多职业都不来了，不知道搞什么鬼
2018-01-19,未知,5,今天星期五，人很少，只有三四个小朋友，工作人员态度也不错，玩的很开心，满意。
2018-04-21,未知,4,里面可以让孩子体验各种职业，孩子还是很喜欢的，可惜的是，部分工作人员工作强度太大，导致质量很差，部分热门职业参与人数过多导致一定程度的混乱，建议改进。
2018-03-26,未知,5,很适合小朋友玩，就是价钱贵了点，半天玩不了多少样
2017-12-13,未知,4,第一次去还是值得去的，小朋友蛮喜欢，趣味性比较好，服务等需加强，性价比一般
2017-11-27,未知,5,小朋友玩的很开心 适合培养小朋友的专注力 没想到儿子专注力还不错 能很认真听完 然后 参与活动 一次大概能玩五个活动 下次还要去
2018-11-28,未知,4,值得一去，身心舒畅，回味无穷，再接再厉。
2018-07-03,未知,5,小朋友特别喜欢，早上早早去她们还是玩不够，该次假期在带孩子去玩。
2018-04-12,未知,4,很好玩！环境一流！魔法馆的工作人员态度不错！
2019-07-23,未知,4,很好玩，尤其是小孩子很喜欢，可以玩一上午。周边停车和吃饭都很方便，是一个亲子活动的好地方，值得体验。
2017-07-01,未知,5,小孩子的乐园，非常适合周末没去处的家长。
2019-05-25,未知,4,小朋友们喜欢玩，个人觉得贵了点。
2017-07-22,未知,5,这样定票很方便，我狠喜欢，下次继续使用！
2017-11-20,未知,5,非常不错，小朋友玩得很开心，一次只能玩几个项目，还要去几次
2018-02-15,未知,5,小朋友很喜欢玩，我儿子3岁，就是等待过程有点长，坐不住
2017-12-10,未知,4,总体还是不错的，小朋友很喜欢来，要是门票再优惠点更好
2017-11-12,未知,5,小孩很喜欢，项目也多。还有蛋糕吃
2018-07-06,未知,5,可以，便宜点比较好。干净整洁。
2017-12-02,未知,5,小孩玩得很开心，下次还要来玩
2017-09-19,未知,5,优惠不多，但是值得一游，一定要按时进去才够瘾
2018-07-25,未知,5,带着小孩体验一把，玩得不错，很不错
2018-08-21,未知,5,孩子们玩得很开心！以后还会去的。
2018-08-09,未知,5,还不错，只是有很多场馆没有开放。
2018-04-07,未知,5,第二次去儿子依旧很开心 非常好
2017-10-10,未知,4,"一个小朋友乐欢天的地方,直得一去"
2019-06-07,未知,4,还可以 小孩很喜欢。值得带小孩去
2018-12-11,未知,3,去了几次，主要是让孩子玩耍，价格偏高
2020-07-20,未知,3,孩子很喜欢玩，就是性价比很一般
2020-07-20,未知,3,性价比很一般，孩子喜欢玩
