date,ip 属地,评分,comments
2020-08-12,未知,5,疫情后升级了，面积快2万平米，十个可玩项目，两个大泳池棒棒的！！溜索，水上滑道还有高尔夫练习场，露营区，老少皆宜哦。。玩到不想出来。，
2021-10-13,未知,5,九里花海，是在十里画廊里的一个小景点，种植了非常多的花，拍照还挺好看的，我推荐骑车游花海，在桂林市阳朔县南侧，距离县城中心三四公里远。
2021-12-19,未知,5,九里花海，这里也位于广西省桂林阳朔市。我去的那次是春天，很幸运的看到了超级惊艳美丽的花儿，心情也会随之好～～这里花海面积很大，可以随着小道儿去花海里逛
2022-07-09,未知,5,演，如果想玩水我们有广西zui高的极限冲浪音乐滑道和800平方米的山水露天泳池。还有儿童最喜欢的泳池滑道，超级蹦床，儿童沙池。
2020-05-17,未知,3,差，不值得，经营者不诚信。不要来。
2020-12-11,未知,5,九里花海不光有花朵可以欣赏，，而且还有很多有意思的游乐项目。
2020-09-19,未知,3,推荐彩虹滑梯；大的水滑梯Flipfun，水性不好的，不会游泳的，千万别玩，不然分分钟灌氯水，虽然淹不死，但是肺里灌水可不好受
2020-12-11,未知,5,山环水绕，美景不断。。游乐无穷。
2020-12-03,未知,4,不错的地方，景美名字更美，值得一去
2021-10-03,未知,1,九里花海其实就是一个坑人的景区！10月2号到这里露营，网上订票到景区之后，工作人员说进去之后只能一个人出来，两家人8口人被限制了6人的人生自由，这时候感觉就是一个坑了，但是没想到接下来还有更多的坑，网上订票的时候宣传广告说可以选择自己喜欢的食物烧烤，没有说不可以自带食物烧烤，两家一共8口人，到了景区里面限制了6个人的自由，是允许两个人出来，买了很多食物不能烧烤，只允许在里面买食物进行烧烤，看到很多人买了很多食物，只能白白浪费，不能烧烤，我们买了200多的烧烤食物去，不能烧烤，非常气愤后来直接撤离景区到附近民宿组合吃饭，两家人停车费门票费花了400多元，资金去打了个帐篷就出来了，这样坑也能进去还能继续经营下去，实在太气愤了。进行违规经营运营，限制人身自由，存在欺诈消费，强迫消费）。
2019-05-19,未知,3,好小，和一物业小区差不多，五分钟完事
2020-07-27,未知,3,可玩性低，性价比低，体验不佳，景色一般，
2020-07-27,未知,3,性价比低，体验不佳，景色一般，可玩性低，
2020-08-18,未知,2,九里花海，名字好听，说白了就一个小公园，不值得游玩，公园门票价高了，都不算是景点
