date,ip 属地,评分,comments
2016-11-08,未知,5,到达杨堤之后便可以乘坐竹筏畅游漓江了，两岸数不清的自然景观萦绕在身边，热情的船家还能根据客户的不同需求进行针对不同景观的讲解，但是很可惜，在画壁上我只看见5个马，但无论怎样，还是很感叹的。
2015-12-21,未知,5,九马画山是漓江画廊最著名的景点之一。 游船临近阳朔，船头右前方出现一座黑白颜色分明的山，船家说山体的图案组成九匹马，但一般人很难在短时间内能看出来。 据说当年敬爱的周恩来总理携陈毅元帅游漓江，周恩来总理在很短的时间就找出全部九匹马，而陈毅元帅只找到七匹，就此传为佳话。 遗憾的是当天漓江江面雾气较大，影响了画面的质量。
2016-12-22,未知,5,九马画山是漓江游玩最著名的景点之一。漓江在此处拐了一个弯，一座黑白颜色分明的山在船头前方出现，引起了人们的注意。据说山体黑白色组成了九匹马的图案，不过需要丰富的想象才能勾画出图案，一般人很难在短时间内能看出来。
2015-11-06,未知,4,从杨堤坐竹筏游漓江到九马画山走了一个往返，一路上风景如诗如画，让人陶醉，九马画山，是游漓江的著名景点之一，但我们去的时候，天公不作美，雾气比较大拍的照片朦朦胧胧的。
2015-10-18,未知,5,阳朔山水甲桂林！从兴坪古镇到九马画山这段风景是最漂亮的，山清水秀。坐上船头，泛舟漓江，宛若人在画中游，沉醉不知归路。来到这里，让我觉得彻底远离大城市的喧嚣与浮躁，感受到了难得的放松与惬意。但是来阳朔玩，联系选择合适的时间，避开节假日，要不然很容易遭罪。
2017-03-11,未知,4,做电动竹筏从杨堤码头到马山码头。一路在山水画廊的美景之中，或蓝或绿清澈透亮的漓江水；或圆润或尖耸的山峰是任凭你去想象吧。九马不是常人能看全的哦，也就不费心机去寻找了。两岸伴着刚毅山峰的凤尾竹的摇曳，刚柔相伴恰到好处。水道蜿蜒，常常有峰回路转的惊喜。美中不足的是竹筏的伐工除了听到他接电话，就没有开过腔。不知道是因为他有多厌恶这份工作，还是因为里面还有什么道道。
2016-06-27,未知,5,九马画山，顾名思义有九匹马，一开始还以为是山的形状像马，找个半天发现不是，船家给我们指了一下顿悟，很大一座山，山的这面是平的，山面的纹路从远处看有九匹马，据说总理都没看出九匹马，我是只看出一匹，我爸看出八匹，也是够厉害了
2020-06-17,未知,5,清明澄澈的漓江水边罗列着无数秀丽奇特的山，在这百来里如画的江山中又数九马画山是最奇特的了。一座峰峦重叠的大山象给什么神斧劈去了一半，再经过了打磨似的，光滑平展如同一块巨大无比的画布，就在这块高悬在青天上的大画布上面，画着一幅气势雄伟的万马奔腾图，那些马栩栩如生的样子真是鬼斧神工。 九马画山在漓江东岸画山村附近，距桂林约60公里处，山高400余米，宽200米。马图呈九首，奇物在人间。山面如削，石壁上有白、黄、灰、黑等色，色彩斑斓，呈现出马的画像，名画山，马图最多可见九匹，又名九马画山。细看山壁石纹可依稀辩出群马形象。 九马画山是大自然的笔墨奇观。一般坐游船或竹筏游览，船行到这里，距离阳朔县城也不远哦。我们乘坐的游船是从桂林的竹江码头到阳朔码头，船行时间大约4小时，途径杨堤、九马画山、黄布倒影等漓江沿岸的精华景点，而且游船上有讲解，到了精华景点会自动开启讲解模式。
2018-04-04,未知,5,九马画山是从桂林坐游船游漓江去阳朔时的一个景点，据说远看山体不同颜色加上树木的形成了九个不同型壮马的样子，主要还是要凭自己想象了。离兴坪古镇没有多远。时间充足的话可以在浅滩地方玩玩水。需要注意的是岸边的蚊子比较的多。
2017-10-06,未知,4,中午天放晴了，超爽。虽然是30多度的气温，但感受到的却是丝丝的凉爽，一路上还有一群白鸟嬉戏，湛蓝的天碧绿的水，让人心情很舒畅。因为国庆缘故，此行程是从兴坪的竹排码头出发的，不是兴坪游渔码头，到达九马画山原路返回。1个小时的行程还是蛮惬意的
2020-11-12,未知,5,桂林漓江九马画山，如果你静下心来，那这就是一副山水画，九马画山没有人工划的竹筏了，都是电动的，来回45分钟时间，如果人工划要两个小时了。那天去天气好，漓江的泥水没有翻上来，漓江很美九马画山很美。
2017-01-06,未知,5,20元人民币背面的景色，坐电动竹笺，很值得一玩。漓江上最有代表特色的一段，江上风很冷，需要穿厚些。来回一个小时左右，可看性大。
2024-12-12,河南,5,九马画山是桂林漓江景区的一个重要景点，以其独特的自然景观和丰富的文化内涵吸引了众多游客。 地理位置九马画山位于广西壮族自治区桂林市阳朔县兴坪镇漓江边，距离兴坪古镇约四公里。游客可以从兴坪朝板山码头乘坐游船，沿着漓江欣赏两岸的美景，途中即可观赏到九马画山。 景观特色 九马画山是一座由九座山峰相连的大石山，耸立在漓江江畔。其山体石壁高、阔各一百多米，石壁上的岩石颜色多样，有赭、黄、绿、白等，这些颜色交织在一起，形成了一幅天然的骏马图。 从不同的角度和位置观察，这些骏马的形态各异，有的在奔腾，有的在饮水，有的在思考，仿佛是一幅生动的画卷。
2024-07-24,湖北,5,📍位置：广西桂林市，距离桂林市区56公里 🌄阳朔的美，真的是无法用语言来形容的。它就像是一个藏在山水画中的世外桃源，让人心旷神怡。一踏上这片土地，就能感受到那种清新自然的气息，仿佛所有的烦恼都随风而逝。 🏞️自然风光：阳朔的山水是出了名的美。你可以乘坐竹筏漂流在大自然的鬼斧神工。
