date,ip 属地,评分,comments
2016-07-10,未知,4,这是我们去九龙五虎景点的路上拍的，满眼的绿色，还是很美的，但秋天去更美。另外，要去龙脊，必须做好爬高山的准备，没有索道，没有缆车，必须一步一步爬上去。倒是有轿夫，不过我没叫，好像也挺吓人的。
2020-07-17,未知,5,九龙五虎观景点是龙脊梯田平安壮寨景区内的观景点，要在平安壮寨乘坐景区内的电瓶车前往，步行爬山要接近1小时左右。九龙五虎观景点的景色壮美，是龙脊梯田比较全面的观景点之一。
2015-11-16,未知,5,美得不像话，去龙脊一定要秋收的时候，金浪滚滚，很好看……就是爬得有点累
2019-07-04,未知,5,九龙五虎观景台可以坐车直接到观景台，这一点比七星伴月好很多，不需要体力支撑。景色感觉不如七星伴月，其实都是一大块梯田，只是角度不同。总体还是不错的！
2017-10-11,未知,5,九龙五虎龙脊梯田观景点，位于桂林龙胜县和平镇平安镇，平安寨，金秋的梯田如同黄金般金色，黄灿灿的，美不盛收，让您流连忘返。
2018-06-05,未知,5,我是梳秧节去的，很有趣很值得去！景如画，仿佛置身于仙境，喜欢这个地方，来的时候一定要注意，个人觉得6月与9月最美！也看自己的喜好！
2017-06-13,未知,5,如果说大寨的梯田是壮观的，那么平安寨的梯田就是精致的。九龙五虎是要发挥想象力的，如果没有导演解说，仁者见仁 智者见智。但值得一游。
2017-10-11,未知,5,可以沿着公路开车上去，避免烈日下爬山。观景台看到的是令人震撼的一片金黄，层次分明的梯田。至于像什么其实不需要考究，美不胜收。
2017-09-23,未知,5,景色优美，最好在景区住一晚，不光可以看到日落，还可以看到日出。
2023-05-15,广西,5,“九龙五虎”梯田位于平安梯田内，相当出名。“九龙”指龙脊主脉在这里分出来的九条小山梁，“五虎”指这里五个略微凸起的小山头。“九龙”、“五虎”全部为梯田所盘绕。它同“七星伴月”景点共同构成平安梯田景观。
2017-03-20,未知,5,路还算可以，都是在梯田中的石板路，顺路上行，山腰上还会出现住户。这里观景点很多，徒步也不算太累，最好住一段时间，一个个山头慢慢爬。
2018-10-27,未知,4,此处为梯田最高处，也是双梯田最佳观景点，分电瓶车和徒步两种路线，周围群山环绕，层次分明的梯田像螺纹一样盘旋在群山的怀抱，在观景台一览无余，颇为壮阔，山脚下成群结队的村寨簇拥在一起，感慨大自然的鬼斧神工，农民对田地的珍惜，雄伟的梯田美景吸引游客停留拍照。
2017-04-17,未知,5,上山去九龙五虎的路上一路都很美，到了观景台更是美不胜收，4月份有梯田灌水，很美，很壮观
2022-03-13,未知,5,这里是龙脊梯田景区内众多的观景台之一，视野开阔，风光优美，可以俯瞰整个景区，但因为海拔比较高，游客徒步到这里相对比较吃力。
2019-08-22,未知,5,最是僻山犹可耕，螺岭万仞平。 鬼斧神作，田如天梯，碧浪千层。 寻入桃花源里居，叠楼野径横。 龙脊涧边，壮瑶村寨，瑶池近邻。
2018-10-09,未知,5,我是10月7号去的平安梯田，稻子都熟透了，漫山金黄，非常美，据说十月中旬就要收割了，所以这个时候来还是非常不错的。只是这里交通太差了，我们包车上来的，路上有些堵，山路走了近一个小时坐车坐的想吐，但是车开到山顶时一切都是值得的，代价是从桂林到龙脊梯田这几十公里光路费我们四人花了八百块。我们选的是九龙五虎观景台旁的云上酒店，很舒服。可以去我的抖音里（抖音号：MeAndMiniMe）看我发的视频，有问题可以问我，很推荐大家来这里。
2017-10-10,未知,4,九龙五虎比七星伴月更有看点，梯田层次更分明，拍出的照片更好看
2019-12-24,未知,4,隶属于龙脊梯田的景区，属于一个观景位，这些年龙脊梯田也有些开发过度，一般都是为了配合旅游才灌水的，现在也就算是一般般，四星好评
2017-10-31,未知,5,广西龙胜的龙脊梯田风景秀丽，无愧为世界文化遗产，很值得一游。
2016-10-09,未知,5,沿途风光很美，路程虽比较远，但是值得的，登顶看其实还不如在侧面看，梯田更纯粹，观景台太人工化。
2016-09-22,未知,4,九龙”是指顺着梯田的走向可以看到九条山岭的脊梁，像是九条长龙从天空中俯下身到金江河饮水，在他旁边，有五个小山包像五只老虎一样蹲在地上，守护着这一方水土。梯田如链似带，从山脚一直盘绕到山顶，小山如螺，大山似塔。在这浩瀚如海的梯田世界里，共有大小各异的梯田15862块，最大的梯田只有0.62亩，最小的梯田只能插3株禾苗，有“青蛙一跳三块田”和“一床蓑衣盖过田”的说法。
