date,ip 属地,评分,comments
2016-10-13,未知,5,书童山就是在印象刘三姐剧场旁边，驻江而立，远看似书童静读，优雅而宁静，行致山脚下仰望又如一位美女梳妆，让人感叹大自然的神奇！在田家河有一座桥，在桥上远望书童倒影在漓江支流田家河上，与凤尾竹交相辉映，造就一副山水诗意画卷，让人陶醉其中，可踩单车沿途观赏！
2016-07-30,未知,4,在观莲路的唐人街码头，就左唐人街酒店斜对面，有书童山段的竹筏漂流。漂流时间不长，来回1个小时左右，沿途风景还不错，可以远观书童山。
2018-05-25,未知,4,去书童山是做木筏去的，一个木筏可以坐4人。坐船沿着江看去，有很多各色特点的山，在木筏上可以感受到来着漓江的凉爽，木筏师傅会一边开船一边讲解，还是很不错的，还会有地方拍照。
2019-11-05,未知,5,"山若书童闭目沉思 , 神态自若 , 山因此而 辱名。 书童山东是卓笔峰 , 形如文笔倒 :雨 , 有""卓笔文峰""之称。 山南是鸡公 山 , 酷 以雄雄鸡报晓 , 有""书童闻鸡鸣而读""之赞。"
2020-09-03,未知,5,阳朔大桥上就可以远眺书童山的倩影！秀丽山水迷人极了，可以坐竹筏游船观赏，这里游客并不多，下午显得更加清静怡人，尤其晚上特别能感受江畔之夜的宁静迷人！就在俺酒店近旁，今晚再来……
2017-05-07,未知,5,标志性山峰之一，秀丽迷人。骑车（5元1天）游览高田遇龙河风光、大榕树、月亮山远眺、书童山倒影、大桥附近江边徒步风景特美！次日去兴坪镇（20多公里）游览码头（兴坪佳境）、攀登老寨山观状阔的山水全景。
2018-10-05,未知,5,景色不错，被路边大妈拉去买票的，不知道有没有被坑╥﹏╥
2017-10-02,未知,5,8:00去漂的这一段非常非常的美！
2016-11-23,未知,5,阳朔书童山在阳朔县城东南田家河与漓江交汇处，距县城约2公里。右临漓江，山体挺拔俊秀，是漓江江滨最娇小隽秀的一座山峰。 中文名称 阳朔书童山 地理位置 阳朔县城东南田家河 著名景点 印象刘三姐、钻石水道、碧莲峰、山水园、西街 交通指引 坐车前往或者坐船游览 阳朔书童山高不过百余米，远看，如婷婷玉立的少女独立于江畔，近看，则在山腰处从主体分离出一块直立的巨石，若捧书而读的古装男童，因此得名书童山。书童山又名桅杆山，因山体呈圆柱形，似船桅而得名。 书童山以东有一峰形如文笔倒插，名曰卓笔峰，有“卓笔文峰立案头”之称；山南有一峰为鸡公山，酷似雄鸡报晓，因而又有“书童闻鸡鸣而读”之称；此外，书童山周边还有灵人山、拇指峰等山峰，可一并游览。 相关传说 相传很久以前，有条蛟龙常在漓江出没，危害一方百姓
2016-09-18,未知,5,书童山在阳朔县城东南田家河与漓江交汇处，距县城约2公里。右临漓江，山体挺拔俊秀，是漓江江滨最娇小隽秀的一座山峰。中文名称阳朔书童山地理位置阳朔县城东南田家河著名景点印象刘三姐、钻石水道、碧莲峰、山水园
2018-06-25,未知,5,风景如画~桂林上水甲天下下次带女儿一起来
2017-11-02,未知,4,这里的景色非常值得一游，它离阳朔非常近，坐竹筏从阳朔西街那段漓江边开始，很快就能看到书童山的远景。一峰独立，风光十分迷人。
2017-08-24,未知,5,来丽江的时候，丽江的水，刚下了雨，闽江的水比较浑，但是风景不错，因为水浑的话，看不到此地，也看不到鱼，心里有很多的遗憾。
2016-02-10,未知,5,阳朔漓江风光中最著名的山峰之一，在多处都能眺望到它秀丽挺拔的身影，倒影在漓江中的景色非常迷人！
2015-11-01,未知,5,在漓江田家河、坐在竹筏上观看、神似书童伫立、故其名、非常的山水田园美景。
2017-11-12,未知,5,风景如此多娇非常美丽好看值得我们再来
2015-12-14,未知,5,就是心旷神怡，这里的山不高，别样的感觉，发挥自己的想象
2021-12-10,未知,4,在桥上远望书童倒影在漓江支流田家河上，与凤尾竹交相辉映，造就一副山水诗意画卷，让人陶醉其中
2018-02-23,未知,5,感觉似仙境般，远处的景色秀丽，很赞
2018-01-24,未知,5,山清水秀，人杰地灵。好似世外桃源。
2017-12-02,未知,5,外观真的是漂亮，唯美，景色宜人！
2017-07-15,未知,5,风景都还不错，衬托整个山水，漂亮
2018-01-05,未知,5,山水好风景 桂林的山水确实不错
2017-10-27,未知,4,非常值得去看一看的地方，景色非常的美
2019-09-10,未知,4,不错的景点，值得去看看！环境很安静
