date,ip 属地,评分,comments
2021-02-27,未知,5,"二十元人民币背面图案的景色在桂林阳朔漓江83公里精华段兴坪古镇境内(兴坪码头对面)，兴坪码头附近，即朝板山到元宝山一带, 当地人称之为佛子岩。景区名字是黄布倒影。在兴坪码头上岸处，是欣赏20元人民币背景图的最佳角度。漓江又名桂水、桂江，以流域孕育的独特绝世、秀甲天下的自然景观桂林山水，古人有云“江作青罗带，山如碧玉簪”，其风景秀丽，山清水秀，洞奇石美，是驰名中外的风景名胜区。"
2020-08-20,未知,5,上一次打卡人民币背景是杭州西湖的三潭映月，不得不说这些背景选的确实漂亮，果然地大物博身大力不亏哈，厉害了我的国！ 特色体验： 手持20元各种拍拍拍，确实一模一样，就是没有碰到独钓寒江雪的那位老爷爷，运气好的你们有可能会遇到哦。 推荐理由： 就这样一个角度，完美诠释了何为甲天下，来都来了，打个卡吧。 交通： 跟团方便，这地方道路狭窄逼仄，根本得有停车的地方。 tips： 提前备好20元哦，最好不要折，拍出来的效果最好，如果是跟团游，导游基本随身带着供你拍照，就不用担心了。
2023-08-27,山东,5,20230314下午： 1、“20元人民币背景”位于5A景区“漓江”江畔。漓江是桂林地标式山水风景名胜，桂林山水的精华，是1999年版20元人民币背景和《刘三姐》等著名电影电视剧的拍摄地，其“百里画廊 ”般的喀斯特地貌是世界自然文化遗产，是桂林旅游必打卡的景区，历史上留有孙中山、叶剑英、徐悲鸿、克林顿与其夫人希拉里等名人的足迹。漓江属于珠江水系，已开发的100公里区域北起桂林市区解放桥附近，南到阳朔县，另有一段位于北端的灵渠与湘江交界处，占漓江总长214公里的将近一半。 ①地址：桂林市阳朔县兴坪古镇。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：5小时。 2、从桂林游船码头到阳朔的漓江段全长约60公里，单程4.5小时，单向无往返，所以要从阳朔乘车回桂林，或是自由行的话将漓江作为桂林市区的最后一站，阳朔结束后直接北上去其它县市逛。出发的码头有两个：“磨盘山码头”（三星级游船）和“竹江码头”（四星级游船）。由于桂林已经5个月没下雨，漓江已经断流成了几个大湖，所以此次没能坐游船逛遍漓江，只能在携程上找了个一日游产品坐大巴到“兴坪古镇”的“兴坪码头”附近游江，绕一圈后返回兴坪码头再坐车回桂林。 3、兴坪古镇是一个古色古香的江南小镇，最早记载于三国时期吴国甘露元年（265年），2006年重修，1998年还是渔村的时候接待过美国时任总统的克林顿和她夫人、后来的美国国务卿希拉里的到访，目前街道上青色砖瓦的古建筑颇多，饶有韵味，“古戏台咖啡馆”所在的建筑颜值很高。漓江兴坪段有“20元背景图”、“螺狮山”等景观。 4、不久便到20元人民币背景拍照地，可惜游船停在西岸，正确停靠位置、当年的拍照点应该是东岸，所以拍的效果跟人民币背景有些出入，因为是公共游船也无法改变。游船在这里停靠时游客可以登上游船顶拍摄，有时别的游船会遮挡，所以要考验运气了。此处江水清澈见底，栽有修长高碧翠的凤尾竹，据说是1965年周总理游览漓江时，认为岸边有些单调提议栽种的。另外，人民币竹筏上的老爷爷和刘三姐扮演者黄婉秋均在不久前去世，有些惋惜。
2021-07-13,未知,5,希望有生之年把人民币所有的背景图都走到。这也是一种旅游方式，毕竟能够上法定货币的背景图的景点，都是比较经典的。 从桂林坐船到阳朔，就会途径这个景点，确实很漂亮。两岸的山峰秀美，漓江江水平缓清澈，山上树木郁郁葱葱，偶尔还有水鸟飞过。一些或大或小的游船在江面行驶，人在画中游的感觉。 要看二十元背景的风景，如果是从桂林到阳朔，则要待船行过背景图上的山峰，到船尾回头看，才能看到全景。从阳朔到桂林的话，景点就在船行驶前方了。
2023-07-09,广西,5,二十元人民币背景图位于阳朔县兴坪厄根底村，沿着漓江边有多个观景点，可以从不同的位置观看。这里风景如画，值得一来，而且在江边还可以花 20元钱在竹筏上和鸬鹚拍照。
2022-10-31,江苏,5,来阳朔必须打卡的一个景点，二十元人民币背景图，自备纸币，路上会有很多都自称是最佳背景图的地方，角度稍微会有点不同，自己找个合适的拍照就可以，不和鱼鹰拍照就都是免费的，值得来一下
2022-05-17,未知,5,景点位于漓江兴坪古镇段，是阳朔当地著名的古八景之一，新版20元人民币背景图就选用的这处风景，这里山水相宜，自然风光优美，免费对游客开放。
2023-04-14,河南,5,来到兴平旅行，我们一定要看的一个景点就是20元的风景区，这里是20元人民币的取景地，很多人慕名而来，拿这20元人民币和他来一个合影。建议大家如果来拍照的话，早点来来，晚的可能会人山人海。
2020-05-10,未知,4,二十元人民币背景图位于广西壮族自治区桂林市阳朔县兴坪镇漓江边上的一个叫黄布倒影的景观，该处是漓江风光中最精华的那个部分。也是人们游览漓江必到之处。
2023-03-15,广西,4,人挺多的，去的那天天气有点阴天，河里竹筏的大爷，拍照20元一人，有鱼鹰表演，人真多，还有拍婚纱照的，景色很美，就是水有点浑浊，有点味～，其他都好
2020-09-14,未知,5,兴坪值得大家去一个小时，逛逛走走，坐竹筏下阳朔也可以。 【景色】空气好 【趣味】看看20元人民币背景吧，毕竟20元都看不到了。
2020-05-10,未知,3,阳朔必去景点之一，客栈的门口就是20元背面景点，但是角度并不是最佳，所以刚开始看的时候没有感觉，然而我们沿着漓江往回走的时候发现那里的角度才是最正宗的，几乎所有带纸币的游客都会拿出一张纸质20元对照一下是否完全一样。
2021-02-27,未知,5,20元人民币背景图，其实是漓江上面一个比较有名的景点。在兴平古镇坐车，然后到朝板山，在岸边也可以看到这个景点。我们是冬天去的，树叶有些凋零了，但是风景依然还是很美。
2021-10-13,未知,4,二十元人民币背景图，在广西桂林市阳朔县兴坪码头附近，需要沿着一条小路走下去，拍照的人非常多。可以在附近江边趟趟水，也可以沿途看看风景
2023-06-23,湖南,3,好无聊的景区。坐船没看头，而且就是推销照片的。船很挤很吵很热。由于天气不好，而且我是从十里画廊过来的，感觉这边真的好普通。景色不错，但是没有遇龙河好。趣味不高，没啥玩的。性价比低，不推荐。
2020-08-09,未知,5,黄布倒影—新版20元人民币的背面图案
2023-08-16,广东,3,我去此处20元人民币背景图观景台时，漓江算是枯水期，感觉没有那么美，但好歹也是阳朔一个标志物，来了还是要打个卡的，对照着20元感觉很是亲切和神奇。
2023-07-05,北京,5,真的很不错，非常不错的地方，以后还会再去的，真的很不错，
2021-07-29,未知,4,免费的景点，但仃车要收费，都是当地人收的，暑假人挺多的。
2022-10-05,上海,5,这是一个很不错的地方之一，强烈推荐一下给大家一起去玩的
2023-06-04,北京,5,全方位无死角的干净，性价比超级高，值得推荐
2022-06-11,未知,1,该景点根本就不值得去，所谓的背景图，拍照地点，虽然标注免费拍照，但当地村民都占了用来收钱(10元)。且沿途太晒了，要去就直接导航到背景拍照地，停车费20元次。阳朔大把景点好过它，极力不推荐。
