date,ip 属地,评分,comments
2023-09-01,山东,5,20230317上午： 1、“云峰寺”位于5A景区“两江四湖•象山”。该景物是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象山”（也称“象鼻山”）两大区块，入园均免费，前者适合夜景，后者适合白天游览。入园免费。 ①地址：桂林市象山区民主路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、云峰寺该寺始建于唐代建成的“温灵庙”，宋嘉定七年（1214年）由官员方信孺扩建，建成书斋“云崖轩”，明代又增建主祀方信孺和南宋名臣、文学家范成大的“范方祠”至清代改名为云峰寺。清咸丰三年（1860年）太平军围攻桂林的指挥部便设于此，历史上多有损毁和重修，最近一次损坏是在抗日战争时期，重建于1953年年。室外的石窟小佛像下的“放生池”里金鱼密密麻麻游弋，旁边立有亭子。寺内目前以商铺为主，二楼是“天平天国陈列馆”，馆内只有一间，以文物、图文的形式展示了太平天国攻下桂林城，以及被清军反攻时战略撤退的前因后果和作战过程。
2016-07-06,未知,4,位于象山景区内，虽然免费开放，但要参观就必须先买象山的门票。纪念馆内没有太多的介绍，主要是一种纪念地的形式，纪念当时太平天国以象山周边作为主攻的战场，也展示出在桂林市区相对较平顶的象鼻山之重要性。
2016-04-23,未知,3,纪念馆在象山景区内，免费入场，主要是介绍太平天国及几位主要人物的历史，但个人感觉不算深入，而且材料也不是太完善。但既然到了景区，就一看无坊。
2016-10-24,未知,5,太平天国很值得大家区玩玩看看。希望各地的朋友们有时间一定要去玩下。
2017-03-30,未知,5,一到周末放假，有时间都会去走走看看，呼吸新鲜空气，感受大自然的气息！
2017-09-04,未知,5,景色宜人……趣味十足，性价比高的一次旅行……一如既往的五星好评！
2017-12-18,未知,5,太平天国纪念馆，就是纪念清朝时期发生的太平天国运动
2021-10-12,未知,5,可以到此一游打个卡，如果时间太赶可以忽略
2021-02-01,未知,5,不错！！！！！！！！！！！！！
2018-03-03,未知,5,很好玩，了解历史可以通古明今。
2018-03-31,未知,4,记录的那段残酷历史，一群被邪教毒害的人悲惨地一生
2017-09-19,未知,4,里面的文物挺真实的，能学到一些东西，这个倒是值得一看。
2018-01-30,未知,4,来到广西值得看一看，太平天国发源地。广西出人才。
2017-11-21,未知,4,有时间走走了解一下不错，免费开放。
2017-10-08,未知,4,啥意思，有啥可纪念的，无聊得很。
2017-12-07,未知,3,在象鼻山景区里面，是免费的，不过位置不大，感觉陈列的物品也很少
2017-11-16,未知,3,该景点讲解了太平天国的一些历史事件，可使人们更多的了解历史！
2018-12-28,未知,3,什麼紀念館，就在不顯眼的地方放幾張圖，實在就是賣玉石的店。
2018-01-25,未知,5,走过路过，抬头见到，美好生活向往
2018-02-07,未知,3,纪念馆很不错 里面内容丰富 很喜欢
2016-09-20,未知,2,广西受太平天国影响很大，所以有不少地方都有太平天国的痕迹，纪念馆东西很多，可见当年的影响力。
2016-09-29,未知,2,这真是不知道怎么说好了！与其说是纪念馆不如说是寺庙，烟熏火燎的，我想说这样真的不怕象山受不了吗？桂林群众就不能爱惜点这美好的东西？
2017-01-30,未知,1,人工的假东西，里面都是卖东西的，是象山里面的一个小地方，我都没进去看
