date,ip 属地,评分,comments
2017-11-02,未知,5,侗族是母系社会结构，女性为尊男性承担家庭内务。这个村庄是住宿了原侗族人的景区 ，介绍他们的生活和文化，如婚姻文化、日常家庭结构安排、节日文化、饮食文化等等。导游也是侗族女性为主的，里面还有银器销售，一克25左右，不知是否符合市场行情，也不知商品是否真材实料。网上查了下说法不一没有买。可以看看的景区。
2019-07-11,未知,4,侗情水庄位于桂林市象山区二塘乡北芳大村东面，地处桂林旅游黄金通道---桂阳公路西侧，是精心打造的侗族文化主题景区，侗族擅长建筑，侗寨风雨桥、鼓楼、吊脚楼等建筑较具代表性。侗族建筑较大的特点就是造型独特，规模雄伟，多为木质结构，且整座建筑均以杉木凿榫衔接，不用一颗铁钉。银饰加工艺术是侗民祖辈相传的民族工艺技术，从事加工工艺的人，当地称之为银匠。侗族银饰的加工，要经过吹烧、锻打、镶嵌、擦洗和抛光等五道工序，全是以家庭作坊内的男工匠手工操作完成。 这里让人感动的不是风景，是这里淳朴的人民，有梦想有理想，为了山里的村民全都搬出大山的伟大愿望。
2018-03-20,未知,3,因为报了一个漓江一日游的团，行程里包括了这个桂林侗情水庄的景区，所以就去看了看。据导游介绍，这是政府为了穷困的山里的侗族人而兴建了一个侗族人的居住点同时也是旅游景点。带小朋友去看看还是挺好的，里面有侗族建筑特色的风雨桥、吊脚楼等、还会有侗族人为大家进行歌舞表演，展示侗族的民族文化。他们也会推销一些当地的银制品，没有强制购买，可以根据自己的需要来决定要不要购买。
2023-04-01,山东,5,20230314上午： 1、“侗情水庄”是以少数民族侗族风土人情为主题，集吃、住、赏景、人文于一体的综合性景区，也是在侗族人真实生活的村寨，在2014年由国家出资将生活在深山老村里艰苦生活的侗族人移居到舒适的城市周边，属于扶贫项目的一种。 ①地址：桂林市象山区象塘路331号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：2小时。 2、我在携程上买的“漓江一日游”产品里附带的此景区游览。入口处映入眼帘的是银色侗族图腾和木水车，高大壮观是拍照点。进景区后游客会被安排一位侗族导游带领讲解.首先来到“侗族民俗陈列馆”，馆外有个戏台，装饰与中原地区的差异明显。 3、陈列馆内部用实物、模型、图文的形式介绍了侗族的吃、穿、住、行、耕、婚、节日、音乐等习俗，侗族大歌是世界非物质文化遗产。第一个房间竟然竖立着很多个硕大的钟乳石，能把这么多大石头搬进室内也是用心了，桂林以喀斯特地貌闻名世界，几乎每个山都有溶洞。之后经过的婚房、银器和“富贵井”（高大的井亭增添了一股神秘感。出口处还有处“长寿井”，外形几乎一样）都是高颜值拍照点。侗族菜品的模型做得挺逼真，让人垂涎欲滴。 4、一出陈列馆后便是祭坛，但不能拍照。然后穿过数民族特色“风雨桥”，桥有阁楼式屋顶可以避雨，既像桥又像楼，桥口有景区提供的免费糯米酒品尝。桥上两侧挂有牛头骨，设小祭坛隔间，在以往旅程中较少见到如此接地气的少数民族桥梁。过桥后的“银壶广场”中央矗立着景区精华雕塑，一只大银壶“悬空”向下倒水，支撑柱隐藏在水流内，所以茶壶看似在悬空，周围是餐饮区。远处的“侗族鼓楼”像一座小塔，也是壮观的拍照点，鼓楼可以付费敲鼓祈福。 5、进入民居区，每家每户大堂上都挂有毛主席和习主席的画像。我们进入一户民居内，一位留有将近2米长头发的侗族婆婆为游客展示如何盘发，以及用天然洗米水洗头。最后是用银梳免费为游客刮痧的环节，然后不出所料地带游客去银器店购物。银器店门口，由十二生肖石像凝视的“百福银壶”是个拍照点。 6、银器店背后有一个表演戏台，景区可能会有表演节目。最后通过植物园区出景区，头顶上不断有战斗机飞驰而过，附近应该是个飞行训练场。至此游览结束，用时1小时多一点。中午在景区外的路边饭店吃的竹筒鸡，视觉效果震撼，但味道跟普通炖鸡差不多。
2020-03-08,未知,3,侗情水庄，是政府为精准扶贫，把原来居住于深山中的侗族古寨，整体搬迁到城市内，同时尽量保留侗家原本的风俗习惯，从过去的靠天吃饭，辛苦度日，转为专门为游客服务，向更多的人介绍侗家的风俗习惯，生产销售侗家手工业品和农产品的一个旅游景点。 进入水庄，先是一个侗族阿嫂为我们介绍了这个现代村落的历史，又有侗族阿哥献上芦笙曲欢迎远来的游客。然后阿嫂就开始带我们边走边介绍。侗族是一个母系社会，妻子在家里有绝对的权威，小伙子去找心爱的姑娘，还要爬竹竿。有文化和会普通话的村民可以为村落的旅游服务。水庄内还有传统工艺的手工织布，看见有游客过来，阿嫂没有主动兜售产品，却唱起了悠悠的侗歌，婉转悠扬。侗族人特别喜欢银制物品，不论是首饰，还是日常的用品，听阿嫂那么一说，银子简直就是包罗万福，包治百病了。刚去水庄的街口有一家卖糍粑的，是现场舂米制作，还热乎着，很是香甜。 景点内的建筑是统一修造的，据说当初是按各户原住民能够贡献的不同侗家工艺水平高低来分配的。每户家庭兼具日常居住和展示之用。各家的堂屋正中多悬挂着毛主席的画像，时代的特点统一而鲜明。 既然阿嫂把银子夸的那么神乎其神，自然我们的行程最后是以银饰铺收尾了。买了个小小的银手链，作为此行的纪念，同时就当为侗族水庄做奉献了。 我们这次旅游正赶上新冠疫情爆发，随着我们旅游行程的推进，就在这几天，各景点也相继关门停业，侗情水庄，其实就是我们原定行程马岭鼓寨的一个替代品，整个景区只有我们一个团队，在我们离开时商店也已经开始理货准备休业了。 侗情水庄，是我们这次旅游行程的最后一站。除了返程的航班，我们也没有什么地方能去的了。这真是一次终身难忘的旅行！
2018-07-07,未知,5,桂林侗情水庄景区是一个最具有侗族少数民族特色的旅游景区，最有代表性的侗族三宝既：侗族大歌、风雨桥、鼓楼都会让你叹为观止，一个非常优美的水庄，古香古色，地方特色浓郁，很多地方特色小吃，手工艺品等都很吸引游客，这里其实就是一个购物中心，手工艺品等特别多，不过价格都比较贵的
2019-04-15,未知,4,停车场离景区挺远的，要走一大段路。还要喝米酒过桥，搞了一整套的欢迎仪式。然后就是有一个侗族的阿嫂把我们带到家里，介绍银子的各种好处，被忽悠着买了三把银梳子。
2018-10-04,未知,5,侗情水庄是侗族同胞的居集地，是中国政府投资给侗族同胞修建的，也说明了政府对少数民族的重视，侗族同胞勤劳善良，能歌善舞。我们走进侗情水庄，侗族同胞用嘹亮的歌声、独特的乐器演奏欢迎我们。侗族乐器很独特，我虽然叫不出名字，但是声音很好听。
2018-05-25,未知,5,个人感觉还不错，景色优美，水特别清澈，真的是清澈见底
2018-10-24,未知,3,总体而言还是不错的，挺有民族特色，尤其织布和银制品加工，令人称奇。就是商业气息太浓了，导游一直推销银器，绕来绕去都是商业街。。。
2018-10-02,未知,5,侗情水庄是侗族同胞居住的地方，民居很有特色，更突出的是侗族的大歌，歌声悠扬，犹如天籁，已经申请世界非物质文化遗产，侗族同胞用歌声欢迎远道而来的朋友。
2019-01-12,未知,5,前段时间带了家人一起去了侗情水庄，他们是从一个偏远山区搬出来的！到了村寨有阿哥的芦笙还有侗族大歌迎接我们的到了非常热情，接着去参观了阿公们的手工艺，工艺果然不错，打造栩栩如生，忍不住给家人带了一款回家，以后有空经常去感受感受她们的风土人情。
2019-09-19,未知,5,桂林这里的侗情水庄来玩的人还是挺多的，这次是阳朔回桂林的时候正好到这里玩，在这里拍拍照片吃点东西还是挺不错的啊，而且来水庄正好下雨。
2018-02-08,未知,4,位于广西桂林的侗情水庄，是利用桂林的山清水秀打造的一座侗族民族文化的主题景区，更好地体现侗族风情，加上秀丽的桂林山水，景色宜人。
2019-10-10,未知,5,侗情水庄也是桂林周边一个很出名的景点了呢，来这里的人并不算多，这里和小的古镇差不多而且风景也很不错啊，在这里休息调整下挺好的。
2019-12-08,未知,5,侗情水庄市侗族的集居地，跟团游的其中一个景点之一，这里可以了解到侗族的一些生活习惯，还有侗族的建筑，虽然地方市属于人造景点。
2019-09-19,未知,5,侗情水庄这里是一个挺小众的景点啊，来这里玩的人并不是很多绝大多数都是旅游团哦啊，因为自己过来并不是很方便，参观了一下还不错。
2019-01-13,未知,5,今天来到桂林一个叫侗家古寨的地方，这里的风俗很有趣，有高山流水，有打糍粑，有对山歌等等，从入口到出口都感受到了浓浓的侗族风情，每个阿嫂阿妹都很热情，经过的风景也是非常的漂亮
2019-10-09,未知,4,侗情水庄是在阳朔会贵阳的路上路过的一个景点了啊，这里弄的也挺不错的但是自由行的游客不是很多，景区也相对偏僻一点名气也不大。
2019-01-13,未知,5,昨天跟朋友们到侗情水庄去游玩了。这里的村民非常热情。寨子里的文化代表带领了我们了解了侗族的民族文化，也带领我们参观了侗族阿哥们精湛的手工艺。同时我们还品尝到了侗族啊妈们亲手制作的侗家油茶。总之一路下来非常开心，收获也很大。值得推荐，大家有时间的话可以带上家人带上朋友去侗情水庄游览玩耍。
2019-01-13,未知,5,昨天一家人报团侗情水庄游玩了.里面的阿妈很热情.好客.阿嫂带领我们了解名族文化.还参观了阿哥们精湛的手工艺.里面的银子性价比很高.侗家小吃街里面很多小吃.味道让人流连忘返.是一个值得去的地方.
2019-01-13,未知,5,昨天跟同事到侗情水庄游玩，他们是从偏远山区搬迁出来的，他们边这里的村民非常热情，到了村寨阿哥们吹响了芦笙，唱起了侗族大歌迎接我们。这里的民族风情非常浓郁，是值得一去的地方。
2019-11-29,未知,4,也就是一个比较新的一个人造景的聚集地，其实也还算是可以，但是真的是没有什么意思的，一个地方，很多都是旅游团，过来会多一点，不便宜。
2019-01-14,未知,5,桂林恫情水庄是一个具有侗族少数民族特色的旅游景区，这里的村民非常的热情好客，我们还参观了这里的手工艺，打造得栩栩如生！风景不错，来桂林的朋友有机会一定要亲自去参观感受一下，很值得走一走！
2019-01-04,未知,5,今天游了侗情水庄，感觉非常的不错。地地道道的侗家人热情的接代我们 。听到了多声部的侗族大歌喝到了拦门酒。还打了糍粑。总之非常有意建议大家去玩 可以可领略到地地道道的侗家风情。
2019-01-14,未知,5,今天和姐妹们一起来到这个喊侗情水庄的一个景点游玩。不错哦，有好看的好玩的还学习到了很多民族保养身体健康知识。收获不小，没有白来感谢侗情水庄。
