date,ip 属地,评分,comments
2019-09-21,未知,4,从20元人民币背景观景台前往兴坪渔村景区可以在朝板山码头乘坐游船，这边有售票处，往返60元每人次。全程约6公里，用时60—80分钟。兴坪渔村是典型的明清暑期桂北民居特色，位于漓江边上，距今有500多年历史仍保存较好。
2020-11-12,未知,5,兴坪渔村处漓江边，建于公元1506年，传说为兴坪圩上达官显贵为择贵地迁此。村中房屋与圩上古建筑风格相近，青砖黑瓦，坡屋面、马头墙、飞檐、画栋、雕花窗、鳞次栉比，结构独特，具有典型的明清时期桂北民居特色，距今近500年历史，仍保存完好。
2019-04-10,未知,5,兴坪是漓江最美的一段，所以过来这边徒步是最好的选择，途中就会经过渔村这边，到时刚好过来的那天下暴雨把道路都差不多淹了，所以只能够走一小段路，很段路，如果完全走下来的话，可能要一个多小时，但是淹了的话就只能够走一小段大约走十多分钟就已经全身湿透了。
2023-05-23,广东,4,在兴坪，游漓江除了乘坐游船或竹筏，还可以租单车或电瓶车，骑着小电驴沿着江边逛逛，一路风景不错，各地段节点还有特色小吃，逛逛吃吃喝喝，非常惬意。
2021-04-24,未知,5,渔村风景还真是不错！空气也非常的好！近一点些年因为旅游业的带动，村里面建了很多的民宿，有品味的酒店也挺多的，是个休闲放松的好地方。
2020-09-01,未知,5,入住了一家非常有风情的特色小酒店，天台能看到漓江美景，故毅然改订它，果然没失望！天台360度一览古镇与峰林无敌全景！略微遗憾是看不到的也就是一点点的江面而已。
2020-08-31,未知,5,兴坪古镇就是在阳朔高铁站附近的，渔村就在兴坪古镇码头对岸。俺每次来都喜欢选择先到古镇住一晚，这里是漓江风光精华区，既然顺道当然不错过，以前没高铁时俺可不一定从阳朔过来。
2022-08-08,四川,4,漓江的精华段说的就是兴坪这边了，景色是真的不错。并且这岸边还有不少的民宿客栈，选择房间的时候尽量楼层高一点面对漓江的，一般很多房间都有阳台，这样一个人都可以在阳台对着漓江发呆一下午。还有就是20元钱背景图案也在这里，都到这里了肯定要去看一看。
2022-07-27,四川,4,兴坪烟雨漓江情――兴坪佳境当然是漓江最美代表性风景之一了，因此俺每次都是必来打卡的，而且就在阳朔高铁站附近，当然绝不错过顺道一游，5元大巴不到10分钟到达好像有点偏贵，但是在此转中巴10元去阳朔比直接去20元还省5元哦，多游一地何乐而不为？！可惜连日暴雨导致江水混浊，失却了清清漓江水之美，也是略微遗憾的。为啥上次来一夜惊天大暴雨后依然清澈？估计是没有连日下吧。
2022-04-22,未知,4,兴坪渔村紧邻漓江，交通便利，有旅游大巴可以直达，这里群山环抱，风光优美，环境清幽，一派怡然自得的田园风光，免费对游客开放。
2023-06-26,浙江,5,兴坪渔村位于漓江边，建于公元1506年，传说为兴坪圩上达官显贵为择贵地迁此。村中房屋与圩上古建筑风格相近，青砖黑瓦，坡屋面、马头墙、飞檐、画栋、雕花窗、鳞次栉比，结构独特，具有典型的明清时期桂北民居特色，距今近500年历史，仍保存完好。
2019-05-11,未知,5,環境不錯。老孫到此一遊，哈哈，有時間就過來看一下吧
2020-12-11,未知,5,美丽的小渔村，青砖绿瓦，富有年代感
2020-12-11,未知,5,小渔村位于漓江边上，山清水秀。鱼儿成群结队
2022-03-24,未知,5,兴坪村依山傍水，景色真不错，我很喜欢。
2022-07-14,未知,2,临近暑假，游客众多。接车导游还可以。但对本次漓江游游船给予严重差差评，售票大厅拥挤闷热喧哗座位都无，楼上母婴室形同虚设（没开），这都不是最重要的。登船后导游令人头痛，全程都在贩卖产品，特别严重。毫无服务意识，还不如不要讲导游词，破坏意境，到了点就停在那里，隔壁的船都挡住看啥看？
2022-07-14,未知,1,这么小儿童买票的意义何在？都不需要坐，另外，还没返程空调就关了，窗户不敢开怕万一掉进去就玩完了，简直太坑。热得要死还要听导游聒噪的过度贩卖产品，一路心情不爽。
