date,ip 属地,评分,comments
2019-02-13,未知,4,兴安这座古城因秦始皇修建灵渠而名闻遐迩，于是和秦始皇结下了不解之缘，城市里到处可见秦始皇以及秦兵手持兵器的雕像。郭沫若来此留下了著名诗篇。历史人文古迹众多，总体评为4A级。
2020-02-03,未知,5,千古灵渠，值得一游，建议请导游给讲解，秦朝三大水利工程之一，华嘴，大小天平的三七分水，真的值得称颂，古人的智慧水利工程的绝妙。
2017-02-11,未知,5,好，非常的好，大家可以组团了，值得拥有，这些地方真的令人流连忘返，如果没来过电话的，加油，让自己放松轻松，才可以做得很好
2019-11-23,未知,5,夜晚到的，一遍繁华景色，色彩斑蓝
2016-02-12,未知,5,兴安有灵渠，水街，乐满地，这些景区是人们休闲的好处去，值得来
2017-12-23,未知,5,小桥流水人家，古香古色的小镇，风景怡人
2016-02-16,未知,5,这个地方值得去蛮好滴景色优美舒服
2016-03-05,未知,5,感受大自然的好去出很美值得一去
2018-04-26,未知,5,灵渠、乐满地、华江、烈士纪念碑公园、湘江、水街
2016-06-16,未知,4,来兴安主要就是为了灵渠的，著名的水利工程的确令人赞叹。
2016-09-18,未知,5,南有灵渠，北有长城。兴安灵渠历史悠久，果然不同凡响
2023-07-02,山西,5,这里风景优美如画，是非常值得一去的地方。
2021-02-13,未知,5,兴安灵渠美如画，之前每天早起去灵渠晨跑
2017-11-04,未知,5,山清水秀，绿树成荫，景色优美，空气清新
2023-06-11,广西,5,热门旅游目的地，可以去看一看玩一玩
2023-07-09,上海,5,景色优美，趣味性强，性价比超高
2017-04-15,未知,4,空气很好，田园生活，值得来转转
2017-12-24,未知,4,这里是个比较安静的小镇，潺潺流水，休闲的人们，值得在此小住。
2017-06-04,未知,4,和家人一起，来一场说走就走的旅行
