date,ip 属地,评分,comments
2021-01-06,未知,5,兴安水街是指古灵渠流经兴安县城长约一公里的街市，是国家四A景区，历史上俗称水街。整个水街景区由秦汉建筑文化，古桥文化，古雕塑文化，灵渠历史文化，岭南市井风俗文化五大部分组成。“秦文流觞”是兴安古北门的所在地，也是水街的入口，以“秦文流觞”进入水街，秦时古风的历史感油然而生。清代诗人苏家曾这样形容，“径缘桥底入，舟向市中穿，浆脚挥波易，篷窗买酒便”。清流潺潺，垂柳幽幽，兴安水街以它独特的历史文化，让四方游人体会到不一样的感受。
2021-01-08,未知,5,兴安县城的灵渠北岸，有一座跨越双女井溪上的石桥，人们称它为“马嘶桥”，桥虽然不长，却有一段生动的故事。据讲东汉马援其坐骑至比扬蹄嘶叫，不愿过桥，一看该木桥已朽，乃修而得名。
2022-04-28,未知,5,兴安水街是灵渠流经兴安县城区的一段水路，渠道两边的仿古建筑古香古色商铺林立。沿水渠有秦王城等楼台亭阁桥等景观。兴安水街与灵渠景区相连，水街这边是免费的。
2017-01-05,未知,5,在灵渠内，水很清澈，人很少，有很多古老的石桥，水街两侧都是树，不过后面居然都是民居，有点乱入的感觉。去的时候不是高峰，所以基本没有小贩。很安静
2017-02-22,未知,5,好好哈哈哈红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈哈哈哈哈红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈哈哈哈哈红红火火恍恍惚惚哈哈哈哈哈哈哈哈哈哈哈
2021-01-12,未知,4,兴安秦城水街景区是指灵渠穿过县城一段两岸的街区，长约1公里。整个水街景区由秦汉建筑文化、古桥文化、古雕塑文化、灵渠历史文化、岭南市井风俗文化五大部分组成。具体景点有秦文流觞景区、娘娘桥、万里
2017-07-22,未知,5,水街景区由古建筑、古桥、古石雕木雕、灵渠、岭南实景风俗文化组成。包括秦皇宫。很有江南水乡的味道，很喜欢水街的夜晚，灯火通明的样子，很漂亮。
2022-12-05,河南,5,秦始皇时期的遗迹！可以一游呵！
2021-12-10,未知,4,秦城水街位于桂林市兴安县，虽然秦城有蛮多建筑是后面建的，但水系还是保持了原来韵味。小桥流水人家的感觉
2021-07-27,未知,5,设计风格还可以，环境好差，亮化不行，淘汰了。
2018-03-12,未知,5,漂亮呀，欢迎你来兴安玩，兴安人民欢迎你
