date,ip 属地,评分,comments
2019-04-10,未知,5,还行高兴高兴高兴高兴还行还行还行
2015-11-17,未知,5,同事一款来的，刺激具有挑战的活动能够释放工作压力，克服空中恐惧，增进彼此了解。不错。
2019-02-12,未知,4,冒险树采用各种各样的障碍环节将树连成一条线路，玩家需要通过爬、滑、游、跨、跳、飞等动作越过所有障碍，到达终点。
2017-08-15,未知,5,很好，好久了，都忘记了，看到刚看到评论
2019-06-30,未知,5,带孩子一起去玩的，还是有特色的。
2015-11-01,未知,4,好的说得好，12345关注栏688901
2017-06-21,未知,5,很想去，景区应该不错的，而且票价不贵。
2015-10-19,未知,3,这是在桂林市七星景区内骆驼山旁一个公园内的一处小景点，主要是探险类的，类似于户外拓展，喜欢刺激的朋友可以去试一下。
2015-11-03,未知,4,离市区不远、适合年轻人的小型主题公园、可进行探险和搞一些拓展活动。
2018-04-16,未知,4,觉得比较适合小朋友玩 在七星公园内 当然风景还是不错的
2019-03-29,未知,4,场地很大，拓展项目很多，适合朋友们一起来玩
2017-07-07,未知,3,这个地方不是特别好玩，参加一日团过来的。
