date,ip 属地,评分,comments
2020-07-07,未知,5,"冠岩，是一个具有千年人文历史的地下溶洞，素有“兼山水之奇”的美誉。早在公元1637年，徐霞客就慕名前来并以冠岩记载于《徐霞客游记》中，""冠岩""之名便因次而得。 冠岩洞内宽敞，像宫殿一般，前后透光，所以又叫“光岩”。岩分三层五洞，层层相叠，洞洞相连，逶迤曲折，上面两层为旱洞，洞内悬挂着各形各态的石钟乳，曲深幽长约3公里，最下一层是地下暗河，长约700余米，河水清冽，哗然有声。“洞府深深映水开，幽花乱石白云堆。中有一脉清流出，不识源从何处来。”明代蔡文的这首诗道出了冠岩的神秘奇绝。"
2016-08-14,未知,5,到桂林早上8点从客运站每人20元直接到冠岩的大巴，中途路过古东瀑布，可以下去看看，大约用2个小时。还在原地坐车。到冠岩，先是步行，再坐小船，最后坐小火车，沿途溶洞景色很美。
2016-11-28,未知,4,冠岩位于风景秀丽的漓江中段，其自然景观、田园风光及风土人情独具特色，是百里漓江精华段唯一开发的旅游风景区，被誉为“漓江明珠”和“漓江零距离景区”。坐船、坐电瓶车、坐电梯、坐小火车游玩，好有情趣的样子。
2015-11-25,未知,5,"冠岩-----有“海陆空” 立体多方位畅游的说法。冠岩洞内配备了自动光控、声控导游系统,有轨电车、观光电梯与洞内奇绝的自然景观相辅相成,为国内独具特色和韵味的水、陆、空游览洞。洞内的小火车、铁皮船、电梯很有意思。"
2015-11-06,未知,4,桂林的溶洞真多啊，去过银子岩，再去冠岩，原本以为无惊喜，去了之后才发现别有洞天。首先是海陆空三种游览方式，小朋友很喜欢。电梯很高，透明的，可以看到外面的景色。下去之后，各种钟乳石形态各异，经过灯光的打映很漂亮。里面有个大酒窖--话说好像好多岩洞都有酒窖。一路走去，看看石头看看水--因为高低落差，会有些洞内小瀑布。排队坐了一下小火车，回程又坐的船。船在全黑的地下河上走，每个位置配一个小电筒可以自己打光看景，经历还蛮特别的。江苏宜兴的善卷洞也会坐船，但是都有灯光打，云南九乡溶洞也有好高的电梯下到谷底，但这里还是很有特色，觉得值得一去。洞里还有个洞中洞，据说是新开发出来的，要另外收费，我没有去，主要觉得自己不是岩洞爱好者，在我眼里看钟乳石看瀑布都大差不差，有特别爱好的可以进去看下到底什么情景。 溶洞出来就是爬瀑布，这个特别有意思，去过很多地方，倒是第一次玩这种。先是走进去，风景很不错。走到瀑布下面，要自己花钱买装备，导游说不买装备不给进去，后来发现其实好像也不是那么严格，就是多了一项收费而已。价格分两种，区别在于有没有带一次性雨衣。头盔、草鞋、手机防水袋是标配。与水与瀑布零接触的感觉，在夏天非常爽。很喜欢。爬了两段瀑布，在水潭里玩了一会儿，孩子特别开心--去玩一定要带水枪之类的戏水工具！！ 过了瀑布上山，天热有点闷，山不是很高，一会儿就到了。但是一路上会有忽悠，包括下山的时候也是，山上小火车缆车之类的会告诉你自己走要半个小时四十分钟之类的，让怕热怕累或者觉得赶时间的人很动心去坐他们的工具。其实我自己带着孩子，下山就十多分钟--小火车的人说至少要四十分钟。结果我们到了山脚下，那些排队坐小火车的人还没等到坐车呢。下山的石头台阶上还有许多当地方言的注解，走走玩玩比傻等排队有意思多了。 总之是个好地方，夏天去桂林有时间特别是带孩子的，可以去一次。
2016-05-24,未知,4,冠岩距桂林39公里，开车1个小时左右，号称海陆空全覆盖的游览方式，最好玩的我觉得就是进洞的滑道，挺有一翻趣味。洞里有些凉快。注意给小孩保暖。里面有船，电梯，小火车几种游览方式。景色还算可以。
2017-01-31,未知,5,值得 亮点→冲着徐霞客游记，就不虚此行 亮点→洞内景观非常好，但要注意拍摄方式 攻略→小火车，观光电梯，船行，手机拍大片全程录制视频最好，静观景观如生命之花，瀑布，可拍照片。 美中不足→商业味重，趣味性不强，性价比一般。洞内洞外有区别，旅游指南不强。
2016-06-23,未知,4,冠岩景色主要是溶洞，开始坐两人一个车的小轨道车，自己驾驶挺有趣，就是速度慢。洞里面的瀑布很大，钟乳石奇形各异，非常漂亮，最历害的是洞内坐船、坐小火车、38米高的观光电梯，外加步行，很有意思。
2017-04-02,未知,5,好评洞内很凉快洞外大太阳冰火两重天 走里到进洞坐船大概要三十分钟这样子 洞内有很多漂亮的钟乳石 坐船游地下河再换小火车 在洞内大概游览三四十分钟这样 进出有云霄电梯 电梯很高
2015-12-21,未知,5,冠岩是早期开发的大型溶洞景点。 进入景点的方式挺有意思。先乘坐电梯下到溶洞内，随着游览的深入，依次换乘小火车和游船，既省时又省力。溶洞内各种钟乳石，石笋在灯光的映衬下千姿百态，美轮美奂妙不可言。
2021-03-12,未知,5,世界溶洞之冠——国家AAAA级漓江冠岩风景区地处桂林市南29公里的草坪回族自治乡，位于风景秀丽的漓江中段，其自然景观、田园风光及风土人情独具特色，是百里漓江精华段唯一开发的旅游风景区，被誉为“漓江明珠”和“漓江零距离景区”。冠（guàn）岩，是一个具有千年人文历史的地下洞溶，前因洞内泉水甘洌而名“甘岩”，后因其山外形如朝冠而更名“冠岩”。早在公元1637年，徐霞客就慕名前来，成为冠岩第一个探洞名人，其在《徐霞客游记》中详细记载了冠岩，“冠岩”之名便因他而得。冠岩景区占地面积6000余亩，形成了以冠岩地下河为中心的集旅游观光、会议疗养、食宿娱乐为一体的桂林最大型综合游览度假区。其中冠岩全长12公里，岩洞规模宏大，气势恢弘，钟乳石琳琅满目，色彩斑斓，现有洞内游程3公里，洞内共有步行、乘坐观光滑道、乘观光电梯、乘坐洞内小火车、在地下河浮桥中漫步等5种游览方式，游览时间约90分钟。
