date,ip 属地,评分,comments
2018-09-22,未知,5,刘三姐景观园是一个广西民俗文化主题公园，坐89路到胜利桥下。从进门开始就有壮族的民俗表演，竹竿舞、三姐对歌、壮族娱乐表演、刘三姐电影片段演出、斗鸡等等，还可以参观壮族、瑶族的寨楼。提醒大家，公园里的活动不要参加，参加了就要钱，实在无语。个人觉得景观园本身演绎了壮族民俗文化还不错，可是商业味太浓，处处都有收费陷进，实在不咋样，大家去的话要多留神。
2017-12-06,未知,4,刘三姐大观园，原名桂林刘三姐景观园，坐落在风景怡人的桃花江畔，占地一百多亩，实际好像没那么大，以刘三姐文化精华为主题，集观赏、娱乐为一体的休闲游乐场所，是旅行社比较爱推荐去的地方。很多游客不推荐去，进门就是抛绣球，男人们一般都会被选中，进屋后，交彩礼25元，然后入洞房就是再次索要小费，表演有一些，歌舞之类的，里面还有很多推销，银饰。不建议买。
2017-08-11,未知,4,刘三姐大观园也是去桂林后应该去的景点之一，4A级景区，是一座展示刘三姐文化及广西少数民族文化经典的主题游园，整个游览过程两小时左右。园区内较为平整，无需攀爬，强度不大，适宜老人和孩子前往。因为电影《刘三姐》的成功拍摄，在这里游客可以零距离领略和体验刘三姐文化及广西少数民族文化精粹和乐趣。园外山清水秀，倒影如画，有桂林古八景“西峰夕照”、桂林续八景“阳江秋月”；园内亭台楼榭、峰峻洞幽，有桂林生态乐园之最百鸟园；还有按照有电影《刘三姐》剧情里的的壮楼、莫府，阿牛家等等，有不少场景游客的参与性比较强，在侗寨鼓楼附近还有壮族等文艺表演。
2019-08-17,未知,5,刘三姐是广西壮族的标志性人物符号，桂林的刘三姐大观园环境，以少数民族特色结合自然风光，打造出了经典的刘三姐大观园，参观这里了解刘三姐的故事！
2017-04-03,未知,4,刘三姐大观园里的景色很美，各民族风情的房子也很有特色，红色的百岁长廊蜿蜒曲折，犹如一条红龙盘旋在湖边，阿牛哥的家，莫老爷的园子，让人犹如穿越到了刘三姐的故乡。
2017-04-05,未知,4,大观园里风景很美！突出的展示了传说中刘三姐与阿牛哥及莫老爷的生活场景。也集中展示了广西壮乡古老的民族风情园。我觉得无论是当地游客还是外地游客都值得去一去。
2015-12-13,未知,3,之前趁着活动就和朋友一起去，十块钱门票，但由于是晚上去，所以看到了唱山歌表演以及篝火晚会，也有斗鸡表演，但是工作人员更希望游客参与竞猜（要钱），晚上去的话就这几个活动，白天去倒是有人指引去各个景点，但是门票确实不便宜。
2023-04-07,陕西,5,20230315下午： 1、“刘三姐大观园”是位于桃花江畔的刘三姐主题园，集合少数民族人文、风景、娱乐于一体，体验壮族婚礼和演出是景区特色，是较年轻的新晋景区。广西共有11个少数民族居住，景区里会展示其中的4个，即壮族的山歌、瑶族的铜鼓、苗族的舞蹈、侗族的四大建筑。 ①地址：桂林市秀峰区桃花江路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、景区有免费讲解带领参观，散客需要凑够几人后才能出发，可在门口的“芦笙亭”上休息等待。不过由于旅行团人多随到随走，所以建议随便跟个旅行团听讲解参加互动节目即可。南门是唯一的出入口，进门后正对着的“古榕情缘”是一株上百岁的大榕树，树上挂满了红色绸带，以祈福子孙后代健康平安，树下有放大版的绣球等物件装饰，这里展现的是电影《刘三姐》中刘三姐抛绣球与阿牛定亲的地方。树后是景区官方拍照点，背景是北侧湖中小岛上“金蟾对歌台”上一尊硕大的张嘴金蟾，照相处立有“对歌歌词”，猜想景区以前应该有游客跟对岸歌台中央的工作人员对歌的项目。湖边有风车、竹筏等当地特色小景观，但是通往湖心岛的石桥封闭不能通行。 3、旁边的瑶族“刘三姐故居”两层木制民居，二楼是瑶族少女的闺房，瑶族青年求爱时要顺着房柱向上爬，如果女方喜欢男孩会拉他一把，不喜欢的话会泼洗脚水。民居的一楼的一间目前是员工休息区，另一间是闺房布置，二楼不能上。民居旁立有壮族壮观的大铜鼓。 4、逆时针从东侧“风雨桥”（侗族四大建筑之一）逛园，桥一侧是湖景，一侧是有关刘三姐的10副画作，上面有刘三姐所唱过的山歌、情歌、骂人歌的歌词，导游会为游客献唱一段。传说中的刘三姐最后骑上鲤鱼升天成为歌仙，现实中的刘三姐扮演者黄婉秋在今年年初刚刚去世，另外，1999年版20元纸币的桂林山水背景里划竹筏的老爷爷也在今年年初去世，很可惜。桥北端细细长长的鼓是放大三倍版的“瑶族长鼓”，鼓面用羚羊皮制成，正常大小的鼓是系在腰间拍打的，又称“腰鼓”，每年三月三对歌节时瑶族人会以鼓会友。桥对面的环湖长廊里展示了少数民族特色服饰。 5、景区东北角是反派莫老爷的府邸“莫府”，装饰豪华，内部和二楼都不能进，在建筑外与轿子、石狮同框的效果还是很不错的。莫府隔壁是“阿牛家”，正常民居是三层，一层养牲畜，二层居住，三层储存粮食，但阿牛以捕鱼为生，大部分时间住在竹筏上… 字数超限，在最后一张图片里继续。
2017-10-30,未知,4,感觉就是各个表演在一起的一个集中地 坐着船看表演 上岸就走一圈 有点像民俗村的感觉 可能是对这方面不如对自然风景感兴趣 总觉得一般般 像是打卡流程的地方 不太值得一玩
2017-02-04,未知,5,这是一座以刘三姐为主题的，融汇了广西的壮族、瑶族、侗族等少数民族建筑特色、艺术表现等为一体的山水观光园。在这里有铜鼓、长鼓、风雨楼，以及刘三姐表演等。
