date,ip 属地,评分,comments
2016-11-21,未知,4,由于住在阳朔，晚上就去刘三姐景区观看的{印象刘三姐}的演出，演出的场景布局的很大，最远处将几百米外的山体照亮作为大背景，与现场的灯光秀一起组成大舞台。演出是俯视的角度，以人员众多的大场面和身上的灯饰构图，张艺谋的惯用手法。演绎的故事情节看不大清楚，基本都本吸引到灯光图案和群体性动作构图上去了
2016-09-03,未知,4,其它都好，就是携程买票太坑爹，买了自己在景区或阳朔县内拿不到电子票。要去票贩子那里拿，明显的二道贩子从中挣差价。你要拿票快捷我也不说了，害得在售票前一个小院子等了1个小时。
2017-12-04,未知,5,因为太迟去到阳朔，所以急急忙忙去到取票，演出好一般，建议大家不要抱太大期望。就是演出人数很多，起码一两百人，场面很壮观，背景也好看。怎么说也是实景。
2016-12-12,未知,5,＂印象刘三姐＂确实值得一看，数百人参演，以天地水景为背景，场面壮观，画面感强，很美。虽然票价小贵，但是演出对得起这价格。要说缺点，那就是观众了，不文明人太多，现场嘈杂，影响观看，还有人吸烟，污染环境。
2015-10-28,未知,5,从刘三姐歌圩码头至福利镇漓江两岸、山峰奇特、神似形象、水清澈见底、百舸争流、风光旎丽、非常壮美、真乃大自然的鬼斧神功。
2016-05-21,未知,3,都说桂林山水甲天下，阳朔山水甲桂林。<<印象刘三姐>>既增添了当地文化色彩，又 为增加旅游收入立下大功。十年内去过两次，也看过两次演出，让人担忧的是整个演出 没有激情，演出质量严重下降，现场再也听不到以前暴风雨般的掌声和喝彩声了，就连 初次观看的同伴们都说不咋的。希望当地政府部门应引起重视，别让这一知名旅游产品 毁在自己手里。<仅供参考>
2017-04-23,未知,4,挺不错，环境很好，画面很美，晚上坐那里稍微有点凉，只是价格有点贵，性价比不高
2016-12-10,未知,5,非常感动！感受到桂林的历史和乡土气息～
2016-04-29,未知,5,这里非常值得大家的游玩 在现场看了一下节目非常有震慑力 希望大家可以来看看
2018-10-07,未知,5,祖国各民族同胞大团结在这里体现的淋漓尽致，到景区首先有少数民族兄弟姐妹唱歌、跳舞、乐器演奏，来展示各民族的文化，之后带着游客跳民族舞，气氛非常欢乐。
2018-09-16,未知,5,刘三姐水上公园风景区是闻名中外的电影《刘三姐》外景拍摄地，这里山清水秀，江面宽阔，群峰倒影，村庄田园，翠竹掩映，宛如一幅幅奇妙山水画卷
2019-10-04,未知,5,印象刘三姐表演很精彩，很好看，山水很美。
2017-10-07,未知,3,老谋子的场面永远是一流的，色彩、灯光、气势、壮观。但文化挖掘不深刻，流程松散不紧凑，缺少话外音让人看不懂，所以除了表面的精彩无法有心里的共鸣和震撼！
2018-08-04,未知,5,值得一去，山水画一样的感觉！赞
2016-07-09,未知,4,印象 刘三姐，订票150元/人，还不错哦，值得看，听说有七百多演出人员，这里的演出人员全是附近的村民，他们白天干农活，晚上来表演。
2016-03-14,未知,5,有机会带家人再过来，太漂亮了！非常震撼！
2018-05-10,未知,5,"山美,水美，人也美。必吃烧鹅，啤酒鱼。"
2015-11-11,未知,4,如果看过奥运会就会明显在这找到张艺谋的影子，不同的是在山水间演出，如果时间和预算都不紧的话建议看看，红绸子和月亮的片段挺好的，后排的整体效果要比前面好一些。
2016-12-08,未知,5,值得，我觉得去那里过一下夜景，那里人也多更多的是年轻漂亮的女孩。
2017-10-24,未知,5,超棒超漂亮，阵容强大，就是时间太短、停车场太小，还要另外收费
2016-02-23,未知,5,当地风情，不管到那都值得去看看，体验一下
2016-02-14,未知,2,大家小心路边50元小舞台的门票！都是假的
2018-04-01,未知,4,还是不错的，演出挺棒的，设计的很好，就是蚊子比较多，注意防蚊。演员大多是周边的山民，很纯朴的，声音很美，非常值得去的地方。
2017-02-05,未知,3,张大导演的风格，场面恢宏！内容说不出来来了阳朔，不看遗憾，看了又觉得没啥意思，买的是贵宾b2区，位置还好！亲们！来了就看吧
2019-10-04,未知,5,非常好看，非常壮观震撼。非常值得看。
2017-07-03,未知,5,很好，我们非常地喜欢，大大的赞！
2017-07-15,未知,5,很好，来桂林值得一去的地方！
2017-10-17,未知,5,晚上去那边看老谋子的印象刘三姐，户外实景表演，尤其七八月去，很赞！
2019-08-25,未知,5,这种水上大型节目，我特别喜欢看，灯光，场景，演员都值得一看
2017-08-27,未知,4,去看印象刘三姐的地方，印象刘三姐还是很值得看的，美轮美奂。
2016-10-07,未知,3,印象刘三姐真是一个坑。辜负了如诗如画的背景天然幕布。
2016-01-09,未知,5,大型水上演出，灯光效果非常棒，距离远一点看，朦胧美
2016-06-25,未知,5,总体非常不错，现场体验的感觉很震撼，灯光效果好！
2017-08-15,未知,4,到了阳朔也许都会来这里，感觉也就那么回事，不看怕后悔，看了小失望
2017-06-09,未知,5,演员越来越不认真了，表演没有活力。有点失望。
2016-05-06,未知,5,值得去看看，特别是带上老人去，客家别样风情！
2015-12-02,未知,3,一般般，太普通了！也没什么值得再去一次的。
2017-07-11,未知,5,此风景区景色很美，环境优雅，值得一游。
2017-04-05,未知,5,刘三姐都成桂林的标志了，不过确实不错。
2018-12-24,未知,5,网购取票方便，非常棒的景点，值得游玩
2018-02-14,未知,5,白天没什么好看的，主要是晚上看表演！
2016-10-05,未知,5,很美很漂亮很壮观要是时间再长点就好了
2016-09-06,未知,5,景色很漂亮，是一个非常值得去的地方。
2016-07-31,未知,5,比较壮观，景点有接送，还是值得一看的
2018-03-18,未知,5,历史人物历史悠久景色宜人含义感人！
2017-08-24,未知,5,非常好的景区，景色很美，必看景点
2019-10-04,未知,5,震撼全球，独一无二的实景演出。
2018-01-13,未知,5,合适第一次去的人 也算不错的
2016-11-03,未知,4,钻石水道，山清水秀，还有一些不错的表演，值得一去
2017-04-21,未知,4,风景很美 演出很静 另一样的美
2017-10-27,未知,4,好看非常漂亮的地方，没有再美的景色了
2017-09-28,未知,4,景色不错，后期人工修建，赞一个。
2018-01-05,未知,4,还可以 毕竟是刘三姐的标志性景区
2017-07-04,未知,3,张艺谋的作品，值得一看的。可以。
2019-09-05,未知,5,老牌水上秀了，经典值得再次重温
2019-09-10,未知,4,值得一看的景点，很时候老人看过的ren
2017-09-03,未知,1,最坑爹的地方，或许是我没有艺术细胞吧，不懂张导的艺术。
2019-08-09,未知,1,太乱了，演员乱，观众更乱，不值得来看。
