date,ip 属地,评分,comments
2018-10-12,未知,5,这里还没有收费，是永州有名的景点中景色最好的，比一些收费的强很多。没有过度开发，基本保持了原味，适合静下心多待些时间。住宿条件一般，价格合理。在村口一家餐馆吃饭，感觉有点黑，口味也差，要慎重！腊肉炒酸笋60，苦瓜炒肉30（肉有腥味），炒土鸡蛋30。
2020-05-20,未知,5,勾蓝瑶寨是勾蓝瑶人的祖居地，隐居在永州江永县，村庄历经千余年基本格局没有改变，特别是民族没有变，蒋、欧阳、黄、何等13姓没有变，家族一直传承至今，风景秀丽，具有民族特色的红土屋建筑别有洞天，是一个保存完好的世外桃源。 村庄没有商业污染，没有显眼的商业店铺，进村不要门票，村内有几家村民自办的民宿提供食宿，真是难得一见的原生态。一般上午会有旅行社带客人来游玩，大概停一小时，他们走了村里就只有零星的自由行游客，村里显得格外安静清新。 这里距桂林阳朔漓江仅110公里，比到州府永州市还近，适合自驾出行。
2019-07-29,未知,5,如果不是过来永州的话，都不知道有这个地方，永州的山山水水，还真的是蛮不错的，不过就是地方都比较的分散，这瑶寨就在上甘棠村的附近，所以从村里出来就顺便去了。 （地理位置） 这瑶寨是位于离上甘棠村，大概十公里左右的地方，路还是比较好开的，反正有一条小路过去的话就是了，也是属于江永县的。 （名字由来） 据说因为这里的地理位置比较偏僻，而且小村子里面的男性比较少，所以就有这个名字，也就是对外开放招上门女婿，瑶族的姑娘们都在哈。 曾经是一座比较神秘的瑶寨，在2011年才开始跟外面通道路，所以也是一个人少景美的地方。 （大门） 门口是维持着原来的风貌，但是又在原基础上面加多了一道门，这里的门城墙都是明代建造的，所以也是有一定的历史，外面就是大型的停车场，都是新开辟的，就算是五一也没有太多人。 （风光） 走进里面一路上都是苍苍翠翠，可能因为这边本身离广西就不是特别的远，所以能够看见像广西那样子的包子山，苍苍翠翠的。 一路穿行才走到居民区，有着小寨多特有的建筑物，比如说风雨桥，还有这边的小池塘，人也真的不是特别的多，在路上走动基本上都是游客。 每一片区域都有一条小水道经过，居民停悠闲的。 寨墙是最独特的，这种类似古代关隘的城墙保护方式在一个少数民族村落出现，非常珍贵。兰溪勾蓝瑶寨古建筑群不仅体现了当地较为高超的民间工艺，也集中反映了当地的习俗，加之千余年的瑶寨历史和丰富的文化底蕴，具有较高的历史价值、艺术价值和科学价值。2011年，被列为省重点文物保护单位。有培元桥、盘王庙、石鼓登亭、古民居等古迹，建有瑶族表演厅。 （配套设施） 可以看到，这里是一个比较新开发的地方，目前还是免费进入的，有少量的旅游团会过来，公共洗手间，在寨子门外，值得过来看看的小众景点。
2017-10-02,未知,4,这里门票60元，其中返30元消费券可用于景区内购物，比如各种小吃，如凉粉等都是三元一份。其它土特产价格也还合理，租瑶族服照相20元一套，可以穿着到处照，这里最有趣的事之一就是扮扮瑶家女摆各种姿势照相了。还可以免费骑车或坐电瓶车游览。景色还行吧。据说晚上的篝火晚会很精彩。我们下午离开时，有许多游客到来要住在这里，我们跟进去看看那个旋馆装修挺有特色的。
2016-04-07,未知,5,行走青山绿水之间，漫步巷道石板之上，品尝瑶家美食，赞赏民俗表演，跟随朋友来办事，没想到发现了一个游玩的好去处，未开发，无商业，下次带上三五朋友再来好好放松游玩
2024-11-05,江苏,4,勾蓝瑶寨，一个充满瑶族风情的古老村落，这里保存着大量瑶族传统建筑和民俗文化，是了解瑶族文化和历史的好去处。走在村落中，可以欣赏到瑶族的歌舞表演和手工艺品，感受瑶族人民的热情与好客。
2017-09-17,未知,4,在距上甘棠古村不远处的兰溪乡，居住着江永“四大民瑶”之一的勾蓝瑶，那里山川秀美，民风淳朴，历史上女人不外嫁，个个“勾男”入赘，勾蓝与勾男在当地同音，所以戏称“勾男瑶”。
2017-06-03,未知,5,组织好朋友一起去的，一共五部车，自驾，很有特色的寨村，秀丽的景色，淳朴的村民，值得去！
2019-05-16,未知,5,永州江永县城三四十公里的勾蓝瑶寨，被群山环抱，山清水秀，绿树成荫。山泉水井水清冽可直饮，水顺势贯穿瑶寨。瑶族妇女自制凉粉，房前屋后的枇杷、黄橙很天然，很绿色。
2016-04-06,未知,5,风雨桥，石鼓登亭非常漂亮，我三月份去的时候正好遇上油菜花盛开，五六百亩的连片花海，太漂亮了，晚上还有篝火晚宴，既品尝瑶家美食，还观看了民俗表演，重要的是不要门票，瑶民也热情好客
