date,ip 属地,评分,comments
2023-08-22,江苏,5,20230311晚上： 1、“北斗桥”位于5A景区“两江四湖•象山”内。两江四湖•象山是桂林市闻名于世的地标式山水风光名胜，是来桂林必打卡的网红景点，其水系像血液般贯穿市区，城市与山水融为一体，属于开放式景区，游走于桂林街头便不知不觉徜徉在碧水翠山之间。景区分为“两江四湖”和“象鼻山”两大区块，入园均免费，前者适合夜景，后者适合白天游览。 ①地址：桂林市象山区。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：2小时。 2、步行游览两江四湖免费，但最佳游览方式是乘坐游船，游船分白天和晚上两个时段，白天价格90元比夜游180多元的便宜了一半，当然视觉效果会逊色不少，我在白天和晚上各体验了一次。游船为单层，椅子下方有救生衣，船上配有厕所不过只能上小便。两江具体指“漓江”和“桃花江”；四湖指“杉湖”、“榕湖”、“桂湖”、“木龙湖”；游船路线为：日月湾码头-杉湖-榕湖-桂湖-木龙湖-（原路返回）榕湖-桃花江-文昌桥码头，全程60-70分钟，起点和终点相隔15分钟脚程。日月湾码头位于杉湖东岸，夜幕下可以遥望对岸的桂林地标建筑、中国名塔“日月双塔”，它由“日塔”和“月塔”组成，合起来是“明”，寓意“日月同辉、桂林明天会更好”，是网红打卡点，穿民族服饰的美女们亦是一道靓丽的风景线，排着队等候拍照，观景台上有卖唱歌手，为湖边开启一场视听盛宴。 3、北斗桥”始建于20世纪40年代，重建于1979年，又称“九曲桥”，是广西省最长的汉白玉桥，参照夜空中北斗七星的形状而建
2018-05-21,未知,4,这个桥通往榕湖的湖心岛，好像以前叫做九曲桥。后来不只是桥重修了，连名字都改了。呵呵。景色挺美的，白天晚上给人的印象也有点不一样。可以来看看。
2016-05-13,未知,4,是连接榕湖湖心岛的唯一通道，桥的路线按照北斗七星的方位构成，走在桥上只有像普通九曲桥的感觉，而如果在空中或查看卫星地图，则非常形象。观桥最美的位置是在古榕双桥的桥面上，结合桥面上的七盏柱形灯，这个角度就有点“北斗七星”的感觉了。
2017-11-29,未知,3,北斗桥位于榕湖，东连湖心岛，西连古南门，桥形布局走向按北斗星分布，故名北斗桥。桥面栏杆全部用房山高级汉白玉打制，是广西目前最长的汉白玉桥。整座桥桥形美观工艺精致，晶莹剔透。在灰蒙蒙的天空中，若隐若现桂林特有的山峦，它与湖边的绿树，衬托着这北斗七星桥，有一种天上人间之感。
2016-12-25,未知,5,嗯，现在我才知道它的大名，原来天天走，唉，站在桥上，左右两边，风景都很漂亮，而且免费哦！饭后散步遛孩子都是绝好的选择！！
2021-07-05,未知,5,这桥我很喜欢。有时间可以来来这玩玩啊！
2018-05-29,未知,5,北斗七星桥又称九曲桥，东连湖心岛，西接古南门，连接榕湖湖岸与湖心岛，是广西目前为最长的汉白玉桥，全长126.25米。
2016-10-02,未知,5,桂林市榕湖上有座北斗桥，原来也叫九曲桥。由其晚上在五彩斑澜的灯光点缀下，更为漂亮
2018-04-16,未知,5,我6点找的携程客服，到7点下班我都没排上队，这携程积分我是要不回来了
2017-09-04,未知,5,景色宜人……趣味十足，性价比高的一次旅行……一如既往的五星好评！
2018-05-24,未知,5,地理位置得天独厚，风景秀丽！n n n n n n n n
2017-07-25,未知,5,桂林山水甲天下，真是一点不假，这里的风景太美，太漂亮了。
2017-12-25,未知,5,这地方很好玩，景色优美，环境怡人。很值得一游。
2018-02-26,未知,5,北斗桥挺古老的，特别是晚上来游玩，夜景很美。
2020-06-04,未知,5,好美的风景……值得去的一个地方......
2019-04-05,未知,5,风景名胜区的重要景点...........
2018-04-10,未知,5,白天看着就感觉很美，晚上的夜景真是更漂亮。
2020-07-02,未知,5,两江四湖的风景优美的景点。。。。。。。。
2018-05-20,未知,5,风景不错的景点，门票免费。。。。。。。
2018-04-07,未知,5,夜景真的很美，让人不得不停下脚步去拍照
2020-10-12,未知,5,值得一去的地方，在榕湖上，古南门附近
2020-10-09,未知,5,风景优美……大自然给予桂林的恩赐……
2020-07-29,未知,5,风景不错的北斗七星桥……………………
2020-04-13,未知,5,桂林的两江四湖是必游景点，免费，桥美
2019-04-06,未知,5,两江四湖边上的好景点........
2018-04-11,未知,5,除了大型景点的风景外，桂林也真心没啥
2017-12-19,未知,5,北斗桥那里的景色很美！真的值得一去！
2019-04-10,未知,5,两江四湖上面的风景名胜之一…………
2017-10-12,未知,5,北斗桥是连接榕湖湖心岛的唯一通道。
2021-03-03,未知,5,桂林免费旅游美景，就在古南门边。
2020-06-29,未知,5,风景优美的北斗七星桥。。。。。。
2019-04-07,未知,5,好呀！！！！！！！！！！！！！！
2018-04-16,未知,5,总的来说很好、玩了好开心、值得去
2018-02-02,未知,5,桥的路线按照北斗七星的方位构成。
2017-11-01,未知,4,晚上真的是很漂亮灯光一早衬映着湖水特别的美
2018-04-20,未知,4,原来不叫北斗七星桥，其前身叫九曲桥。
2017-09-29,未知,4,晚上去逛的，比较适合散步的地方。
2017-12-01,未知,4,还不错，有机会一定和朋友再去。
2017-02-13,未知,3,适合晚上去看的夜景，很不错的。
2018-04-17,未知,4,很漂亮的一座桥 特别的有味道的
2018-02-04,未知,3,听说有点历史 有点故事 但貌似够不上景点吧
