date,ip 属地,评分,comments
2023-06-23,湖南,5,不要进景区! 租一个电瓶车/徒步，在遇龙河旁边的小道和其他公路走就好了。景区性价比除了溶洞都超低，没有意思 (尤其是榕树景区可千万别去)。不考虑被景区坑的前提下，我给满分。景色美不胜收，趣味高，自由度高。
2021-03-07,未知,5,行在桂林阳朔十里画廊大榕树景区看到由大书法家、文学家贺京沙书就的《桂林山水歌》大型石刻肃然起敬，流畅的书法像贺敬之老人家的诗歌一样流畅。贺老的长诗《回延安》我们耳熟能详。贺老在1959年写下的《桂林山水歌》刻在桂林，后人传诵！“云中的神呵，雾中的仙，神姿仙态桂林的山！情一样深呵，梦一样美，如情似梦漓江的水！”
2020-11-19,未知,5,十里画廊是阳朔很著名的一条观光线路， 据说桂林山水的精华，除了漓江漂流就是这里。 这边的游览，最方便的是骑自行车， 很多摊位可以租车很方便， 也可以选择步行或者乘坐观光车， 观光车车票能接受，任意上下车， 步行的话比较辛苦， 但是一路上有许多休息亭， 安排好了路线可以充实的玩一天。
2019-03-24,未知,5,去十里画廊，卖肾卖肝也一定要租电动车，当地买卖可以杀价，通常可以减少5-10元，第一个景区建议蝴蝶谷，第二个景区月亮山，去月亮山记得要奔向梳妆台观望点，如果去月宫，那么拍照就没有我的那张图漂亮，大榕树景区不是我去诋毁它，园区非常小，看一棵树10几元，还不如绕圈过去隔着对岸看，还可以坐竹筏拍照，逛十里画廊开电动车游览比较方便。过桥之前先往右拐，那边有一大片菜花田，就连婚纱照也有人在那边拍，你想象一下景点有多美，而且还是免费，喜欢拍照的一定要去，再往下又就有竹筏，不过开电动车的就有烦恼了，人坐竹筏车怎么办，放心，有阿姨帮你开车过去终点，不过要收费，表现你杀价的时候到了，后悔没有买路边的漓江鱼吃，阳朔最佳景点，十里画廊，夜游西街，兴坪古镇的20元背景景区，毕竟这桂林山水的广告从小学课本就开始了
2017-12-04,未知,5,十里画廊景区离阳朔县城很近，从西街骑自行车过去不到二十分钟就到景区门口。景区白天大部分机动车限行，因此可以很安全的悠哉悠哉地骑着自行车游逛。道路两边各种景点，加上喀斯特地貌的山体，景色真是无与伦比！非常惬意的一条骑行线路！从门口到月亮山边骑边逛大约耗时一个多钟头，当然如果觉得骑自行车不过瘾，也可以徒步游玩。温馨提示：景区门口可以刷小黄车，so，也可以不用租自行车的。
2017-04-15,未知,5,十里画廊，一行加导游七位（有个四岁半的小女孩娘俩）踩自行车去的，一路上公路俩边的悬崖峭壁如屏如画:有的连在一起，有的山独立。远近高低不同，只能观，不能攀。远处的山隐隐约约的，而近处的山高耸到云霄。是世界最美的山了。
2017-02-08,未知,5,天空放晴的日子，游走在风景如花画的十里画廊，这里云雾缭绕，真心很美哦。到了十里画廊，你可以徒步走上去也可以坐观光小火车进行游览，把所有的美景尽收眼底，个人还是比较推荐坐小火车的，不但会听到许多精彩的讲解，还会让大家更好的了解这里的历史和文化。 十里画廊的山峰一座连着一座，这里的石头千姿百态，极度考验你个人的想像力。你可以随时随地为它们起个好听的名字，自编一个又一个催人泪下的故事噢。
2016-09-07,未知,5,十里画廊是指，出县城到月亮山这两旁的路上。大约有五公里左右。路两边全是景区，图腾古道，大榕树，蝴蝶泉，聚龙潭等风景区都在这五公里的路两旁。当然各个景点都要买票。坐公交3元招手停。租自行车游十里画廊是最佳选择，一天20元。自行车道两边加起来，比机动车道都宽。我看这也是全国唯一一条自行车道比机动车道宽的公路了。
2016-06-12,未知,5,十里画廊的骑行挺有意境的，很多景点都在十里画廊的路上，大榕树，蝴蝶泉什么的。可以租一辆自行车十块钱一天，一路骑过去，路上景点随时可以下车看看，而且还有真人攀岩，蝴蝶泉不用买门票在路边就可以看到了，感觉挺值得去一次的。
2016-05-07,未知,5,去十里画廊一定要出租一辆自行车，去十里画廊一定要出租一辆自行车，去十里画廊一定要出租一辆自行车，重要的事情说三遍！里面有专门的自行车车道，走路没有那种感觉而且会很累，不过因为我们是节假日去的，人特别多，主要还是很多大车从这里经过，而且很乱，有些车不遵守交通规则，占用自行车道！阳朔的主要景点都集中在十里画廊了，不过里面的每个景点都是要收费的感觉很坑啊，然后我们就是一直开车一路走，风景确实不错，很美，特别适合拍照，然后坐车的时候遇到一对老夫妇，感觉特有爱，跟了一路。
