date,ip 属地,评分,comments
2021-02-20,未知,5,趁着寒假还没开学来的，因为是淡季，所以门票只要五十一张，未成年半价，14岁以内免票！酒店是看了携程上的评论，去的印象南山酒店，酒店真的很不错，老板人很好，房间有全景窗！在这里随处可以见到奶牛，还可以体验自己挤牛奶，五块钱一杯的酸奶真的是物超所值，买上几箱回去做伴手礼也非常不错！因为早上起不来，所以很遗憾没有看到日出，不过我觉得这么美的风景，日出肯定也还不错！上紫阳峰，我们选择的是骑马，四十块钱可以骑这么久，也是挺不错的，值得体验一把！唯一遗憾的就是因为是初春，草原才刚刚冒出嫩牙，还没有一望无际的碧绿景象，酒店的老板说要过了清明节，那个时候的草原才是真正的草原，不过整体上真的很不错，很美，很值得！有机会一定还要再来一次，下次再来的时候，一定更美！
2018-08-14,未知,5,这里景色确实很不错，站在山上往下看，让人心旷神怡。不过觉得景点门票80有点小贵了，因为山上大部分都是收费项目…… 第一天去了高山红哨、紫阳峰，计划去蒙古包，听说没什么好看还要门票，加上朋友等吃饭，没去蒙古包。据说可以看日落，拖家带口的不方便看，怕天黑路滑，也没看。 第二天预备着看日出，小孩早起做不到，加上风大气温低也没看成……计划去茅坪湖 总之，就景点来说，适合休闲度假，因为能看的就只是山上的景色，慢慢晃悠，看看奶牛、山、云，拍点美照，悠闲自在。 再说购物，我个人喜欢奶片跟奶酪还有酸奶、鲜牛奶，比较纯粹的奶味。但是让人凌乱的是，不管是奶片奶酪还是酸奶鲜牛奶，我买了两三家，各自味道不同……只能说自己选择喜欢的味道了。好在大多是可以试吃的，多试试再买吧。价格都差不蛮多，也可以多比较。整条街道除了吃饭、住宿的，剩下的全部都是酸奶店……而且饭店酒店都有奶制品卖
2017-08-14,未知,5,城步南山，被誉为小“呼伦贝尔”的少数民族聚集地，占地不是很大，却有着浓厚的文化底蕴，独特的生活方式。暑假的“拜访”使我感到了这座小镇的魅力。在长达几个小时的车程后，无疑下车呼吸新鲜空气是一件让人精神振奋的事，下车后深深吸一口气，略带点湿气的口气塞满了整个鼻腔和口腔，顿时感到一股浓厚的牛屎味和微微湿润的青草味，这是和城市不一样的，真正的大草原的味道。南山的特色，油茶，酸奶，蒙古包，遍地的奶牛和牛屎……这都是代表地区文化魅力的存在，其中酸奶和奶酪更是成为了当地人的生活支柱。几家的酸奶都不一样，舟舟酸奶的名气最高，也确实味道城步南山，被誉为小“呼伦贝尔”的少数民族聚集地，占地不是很大，却有着浓厚的文化底蕴，独特的生活方式。暑假的“拜访”使我感到了这座小镇的魅力。在长达几个小时的车程后，无疑下车呼吸新鲜空气是一件让人精神振奋的事，下车后深深吸一口气，略带点湿气的口气塞满了整个鼻腔和口腔，顿时感到一股浓厚的牛屎味和微微湿润的青草味，这是和城市不一样的，真正的大草原的味道。南山的特色，油茶，酸奶，蒙古包，遍地的奶牛和牛屎……这都是代表地区文化魅力的存在，其中酸奶和奶酪更是成为了当地人的生活支柱。几家的酸奶都不一样，舟舟酸奶的名气最高，也确实味道好，不愧是南山老店，强力推荐一下。
2017-05-17,未知,5,非常漂亮 邵阳有这么美的地方 “南山牧场真漂亮 大树长在石头上”这个地方我还没有去 但是非常期待 这次就去了一个景点 空气非常好住宿也非常便宜 漫山的艳山红 5.17这天天气非常好 不是周末 人不是特别多 但是感觉非常棒 这里消费不高 由于一个人玩 所以玩了半天就赶中午的班车下山了 自驾游可控性更高 这里下山只有两趟车 早上一趟 中午一趟 没有办法 只能下山了 住的是蒙古包100一晚 特产什么的都很实惠 这里的人都很淳朴 热情 当地人喜欢喝油茶 自己打的。据说 如果是去当地人家里 一定要喝四杯 算是对她的尊敬 兵器广场就新鲜的鲜奶喝 5块钱一杯 很纯 我还会再来的 下次要带家里人一起过来 可惜很多人不知道这个地方 没有想到我大湖南还有这么美丽的草原
2016-11-05,未知,5,准备了一暑假的旅游计划，看好天气预报，11.1日，向城步南山出发，7:00准时学士收费站上高速，直接长韶娄-二广高速，全程100km/h 到了沪昆才送了一口气120km/h才感觉到上了高速，可转到洞新高速一不小心又回到100km/h，终于在西岩（城步出口），历时4个半小时，11：30点准时下高速，这和之前看攻略和当地老板联系的几乎不差，到城步12:20点多了，在土溪吃了午饭稍稍休息，直接冲南山牧场，注意：上南山前一定要在出城后有一个小小的中石化加油站把油灌满后上南山哦，老板再次提醒，豪车一定这样哦，不然只能下来打油，到了南山后，不着急订购房间，直接奔老板家（不透露名字，老有名了，很多游记提到过），先来好几罐酸奶，听了老板的建议，先去景点转转，说实话一般般，再美不过天空，最美不过酸奶罢了，实话实说老板的话可靠性高，我们先转了，最后确实没什么，晚上留宿城步，第二天原路返回长沙。
2016-10-11,未知,5,南山很漂亮，也很状观，天气凉爽。特别是当地的酸奶真是独一无二的，外面买的跟本没得比啊。如果是雨天去就没什么玩法了，全是雾。也不方便游玩，去了两次，有一个就是因为下雨而没有得玩到，景区里景点都有水泥路，非常方便，可以开车到山顶。晀望远方一望无际的草原。早原不象是内蒙纯平的，而是一个个山峰组成的。非常有特色，总之来了不会后悔的。
2016-08-06,未知,5,南山牧场的景色还是非常不错的，天气真的很凉快；草原的奶牛好多，还有在南方难得见到的风力发电站也好多，给草原添加了不少的景色。很遗憾草原里面玩的东西太少了，不能满足小孩的兴趣。最糟糕的是路途”遥远”，主要是路太差了，其实路程不太远。从城步县城开车到南山牧场足足开了3小时。期待下次来的时候路已经修好了！
2022-09-13,湖南,4,城步 南山平均1760米的海拔，使南山牧场夏季气温成为全湖南省乃至整个长江以南地区最低的地方（有人居住区）及最佳避暑胜地。 时间：2022年8月18日 物资：身份证、口罩、帐篷、防晒伞、防晒帽、防晒霜、防晒衣、厚外套、墨镜、清凉油、充电宝、数据线 行程安排： Day1:导航： 城步 南山旅游风景名胜区——老山界——高山红哨—— 紫阳 峰景区——花海——南山顶（日落）——南山镇（晚饭）——大丫口（露营） Day2:大丫口（日出）—— 湖南 南山国家公园石头右手边小山坡（风车+云海）——风电观景台——茅坪湖——回家 交通： 盘山公路，有 城步 县城通往南山景点班车。 建议自驾，景点停车场不收费。 各景点之间都可开车到停车场，高山红哨、 紫阳 峰需步行小距离路程，无需骑马和坐观光车。 气温： 7、8月平均气温19℃，夏季最高气温28℃，早晚温差极大。 白天不热但是紫外线很强，一定要做好防晒，否则 会晒 伤。 看日出、日落夏季需要穿厚外套。一定要带外套！！！哪怕是晚上到镇子逛逛也很冷！！真的很冷！！！球球大家带个外套好吗？谁不带外套我都会伤心的！！ 门票： 省内半价35元/人，其他70元/人，退伍军人优待证可免门票。 半山腰处有收费站，门票需留好，日落南山顶在景区外，门票可再次进入景区。 最佳路线： 配合灵魂画手地图观看更直观。 建议晴天来，第一天阴天出片率不高，第二天晴天张张绝美。 两天路线 Day1:导航： 城步 南山旅游风景名胜区——老山界——高山红哨—— 紫阳 峰景区——花海——南山顶（日落）——南山镇（晚饭or住宿）——大丫口（露营） Day2:大丫口（日出）—— 湖南 南山国家公园石头右手边小山坡（风车+云海）——风电观景台——茅坪湖——回家 一天路线 导航： 城步 南山旅游风景名胜区——老山界—— 湖南 南山国家公园石头右手边山坡——高山红哨—— 紫阳 峰景区——南山顶日落——回家 美食： 资深痘友，戒奶达人。作为 湖南 本地人，并无疯狂炫吃的，景区的东西往死里贵。 舟舟家的酸奶真的很好喝。炸鲜奶口感很不错。热鲜奶有股骚味，难以下咽，建议购买最小份体验。 买土特产最最最便宜的是茅坪湖景点。 住宿： 景区内有镇子，建议住酒店，需提前在平台定好房间，有熟人价格更便宜。听住过的小伙伴说 蒙古 包有点闷。不推荐露营，之前选择露营是想看日出日落，不知道镇子离景点很近。 露营推荐大丫口附近。优点：有水源、有洗手间、看日出最佳地点。缺点：风大，看日落后天黑不便扎营。
2019-07-04,未知,4,"全程路线：长沙--崀山--南山牧场---广西龙胜龙脊梯田---桂林---游漓江--玩阳朔---返长沙。 6月29，上午10点从长沙出发，走沪昆高速，到城步，高速费177，从收费站到南山牧场还有几十公里，开车大概需要1个半小时。从脚下到南山顶，在半山中会遇到大雾，风景很不错，可以找一个安全的地方停下车，看一看雾中山，似乎感觉透着一股仙气。当然安全第一。半山腰进景区需要买门票，淡季50元/人，旺季70元/人，老年人70岁以一的免票。到达景区的小镇的时候，已经是下午5点多（因为在高速路上因工作的原因，耽搁了1个多小时）。找了一家酒店先安排行李，稍休息一会。这个时候，酒店好找，没什么游客，酒店一晚是168，旁边有一个较大的停车场，当然你也可以住蒙古堡。听老板说，往年这个时候人挺多。小镇上，除了奶制品还是真是很多，4元一杯，味道不错，不过大家要是买奶制品的话，还是要多走几家问问，价格还是有区别的。不过当地人还是挺好的。其他就没什么吃的了，小镇很小。 6月30日，一起来，全是大雾，因为晚上下了雨，当时有点失望，等到8点多，开车上去，到南山顶的时候，上面雾大都散了，不过远处，山在雾中间，风景美。 从停车场到观景区，可以体验一下骑马，50元一次，可以坐两人，体验距离大约不到1公里。玩几个景点大约3个小时就差不多了。 中午吃完饭，下一站，去桂林。1点多从南山到桂林，全程170公里左右，下午5点多到达桂林市区，从南山下来的，快走完盘山路时左拐一条不太好走的路去桂林，全程很多都是上山下山。道两旁，有落石，去的时候，到处都是山体滑坡现场。自驾游的朋友要注意，当然还需要走一段包茂高速，高速50元。网上订的酒店在象鼻山公园附近（象鼻山就在公园内）。一晚158元，到桂林市区，让我感受景观，不止是风景，当地的电摩太多，所以开车去的朋友，还是小心点开。 晚上的时候，可以坐船游两江四湖，看象鼻山。（桂林是一个仅靠旅游产业的城市，所以桂林，各公园，大小景区都是需要门票的，），去看象鼻山，公园门票50元。 7月1日，7点，跟团去游漓江（因为不想开车了，所以报了一日游，一日游每人160到180不等，那就看你找会不会策，还要看是哪个旅行社），因为老婆怀了孕，还有小孩不到1.2m,所以没坐竹筏，不然就能真正能感受到“舟行碧波上，人在画中游”的意境。所以直接到兴坪古镇，去坐船，往返1个半小时左右，晚上睡阳朔，第二天阳朔，体验几个景点。 7月2日，在阳朔游完，可以观看印象刘三姐"
2017-08-23,未知,4,听朋友介绍城步南山牧场是个好地方，果然名副其实啊！作为一名高三毕业党这必然是个放松的好地方。7.15日便开始了行程，刚开始还挺兴奋的，然而在上南山的这段路上山弯弯真的是太多，晕了好几次车。对于南方丘陵地带能有一片如此大的草原牧场真的值得来观赏，虽说比不了内蒙古，但别有一番风味。在经过4个小时的开车后终于来到目的地，所幸一家酸奶店的老板接待了我们（舟舟酸奶吧），毕竟人生地步不熟。我们品尝了南山有名的酸奶奶酪，其实这里的饭店和酸奶店挺多的，酸奶还不错挺纯的，有很大的奶味。接着我们在老板的指导下去景点转了转每座山上基本都有牛，路上也有许多牛粪，在南山的这一天里仿佛过了个奶节。我喜欢这里的云，它总是千变万化，可能是风大的缘故吧！特别是日出和晚霞颜色鲜艳，真的很美丽……特别提醒这里的风很大，要记得拿个外套！我们去了挤奶厂，一排一排的牛等着挤奶，场面真的很壮观呀！建议自驾游，这样去景点方便许多，下次再来•
