date,ip 属地,评分,comments
2015-12-20,未知,5,南溪山公园位于桂林市中心区内。园内湖光山色，景色优美。公园内有一碑林园，收藏了各地名人赠送的石碑。有中文版的，日文版的，还有阿拉伯文版的。众多形态各异，造型精美的石碑，给公园增添了浓厚的文化气息。
2018-04-18,未知,5,南溪山公园位于中山南路和崇信路接合处的八一桥东侧，门口有11路、99路、33路公交车等，交通方便。公园入口处是一个甲天下艺术园，里面有各国的名人用不同的语言书写的“桂林山水甲天下”的石碑，给公园增添了浓厚的文化气息。艺术园旁边是一座白龙桥，桥头为观赏南溪山全景的最佳位置。过了白龙桥，有一尊刘仙人的石像，是桂林有史记载的第一高寿者，享年118岁。刘仙人熟读经书，钻研医术，遇人有难，总是尽力相助，百姓有疾，乐于送医上门。在桂林人心中，他就是一个活神仙。沿着山坡往上走，有一个洞口很高很大的白龙洞，民国时期曾经是桂林市的造币厂。离白龙洞不远，有一观音岩，因洞内有一尊天然岩石酷似观音像而得名，里面有108个吉祥锣鼓，在观音岩入口处的石壁上有一尊财神像，很逼真，身上有两个字“财缘”，现在观音岩已成为桂林信众祈福求愿的福地之一。沿着观音岩旁边的登山石阶盘旋往上走，在南溪山两峰之间的凹处（被称为龙脊坳），有一个“龙脊亭”。凭栏眺望，市区的大部分景色、山水风光，尽收眼底。从“龙脊亭”另一侧的台阶下山，山脚下是一片樱花园，占地两万多平方米，是桂林市最大的樱花园。这里的“南溪樱花”已经成为三、四月份桂林旅游的一道靓丽的风景线。南溪山公园虽然不大，但是桂林最早开发的旅游景区，始于唐代。南溪山是桂林十大名山之一，“南溪玉屏”和“南溪新霁”是桂林古八景之一。南溪萦绕，湖光山色，异国樱花，景色优美，历史沧桑，故事颇多，值得一看。
2017-07-26,未知,5,南溪山公园之所以值得一去，除了因为它作为桂林市有历史有名声的景点之一，免费对外开放，还在于这里确实是值得人们去休闲与购物，我一个人散客走进去然后跟了一个旅行团，听导游讲解景点的特色历史，这里属于重点旅游景点，里面有山有水有洞有特产，如果有想买桂林特产的其实在这里买是很值得的，至少比外面超市便宜，我就买了南溪山苦丁茶，准备回长沙后带到办公室喝。
2019-11-12,未知,5,南溪山公园，位于桂林市区南将军桥头，距火车站约1公里，因南溪河萦绕而得名。山有东西两峰，彼此并列，耸拔千尺。北面峭壁，山石洁白，雨过天晴，云雾初散，阳光映照山石，光彩耀眼。古代“南溪新霁”是桂林八景之一。南溪山洞多而奇，以白龙洞最为著名，高20米，宽12米，内有民国时期造币厂旧址。出白龙洞右行，便到玄岩，此洞又分两道，右道可到穿云岩，常有云雾穿门。南溪河上建有白龙桥。山北溪边有白龙泉，为桂林名泉之一。两峰间有龙脊亭，为登高观赏城南北风光最佳处。山南有刘仙岩。刘仙人，名景，字仲远，桂林人，生于宋乾德五年，卒于神宗元丰八年，享年118岁，是桂林有史记载第一高寿者。宋代地方官员吕愿忠、张孝祥等经认真考查，认为其年龄真实可信，而刻石在刘仙岩内明示后人。南溪山最早开发者为唐宝历间桂管观察使李渤，今白龙洞口尚存其《留别南溪》刻石：常叹春泉去不回，我今此去更难来；欲知别后留情处，手种岩花次第开。
2017-06-08,未知,4,桂林南溪山公园是不错的参观休闲的公园。园内绿草如茵，秀丽的小山耸立。桂林的湿度特别大，夏天在这里游玩一会儿，就浑身湿透了。这是我在桂林参观的第一个景点，地点也在主要的街区。
2019-09-18,未知,5,"南溪山因南溪萦绕而得名(因山有白龙洞，又名白龙山)，现位于广西桂林的南溪山公园内，在中山南路、崇信路接合的八一桥东侧，将军桥头。早在唐代南溪山就已开发，其摩崖石刻有近200件，多分布在北麓白龙洞、元岩、泗洲岩、龙脊洞，南麓刘仙岩、穿云岩等处。在古代，""南溪新雾""就是桂林八景之一。 南溪山在市区南面将军桥头，离火车站约一公里，因南溪萦绕而得名。它有东西两峰，彼此并列，耸拔千尺，北面的峭壁，山石洁白。雨后新晴，云雾初开，阳光照映在山石上，会发射出耀眼的光彩。"
2016-09-15,未知,4,桂林南溪山公园是一个很普通的公园，占地面积也不大。一进公园就可以看看高高的山峰，再来就是山下一个白龙泉，山上一个白龙洞。我去的时候下点小雨，所以空气质量指数很好，植物都很清新。重头戏就是后面的品茶和品糕点，这都是桂林南溪特产。还好都是不强买，正因为这样，大家按需求很乐意的买了很多。
2019-04-06,未知,5,南溪山公园在桂林算不上大公园，但是因为四十多株冬樱，在现在樱花盛开的季节，吸引了很多市民和摄影爱好者前来参观!粉红色的冬樱花，绽放着满满的浪漫，美丽极了!交通方面:乘坐公交11路、33路到南溪公园站下车即到，公园免费。
2016-10-26,未知,4,地点：中山南路2号 跟着特价团到桂林6日游，到此一游。 整个园子不是很大，类似上海的闵行公园；园里最大的景观是2座桂林最薄的2座山，看着要倒下来了；半山腰有个白岩洞，据说是早年的造币厂；园内风景不错，绿化很好。 在走廊里，有穿民族服装的姑娘可以一起合影，会免费给到2寸照片放在钥匙扣里，自己要大照片需另外付费。园内还有个茶室，多是提供给旅游团品茶的；可以买特色糕点。
2016-01-06,未知,4,桂林山水甲天下，桂林山多水多，所以说南溪山并没有特别大的亮点，和叠彩福伯这些地方都差不多，景色还不错的。要去南溪山就要挑樱花节去，南溪山每一年都举办樱花节，花开得很艳，人也很多。
