date,ip 属地,评分,comments
2017-09-28,未知,5,从象山一路走过去的，下午五点四十上山！上去刚好看日落，太惊喜了！实在是一次很好的体验！或者我们没有上到最高，看不见江景，但是能看到日落我真的觉得美极了！推荐大家都来！人少，清净，美！
2016-09-04,未知,5,山不高，但到了上山的入口，你就会萌生爬上去的冲动～上去你就一路向前，直奔山顶就行，左右两边还有矮点的山可以游玩，但我是真等不急马上登顶看到美丽的风景，登到最高处，桂林已经基本呈现眼帘～压力被美丽的风景一瞬间驱赶至脚下～满心的喜悦在无限的回荡～！
2016-02-19,未知,4,叠彩山景色不错，交通便利，适合喜欢登山的人士游玩，有三个山峰，景区比伏波山大得多，游玩时间至少3小时，票价比较贵，如果与伏波山联起买票，携程价格便宜不少，单独一个公园是30，两个公园联票是35，推荐通过携程网购买门票。
2017-10-09,未知,5,个人觉得是桂林市区最好玩的去处，门票一人才25大洋，停车费10大洋。环境幽静，山顶俯瞰桂林市区视野辽阔 ，上山阶梯也很好走，带着两岁半的女人她自己都可以爬上去，我们到山顶时候恰好是日落时间，夕阳非常美，很多人都在等着这一时刻。印象深刻。强烈推荐
2017-06-22,未知,5,叠彩山国家AAAAA级景区。 世界旅游组织推荐的最佳旅游目的地。 2016年，叠彩山景区与伏波山景区、两江四湖景区、象山景区联合申报国家级AAAAA级景区“两江四湖*象山景区”。 2017年2月，国家旅游局授予“两江四湖*象山景区”AAAAA级景区荣誉称号。叠彩山为该景区重要的核心游览区域之一。 叠彩山旧名桂山，位于桂林市区东北部，桂林市区的漓江之畔，包括四望山、于越山和明月、仙鹤两座山峰，是唐代桂管观察使、文学家元晦开发的旅游胜地，按照《图经》“山以石文横布，彩翠相间，若叠彩然”而将其命名为“叠彩山”。叠彩山滨临漓江，与城中的独秀峰、漓江畔的伏波山鼎足而立，主要景观有叠彩亭的美石、风洞的摩崖石刻造像、望江亭看两江四湖风光以及明月峰顶鸟瞰桂林全景。 2015年3月19日，叠彩山景区外东麓靠漓江岸发生一起自然地质灾害的山石坠落事件，导致人员伤亡。2015年12月，经政府相关部门协调处理，事故地点上空的危岩治理工作完成，该区域道路恢复正常通行。
2016-11-03,未知,5,叠彩山是桂林漓江边的名山，山顶有登上叠彩山，活到一百三的碑，山顶俯瞰桂林市区视野极佳，风景优美。风洞口有陈毅的题词：宁做桂林人，不愿做神仙。可见其迷人之处。非常值得一游。
2017-12-15,未知,5,叠彩山风景秀丽，山也不是很高，爬起来不累，上了山顶，环望四面，景色各不同，能看到桂林城市建设，还能看到漓江的景色，值得一去。
2016-11-01,未知,4,还行吧，能俯瞰桂林景色，主要是爬山，去的时候漓江的水快干了，去的不是时候。不过往下看看到木龙湖的景色，挺美的，山上了阶梯有点难走，很陡爬起来挺累的，登上仙鹤峰会看到一个很大的风洞，里面有很多历史遗迹
2019-05-09,未知,5,我和春天有个约会——“叠彩山”（五十）， “叠彩山”，位于伏波山北面漓江西岸，国家AAAAA级旅游景区，世界旅游组织推荐的最佳旅游目的地；因山石如锦彩绸缎，层层相叠而得名，山体由于越山，四望山，明月峰和仙鹤峰组成，是唐代桂管观察使元晦开发的旅游胜地，自唐代起便“游人如织，车马为之堵塞”，登上明月峰顶，可俯瞰桂林城全景，是桂林市内的观景制高点，素有“江山会景处”的美誉，民间有谚语“登上叠彩山，活过一百三”，以此表示，叠彩山又为长寿山，登顶远眺，正是“千峰环野立，一水抱城流”，
2017-05-15,未知,5,叠彩山离桂林北站能近一点，与木龙湖紧挨着，周围还有八路军驻桂林办事处。站在主峰上就可以看到漓江和桂林的城市面貌。主峰半个小时就可以登顶，山的石壁上有各个时代的石刻，山脚下有个鸡血石博物馆，其实就是卖商品的，看看就行。
2016-12-03,未知,5,叠彩山位于桂林是叠彩区的中心，公交2路，203路到叠彩山下即可，门票35元，学生等半价，景区紧靠桂林市第二医院，环境幽静，在繁华的市中心有这么一个景区比较难得。 总的来说山并不是很高，但是作为桂林市区最高的山，爬起来还是需要一定的体力的，我当时就45分钟到山顶，体力都差不多耗尽了，因为去的时候天气闷热，随身带的水很快喝完，所以选择登上的一定要多准备点水！登山的小路是一条“爱情之路”，从上世纪二十年代到本世纪00年代年轻人的爱情观逐一阐述，中间穿插介绍了几对名人的爱情故事。到了半山腰，看到一个百鸟园，不过并没有多少鸟在那里，但也有一定的看头，二十几种鸟类放养林中，供游人免费观看，反正是免费的，看看也没问题。
2016-09-14,未知,4,一大早就登上了叠彩山看日出，叠彩山单独作为景区有些不值当，可以和伏波山买套票。。而且售票员上班前可直接进山。。园中三峰一山，闲逛一番即可。。
2016-05-11,未知,4,下午去的，看日落很不错。室内坐2路车到叠彩山可以到，门票32，学生16。有明月峰是主峰，可以俯瞰桂林全貌，日落很漂亮，很多摄影爱好者来拍照。山不高很好爬。仙鹤峰那里有个山洞可以望到外面，拍照很有感觉。去的比较晚鸡血石博物馆下班了………总之还可以吧…
2016-10-04,未知,4,叠彩山位于桂林市叠彩区。10018路到凤山路口站下车，往回走一个十字路口牌子上写了叠彩山的指引，沿着指引走就可以了，在路上有个叠彩山的石头，就马路进去。叠彩山对外地游客是收费的，当地人免费。爬山时，会有人拉着你烧香拜佛～～～需要钱的哦。看个人吧叠彩山的主峰能看到桂林全貌，看日落不错。可以在那里等日落，要天气好的时候。
2017-10-08,未知,4,山不高，半小时就上的去。明月峰俯瞰桂林360度，只是我去的时候，有一面正在建房子，影响风景。整体还是不错滴，携程门票有优惠，性价比挺高！
2017-06-08,未知,5,桂林市的叠彩山特别好玩。那天我爬上了它的四座山峰，并不高，用时也就1小时。在不同的峰顶拍了桂林市区的风貌，真的非常美。欣赏一下吧。
2021-06-09,未知,5,彩叠山非常值得打卡的～老牌5A景区票价亲民～20元还可以看完整桂林市区～非常推荐哈…并且步行15分钟可以到桂林美食街～非常方便
2016-01-04,未知,5,上山的台阶有些绕，还有一个滑倒，有小孩游客可以去玩玩，20元每次。山顶风景还是不错的。
2024-12-12,河南,5,叠彩山是一个位于广西桂林市的著名自然与文化景区，以其独特的地质景观和丰富的历史文化内涵吸引着众多游客。 地理位置叠彩山位于广西壮族自治区桂林市叠彩区叠彩街道龙珠路815号，地处漓江西岸，与独秀峰、伏波山鼎足而立，是桂林市区东北部的重要地标。 景区组成叠彩山占地面积约2平方公里，由明月峰、仙鹤峰、四望山和于越山组成。这些山峰各具特色，其中明月峰是主峰，海拔223米，游客可以在此俯瞰桂林全城和漓江胜景。
2023-04-18,四川,5,登上山顶，俯看全城，读万卷书行万里路，在烟火里谋生，在诗意中寻梦，心中无缺为富，被人需要为贵。凡事不求结果，只需尽心尽力即可。登上明月峰，驻足拿云亭，全城景色画书眼底。叠彩山作为“山”，没有攀登的乐趣，更不会有征服感。作为5A景区的核心组成部分，与其他5A相比逊色了不少，单就作为一个景区而言，景色也是不错的。
2018-05-05,未知,5,这可能是桂林性价比最高的景点了，虽然爬山路，对于很多不怎么运动的人来说略累，但是在高处远眺桂林城，真的很值得。里面有三个山峰，于越山，明月峰和仙鹤峰，其中明月峰最高为主峰，有223米，是远眺桂林城最好的地点。这里门票才二十多块，我是携程上买的。对了，这里说下，只有东门才能网络取票，南门不可以的。
2018-04-08,未知,5,桂林山水甲天下。仅是这一句诗词，便让我们对桂林山水有着无限向往，是怎样一个美妙奇幻的地方，能够媲美天下所有美景，给国人之外的游客以“不游桂林，同未游中国”的感受。“天下四绝漾桂林”，这句话绝对不是说说而已。桂林的山，桂林的水，桂林的人无一不是美的让人不可方物，更加会让人甘愿沉沦于桂林之美的是这清秀的山，秀丽的水，奇丽的山峰，美幻的石头。
2017-04-15,未知,5,叠彩山在桂林北边，是桂林最高的山。坐2路公交专门有一站，下车就是门口。叠彩山门票35，山其实不算太高，爬上去只花了半个小时，在明月峰可以俯瞰桂林全景，一览蜿蜒的漓江，景色十分秀美，也是摄影爱好者的天堂。山上有个百鸟园还不错，免费参观，里面有孔雀、百灵等各种鸟，不过最好带个帽子，小心鸟屎砸在头上。另外一个看点是山腰的风洞，两头大中间窄，洞内有很多佛雕，在里面一直有凉风嗖嗖的刮，印象非常深刻，值得来体验一下。距叠彩山南边不远还有伏波山和独秀峰王城，有体力的话还可以去其他几个景点看看。
2018-05-25,未知,4,登完象鼻山接着去的叠彩山，本来都不想去登山顶了，毕竟太阳太大太热了。但是来都来了，就登上去看看，越到高处，风景越美，个人觉得叠彩山山顶的风景比象鼻山的好。
2018-03-01,未知,5,挺值得一去的，爬上去你会有成就感，台阶上路，各有特色，一步一景，山顶上有“登上叠翠山，活到一百三”的碑，还有观光望远镜，不过是收费的，山下有“桂林山水甲天下”的文字出处，下山的滑道特别爽！
2016-10-10,未知,4,叠彩山是桂林市最高峰，登上山顶可以俯瞰整个桂林市区，还不错！景区里面主要是爬山，情侣去应该不错，里面很安静，大树成荫，另外手机上可以下载个语音解说，可以更好地理解景区特色，真正来个深度游！
2023-02-10,山西,4,“桂”玉之地（二）——桂林▪叠彩山 它是一处可以俯瞰整个桂林城全貌的地方。 它是桂林市内最高峰，是唐代桂管观察使、文学家元晦开发的旅游胜地。 没错，这里就是桂林著名的叠彩山。 叠彩山旧名桂山，位于漓江之畔，包括四望山、于越山和明月、仙鹤两座山峰。叠彩山名，是由唐朝元稹的侄子元晦游览了叠彩山之后，写了篇《叠彩山记》，记中说：“按图经，山以石文横布，彩翠相间，若叠彩然，故以为名。”叠彩山山石如锦彩绸缎，层层相叠而得名。叠彩山与城中的独秀峰、漓江畔的伏波山鼎足而立，主要景观有叠彩亭的美石、风洞的摩崖石刻造像、望江亭看两江四湖风光以及明月峰顶鸟瞰桂林全景。在清朝文人秦焕创建的叠彩亭的右角，看明月峰横断的崖壁，若“彩翠相间”的锦缎。这里是摄影“叠彩”的最佳角度。 山上历代名人的摩崖石刻尤多，为文物的精华。若登上明月峰，驻足拿云亭，全城景色尽收眼底。“一面晴风四面山，望疑仙境在人间”。 山山而川，仆仆而来。纯粹的本色，简单且透明，是一眼望川的瑰丽，是一眼望穿的真实。独行世间，在于山川汲取力量，去对抗尘世污浊，固守一颗初心。岁月不曾驻足，历史未曾眷恋，一切不停向前。就在这空蒙的山色里去叠彩山风洞听风，去望江亭一览两江四湖之秀美，去仙鹤峰亲临仙气飘飘。 日月叠璧，山川焕绮。 方寸星河，墨染云水。 风月皆好，因有须弥。 裁景为画，揉风作诗。 愿： 朝暮造就星河奔腾。 📌TIPS： 📍位置：导航搜索叠彩山即可。 👟景区石阶众多，建议穿舒适的运动鞋。 💰门票：原价25元/人，最近有优惠，12.5元/人，3月1日恢复原价。 🅿️停车：有停车场，按小时收费，具体费用请咨询景区工作人员。 ⏰游玩时间：1-3小时。 ⛩️附近必打卡： 1️⃣叠彩山和靖江王府离得非常近，可以安排在一天游玩。上午在叠彩山爬山、观景、俯瞰桂林全貌，下午可以在靖江王府赏人文历史之悠久。王府出来即是东西巷，可以在这里逛吃逛吃，用桂林美食驱散一天游玩的疲惫。 2️⃣桂林市区的景点如两江四湖（象鼻山在此）、叠彩山、靖江王府、伏波山都离得不远，天气允许，还是很建议大家步行或者骑共享单车出行的，免去排队停车的烦恼，同时还能欣赏桂林城的别具一格。
2019-06-07,未知,5,"叠彩山位于桂林市区东北部漓江之畔,包括四望山,于越山,明月峰,仙鹤山,其中明月峰为叠彩山主峰,与城中的独秀峰、伏波山鼎足而立。叠彩山不同其它山石, quot;山从石文橫布,秆翠相间,若叠彩然,故以为名″。山石层层橫断,体态奇特,叠彩层层如锦彩绸缎,层层相叠而成。叠彩山自唐宋以来摩崖石刻两佰余件,可以登上明月峰顶乌瞰桂林城市全景,远眺两江四湖风光。游桂林不可不游叠彩山,它是桂林城一个著名景点,门票25元也不贵,性价比还可以,交通也方便,我认为游桂林一走要去叠彩山走一走,会有不少收获。"
2018-11-13,未知,5,叠彩山距离象山不远，坐2路公交车4站，景区门票25元，携程上有优惠但注意提前购买，购买30分钟后生效，登高远眺俯瞰桂林全景，内漓江湾和木龙湖，景区人不多，遗憾的是最近桂林每天都有雨，想来风和日丽时候会很漂亮吧
2017-10-01,未知,5,早上7点左右到的叠彩山，因为比较晚了看不到日出。学生证16的价格一点都不贵，山上空气很好，爬了3个小时，明月峰和仙鹤峰都上去了，可以一览桂林全貌，十分刺激
2018-02-21,未知,4,叠彩山不高，爬着不累，登高一揽桂林市全貌，外地自驾游的适合来此景点看一看。携程网订的门票春节期间的优惠让我们以最便宜的价格15元一张购得，赞！
2016-10-06,未知,5,登上山顶可以俯瞰整个城市的全景，视野开阔，风景还是挺不错的，一个小时足以游完整个叠彩山，票价也不贵，从东门出去不远就是伏波山，还是值得一玩的～
2019-12-16,未知,5,叠彩山是国家五A级景区，位于桂林市内的西北部，耸立于漓江之畔，这里可以沿着山路一直等到山顶，山不是太高，沿路景色也不错，登到山顶远望可以整个桂林市容尽收眼底，远处群山秀丽，漓江从山下奔流远去，蔚为壮观。
2019-08-29,未知,4,叠彩山，昨天特意一早拖娃带爹妈去爬的。 首先有些人说的早上8点前进去不要门票，这是不对的，看我图上门票时间吧，早上7点15分买的，也就是说这之前工作人员早已到位了，逃票?不存在的。大把旅游团也是很早就到的。 你可以不满意一个地方的物价，你可以diss表达不满，但逃票还是不可取的，就这么点钱，省下也没必要沾沾自喜。就像我，看了桂林几个山的门票就决定爬叠彩山，一方面门票便宜，一方面有好意头，象山和訾洲岛我就觉得贵，我嫌贵，我觉得不合理，所以我们不进去，我们就在叠彩山上远观看看就可以了。 登上叠彩山，活到一百三，为了这个好意头，就是要一家门爬上去的，爹妈爬山水平很废，所以从酒店到叠彩山3公里还是叫专车，十块钱搞定，叠彩山门票我父皇超过65周岁了所以免票，母后超过60半票，女儿也是半票，门票现场买的一共50大洋，网上买要提前起码一小时买，因为桂林前两天暴雨，我吃不准天气，而且就差一块钱，所以我没所谓现场还是网上，话说本来工作人员都以为我母后也免票了，我们很老实的说还差点。 爬上明月峰要过一个小洞，在下图了，爬上去15分钟，其实很简单，陆续会有气喘吁吁爬上山的游客和当地人，爬上顶那刻就觉得很值得了，风景很好，看看桃花江看看远处象山看看其他山头，实际还有另一个山头可以爬，爹妈和女儿吃不消了，那我们就下山咯。 桂林市内还是可以玩玩的，阳朔包车一日游我们也玩够了，晚上热闹的西街对我们实在没有吸引力。
2018-10-05,未知,5,据说登叠彩山，能活一百三，于是来登登。山不是太高，走走看看半个小时即可到达上顶，上到上顶可以俯瞰桂林市貌，景色宜人。。。
2017-05-09,未知,5,山虽不算太高，在桂林地区算比较高了，夏天温度高，到了景点后马上体会到了一股凉爽之气。 此山有两座峰，分别是明月峰和仙鹤峰，我们首先登上的是明月峰，登顶后确实可以纵览桂林市区全景，此峰也是游客特别多的一座峰。另一座仙鹤峰其实高度比明月峰更高，登峰台阶也更陡峭，一般游客知道的少，上来的也少，特别是对于老年旅游团，导游直接就不让老年游客登仙鹤峰。仙鹤峰的下方有一个仙鹤洞，很大很深，洞壁上有很多石刻，挺有气势，山上的水也会渗过洞壁滴落在洞里，值的一看。 整体而言，此景区值得来桂林的朋友一看，但建议在网上买票比较划算。
2016-08-07,未知,3,景色一般，有三个山峰，上到山顶可以看到桂林全貌。山也不是很高，走上去也是十来分钟，一个多小时也可逛完整个公园了。其实也沒必要三个山峰到去，上面风景都差不多，主要去明月峰就好了。
