date,ip 属地,评分,comments
2021-03-28,未知,4,位于桂林榕湖景区，是保存比较好的古城墙和城楼，夜景更加漂亮。附近是桂林图书馆榕湖分馆，还有广西晚清四大状元塑像，了解桂林的文化历史，还是值得一去。
2018-10-31,未知,4,"古南门这是桂林市内的一个景点，位于榕湖北路的榕湖北岸，离我入住的酒店不远，步行不到十分钟就可以到达。 据载为唐代名将李靖于武德四年(621)平定岭南后，在桂林筑置城守所建，这里是桂林""唐城""的南大门，距今已1300多年。南宋至清朝，这一直是桂林的城门。后来屡经兴废，旧城楼最后毁于抗日战争期间，现存建筑是抗战后所建。不过，四周石凿雕栏，则是明代的文物。 这个古南门是用砖石砌筑，面积不大，非常不显眼，前门有郭沫渃1963年曾登门楼，提笔写的“古南门”几个大字。不过，只可以在古南门楼下仰望，无法登楼参观。"
2016-12-20,未知,4,古南门、古代城墙榕树是桂林的古迹建筑，位于榕湖边，周边绿树成荫，是湖心岛等数条通道的交汇处，已成为城市一处景观。游客们游湖后多汇聚于此，拍照、休息，非常热闹。
2021-06-03,未知,5,也算是桂林的一个标志性的建筑，几十年前，桂林繁华地带就集中在阳桥和古南门这一片，现在已经纳入到两江四湖景区的管理范围，风景还是很不错的，旁边有个图书馆，很有历史的感觉。夜景很漂亮。
2016-05-13,未知,4,在阳桥西边不远处，门前是造型很有特色的古榕双桥，刚好形成一个环路，晚间散步环境十分舒适。另有别称“榕树门”，但周边绿树成荫，应该也找不到唐时所栽的真正老树了。这里同时也是湖心岛的桥头，是数条通道的交汇处，因此晚上很是热闹。
2017-07-25,未知,4,在江上可以远观古南门，因为我们是夜游的两江四湖所以从江上只能看到轮廓～下船后可以走到老南门看一眼～跟西安的城墙那边的朱雀门尚午门等肯定是不能比的，没有那么宏伟和壮观，但是依然有古老的印记和时光留下的感叹，周围有很多榕树，风景也倒别致
2020-09-19,未知,4,桂林古南门据传为唐大将李靖所建，距今大约有1300年历史。在桂林人眼里，又叫树门，估计和旁边种植的大量古榕树有关。遗憾的是目前城门不开放。
2018-05-22,未知,4,古南门位于桂林市中心区，在榕湖边上。这个旧时的城门保存完好，虽然不是很大，但依然具备一定的观赏价值。再加上不收门票，于是成为旅游团的必到景点。嗯，可以来看看。
2019-10-19,未知,5,夜晚的灯光很美。白天绿荫掩映，水波潋滟，桂林人幸福感一定很强！白天还没来得及照相。
2020-11-20,未知,5,桂林古南门也算是桂林的一个地标建筑。但它的历史还是蛮悠久的。不是现代建筑。它的位置也很优越。就在阳桥附近，榕湖边上，可以说是得天独厚，是市民休闲的好地方。
2016-04-27,未知,4,古南门，古代城墙榕树，800多年历史，灯光下很鬼魅的感觉两江两湖夜游就是这些景色，其实步行整条滨江路更有感觉些
2019-02-26,未知,5,这里的夜景真的不错。晚上来这里玩可以说，很开心。灯笼，游船，灯光，都让这里的一切，都赋予了夜的魅力。躲在夜色里，突然发现，自己的倒影却在水里了
2017-03-19,未知,4,在榕湖边，前有古榕桥，边上是一株古老的大榕树。古城墙，古榕树，，周边或古老或现代的桥梁，新旧的转换与和谐之美。
2016-05-30,未知,4,接着来到了著名的古南门 ，经过的旅游团，导游介绍着古南门 为来桂林必看景点接下来来到了湖中心的亭子，站在中心亭，四平八稳的中国元素窗仿佛就是一个有着中国元素的画框，窗外按四季轮回轮播着一幅幅有优美的画。
2015-11-11,未知,5,夜晚，桂林的两江四湖开启五颜六色的灯光，从玻璃桥跑步回桂林宾馆无意中路过此处，广场边上古色古香的建筑别有一番特色。
2020-07-26,未知,4,古南门在桂林，很小的一个小城门，游览两江四湖风景区的时候，可以路过古南门，人文与自然结合，很美的景色，尤其夜里，灯光映衬。
2020-07-24,未知,4,古南门在桂林市中心两江四湖景区里，喜欢晚上去，夜景很漂亮，晚上相对凉快些，古香古色，只可以外观，很小，游两江四湖顺路看看。
2016-09-22,未知,4,古南门 位于桂林市榕湖北岸。又名树门。砖石砌筑，高5．3米，长39．4米，厚19．4米。据载为唐代名将李靖于武德四年（621）平定岭南后，在桂林 筑置城守所建，是桂林“唐城”的南大门，距今已1300多年。又据明代《一统志》记载：“榕树门即古南门 ，相传唐时筑门植榕树一株，岁久根跨门外，盘错地。”明周于德《重通榕树门·记》云：“所谓榕树门者，乃唐宋故城之南门也。”
2015-11-03,未知,4,【古南门 】位于桂林市榕湖北岸，又名树门。据载为唐代名将李靖于621年平定岭南后，在桂林 筑置城守所建，是桂林“唐城”的南大门，距今已1300多年。 南宋末年，此门为桂林城的威德门。明1375桂林城池向南扩展，旧基皆毁，独存此门。元时建有关羽祠，明代改题应楼，嘉靖初年改名仰高楼。以后屡有兴废，旧楼最后毁于抗日战争期间。 现存建筑是抗战后所建，四周石凿雕栏，则是明代物。1963年郭沫若曾登门楼，并书“古南门 ”三字，镌刻门首。
2020-11-20,未知,5,古南门在美丽的榕湖北岸，为唐代名将李靖于武德四年（621）平定岭南后，在桂林筑置城守所建，距今已1300多年，前门有郭沫若提笔的“古南门”。
2020-05-20,未知,5,景色不错哦，非常舒心，爱桂林@。@
2017-07-22,未知,5,就在榕湖边上，与周边风景融为一体，最重要的是免费！路过可以看看～
2022-01-13,未知,5,古南门外面很有历史文化，就在榕湖景区里面，周边很多休闲的地方，有古老的榕树，各式各样的石凳，有很多绿植，值得一逛。
2016-07-11,未知,5,古南门景色很喜欢，晚上更美！！
2021-09-12,未知,5,这里是古代桂林的南门，古旧斑驳的老城门洞，千年的古榕，可以慢慢体会古老的韵味。
2019-01-03,未知,5,古南门市两江四湖荣湖景区的重要景点是有1000多年的历史，一棵小叶榕树，六个大环抱其树干。
2021-06-11,未知,5,"桂林古老的城门之一，门口两边都有大榕树几百年的历史, 很多根系特别发达，夏天乘凉很好。"
2018-12-05,未知,5,风景秀美，有江南水乡风光，夜景真的好美，吃完饭之后散步过去感觉真的好舒服…………
2017-11-29,未知,4,古南门位于桂林市榕湖北岸。又名树门。砖石砌筑，高5.3米，长39.4米，厚19.4米。前门有郭沫若提笔写的古南门几个大字
2018-05-02,未知,4,在两江四湖景区，不起眼的景点，免费的，很矮的城门，城门楼不开，几米长的遗迹，像住家户的院墙，不能防御外敌，难怪被打败。
2018-02-27,未知,5,古南门楼保护的非常的棒，晚上的夜景也打扮的挺有古香古色的，带上家人一起来吧。
2019-06-30,未知,5,免费，免费，这种老桂林的景点很少游客去看了，但是适合去散步。
2018-02-02,未知,5,没有那么宏伟和壮观，但是依然有古老的印记和时光留下的感叹。
2018-08-12,未知,5,不要门票，就在市区，散步在两江四湖上，偶然发展的地方。
2015-11-22,未知,5,榕树参天，小桥流水，风景如画。一大美景，是桂林必游之处
2017-10-19,未知,5,靠近步行街！顺路可以去走走看看
2021-11-05,未知,5,桂林城市中最有年代感的城墙之一。。。。。。。。。
2021-04-09,未知,5,地理位置优越的风景名胜古迹...........
2017-07-21,未知,5,桂林山水甲天下，真是名不虚传，这里的风景太美了。
2021-12-07,未知,5,桂林市区两江四湖边上的风景区。。。。。。。。。
2017-04-21,未知,5,在桂林市美丽的榕湖北岸，有一座古南门，砖石砌筑
2019-07-11,未知,5,风景优美，是休闲，散心的好去处。地处市中心。
2018-06-19,未知,5,地理位置得天独厚..... .........
2020-06-24,未知,5,记得那天很凉爽人不是特别多，值得参观一次。
