date,ip 属地,评分,comments
2016-10-28,未知,5,古石城位于阳朔葡萄镇梅岭间，距阳朔县城25公里，距国道321线----桂阳公路7.5公里，已修成四级公路。古石城群山环抱，地处险要，自古就是兵家必争之地。秦始皇征服岭南后，为巩固其政权，调集浙、赣、湘、桂四省能工巧匠历经数年建成此城。 古石城分东南西北四座大城门，进入城门后又有24座小门呈繁星遍步，与城墙相通，延绵数十公里。古石城的东大门处于999级台阶拾阶而上，结构新奇，蔚为壮观，所有材料均为条状片石砌就，未用灰浆。两千余年来沧桑变幻，虽历经战火无数，仍完好坚固如初，真是中华祖先巧夺天工，可见一绝。南门四季如春，清爽宜人，蕴存宝藏。西门居关险要，素有一夫当关万夫莫开之称。北门一览后山景色，风骚独领。
2016-05-23,未知,5,景区未被开发，免费开放，不需购票。山下村民门口停车10块钱，由于长久没有人居住，很多房子风吹雨打都倒了。不过风景非常好，有些石头房子保存还挺好的。全部都是石头加木头建成。形成一条独特的风景。周末来徒步，爬一下山还是挺不错的。特别是5月。村中的花都开了。非常美。
2018-06-04,未知,5,古石城详解： 1、用高德或百度导航‘’古石城‘’就可以直接来到石头村下面的小耀门村的停车场，往左边走沿着小村的路一直往山上走大约20分钟就来到大冲村即石头村。再沿着石头村内的石阶一直往上走，可到山顶一小平台，俯瞰周边山景，包括小耀门村及其停车场。我们从停车场开始步行沿路往返，约90分钟。 2、我们在周日来的，石头村有村民收费，在现存第一个城门收费每人10元。 3、石头村所有房屋均用石头彻筑但现已废弃，非常值得来，犹如绿野仙踪。 4、古石城则范围很大，涵盖了石头寨，有4个城门，我们从西门走到了东门，约3小时。去西门，也需要把车停在小耀门村的停车场，往左沿着村路走20米左右，右边就有一条难走的机耕路，沿着机耕路走20分钟，路的左边有一条毫不起眼的石阶路，从这再走5分钟即到西门。因没标识，极易错过，而且村民说的东南西北门是指古石城，在停车场问路时一定要注意问清楚如何去石头村及古石城。
2020-11-07,未知,4,没有给10元进去，就是在外面村庄看房子，也挺好的。有位老人很积极给我们介绍，说村里只住几个人了。这里是免费看的，但是特意过来打滴滴来回用了130元😂如果是去相公山的路上可以来看，如果特意过来的话最好叫师傅等下或者找相熟的司机，要不估计走的时候叫不了车。更建议自驾。里面的很多房子都变成残垣败瓦了，很可惜了。
2016-10-29,未知,4,古石城 分东南西北四座大城门，进入城门后又有24座小门呈繁星遍步，与城墙相通，延绵数十公里。古石城 的东大门处于999级台阶拾阶而上，结构新奇，蔚为壮观，所有材料均为条状片石砌就，未用灰浆。两千余年来沧桑变幻，虽历经战火无数，仍完好坚固如初，真是中华祖先巧夺天工，可见一绝。南门四季如春，清爽宜人，蕴存宝藏。西门居关险要，素有一夫当关万夫莫开之称。北门一览后山景色，-独领。
2016-10-26,未知,5,这是一条宽仅八米，长约五百米的小街，由本地产的带有槟榔花纹的大理石铺就而成，经历几百年的践踏，依然暗青油亮，路两旁是清代遗留下来的老式砖房，飞檐、青瓦、白墙、红窗的特色透露出南方小城镇独有的风韵和岭南建筑的质朴典雅
2019-04-21,未知,5,总有一种与世隔绝的神秘感 “ 桂林市阳朔古石城
2017-10-04,未知,3,国庆去，上山路口放了个牌，红纸上写着每人门票10元，几个老头老太太在那边打牌边收费，明显乱收费，不给钱不让上山，民风不怎样，让人想起“穷凶恶极”这四个字。
2015-11-07,未知,4,古石城在阳朔县葡萄镇西北部、建于明朝、距今快五百年了、已是难寻昔日辉煌、但略见当年残垣断壁、那方园之间、让人感叹岁月沧桑、、、
2019-01-26,未知,4,吹着风看着漓江第一湾，甚是惬意，回程的路上虽然错过了日落，但是却看到了像佛光一样的霞光，很兴奋，很开心，孩子们也不会累！
2021-02-26,未知,5,房子就地取材建造，因此几乎都是石头屋、石板路、石头水井、石头坪。
2018-02-26,未知,5,这个真的不能算是一个景点了，路都没修好
2016-07-04,未知,3,景色蛮好，推荐来走走，不过也要身体好
2019-04-14,未知,4,没去过，一直想去来着，应该规模不大吧。
