date,ip 属地,评分,comments
2016-11-22,未知,5,"桂林""山青,水秀,洞奇,石美""，具有世界上典型的亚热带岩溶峰林景观，典型的喀斯特地貌构成了世上最美的山水奇迹，其境内的山水风光举世闻名，千百年来享有“桂林山水甲天下”的美誉。"
2017-07-18,未知,5,非常奇幻，可以感受一次，如果有时间的话
2017-11-06,未知,5,来到这里，带你领略一下视觉上的错觉带给你的美丽
2017-03-21,未知,5,个人感觉很一般的一个艺术馆，不是特别的有意思！
2017-04-02,未知,5,根据阳朔地貌建的主题馆，百分百相似。
2017-03-14,未知,5,地宫环境不错，特别不错的艺术宫。
2016-12-28,未知,5,一个很low的地方，没什么意思！
2016-07-28,未知,5,还要去，太好玩了。建议去玩一下
2017-05-09,未知,4,艺术馆内环境很特别，艺术氛围很强，趣味性很强，非常不错。
2018-04-15,未知,4,还不错哦，好玩，划算，特别适合喜欢拍照的朋友
2019-02-08,未知,4,好玩。小孩子玩的很高兴，项目种类比较齐全。
2017-09-04,未知,4,便宜实惠，小孩子很喜欢。非常喜欢去。
2018-04-01,未知,4,美的东西还是很有感觉的，下次再去
2017-10-02,未知,4,地宫幻境艺术馆真的很不错的哦。
2016-10-22,未知,4,那里的风景还可以，大家要去哟。
2017-10-24,未知,3,看了一下还可以吧，没有什么好玩的，还捡了一些东西。
2016-09-25,未知,3,还行吧，感觉很无聊的地方，不好玩
2017-03-06,未知,2,不好，简直就是一个大噱头，很耽搁时间也不好看。
