date,ip 属地,评分,comments
2019-04-19,未知,5,多耶景区侗族文化底蕴深厚，侗族风情原始、古朴。好客的侗家人有一种叫“月也”的活动。这是村寨与村寨之间的大型社交活动，甲寨举寨前往乙寨做客，当客人临进寨边时，主寨的姑娘们早已在寨门前摆起了拦路凳，唱起栏路歌。客人闻歌而对，一唱一应，几个回合下来，喝了拦路酒，才肯放客人进寨。寨中男人吹芦笙放铁炮鞭炮，敲锣打鼓将客人迎进寨子的鼓楼内。人们聚居在鼓楼旁的歌坪上，踩起歌堂，在芦笙曲中进入歌坪，手拉手围成男外女内两圈，边舞边唱，是为“多耶”。
2017-12-06,未知,5,景区以苗族文化为主题，还有蛇王的表演，，非常刺激，有景区的银器展示，也很漂亮，喜欢就卖，不喜欢也不强制，，比云南行挺好的~~
2017-12-06,未知,5,这个景点还不错哦，很有少数民族风情表演，以民族文化为主题的山寨，民族服饰很好看。景区内讲解也挺有意思的，还是挺值得游玩的。
2017-12-06,未知,5,从阳朔回桂林的归途中路过的少数民族村寨。里面的阿哥阿嫂很热情，风趣幽默，介绍历史与文化习俗，表演也很好，里面景色也很美，值得一看哦。。
2017-12-06,未知,5,这个景点还不错哦，很值得一去，有少数民族风情表演，以苗族文化为主题的山寨，民族服饰很好看呢、古老的祭树仪式、镰刀剃头，很有趣呢。
2017-12-06,未知,5,还不错，非常有特色的山寨，有少数民族表演，阿妹的服装头饰很漂亮……
2017-12-06,未知,5,比想象中的好 很有特色的一个景点
2017-12-06,未知,5,有浓郁的少数民族风情，还不错
2017-12-06,未知,5,很好玩的景点，和朋友一起去的，景区服务很好，值得一去的。
2015-11-03,未知,4,金银寨内建的还是具有民族风情、很有韵味、以推介苗族传统文化为主题、在欢快的氛围中了解苗族的发生、发展历史。
2017-12-06,未知,5,还可以的，景色挺美，就是冬天冷一些，建议亲们秋天出游应该会好一些
2017-12-06,未知,4,景区里面满满的都是少数民族元素，值得一看！
2017-12-06,未知,5,里面景色很不错！很多少数民族特色！值得一看！
2021-03-05,未知,5,展示古老民族文化，头饰，服饰及独特的医药，以满足对这一古老民族文化的了解。
2017-12-06,未知,5,挺有少数民族特色的，表演不错！
2017-12-06,未知,5,很有特色的一个景点！
2017-12-22,未知,1,一个浪费了一早上时间的购物点，那些说好的人基本上都是从没出过门的人，到了这里导游不见了，游客没地方去了，一路上导游都在讲银子的奇效，在这里该发挥作用了.....
2021-04-25,未知,5,环境不错，空气很好，值得一去。
2018-03-11,未知,1,抱团去的最差的一个景点，寨子不大，完全为了景点而建设的，没有民族特色，一切的套路就为了让你买银饰，银饰的价格奇高，莫入！
2017-10-07,未知,1,就是个高价购物点，还要买门票才能进。银饰要近30元每克，差不多是周大福之类三到四倍的价格
2019-05-03,未知,1,购物景点，千万不要来啊，浪费时间
2019-08-19,未知,1,最无聊的景区 园区所有的导游都是同样的口径 为了最后让你们买东西 ……
2018-09-29,未知,1,很差的景区，就是购物点，很大的卖银器的商店，不在商店里呆好足够时间，不让出来的。
2019-09-13,未知,1,刚开始一个大妈让你看梳头，之后讲解银器的好呢，外面的全是假的，他们的是真的，除了让你买东西，什么都没有
2019-06-08,未知,1,购物景点，你懂的，啥也没有，就是买买买
2019-02-15,未知,2,没什么景色，主要是里面的导游介绍
2018-10-24,未知,1,感谢真心分享的前辈。这个地方嘛，大家都懂的。
2019-05-17,未知,1,购物点，不建议来，除非人傻钱多。
2019-08-09,未知,1,烂啊 除了旅行社没人来的 就是个包装的商业村子 每一句话都是为了最后的购物点 一个梳子卖一两千块
