date,ip 属地,评分,comments
2018-05-24,未知,5,周边风景不错，刘三姐故居，所谓故居当然是那个年代的民居咯！农家院就对了，别幻想成了豪华别墅！
2020-04-26,未知,5,来到了刘三姐故居，寨中至今仍保留有刘三姐、阿牛哥、锦妹当年居住过的房屋，有壮寨门、壮族图腾、农家劳作工具和茶楼等仿古建筑，更了解了宜州的历史文化、民俗风情和感受壮乡三姐歌谣文化的独特魅力。
2020-09-03,未知,4,📚介绍： 《印象•刘三姐》是由我国著名导演张艺谋等人导演，国家一级编剧梅帅元参与编剧创作，历时五年半努力制作完成的史诗性巨作。 整个演出在由方圆两公里漓江水域、12座背景山峰、广袤无际的天穹构成的世界最大山水实景剧场，演出以“印象刘三姐”为总题，在红色、白色、银色、黄色四个“主题色彩的系列”里，大意地将刘三姐的经典山歌、民族风情、漓江渔火等元素创新组合，不着痕迹地融入山水，还原于自然，成功诠释了人与自然的和谐关系，创造出天人合一的境界，给人以视觉上的冲击和心灵上的震撼。 📌地址：广西壮族自治区桂林市阳朔县东街田园路1号 🚕交通：在阳朔西街口坐电瓶车可到（5-10元/人） 🎫门票：普通票：198元/张；贵宾席位：B2：238元/张，B1：320元/张；总统席位：A2：480元/张，A1：680元/张。（网上团购会更优惠些，不过需要提前确定日期和场次不能更改哦） ⏰演出时间：淡季一场，旺季两场，具体时间以购票时为准 🍀个人体验还是很棒的一场演出，非常值得一看的。灯光舞美演员和自然的完美结合，棒棒哒🌟
2016-01-19,未知,4,刘三姐故居刘三姐故居就在村中。故居中保留了刘三姐当年用过的一些物品，我始终以为刘三姐是近代人物，现在才知道她是明末清初的人士，和老婆说好回家看看这部老片，补补课的同时也看看当年的风景和现在有什么不同。没到1小时就玩遍了公园，走出大门。门外是一条公路，很多骑车的游人从这里经过，和老婆计划着明天再来这边骑自行车游览田园风光。有个小妹带着爱犬骑车而来，明显已经骑了一下午了，风尘仆仆的，小狗也面带着疲惫。
2020-07-14,未知,3,刘三姐故居位于阳朔，与大榕树景区隔一条小河。所谓故居，不过是当地人为建造的一个土房子，外墙用小石子装饰了当地人劳作的一些图案。不知何故，门前冷落鞍马稀。
2018-12-03,未知,3,去了顺便看看还不错，反正就在大榕树对面，不过真心没什么好看的。
2017-07-03,未知,5,这里值得去，非常方便。正好在阳朔大榕树风景区的对面，可以看了大榕树，接着在看刘三姐故居。
2023-02-06,海南,5,之前去阳朔攀岩的时候去过刘三姐故居嗯，感觉挺好的，一个地方走走看看很适合打卡
2017-09-09,未知,5,电视剧刘三姐就是在这里拍摄的 我还照了相 景色真的不错
2018-06-13,未知,5,居然有人说刘三姐是传说？？？回去多读书好不好
2017-11-08,未知,5,这地方很好玩，景色优美，环境怡人。很值得一游。
2021-03-19,未知,5,特别喜欢💕，环境还可以，值得推荐
2021-03-17,未知,5,特别喜欢💕，环境还不错，值得推荐
2018-03-03,未知,5,不错漂亮美丽值得一去的景点，还想去
2017-09-01,未知,5,船在水中游，人在画中走～～～～
2017-10-06,未知,4,七分靠想象吧！自己脑中浮现出刘三姐
2017-09-04,未知,4,刘三姐就是阳朔的活名片，很多人去的
2017-11-19,未知,4,刘三姐故居里面环境好，风景不错
2017-11-12,未知,4,独木成林，非常壮观的一颗大榕树
2021-08-13,未知,3,景区面积不小，五一假期游客不少，周边景色还是不错的
2021-08-13,未知,3,景区面积不小，五一假期游客不少，景色还是不错的
2021-08-13,未知,3,景区面积不小，停车不方便，五一人多，景色还可以
2018-08-15,未知,1,网上票11元，不给过河，要交20元一个人，现场票20元可以过河，又何必弄个网络票，10个人来相当白花了这笔钱
2018-10-02,未知,1,坑蒙拐骗的地方，尤其叫人一个个进房间点香及捐赠钱的过程，很多人脑子没转过来的话都会自愿捐钱到箱子里，出来就后悔了，骗，坑！游客提高觉悟！
2017-08-23,未知,1,一个很破旧的房子，里面放着破旧的家具，说是刘三姐的房子，太会忽悠了！千万不要上当受骗！
2017-12-17,未知,1,就是大榕树景区里的人造景点，刘三姐本来就是一个传说，现在注册一个真人出来！呵呵！
