date,ip 属地,评分,comments
2020-07-19,未知,5,大界千层天梯观景点 雨后的清晨，天还是阴沉着，龙脊大瑶寨梯田观景区停车场，沿着曲曲弯弯的山路又开始爬山，山路比去平安壮寨的路还要难走，坡度大、转弯急。路上有一座酒店，在这家酒店有观景平台，景色很不错。接着继续开车爬山，又遇到一个不大的酒店，没有营业，酒店的坡下一侧有一个千层天梯的指路牌，但小路上都是茅草，看样子很少有人通过。继续开车爬山，路过一座正在修建的房子，向工人打听才知道千层天梯观景点的入口就在坡下一个挂着停车收费牌子的地方。停车场不大，也没有人收费，停车场里面有一个千层天梯入口的指示牌。小路很窄，有的地方就是梯田的田埂，一路上看到在梯田耕作的农民，在山路边一座老旧的小房子里一个瑶族老奶奶在卖东西。开车上山后发现，去千层天梯的路是在金佛顶对面的山上。当到达千层天梯观景点后发现我们的位置就是在金佛顶和龙脊金坑索道站对面的山上。千层天梯观景点的景色更美，灌水后的梯田反射着层层金光。从位置上看千层天梯在金佛顶的南面，如果是晴天，阳光照射在金佛顶，层峦叠嶂的山峰，五彩斑斓金光闪闪的梯田太漂亮了。千层天梯观景点没有几个游人，根据道路情况，看样子如果不是自驾，凭爬山很难来到这里。龙脊梯田金坑千层天梯观景点的景色太美了，在这里更能体现“金坑”的含义。游览龙脊梯田，选择自驾游是最棒的，能观赏到更壮美的风光。
2017-01-13,未知,5,千层天梯，位于龙脊梯田的金坑梯田里。金坑梯田比平安梯田更壮观，面积更大，山也更高。千层天梯就是金坑梯田第一个景点，从左边上山，大概需要半个小时才能到达，从这里可以俯瞰整个金坑梯田，很震撼。如果日出日落时候来，应该会更美。
2017-08-09,未知,5,大界千层天梯观景点是金坑梯田著名的观景点之一，可以看见层层梯田似楼梯般犹如登天的梯，层层叠叠，蜿蜒连绵，十分壮观。 我是早上5：30起床，5：50出门去西山韶乐看日出，可以从大寨看到路标。
2017-10-11,未知,5,从山下停车场走到这个观景台要40分钟，路不好走。上山时身边都是金黄的稻穗，美不胜收。从千层天梯俯瞰更是叹为观止。层次分明，大气！
2017-03-18,未知,4,千层天梯在金坑大寨的半山腰处。梯田层层叠叠，宛如天梯。虽说不是梯田最好的时节，但是在山上，山间满眼的层次感还是很感叹的。
2016-02-17,未知,5,最好7-10月去，去到如果身体健壮就坐索道上去步行下，行李要少带，充电宝最好带上，以防停电，索道中间有一个角度观看梯田很漂亮，然后可以在山顶的小旅馆住上一晚（夏天会很凉爽），旅馆上很大风，冬天到零度或一下会停电，。第二天可以选择步行下山，沿途风光很好，带小孩的建议索道。冬天记得穿多点衣服，要戴帽保暖，最好穿长袜睡觉，棉服做被。
2019-09-08,未知,5,披星戴月赶早到大界千层天梯看日出，怎奈太阳公公偷懒不出来，不过也挺好，景色还是非常美丽。逛累了就回酒店景观位用个早餐，也很休闲。
2016-10-27,未知,5,"金坑有3个观景台:千层天梯,西山韶乐,金佛顶.在经过1个多小时的攀爬后,我们来到千层天梯,从这里看去漫山遍野的梯田层层叠叠,这是当地的人们几百年的日复一日的劳作,当他们每天在山脊上一块一块辛勤开垦时,可能没想到会形成今天的壮景!如果说平安梯田是壮观的话,金坑就让人有一种震撼灵魂的感觉!"
2021-12-10,未知,4,虽说不是梯田最好的时节，但是在山上，山间满眼的层次感还是很感叹的。梯田层层叠叠，宛如天梯
2017-06-22,未知,5,估计就是当地人说的2号观景台，由上向下看，蔚然壮观。
2016-06-17,未知,5,这里是观赏的最佳地方之一，很壮观的梯田场面，春天时有水田时是最美时刻。
