date,ip 属地,评分,comments
2019-07-09,未知,5,前往大面山有几条路，可从葡萄相公山开始，也可以从兴坪开始。 走得最多，还是从葡萄这边，从相公山停车场右边有路到大面山，自驾可开车到山脚附近，当然路况不是特别理想。 山上风景无限好，可将黄布滩、兴坪、鲤鱼翅、螺丝山尽收眼底。这里是赏漓江日出的绝好去处。
2018-03-27,未知,5,无与伦比的景色 3点多闲云居帮安排了当地人 又开车又做向导带我们攀爬大面山，终于在日出前到达 竟然看到了云海 感觉真的在仙境一样，在山上呆到云开雾散才下来，太美了
2019-07-28,未知,5,最方便去大面山，相公山，及周边拍日出日落，看云海一览漓江风光。住大岭头民宿最好不过就几分钟可到达目的地。
2024-10-04,广东,5,山水田园生活，放松的好地方。适合假期出行
2018-04-02,未知,5,赏日落之美，观云海日出，体精致山居，恬山间闲情。
2020-09-01,未知,5,大面山不如老寨山在兴坪码头旁的位置好，地理位置优越，可气因为山不算太高却很陡，而俺每次总想一口气登顶，所以都累得气喘吁吁、汗流浃背，太不容易了。
2017-09-18,未知,5,人言“相公山美，老寨见靓，最美最靓大面山”山因以大片平整石崖面红而得名，连绵起伏，高耸入云，山顶上飘着一层乳百色的浓雾，像泼了一身乳白色的牛奶。
2023-08-19,广东,5,阳朔大面山顶能看到漓江镰刀弯大转弯及后面群峰，是看日出好地方，但这个山脚有当地人收门票哦！
2015-12-08,未知,3,正对兴坪古镇的山就是大面山，从平地看一般，跟其他山没什么不同。从老寨山上看，它正好在那个拐弯里，非常突出。
2021-01-28,未知,5,地理位置优越，山不算高，但很陡。山上看远景还是很不错的。
2021-12-09,未知,4,正对兴坪古镇的山就是大面山，从平地看一般，跟其他山没什么不同。从老寨山上看，它正好在那个拐弯里，非常突出。
2021-01-28,未知,5,地理位置优越，山不算高，但很陡。山上看远景还是很不错的。
2021-06-10,未知,4,爬山上去需要四五十分钟，很累，但很值
2020-09-03,未知,5,比相公山好看一万倍，非常超值的体验。
2020-09-26,未知,3,都审美疲劳了，在桂林随处可见这样的景色，看多了也疲乏了。
