date,ip 属地,评分,comments
2017-05-28,未知,5,跟团去的，到的比较早，赶上了首场的表演，其实不太喜欢老人写字拍卖，因为一看就知道是托买托竞价，因为别的地方也都是同一个套路，不太喜欢。但表演确实很好，每一位演员都很尽心，而且听说其实他们所有人都是没有上过学的，而且每个月的工资很少，顿时有一些小心酸，最后结束后合影是要花钱的，十元一张，男演员拜托我们能不能叫上一个女演员一起合影，我们很爽快答应了，因为他们所有人努力表演，可能最后这十块二十给他们喝瓶水都是欣慰的，最后男演员还致歉说我们破费了。看着他们一头的汗，确实很不容易。蝴蝶谷里前半段是溶洞，里面有个蝴蝶的钟乳石，过了一个吊桥后，就开始爬山了，现在的季节没有蝴蝶，也就是看看山上的风景，上山容易下山难呀，山上有个滑梯可以直接通到山下，花钱的，但看了看深度，胆小，没敢座，还是走下来保险，哈哈。
2015-11-27,未知,5,"今年11月19日刚刚去过阳朔蝴蝶泉，外面的场面很大，尤其是装饰在上边的蝴蝶，但洞里的观赏并不很特别，比聚龙潭小得多。有意思的是，“洞房”等苗族侗族特色表演。表演结束和观众一起跳舞，当场我是第一个邀请进场的。其实很简单的拉拉手，搭双肩扭屁股，和对面的人拍拍手，完了演员主动邀请合影。我被请进场的演员（图片这位)邀请一起合影，还有位男演员。虽然拍完照各自消失在人海中，但挺好的，留个纪念。qq392327824,爱好不多，喜欢旅游。"
2016-09-14,未知,4,蝴蝶泉景区在一进门的地方就可以看到一只大蝴蝶，导游介绍是什么帝王蝶，蝴蝶里面最大的品种。景区面积并不大，但是开发还行，有溶洞、有爬山、有游乐设施，有民俗风情表演，还是很丰富的。我们过去的时候因时间不够，主要就是看了一场有民俗风情的表演，了解了不同民簇的文化。这里还有大师级的字画拍卖会，我也拍下一幅，很开心。据说有一个滑梯很好玩，很遗憾，我们时间不够，没有体验。
2016-08-21,未知,4,蝴蝶泉是我游过桂林景点性价比最高的一个。因为桂林的景点门票普遍比较贵。这个携程订票50元。首先从门口的大蝴蝶进去是一个较长的溶洞，也比较漂亮，然后有一座悬空桥，离地高40米，然后就是下山看表演，可以说蝴蝶泉的精华就是看少数民族的表演，很精彩，有半个多小时，值得一看。看完表演就出去了。蝴蝶泉地方比较小。从阳朔汽车北站坐到高田的公交沿十里画廊走，每人3元。
2016-10-24,未知,5,悬空40米步云梯的景点可以挑战一下自己，如果有老人家的也可以走其他地方过去。虽然登高很辛苦，但登到观景台以后看到景色好美，一切辛苦都值得，侗族人民的表演描述的是他们的婚嫁习俗，女孩都很美，可以跟她们拍照，10块一个人。
2016-07-27,未知,4,入口就去就是岩洞，不大，但小朋友应该是第一次体验。溶洞通铁索桥，登桥后上山顶，然后遇见滑道。滑道下来就是少数民族表演，整个游览一个小时左右，感觉环环相扣！小孩喜欢滑道，也是新体验
2016-04-01,未知,5,照片都是蝴蝶泉景区的，十里画廊内有三个比较著名的岩洞，聚龙潭和金水岩般般，蝴蝶泉最好的，尤其金水岩又矮又窄又小的洞口还很潮湿，那那都滴水，道路都很湿答答的，走一圈出来脚都软
2017-11-13,未知,4,我们一行8人骑车到蝴蝶泉。每人只用10元边骑车边欣赏十里画廊景色很是惬意。穿过岩洞可以欣赏侗寨的表演。虽然有点强拉客人照相，但每次十元还可以让人接受。景点不大，最喜欢索桥那段景色不错，但是不经同意就给人拍照有点郁闷
2017-10-06,未知,5,十里画廊比较值得去的景点，价钱也算合理，还行。在山顶会有滑道，但是要另付20元，不过不刺激不好玩，玻璃桥15块另收费，没去。下山有个表演可以看看，民族风情的歌舞。
2018-03-05,未知,5,个人感觉是值得去的景区 共分两个部分 一如口是一个天然溶洞 和银子岩不同 去的时候几乎没有人 很凉爽 隐隐的可以听到泉水的声音 走过几个小景观就可以看到蝴蝶泉了 用泉水洗了个手脸感觉太舒服 仗着年轻还喝了几口刚流出的泉水沁人心脾甚是满意 我肠胃功能比较强大没有拉肚子 想要效仿的驴友还要三思的 再往前走一段就出洞到第二部分山了 木质悬空桥晃晃悠悠胆子大倒也没有太害怕 山上有很多响石据说大神可以敲出乐曲来 到山顶可以俯视十里画廊很美 下山可以选择座滑梯直接溜下来 但我建议步行 山不高用不了多少体力 最重要路旁的景色美呀 真想把看到的石头搬回家当景观 山下会有人敬酒随便给块儿八毛就可以 甜酒很好喝有点后悔没买回来一些 之后可以看看自己在洞里照的相片 喜欢的话可以收一个
