date,ip 属地,评分,comments
2023-04-09,河南,5,如意峰景区虽然是一个新兴的景点，但是这里的游客可真的不少，我仔细观察了一下，多数为旅行团过来的，如果大家想自己过来，有什么样的简便的方法呢？ 从桂林出发：大家可以在桂林坐到荔浦的车，然后在如意峰景区门口下车便可以到达景点，大约需要将近两个小时，票价在40元。 从阳朔出发：我们可以在阳朔汽车总站或者是阳朔旅游集散中心做阳朔到如意峰的班车，从8点开始一小时一班，往返都有车，但是注意的是最后回来阳朔的最后一班车是6:00结束。 从荔浦出发：大家可以坐从荔浦到桂林或者是到高铁的车，都可以在景区门口下车。车程大约1.5个小时，票价在25元左右。 整个景区的建设相对来说还是简单的，没有非常阔气的大门，就连售票中心也是非常的简陋，如果是线上购票，还要到现场的人工窗口来进行取票，换取纸质票，并且纸质票不能丢掉，进出都需要刷票。这点景区真的可以再优化一下，毕竟我们在现场购票，没有必要再出纸质票了，如果真的出纸质票整的好看一点会更好。 景区游览的难度并不大，适合男女老少，还有很多孩子，走在吊桥之上，还有玻璃栈道纸上都是非常兴奋的，真的是孩子们的胆量要比大人的大呀。
2020-08-17,未知,5,跟家人一起来阳朔，下高铁打了个滴滴，遇到了秦师傅，秦师傅下车给了一个名片，第二天当了我们的向导，给我们安排了这条路线，早上相公山，然后10点多去了世外桃源，中午休息，然后3点去如意峰，晚上看了刘三姐，感觉如意峰是我最喜欢没有之一，景色，索道，玻璃栈道，厉害到飞起，美爆，就是不明白为啥排不上知名景点，反正棒，无敌
2024-12-19,广西,5,景色很美的呢，坐缆车🚡➕步行上山，全程大概3个来小时。喀斯特地貌一览无遗的展现出来。青山绿水。很是漂亮啊！午后的太阳也是暖暖的，很值得来！！
2024-12-06,河南,5,当你来到如意峰的游客服务中心的时候，你可能都会很诧异，这个景区的游客服务中心怎么这么小，这个景区的大门怎么这么小，但是当你走进游客中心，像景区的核心景点走去的时候，你会发现，哇，这里真的。是豁然开朗了，特别是当下了缆车之后，那一望无际的景色真的太美了。
2023-04-09,河南,5,来到阳朔旅游你会玩什么呢？去兴平古镇看一下20元的标志性景点？到阳朔县城做一下遇龙河漂流？租一个自行车，骑行一下十里画廊？这些都是非常传统的阳朔的玩法，其实在现在阳朔县有一个非常好的新地标的景点，那就是如意峰景区。 如果说前面的几种玩法都是仰视阳朔的喀斯特地貌的话，如意峰景区则是一个俯视喀斯特地貌，很好的地点。 在到达景区之后，大家会乘坐一段缆车，过三个山峰，这三个山峰一共的时间也就10分钟，其实时间并不长。之后我们便到达了观景台，观景台的游览顺序是顺时针行走，我们会依次路过长长的吊桥，还有高高的如意峰及两端透明的玻璃栈道。有些老年人可能不想登顶如意峰，那也有其他的岔道走向玻璃栈道，有些朋友如果不想走玻璃栈道感觉会很高，那也可以走另外一条森林步道，走向下山的缆车处，总之无论怎么走，你都能画一个圈，回到原点。 整个景区的体力要求并不是很高，游玩时间基本上在2~3个小时左右，大家可以很好的把控。
2022-06-10,未知,5,去过最坑的地方阳朔如意风景区 网上给外地游客240一位，本地游客130一位，要没有外地游客你们景点有收入有人流量吗？ 你们景点是看不起外地游客还是歧视外地人 都是中国人 为什么要差别对待 ？ 黄牛售票170-180一位也可以进入景区，明显就是坑在网上购票和现场购票的游客 这点希望看到评论区的人注意避雷 景点离县城10公里 如果不是自驾游交通很不方便，不好叫车，周围没有吃喝。网上滤镜太重，现场跟网上差别很大 缆车来回20分钟都没有 玻璃桥一分钟能走完 240一位价钱根本不值得上去 上面就是很矮的山峰，一眼到底，比九寨沟，黄山，张家界的景色差太远，票价比它们还贵，根本不值得去，浪费钱 去了最后悔的一个景点 踩坑🕳
2021-11-19,未知,5,第二次来桂林阳朔，自驾游。 第一次报团遭遇实在太黑暗了，后面说。先说一下如意峰，从西街开车过来用了差不多四十分钟，穿过十里画廊限速都在30，不知道会不会被罚。刚到桂林就被扣两分罚一百，圆饼灯绿灯，我占最右道右转，居然罚我不按指定车道行驶。后来看了监控图片，右边树墙右边标单车道的才是右转辅道。妥妥的坑外地车，提醒自驾的朋友，尤其在桂林市内一定注意，拍照多如牛毛。 跑题了，说回如意峰。看到4.3这个评分时候我有点犹豫去不去，感觉不是很好。门票260一人，携程240。到了门口被村民拉客的叫住，停到路对面15，景区停车场内30。村民帮买的门票200一张，手机短信验证很快很方便。后来对这个评分理解了，不是景色的问题，纯粹是票价高的问题。进去之后做缆车，大概15分钟车程，往返30分钟。到顶后步行爬山大概一个小时到一个半小时，爬山距离不算远也不算累，刚刚好锻炼身体。麻雀虽小五脏俱全，从开始爬，然后走一段一百多米的吊桥，横跨两山，景色不错。然后继续爬，到顶一个圆形的观景台，360度无死角观景拍照，所有前景一览无余。观景台下来之后两段玻璃桥，5块一副鞋套，两段通用。游完全程缆车下山。整体感觉很棒，但是说到底票价真心有点高，用村民的话说，就是这三十分钟的缆车费用。个人觉得票价不该高于130。 再说说这几天的行程吧。我是从云南一路自驾到桂林，中间贵州和巴马百色地区也很多这样的喀斯特地貌，还大多保持在一种开发不是特别高的状态，有时间的朋友可以选择周游一圈。16年跟团来来过桂林五天四晚邮，大多景点都看到了，这次专门自驾想找一些之前没看到的。这次来其实体验并不好，一个是从桂林市内开始，旅游开发太过度了，市内的景观王城景区象鼻山公园也都转了，soso。还是想说桂林的交通，很多路没有红绿灯，高峰期堵的一批，探头实在过多，十步一个，真心不小心就会被拍。住桂林市区三天，住在了万达附近，酒店很棒，万达连着金街，美食相当丰富。不过在万达椰子鸡还是特别让我发火了，恶意宰客。 离开桂林导航选了漓江南方大兴线的省道走，因为游艇竹筏之前都体验过了，想找找自然自驾的美景。不过一直到阳朔也没什么好的景观，不推荐这样走。海洋银杏去过了，零星一些银杏很分散，不推荐。 另外再说一下今天的另一个景点，相公山，60门票，爬山十分钟，到顶观景台有种柳暗花明的感觉，非常美，这样淡季居然还好几对拍婚纱照的。推荐，一个打卡拍照的宝藏。
2020-08-31,未知,4,说是包含玻璃栈道但就一小段，做缆车也很快就到了，还是觉得门票贵，这次阳朔旅游的感觉门票都太贵了，路边的村民卖东西的也不老实，买了点芒果，是按5两称的，被骗的感觉太难受😭 总之都有点坑人，不要相信那些人，去一次也不会想再去了.... 这些风景固然好，但都是被人搞死的，不诚信，乱收费
2024-10-14,中国香港,5,非常值得！不枉此行。山上風景令人贊嘆，4點开始上山，看到日落
2022-07-13,未知,5,今天入住的民宿-阳朔揽山望月民宿酒店撑得上是阳朔看山景色醉美的，服务最好最有人情味儿的，去哪儿都近，180的票价很亲民。 阳朔【性价比】最高的，醒来看窗外如画江山烟云环绕，的确是一个来了就不想离开的地方，准备多住几天，看了这么多好评，也想去凑热闹，去看看这人间仙境的山水画卷，住在这家民宿都不想出门啦因为无论是景色还是配套设施完全可以满足足不出户享受醉美如画江山。
2020-10-17,未知,5,"桂林阳朔如意峰景区 其定位于打造桂林首个空中之城,通过如意索道、悬索桥、玻璃栈道、林中漫步、如意云顶等创意景观,让游客可以俯瞰峰林、穿越林间,畅享“空中之城”,体验“桂林新峰景”。 如意峰索道引进法国POMA进口设备,型式为单 线循环脱挂式抱索器索道。索道下站设在星天乐国际旅游度假区内，上站直达元宝山。索道线路全长1728米,相对高差242米,设支架18个,客运吊厢51个,每厢可乘8人,运行速度最高6米/秒"
2024-11-26,广西,5,景区自然环境不错，208的票价虽然含着索道票，但放眼全国也是属于偏贵，难以推进复购，桂林身份证的价格相对合理。
2021-05-26,未知,4,虽然稍微有点累，但是感觉还是蛮有意思的，而且我觉得票价的性价比挺高的。可谓是景色的趣味性相结合的比较完美。而且如果走的慢一些，应该每个人都能接受。不过一个小缺点就是携程上没有出售老人票的。
2021-08-01,未知,4,如果是买成人票的话，建议让酒店代订，价格有180~150不等，有小孩子或者老人家优惠票的，网上携程订130就好，现场可以在售票处凭手机号一起取票，不用排队可方便了，包括了来回返程的索道费。可是上到玻璃栈道就要另外给所谓的脚套费5元/位。感觉没有人监管，而且老抓你照相，太乱了，给游客感觉很不好，明明是旅游的，却变成了赚钱的套路。 至于景色嘛，还是可以的，上山的路也不是很累，大概6000步就能走完，而且路上微风吹过很凉爽。
2020-05-09,未知,5,推荐阳朔必打卡的景区，这里是阳朔最高峰，喜欢1.索道玻璃轿厢很棒，很干净，可以全景看周边地貌。喜欢2.体验了高空索桥和玻璃栈道。喜欢3.如意云顶就是阳朔最高峰，能俯看阳朔。远处的喀斯特地貌峰林层峦叠嶂。非常壮观。不虚此行。能看到其他地方看不到的峰景。
2024-12-10,河南,5,如意峰索道景区是一个集自然景观与现代设施于一体的旅游胜地，位于广西桂林市阳朔县高田镇。以下是关于该景区的详细信息： 地理位置 位于广西桂林市阳朔县高田镇。 紧邻321国道，距离包茂（桂梧）高速公路高田出入口5公里。 距阳朔遇龙河、月亮山、十里画廊等核心景区和荔浦银子岩景区均约5公里。 特色景观 由“三峰两谷”（元宝峰、如意峰、项链峰、彩溪谷、百花谷）组成。 拥有索道、如意云顶观景平台、如意索桥、玻璃栈道、林中漫步道等景观。
2023-04-21,北京,4,阳朔的景色我觉得像清秀版张家界，但类似张家界这种地貌小一号就有点不太对。不过这里揽胜的条件不在这儿，在于几条有创意又有设计感的索道。 交通： 跟团游吧，这地方还想公共交通吗？自驾都不知道车停哪。 特色体验： 他这里的几条索道可不是美丽的摆设，环环相扣美观又实用。 推荐理由： 各个山头通过索道连成一片，让我想起金庸小说里的铁索横江，一定要上到山顶啊，俯瞰的景观太壮观了！ tips： 下山的路很陡，注意安全。
2023-04-20,河南,5,有好多年没有来过阳朔了，上一次来阳朔的时候印象最深刻的是漂流，而这次来到阳朔，感觉对漂流的性质并不是很大了，在朋友的推荐之下来到了这个景点。 如意峰索道景区，其实离阳朔是有一定的距离的，如果再往前面走的话就要出了阳朔了，但是这里却有着阳朔非常特色的景观，那就是广西的喀斯特地貌。 景区的大门并不算特别的大气，但是里面的建筑却是格外的震惊到了我，首先是长达10分钟的缆车，这个缆车会带你跨越好几个山峰。下了缆车之后映入眼帘的就是一个吊桥和一个弯曲的玻璃栈道，我把这个弯曲的玻璃栈道形容成阳朔的彩虹，因为站在远处看他真的是绿丛中的一抹红。 景区虽然挺大的，但是走下来并不费时间，如果你想好好的拍照，好好的关上3~4个小时是顶天的了，因为毕竟看多了也会感觉厌烦。 喜欢拍照的你千万不要错过这个彩虹和道路的对比，这样能拍出很多优美的照片。
2023-06-23,湖南,5,100% 推荐去。6 月份下午 5 点左右去的，几乎没人。缆车稍贵，但是索道长，而且山上的游玩趣味高。景区不但有吊桥，玻璃桥和观景平台，更有玻璃栈道。风景非常好，性价比高，值得一去。
2021-07-05,未知,4,门票是个谜，官方一个价，民间一个价。而且相差很大。一定要找个靠谱的当地人帮买票。不然坑死。阳朔风景是真的棒！到处是景！如意峰坐个索道上山顶，然后在几个山峰之间走玻璃栈道。山顶风景就必须自己体验！
2022-07-10,未知,4,1.景色本身真心赞，不过类型有点单一，一开始确实很震撼，但到后面就有些审美疲劳了。景区路线设计不错，基本一条走到底不走回头路。为了增加趣味性，景区还设计了最近比较火的玻璃天桥和玻璃栈道。同时为了照顾害怕不敢走的游客，还设计了岔道直达出口，这些都是比较人性化的设计，赞。 2.票价略贵。散客价格260/人，携程优惠20后240，同样景区面积同样游玩时间的同业比较下，即便考虑票价已包含了索道，但如意峰绝对是最贵的，几乎没有之一。 3.关于优惠价的一些信息分析。票价说明里阳朔本地人可半价（130），实际操作是整个桂林都可以享受（身份证4503开头的），包括已经迁户外地的。不知道外地人落户桂林后能否享受，知道的不妨回复下。 4.关于停车。停车费也是贵。景区自带的停车场30/次，住自带的酒店免费停，但我看了下点评决定不住，主要是一早就有游团很吵，于是花了30大洋。旁边还有个停车场，5/小时，40封顶。这两个都不带停车棚，夏天暴晒很心疼车子。入口附近有些附近老乡开的简易停车场，搭了简单的黑纱棚，比没有好些。随便问了价15/次，因为没打算停就没还价，供参考。 5.景区是陕西的公司过来开发的。
