date,ip 属地,评分,comments
2017-06-12,未知,5,来到漓江、来到阳朔一定要去的地方，遇龙河的源头，干净的可以喝的水，在岸上看到三个小朋友普通跳下去游泳，这里的绿色不用滤镜都可以呈现出他最艳丽的一面，人少充满了古朴的味道，在这里就安安静静地呆着都是一种享受
2024-10-07,江西,5,真的是梦境里的石桥，最美石桥之一，魂牵梦绕的景色，美的是那么淳朴，不需要任何华美的语言描述，就在那里静静的等候了500年，阳朔山水名不虚传，天空无需滤镜，清澈的蓝，一定会二刷阳朔，美哉
2017-02-03,未知,4,全天然的景色，路况不算难找。因为是遇龙河源头的关系，河水质量清彻见底，河水幽清，波澜不惊～全天然没任何商业气息，感觉就是真正的世外桃源。枯藤老树昏鸦，小桥流水人家，是对这个富里桥最好的诠释～～
2016-11-28,未知,5,我特别的喜欢富里桥，那是一方净土，遗世而对立，环境清幽宁静，河水清澈如镜，水草摇弋多姿，两岸鸟声不绝，可见到罕见的飞鸟，有着漂亮的长尾巴。我希望永远不要去打扰它，永远不要开发，就让它恒古不变。
2021-03-31,未知,5,富里桥，为单拱石桥，筑于明代，距今约500余年历史。高高弓起的桥身倒映在水中，恰似一轮满月，分外动人！ 富里桥桥长30米、宽5米、高10米。是阳朔县最高的单拱石桥，也是广西最美的古桥之一。在微博上分享富里桥的照片后，不少网友表示到过阳朔，却不知道富里桥。富里桥在遇龙河的上游，距离县城稍远，也因没有开发成景点不收门票而甚少被推荐，这样的地方，不是跟团游或者匆忙做攻略就能的。
2018-01-15,未知,4,中午在旧县村住下后，一觉睡醒，我们两个骑着自行车沿着乡间小道骑车去富里桥进发，大约骑了一个小时，沿着马路。在看到岩塘村拐进去可以看到往富里桥的指示。富里桥是遇龙河的水源头，是阳朔最圆单孔石桥，富里桥横跨乌龟河，河水非常平缓，有大块青石砌成的桥与水中倒影恰似一满月，而桥两头有两株古树守卫。站在桥上远眺周边都是农田，远处是群山遥遥，风景这边独好，我们来到时下午4点多，由于交通不便，游人不多，但也可以看到一对新人在桥下拍摄婚纱照，很有你在桥上看风景，你在桥下也成风情的味道。
2017-08-09,未知,5,看大家推荐的地方，安静的地方，纯朴的风景，遇龙河源头，可以下水泳游，水很清，记得自己带泳游衣，小孩子玩的很开心，人不多，在现在的旺季还能找到这样人少的地方，真是太棒了
2019-06-19,未知,5,"阳朔富里桥距离阳朔县城约12公里,是遇龙河水源头,目前是阳朔唯一还没有完全的开发免费景点,是一处网红打卡地,小众秘境。这里没有喧闹的团游客,只看到一些零零散散的游客,难得一片宁静。 富里桥筑于明代,钜今约500年历史,造型美观,水中倒影,登上桥是观赏田园风光的最佳处,立桥头可观田野,青山环抱,绿水绕庄,河坝浪花滚滚,溪水潺潺,好一片青山绿水,世外桃源。要游趁早,以后开发要收门票的,去富里桥没有公交车抵达,主要交通租电动车(自行车)或打的,打的费用约35元左右,先跟司机商议好。"
2017-08-18,未知,4,开车去的，比较偏僻，从阳朔县城开过去约半小时。桥很美，很古老的感觉。没太多商业气氛，所以感觉风景很纯净。桥上有一颗树，树干横过来，可以坐上面拍照。一开始没有想到，后来一对拍婚纱的在那里拍，感觉不错，本来也想拍几张，但是他们拍起来没完没了，天气太热，不愿意等了，只好作罢。个人认为，如果能解决交通问题，还是很值得一去的地方。
2023-08-01,广东,5,富里桥上观景 和李可染的漓江画作特别吻合 照片出来就像山水画。另外 桥旁边走几分钟(卫生间方向) 还藏有一大片流水水塘 也是绝妙景致 看实拍便知
2018-09-03,未知,4,阳朔旅行签到点之一的「富里桥」， 距离阳朔县城约14公里，处于遇龙河上游500米， 还没完全陷入“铜臭”之中，目前是免费的， 周边配套已很完善，吃喝玩乐都有。 桥为石结构单拱，长30米，宽5米，高10米， 筑于明代，距今约500多年， 造型美观，水中倒影似满月。 桥上是观赏田园风光的最佳处， 青山环抱，绿水绕庄。
2018-08-26,未知,5,遇龙河的源头，我们电瓶车开到这里，意外的情景美好，难得的未被开发的旅游区，村民做一点旅游小生意，这里的桥是600年的古桥，造型优美，在这里还可以戏水，体会到岁月静好，当地村民也做竹筏生意，小小的一段，可以一个竹筏可以坐四个人可以竹筏上戏水，价格还算优惠。
2022-10-31,浙江,4,富里桥感觉比遇龙河景区任何一根桥都漂亮，有种出世的田园风光之美。 这里说下交通，平台显示去阳朔方向的车子在国道上的世外桃源景区大门下再步行5公里多。其实世外桃源不要下，沿着国道继续往南开4公里左右，国道右手边会有个小路牌上面写着“山里村”三字，可以在这个山里村路口下会更近，步行只要3公里不到，一路上其实也带点田园风光的意思，背包客可参考。
2020-10-23,未知,5,富里桥 富里桥距离阳朔县城大约有14公里，富里桥是遇龙河的水源头，是阳朔唯一还没有完全的开发的免费景点之一，这里的人相当淳朴，友好，而且这里的景色是相当漂亮。富里桥石结构单拱，长30米，宽5米，高10米，筑于明代，距今约500余年历史，造型美观，水中倒影恰似一满月。桥上是观赏田园风光的最佳处。立桥头可观田野，青山环抱，绿水绕庄，河坝浪花滚滚、溪水潺潺，田畴井然，阡陌如织。
2018-05-18,未知,5,因为停漂，所以选择到岸边走走，很喜欢的一个点，幽径，雅致，没有过多的喧嚣和大巴团，上游的河水也很清澈，站在桥上，看远处群山，站在桥下，望千年古迹，行在山水之间。
2017-01-22,未知,4,富里桥绝对算是此次阳朔行最让我惊艳的地方之一，这座阳朔最高最圆单孔石桥，始建于明永乐年间，和遇龙桥、仙桂桥一起被称为阳朔的三大古石桥。典型的单拱石造结构，完全通过物理结构堆砌而成，历经五百年的岁月更替依旧稳固。 富里桥是遇龙河的水源头，水质清澈见底，当地人常会在小土坝的出水口洗肉洗菜，我没想到竟然还能遇到此等画面，这等景象好像只有书中有，连影视剧都不常见了。
2020-07-14,未知,5,富里桥是到漓江、到阳朔一定要去的地方，它是遇龙河的源头，遇龙河的水是干净的，可以喝的水，遇龙河是阳塑竹阀漂流的最佳地方，说金龙桥到工农码头沿途风景是人间美景的话，那么富里桥无疑是人间仙境。富里桥处于遇龙河上游，风景更胜一筹。从阳塑汽车站半小时到白岩村界，走十分钟即可到达景点。
2017-02-09,未知,5,不是热门景点，当地司机推荐过来，很是惊喜，啥也不说了看图吧
