date,ip 属地,评分,comments
2017-05-25,未知,5,桂林市尚水美食街是桂林最出名的美食一条街，也同时是桂林步行商业街的所在地，傍晚临近，美食节就开始人来人往，各种美食琳琅满目，应有尽有，可以让你狮子大开口，一饱口福，里面有地道的桂林米粉，桂林剁椒，桂林小特产等地方特色食物！
2017-04-11,未知,5,位于桂林市中心闹市区，桂林名吃汇聚，夜幕降临，灯火通明，人流攒动。新鲜生蚝现开现烤现卖，10元4只，应该是很便宜了。螺狮粉等各种美食齐聚，感觉不错。
2017-08-12,未知,5,到了桂林，问了酒店步行街在哪里，就直接去了这里。尚水街是桂林正阳步行街的一条支路，这里美食聚集，店铺林立，管理也很规范，街道看上去整洁卫生，小吃云集，人声鼎沸。当地风味的火锅也比较独特，价格也比较公道。由于桂林旅游的景区都在市区附近，所以每晚都可以到这里来寻找美味。
2016-10-30,未知,4,在正阳步行街旁边，由两三条小巷子构成了尚水街。主要是小吃的地方，有很多小吃品种，有一些还蛮有当地特色的，而且价格不贵。卫生条件会相对差一点，不过中国的美食都是越脏越好吃的啦。吃完饭之后可以去逛步行街。
2019-09-18,未知,5,尚水街是桂林市区的一条知名美食街，位于秀峰区正阳街6号，靠近滨江路。 这里汇聚了世界各地的美食小吃，类似成都的宽窄巷子，建筑多桂北民居风格，是桂林的民俗文化美食街。 大多商品营业时间10:00-22:00。 傍晚时分灯光开启，人流攒动，会显得很热闹。
2017-04-04,未知,5,这里是桂林最出名的食街，范围大、店铺多、品种齐全，桂林著名的小吃在这里都能找到，且丰俭由人；个人觉得来到桂林若不来这里走走吃吃，当真可惜。
2017-12-26,未知,4,桂林市区最有名的商业步行街 里面有一条美食街叫尚水街 与正阳路步行街垂直相交 在依仁路和杉湖之间 地理位置得天独厚 街道建筑很有当地特色 以桂北仿古建筑为主调 沿商铺门前还有流水缓缓而过 更添了份情调 随意逛逛尚水美食街 紧邻桂林正阳路步行街 整条街有2公里左右 晚上行人很多 很热闹 不过商业味比较浓 街上美食琳琅满目烤肉 烤串 烤生蚝 烤鸡腿 炸鱿鱼 炸土豆 麻辣小龙虾 锡纸花甲粉等到处都是小吃 热闹非凡
2019-06-07,未知,4,在正阳路步行街区域有两个比较大的美食区域，分别是尚水美食街和庙街。尚水美食街就位于时钟附近，里面商家有炒菜，也有小吃，商家都会很热情的招揽客人，给我的感觉有点大排档的味道，我在那里吃过一些小吃，最喜欢的是鸡翅包糯米和炸排骨。.
2019-11-17,未知,4,桂林中心广场那边有个尚水街美食城，可以进去逛一圈。 类似长沙的庙街和上海城隍庙小吃城，小吃种类算是很多了。 每天晚上人也挺多的，但都是游客居多了。 容我说一句里面小吃可不便宜哦，桂林大多小吃都是很便宜的。价格还可以的。
2018-09-28,未知,4,尚水街是为与正阳步行街中部旁边的一条小吃街。这里汇集了桂林，还有全国各地的小吃。 可以说在这条街上面可以吃遍全中国，价钱方面会稍贵一点点，但是有一些还是比较值得尝试的。 环境里还算是可以，不会说很脏乱差的那种，起码比广州美食节的布局好多了。
2016-05-01,未知,5,桂林市尚水美食街位于桂林市正阳步行街一侧，美食品种多，好吃而便宜，非常值得去体验一下。
2018-11-23,未知,3,·尚水美食街汇集全国各地不同风味的名小吃。 ·以桂北民居建筑为主，一条环绕景观水系，沿商铺门前缓缓流过，形成小桥流水格局。 ·这里是桂林民俗文化美食街，被称为桂林的“宽窄巷子”。
2015-12-12,未知,3,11月21日下午到的尚水好食街，虽不是最佳时间去的，当地人一般晚上七八点才会逛这地方，可导游安排是晚饭前带去的，肚子不饿，所以，一分钱都花不上逛了逛空手而归。
2019-09-11,未知,4,挺热闹的，一条街道就在桂林大桥的附近。这里还有很多东西吃，算是远近驰名的一条小吃街。 在里面的物价也还算是可以，晚上的灯光全开之后其实还是相当浪漫的。
2016-10-07,未知,4,就在中心广场边上，听说是当地人吃小吃的地方，价格不贵，吃的东西很多，就是人太多了，离日月双塔很近，吃完东西再去游玩很方便。
2022-03-19,未知,5,桂林当地著名的美食街，位于市中心繁华商区，交通便利，街区规模比较大，环境整洁，入驻的餐饮美食店众多，为顾客提供各地风味美食，消费适中。
2016-09-17,未知,5,大大的美食街的牌坊，一看就觉得很饿，桂林山水甲天下，桂林的美食其实也很出名，尤其是桂林米粉，虽然不是我特别喜欢吃的，试试吧
2018-04-16,未知,5,尚水街，桂林文化民俗文化美食街，被称为桂林的“宽窄巷子”。尚水美食街位于桂林市区繁华商业中心，紧邻国际知名品牌——喜来登大酒店，离漓江和桂林城徽象鼻山仅百米之遥，北临明靖江王府与独秀峰，西邻桂林最繁华的正阳商业步行街，让人休闲访古的同时又能品尝到天下美食。　　 尚水街以桂北民居建筑特色为主，一条环绕景观水系，沿商铺门前缓缓流过，形成小桥流水格局。充满魅力的桂北民居建筑，潺潺的水流声，多彩的灯光造型，为本地市民和旅游观光客提供一个舒适而富有情调的体验美食的场所。 尚水美食街汇集世界各地美食几百种，有西式美点和咖啡，让人可以充分的享受小资生活的悠闲；有来自大长今国度的韩国料理；更有充满异国情调的印度菜馆，以及全国各地不同风味的名小吃，让人在不经意间流连于美食中而忘返。
2016-06-12,未知,3,与正阳路步行街垂直相交，在依仁路和杉湖之间，地理位置得天独厚，因而开辟成美食街很是兴旺。只不过餐饮店的规模都比较小，档次也相对较低，多是烧烤、麻辣烫、米粉面之类的，随便来吃吃就好。
2020-02-15,未知,3,尚水美食街在桂林市中心区域，美食街两侧都是餐饮店，每家店都会招揽顾客前往，非常热情，去桂林的几天我每天都会去那里走走，品尝不一样的美食。
2018-10-02,未知,3,尚水街是位于桂林市中心的一条老食街，与大名鼎鼎的正阳步行街齐平，里面都是地方上的各色小吃，比较嘈杂，人流密集
2017-06-01,未知,5,晚餐在尚水街小吃街解决的，东西很多，口味也不错，价格我觉得中规中矩，地方特产也可以买到，很不错的地方，方便游玩时去逛逛。
2016-04-04,未知,5,"对吃货来说性价比超高的地方，10元可以吃到:4个烤生蚝,或6串鱿鱼，一份牛杂粉或一份鸡排"
2017-10-20,未知,5,这里值得一去，紧邻正阳步行街。各种美食，小吃，米粉，炸昆虫很刺激，有蚂蚱、蝎子，挺可怕，没敢试，胆子大的可以一试。
2017-07-25,未知,5,夜宿喜来登，旁边就是尚水街，像个小夜市，逛一圈就可吃饱了
2017-11-28,未知,4,美食区域，在正阳步行街旁，位置不大却聚了几十家饮食店，各种小吃，但是价格偏高一些。有家印度菜味道不错，特别是孜然炒饭，好吃。
2017-09-10,未知,5,有很多美食小吃，价廉物美，在哪里吃了啤酒鱼，味道很赞 很正宗，桂林人民很友好！
2017-08-05,未知,5,好多吃的，每每路过都要进去走一走，不吃看看饱饱眼福也行。
2018-04-16,未知,5,我6点找的携程客服，到7点下班我都没排上队，这携程积分我是要不回来了
2017-03-30,未知,5,一到周末放假，有时间都会去走走看看，呼吸新鲜空气，感受大自然的气息！
2018-02-27,未知,5,尚水街很有看头，白天是熙熙攘攘的人来人往，晚上夜景更是美轮美奂的！
2018-02-26,未知,5,很多吃的，满足你的馋猫欲，价格还好，
2018-04-16,未知,5,是条小吃街，桂林坊间百年小吃街尚水街，有各色特色小吃。
2016-11-13,未知,5,在贵州的尚水街逛一下，真的逛出一些，不错的好玩的地方。
2018-04-07,未知,5,太多小吃了，看见很多的外国人。
2017-12-08,未知,5,走依仁路步行街时看到的，有很多美食铺子，很热闹
2017-06-08,未知,5,小吃多，人文突出，风景好，周边有湖水，空气好
2017-04-02,未知,4,尚水美食街，就在正陽步行街尾，近瀑布酒店附近
2017-10-19,未知,4,美食街嘛，环境就不能苛求了，东西好吃就行。吃货们，可以去尝尝。
2019-07-13,未知,5,各方的小吃特别多，可以满足吃货的要求！
2017-08-09,未知,4,美食众多，但环境略显嘈杂，有待改进。
2019-07-29,未知,5,东西选择性多，玲琅满目的，可以逛逛
2017-10-02,未知,5,醉美桂林，阳朔，西街，都值得推荐
2016-02-19,未知,5,聚集桂林各地美食与世界各地美女。
