date,ip 属地,评分,comments
2016-06-16,未知,5,屏风山在我们学校里面，平时就当我们锻炼的场所，没事就去爬一爬，由于桂林市没有高层建筑，所以在山顶能俯瞰桂林市区，感觉特别好
2017-04-07,未知,4,因为这座山形如屏风，人们也叫它屏风山。在山的对面钟灵山侧还有一座小山峰，样子极像腼腆的少女，正斜身低头面对西部，这就是小姑山。人们给这一景取了个名字叫“西郎拜姑”。西郎山腰有个会仙亭，山顶上还有卧云亭。游人在卧云亭上仿佛置身云中，眺望着阳朔县城，欣赏到“碧莲峰上有人家”的美丽景色。在山的北侧还有一座望溪台，傍晚夕阳西落时，在此观望，可以看到霞光云彩与山峦田野，相映成趣。此景就是台旁所题的“西山晚照”，是阳朔八景之一。 可以经从桂林理工大学正门进入 里面的石洞挺凉爽的 总体不高，走楼梯也就10几分钟上去
2016-08-09,未知,4,免费，进桂林理工大学，往北走，山不高，却是看日落的好地方。
2017-11-30,未知,4,屏风山山形如屏风，人们叫它屏风山。它在山腰处有一块高约10米的巨石，好像一个男子向西拱手作揖，人称该石为“西郎”
2016-11-15,未知,5,从小就在这里长大，里面有很多回忆，小学放学的时候都会来这里，今日路过又让我想起许多往事
2016-02-27,未知,5,屏风山就在理工大学这里，不用门票，山也不高，就是爬爬就好了。没什么太好玩，可以看看景色。一般吧
2016-05-25,未知,5,空气好，风景美，是情侣散步约会的好地方，值得一去
2017-02-12,未知,5,风景很漂亮，交通很方便。是非常值得去的一个地方。性价比很高。
2017-02-25,未知,5,在桂林理工大学屏风校区内，景色不错
2016-10-09,未知,5,学校附近............
2017-01-10,未知,5,这个全桂林最特殊的一座山，别的山都是秀美，它是俊耸！
2017-07-18,未知,4,免费景点，可以俯瞰大半个桂林市，有空可以去看看，专门的话就没必要了。
2022-01-08,未知,5,极目远眺，风光优美迷人，可以常常来此看看
2021-05-20,未知,5,有趣的去处，可以感受千万年的地质变迁。
2021-08-20,未知,5,风景优美，景色宜人，可以常常来看看
2016-10-11,未知,5,山川秀美，人杰地灵，游玩的好地方。
2016-10-09,未知,5,适合爬山”。。。。。。。。。。。
2016-09-04,未知,3,桂林一般般的山罢了，不过适合锻炼。
2021-09-21,未知,3,桂林风景名胜区太多了！很少人想去
2017-02-26,未知,2,可以作为日常锻炼身体的去处。在理工大学里面，餐前饭后散步的地方。
