date,ip 属地,评分,comments
2019-09-18,未知,5,山水园又名阳朔文化古迹山水园，位于阳朔县城滨江路2号，在莲峰巷21号附近有个售票处，进去需要买票28元一位。公园里面积不大，有很多名人篆刻，不少国家领导人也来此游过。这里名气也因此有了，其实在外面拍拍这边滨江路上的山水就可以了。
2018-10-07,未知,5,阳朔山水园是个惊喜，此地背靠碧莲峰，面朝漓江，是绝佳的观景胜地，因此也有许多文人墨客的留迹，如“桂林山水甲天下，阳朔山水甲桂林”等诗句，以及著名的“带”字都值得驻足。山水园有多个观景点，可见漓江两岸山水风光，非常漂亮。此外山水园内还建有鉴真纪念馆，以纪念伟大的鉴真大师。总的来说，此地风景独好，文化底蕴深厚，虽然占地不大，走在逛逛也就半小时到一小时的时光，却是阳朔市区内极为难得的一处精华场所。唯一的遗憾就是，为了保护碧莲峰的自然环境，往上走的栈道已经关闭了，否则站于高峰俯览阳朔漓江，又是一处胜景。
2022-05-15,未知,4,离西街很近，五一去的，但是没法爬山，当时楼梯在修。景区不大，很小。没有过多看的，就拍了几张照片撤了，游玩时间30分钟左右。这应该是，阳朔最早的一批景区了。里面有一些80 90年代领导人来参观的照片，比如小平爷爷。
2021-02-11,未知,5,看图。清静优雅。不累不急。拍照（适合森系和文艺）以及偕老带幼圣地。近处是随处可见的青苔。远处脚下漓江美景尽收眼底。没有任何营销。工作人员亲和力十足。一路被坑了几个景点。什么大榕树什么世外桃源都不要去！这里才是世外桃源好么！山水园真的推荐！
2019-07-09,未知,4,"河边边的一个小小公园，历史悠久，有不不少名人题刻。园内有鉴山楼、鉴真纪念馆、古道碑林、风景栈道、瀑布溪流、奇石馆等。公园景观以一条刻满著名历史文人碑文的风景道而杨名，共有大小石刻贰拾多件，其中碑文上不但有民国爱国人士吴迈所书的“桂林山水甲天下，阳朔堪称甲桂林”的著名诗句，而且还有清代阳朔县令王元仁所书的特大草书“带”字，此字笔画如行云流水，又有龙腾虎跃之势，且字中藏字，字里藏诗，一个字中藏有一首四言诗：一带山河，举世无双，少年努力，万古流芳。所以也叫""带字园""。有语音播放器，每到一个景点自动播放。但真小，走快点10分钟就能走完，全部听完语音约1小时。"
2023-08-01,广东,5,太美了 强力推荐 依山又依江的庭院 亭台高低错落 布局精巧 开阖有度 全程江景+山景 有古树 有崖刻 有禅寺 游程轻松惬意不到一小时 我是离开阳朔之前 早上来的 适合休闲时间来转转
2021-02-22,未知,5,阳朔山水园其实就是以前的滨江道小公园。风景优美，依山而建，观漓江的好地方。周恩来总理，陈毅元帅都携家人到过这里。可见它的独特魅力。
2019-05-27,未知,5,阳朔山水园座落在桂林到阳朔豪华游船的下船的码头旁，公园不大，门票比较便宜，游人非常少，景色不错，好几位中央的领导人到此处参观游览。
2017-07-06,未知,4,座落於阳朔碼头的碧蓮峰下，多个名人曾到访於此，留下千秋墨宝。當中最為有名者就是“桂林山水甲天下”的詩句和隱名著四句十六字的“帶”字石刻，非常值得一遊。
2022-08-28,江苏,5,阳朔文化古迹山水园 通过ISO14001国际环境管理体系认证。由原滨江公园改建而成，距今已有1400多年的历史，它西依碧莲峰、东傍漓江、北起阳朔码头、南至阳朔渡口，景色绮丽，是阳朔风光的代表和文化溯源的象征。
