date,ip 属地,评分,comments
2022-09-24,湖南,5,崀山，相对来说确实算是一个比较小众的5A级景区，里面各种神奇的丹霞地貌，再加上夫夷江，真的美不胜收，非常适合游玩，而且比起其他非常热门的景区来说相对不拥挤，性价比和舒适度都非常高。 崀山共有天一巷、辣椒峰、紫霞峒、夫夷江、八角寨和天生桥六大景点，目前天生桥还正在开发中，所以可游玩的是前五个景点，买门票时有两种选择，A线门票是包含五个景点的，B线的门票是去掉夫夷江漂流的其他四个景点。 我和朋友本次买的是B线门票，不含夫夷江的，一共在新宁县待了差不多两天两夜时间，采取的是自驾游方式，开车去各个景点也方便(各个景点相互之前是有些距离的)，同时所有景点入口的停车场都是免费的，所以推荐驴友自驾游比较方便，如果不自驾游的话，就要选择购票乘坐景区的游览车往返于各个景点之间。 我的行程是这样: 第一天晚上到达新宁县市区，住在市区的酒店，第二天上午去辣椒峰景点，下午去天一巷景点和紫霞峒景点，晚上没回市区，住的景区附近的农庄，第三天上午去八角寨景点，下午返程。 接下来逐个介绍下各个景点: 1、辣椒峰景点，该景点实际上包含辣椒峰和骆驼峰两个景点，骆驼峰的游览路线上有崖壁上的栈道、一线天、令箭石、蜡烛峰、龙口朝阳等，景观非常好，墙裂推荐走上一遍，辣椒峰主要是一座形状酷似辣椒的山峰，在景点门口可以拍照留念，虽然它也有一条单独的游览路线，上面有观景台等，但感觉这条路线景致一般，远不如骆驼峰的风景，我和朋友大概用了一共将近4个小时走完了骆驼峰和辣椒峰两条游览路线。 2、天一巷景点，也叫天下第一巷，是进山后的路线上有一条很长、很高的一线天，一定要走一遍体验一下，这条游览路线大概一个半到两个小时左右。 3、紫霞峒景点，该景点的游览路线，说实话，个人没觉得有特别惊艳的地方，也就顶上的两个观景台那边风景比较好一点。这条游览路线进山出山大概两个小时左右。 4、八角寨景点，位于湖南和广西的交界处，顶上有“一脚跨两省”的石碑，广西和湖南各有该景点的入口和出口，相距将近四十分钟车程，山顶上最出名的要数龙头香和鲸鱼闹海，非常值得一看，这个景点游览时间大概两个小时出头。 总结: 八角寨、天一巷、骆驼峰必去，辣椒峰可景点入口远观拍照，紫霞峒不去也行，夫夷江水特别漂亮，喜欢漂流的不容错过。 注意: 除了夫夷江漂流，其他几个景点的游览路线都是要上山下山的，大家一定要提前做好攻略，根据自己的体力合理规划游览路线和时间。
2020-09-12,未知,5,崀山景区有A，B套餐，根据情况购买。必去的景点，天一巷，骆驼峰（辣椒峰在一起），八角寨（鲤鱼闹海）。最好二天一晚轻松点。如自驾游，建议，12点以前到新宁，马上吃中饭，饭后首先到北大门（即旅客中心）买票，顺便游玩一下游客中心。然后驾车到天一巷景区，游览天一巷，上下约4小时，快的话2个多小时。下山如果早，体力好的，可以继续游紫霞洞景区，上下山约1.5小时，快的1小时。下山后返回县城住宿，约10kM。第二天早歺后驾车到八角寨景区，约25kM，建议坐缆车上山，在山上游玩拍照约1.5小时，步行下山，约40分钟。驾车去崀山镇中歺或路边农家乐。下午驾车游骆驼峰，上下山约3至4小时。去了几次，因换手机，只有几张八角寨和夫夷江坐般的照片。
2018-05-16,未知,5,崀山 一位美丽低调的农村姑娘 你没见过她 也许你也没听过她 但当你第一次和她相遇 你会感叹她的美决不亚于你所见过的其她城市女孩。春天辣椒峰下的油菜花 夏天将军石下何家湾的水 秋天骆驼峰上的夕阳西下 冬天八角寨上的雾松云海 不论何时她都会让你相见恨晚 不忍别离。
2017-04-29,未知,5,买的B线票170元。先游览了主要景点八角寨和天一巷。全程都是爬山。一天时间游览完，剩下的2个景点没去了因为那些山感觉都差不多，一个景点要爬一座山有点累。游客中心有免费的换乘车去各个景点。建议有车的还是不要坐那个免费的换乘车，自己开车更方便
2017-04-03,未知,5,崀山天一巷原名牛鼻寨景区，位于湖南省新宁县境内，南距桂林142公里，北距新宁县城11公里，全长238.8米，宽0.33—0.8米，壁高80—120米，总面积108平方公里。 两座巨大的山石阻挡住了前行的脚步，而一道幽深见不到尽头的狭缝夹在巨石之间，向里面望去，路渐渐变窄，以目测能看到的距离，最多也就半米宽。狭缝中不时吹出潮湿阴冷的风，石壁上长满了厚厚的青苔，不知从哪里滴下来的水珠，划落在肩膀上，三个刚劲有力的朱红色大字“天一巷”，高高悬挂在巨石之上。以往走过的一线天，没有天一巷看上去这么阴森和狭长，“全长238米、最窄处仅为0.3米……”读着牌子上天一巷的简介，让我兴奋不已，毫不犹豫的走了进去。 狭窄程度果然如其所说，我摩擦着两边的石壁，巷里面明显要比外面更加的阴冷。里面几乎全黑，只有头顶上那两座巨石之间留下的缝隙，形成一道狭长的光芒，照耀着前行的道路。石壁的高度有几十米，而且向内倾斜，如刀削斧劈，抬头望之，压迫感重重，行于这弯曲的巷道中，如置身地底，战兢不已。大约走了有一半的路程，却感觉像度过了十分漫长的时间，步步惊心的走过100多米路，依旧看不到尽头，让人多少有点迷茫。抵达巷内的最窄处时，发现必须放下背包才能过去，于是乎一手拿相机一手拎着包，侧起身，半蹲着，以非常滑稽的姿势挤了过来，0.3米的宽度毫不夸张。（身形肥胖的人建议不要过，绝对有可能卡住，类似事件在别的山也曾发生过。）终于，眼前出现了亮光，离出口不远了，两旁石壁上也不再是那么湿漉漉，温度似乎也升高了，我感觉从没有如此向往过的光明。随着几片落叶的飘过，头上已不再是陡峭的岩壁，一座小亭子出现在了视野之中，我走出了天一巷，回头望着那深邃幽暗的巷道，不禁心生宛若隔世之感，这短短10多分钟、不到300米的狭窄之路，好似一条时光隧道，而我就是从那黑暗之中，循着那丝丝光芒穿越而来的人……这亦幻亦真的体验，让人难忘。
2016-02-17,未知,5,在新宁生活了二十几年，2月7号这天才是我第一次去崀山，惭愧惭愧。话说当我花了两个小时穿过天一巷景区的时候遇到3位杭州人，浅谈了几句，收获了一个成语：原汁原味。对现在的崀山就是原汁原味的崀山，基础设施还未完备的时候，这就是他“原来的模样”，几年以后机场铁路都完善的时候，他或许就和别的世遗一样时髦了。
2018-10-15,未知,5,清明去的，我觉得景色不错，山也不高，四岁小朋友可以自己爬。主要是我们规划没做好，我们居然还在景区露营了一个晚上，管理员看我们带孩子体验生活就没说我们，还告诉我们厕所在哪里
2021-02-17,未知,5,崀山风景名胜区是世界自然遗产、国家级风景名胜区、国家地质公园，位于湖南省新宁县境内。南与桂林相连，北与张家界呼应，是国内最为典型的丹霞地貌风景区。总面积108平方公里，地质结构奇特，山、水、林、洞浑然一体。辖八角寨、辣椒峰、天一巷、扶夷江、紫霞峒、天生桥六大景区。崀山在五岭最长者四百里越城岭山脉腹地区域的西北侧余脉（以崀山为代表的广义崀山即大崀山），大崀山跨越新宁县和资源县，崀山镇在湖南新宁县。四百里越城岭山脉，精华主要在广义型崀山风景名胜区，它延伸到附近的广西桂林资源县八角寨景区。崀山由丹霞地貌堆积、发育成的八角寨之高、天一巷之长、蜡烛峰之峭、红华赤壁之绝、将军石之俊、骆驼峰之优，加上葱郁茂密的深林植被、九曲萦绕、清澈见底的夫夷江，构成丹霞、绿水、青山相互衬托的美轮美奂的自然画卷。位于湖南新宁的崀山景区有缆车可达主峰山顶，位于广西的八角寨景区没有缆车，但视野角度不同，景色各有千秋。
2018-05-01,未知,4,我是五一去的，在邵阳南坐的车到新宁西站，打滴滴到的天一巷，后去了八角寨，再是去了骆驼峰和辣椒峰，最后是紫霞峒，最值得去的就是天一巷和八角寨了吧，其次就是骆驼峰还可以，紫霞峒的话去那个如果时间充足，可以去玩一下，比较着急的话就不建议了。我们玩四个景点是花了三天左右的时间，每个景点都有到每个景点的免费观光大巴（前提是买了景区门票），每个景点都有住宿的地方，还不错。
2017-10-06,未知,4,崀山人民很热心，出行也安排得很好，因为景区相隔比较得远，所以景区有很多免费的旅客车可做，第一站是去的天一巷，滴滴司机告诉我第一个先走这个，玩了一两个小时，天一巷很窄，我弟弟150过去了，200斤的不行，第二个点去的八角寨，很漂亮，三阳开泰，爬得我出一身的汗，大自然很美，因为我和弟弟是学生所以票只要85一个人，相对于很划算，这次旅行，很累但是值得，一步一步在大自然上面建造得商店也不容易，大概就是上面商品贵的原因，中途要备好水，一天时间，4个景点都去了，累得不想走路，收获却是不一样的感悟。
