date,ip 属地,评分,comments
2017-03-12,未知,5,骑行在十里画廊就会遇到这座桥，过桥继续前行仍在十里画廊中，不过桥右拐就可以沿着遇龙河一路往上游，后一条路线的风景更仙境。驻足工农桥桥上看风景，你会惊叹大自然的美丽，心情随美景也无比的开阔。
2017-09-14,未知,4,遇龙河上一座很普通的桥，往月亮山骑行的时候其实已经路过了，回来的时候才看到桥上的工农桥三个字，如果要拍桥的全景，那就要坐竹伐了，桥二边的风景很不错，走过路过不要错过……
2019-12-11,未知,5,阳朔工农桥地处十里画廊的中段，它位于321国道上，这里是阳朔喀斯特地貌风光的精华所在。站在工农桥上向两侧望出去，只见眼前群峰起伏、山水相映，更可见经典景观“骆驼过江”，是一处绝佳的免费观景点。工农桥位于遇龙河、金宝河、田家河三河交汇处，是遇龙河漂流的终点。这一带奇峰林立，风景很好，许多骑车游览十里画廊的游客都会在这里驻足拍照，天热的季节还有不少游客下到河边去踩水，感受凉爽。
2018-03-05,未知,4,工农桥在十里画廊里 旁边就是遇龙河漂流的下船点 漂流完在桥上回顾一下遇龙河 静下心来看看两岸的景色 深吸几口新鲜空气却有一番滋味 听说在桥上看日落特别棒 但是由于体力问题没有看也是这次旅行的一大遗憾
2018-05-14,未知,5,工农桥位于阳朔十里画廊的中段，这里是十里画廊最美的一段。从桥上可以欣赏阳朔的青山绿水，最美风光。随意地在桥上走走，融入大美阳朔，真的是无比惬意。非常推荐的一个观景点，不要错过了
2018-02-15,未知,5,遇龙河漂流的终点，遇龙河漂流绝对值得一去，两百九十块，情侣包船。必须的必，反正来桂林了，不去阳朔遇龙河，就如同去平遥不看古城一个样。
2016-01-02,未知,5,冬天的工农桥房间依旧好，虽然没有灿烂的桃花梨花衬托，但是翠绿的群山和竹子一样围绕着遇龙河，像水墨画一样非常有诗意。
2017-07-26,未知,5,工农桥其实就是阳朔一座很普通的桥，桥本身没有什么特别之处，但站在桥上，却能拍到全桂林最美的景致，掐准时间去等日落吧，日落加上山水，你值得拥有，如果在拍照时遇到渔夫打渔的情况就更应景了
2021-09-14,未知,5,落日偏随黄昏近，长空已泛晚霞红 桂林山水甲天下，阳朔山水甲桂林 来桂林玩，山水最美的不过于漓江山水和遇龙河的景色最美。 欣赏遇龙河最佳位置就是工农桥。 工农桥距离阳朔县城约5.6公里，是阳朔喀斯特风景的精华之处。这里峰峦如聚，山水如画，是遇龙河最美的景色。 来这里拍照的小伙伴，欣赏美景的同时一定要先停好车再步行至人行道观赏这美丽的画卷。
2019-11-04,未知,5,工农桥地理位置优越，其本身的造型也很优美。在这里可以拍摄到阳朔最美的日出和夕阳。同时还是漂流的出发点和终点，还有到骥马漂流的直达班车，同时距离大榕树，月亮山非常近。在桥上就可以观赏到骆驼过江的美景，是一处集交通风光与一体的绝佳地方，更是摄影爱好者的不二选
2018-02-13,未知,5,骑行在十里画廊必经之地，也是遇龙河竹筏漂流的终点站。在桥上拍拍竹筏跟背后的风景很漂亮，走到码头旁边，可以坐在大石头后面看看人家漂流，看看风景，聊聊天，很惬意！
2017-12-26,未知,4,桥本身没什么特色，地处十里画廊景点的中段。如要看到工农桥的全貌，得坐在竹筏上游动水中才能看到。租辆电动车或自行车骑行到此处驻足观望，阳朔山水、美景尽收眼底。
2022-07-09,未知,5,阳朔工农桥地处十里画廊的中段，它位于321国道上，这里是阳朔喀斯特地貌风光的精华所在。站在工农桥上向两侧望出去，只见眼前群峰起伏、山水相映，更可见经典景观“骆驼过江”，是一处绝佳的免费观景点。
2020-07-24,未知,5,工农桥，热门打卡点，阳朔十里画廊旅游必到之处，周边非常多民宿，交通便利，风景怡人。江水倒影一色，推荐。
2016-06-21,未知,4,沿着十里画廊，向月亮山方向前行就会来到工农桥。这里远看遇龙河，河水蜿蜒，翠竹成林，数峰延绵，还有竹筏水上漂行，不禁赞叹确实是一美景呀。要是码头上的竹筏再整齐一点点，或许意境会更好吧。如果想体验坐竹筏游河，可以从桥下的码头搭乘竹筏游遇龙河，上游亦可，下游亦可，风景都是绝佳的。也可以选择旁边的绿道骑行漫游，在山于山之间穿插。这里只有山峡谷般的宁静。
2016-01-04,未知,5,工农桥是进出阳朔的咽喉要道，交通非常繁忙，但是风景却非常优美，经过的游人几乎都有停车驻足欣赏一番。
2016-11-04,未知,5,阳朔工农桥，位于十里画廊的路上，是遇龙河上的一座大桥，桥两旁的风光秀丽，十分迷人，路过的游人无不因此而驻足停留欣赏风景，一定不能错过！
2020-01-10,未知,5,这座桥不算很老，重新建过。但却有一个很有历史感觉的名字。其实它真正出名的是站在桥上面看风景。桥下遇龙河的风景特别漂亮，两侧各有不同，其中有个骆驼过江特别像。
2022-08-13,四川,4,来阳朔，竹筏漂流一定要去体验一下。本来想去兴坪那边体验漂流，但是听当地司机说那里都是电动竹筏，遇龙河的漂流是手动的，就来这里了。工农桥的人很多，景色也不错，悠悠的漂流而下，有种回归大自然的感觉～
2021-12-19,未知,5,十里画廊---工农桥。这里是观赏龙河风景的极佳之地。据记载，“阳朔风景甲天下”，指的就是在这里，遇龙河的山水。在这里可以坐在河面上的竹排上，在这里欣赏风景
2020-05-11,未知,3,工农桥位于广西壮族自治区桂林市阳朔县321国道上的十里画廊景区中。工农桥是一座现代化的拱桥，关健是工农桥横跨的遇龙河风光无限好。
2016-07-29,未知,4,工农桥在十里画廊中段，靠近大榕树景点。它横挎遇龙河，一边是漂流的码头，另一边是有名的景点一骆驼过江。在桥上看遇龙河是十分美丽的，骑行十里画廊时一定要停车观赏一下。
2018-08-12,未知,5,晨起的工农桥特别漂亮！阳朔千山献画屏！
2018-12-13,未知,4,工农桥在十里画廊中段，是骑行歇脚观景的好地方。小桥流水潺潺，远山晴空万里。
2023-04-26,山东,5,美丽的工农桥景区，真是世外桃源啊
2023-08-12,广东,4,工农桥上看阳朔山水风景很美，位置极佳，此处交通便利可以停车，作为出行中转站很方便，而且是遇龙河某段漂流的终点站，适合观景和拍照。
2017-10-25,未知,5,最值得看的一景，可惜被当地官员“杀鸡取卵”的挣钱方式，搞砸了。
2015-10-22,未知,4,住附近，开车经过时觉得没什么特别，因为没有明显的标志，忽视了，只见很多人在桥两边照相，后来散步经过才发现原来桥两边风光甚好，景色宜人，山清水秀
2023-05-13,广西,5,位于十里画廊的中间段，小家碧玉的遇龙河上的一个桥，拍照打卡第一站，也是水厄底和骥马码头下竹筏点，推荐拍照打卡
2017-06-24,未知,5,工农桥其实是一座很普通的桥，但桥两边遇龙河的风景却很美，有碧绿的河水，有林立的奇峰。这里是遇龙河漂流的终点，河边有很多竹筏。
2017-10-17,未知,5,骑行十里画廊必经之处，并且在这里形成分叉口，常规路线是右边岔路口骑行至漂流点，然后回来再去玩另一半，骑行至漂流点的路途很长，一路美景慢慢享受，如果有会拍照的，可以拍一组别具匠心的画廊公路照，我有猪一样的队友，没啥创意的照片。沿途有村民种的香蕉什么的，季节赶得好话可以尝一下，村民都很好。
2017-09-19,未知,4,漓江阳朔段内一座跨江石桥，由于正对漓江山水最美的一个区段，所以这里成了人们欣赏“漓江渔火”最好的地方，落日时分观赏晚霞。
2019-01-19,未知,5,下午五點半去還可以省掉轉運車費用。風景一流，季節對了，那就是超一流
2016-06-16,未知,5,为了游览十里画廊，在阳朔西街租了自行车，然后就骑出来到处玩。在工农桥上欣赏了一会儿风景。桥上的风景很不错，山水倒映在河中挺好看的。工农桥很好找，玩十里画廊不会错过这个地方的。
2022-04-18,未知,5,阳朔最有名的的一座桥，十里画廊的必看景点之一！
2019-02-28,未知,3,位于十里画廊风景区里，在景区中段，在桥上可以看到遇龙河两边的青山秀水，风景很是不错。这里也是遇龙河竹筏漂流的其中一个出发点。
2017-10-09,未知,5,景色真的很美，山清水秀的，很适合渡假居住
2019-04-14,未知,4,桥两边风景不错，适合拍照，但如果桥下有公共区域可以坐坐，喝喝茶，喝喝咖啡就好了，遇龙河两岸被个酒店分割圈地了，搞得很乱，很小农，在河边桥头搞点露天茶座咖啡座，生意一定好，要学习一下欧洲的景点餐饮设计
2017-12-25,未知,4,桥上看景很好，河两岸小景别有特色！
2016-03-23,未知,5,这里看风景一绝，青山倒映在河中，舟在行驶，好一幅写意的水墨画，醉了。
2015-10-21,未知,4,是遇龙河竹筏漂流的终点，可以返回阳朔或去十里画廊，银子岩。
2017-12-07,未知,4,停下来在那里照照片，挺好的景色！
2017-08-19,未知,4,据说是百年老桥了，上去溜达溜达吧
