date,ip 属地,评分,comments
2019-05-05,未知,5,很值得去哦，坐缆车100一人，上到山顶睡了一晚，花了150元，风景不错，空气不错，就是一节山路要开蛮久，才到梯田山底下，一个字，棒
2022-07-25,广西,5,下了好几天得雨，原本不想出行，但是有不想浪费时间废在家中，没想到景色仙得出乎意料，带点仙气配合五彩的梯田曲线 就是这么漂亮
2021-05-20,未知,5,美丽的花海梯田 充满治愈感，这里就是你的诗和远方
2020-08-28,未知,5,布尼梯田加乌瀑布——一个令人向往的地方……一年四季美景不断！
2017-12-25,未知,5,不错，龙脊红色梯田，值得一看！
2020-12-11,未知,5,美丽的布尼梯田，像一条条五彩的彩带。
2020-10-05,未知,5,值得推荐，景色不错，体验很好，有趣好玩，非常不错，梯田鲜花景色和缆车值得玩！
2019-09-03,未知,5,可能去的不是时候，但整体感觉还是很好的
2020-08-23,未知,3,性价比低，
2023-10-02,广东,1,被骗，来到这里。 你说它金灿灿？它确实有点黄。人家确实是梯田。 照骗，慎去。 不过，如果只是看个梯田，可以一去，仅此而已。
2021-02-15,未知,1,去的时候花已经全部谢了，坐缆车上去看个锤子！瀑布象一条线
