date,ip 属地,评分,comments
2017-06-08,未知,5,当地居民祖祖辈辈为了生存开垦出来得土地，却无意中变成了一道美景。六月，和爱人即兴游玩了桂林龙胜县平安乡得平脊梯田景观。夜晚六点左右游玩漓江散团后，没有留下，立马驱车前往，国道2小时左右到达。自驾车由于夜晚雾气较大及山路较为崎岖，建议自驾车朋友一定谨慎40码左右驾驶。当晚到达平安乡，事先没有预订旅社，转一圈后，偶遇几名游客介绍入住苏荷土菜馆，老板十分热情，住宿环境十分棒。一般在一百元一晚可到第二天十二点。有餐食供应，口味和价钱都还是不错得。第二天由于时间有限，只能游玩平安龙脊梯田景点啦。金坑要过夜，时间不允许。。。建议自驾车可直接开到景区购票后可开到景点门口停放，不收取停车费用，当然，高峰期就不知道了。游玩自驾车朋友可在景区门口有当地阿妈免费介绍，当地人喊到家里吃饭赚些辛苦费，菜都是土菜，可以自己点。还是不错得。游玩七星伴月等平安寨景点后原路驱车返回。白天一个半小时可回到桂林。
2017-01-13,未知,5,平安壮寨，龙脊梯田的平安梯田景区里。平安壮寨不大，当地人已经把房屋都改建成了商店，住宿，餐饮，木锤酥，工艺品等等。登山累了可以在这里补充体力，还可以挑选一些个人喜欢的纪念品带回家。
2017-03-30,未知,5,这里是看龙脊梯田视野最好的地方，由于梯田是沿着山脉错落分布的，站在不同的高度和角度效果就大不一样；平安壮寨的最高点正好能看到被誉为‘七星伴月’的梯田美景，因此这里也成为摄影爱好者必到之处；我们运气好，碰上了雨后晴天，梯田在云雾和晨光的衬托下显得特别美，真是不枉此行，超值了！
2015-10-27,未知,5,非常好的景点！分金坑瑶寨和平安壮寨，网上都说平安开发的早，商业气息浓，金坑要好，其实单从景色来说：平安的要漂亮很多！金坑比较原始，而且比较辽阔，观景点比较高，能看的很全面，而且还有缆车，其实个人认为：爬起来并不难，还有不同的沿途风景。国庆黄金周去的，6号了，人不算多，金坑的梯田比较绿，所以层次感不是很鲜明！但是当地产油沾米非常好吃！平安的梯田层次分明，加上头天下了暴雨，云雾缭绕，雾来了是一番风景，雾散了又是一番风景，非常美！如果时间充裕，在那里住一晚上还是非常必要的！
2017-10-25,未知,4,我们是十一黄金周去的龙脊梯田，先说好的吧：景色真的好美，除了梯田，这里的日出也是值得起早摸黑爬起来去看，还有客栈也挺有特色的。不好的是：一为了更接近梯田，我们选择的客栈在山上，由广州出发去到目的地已经天黑，还要搬着行李走一段路，确实累啊，二其实梯田的门票95元已经不便宜了，记得我们一行四人从七星伴月看完日出，发生了不愉快的事情，我们在稻田旁拍照，根本没有踩到稻谷，居然有位大伯要勒索我们，说我们踩死他的稻谷，每人赔他30元才放我们走，天那，光天化日竟然在景区这样抢钱，最后我们死都不给，纠缠了很久，最后走为上计，直奔另一个山头。景区不准踩踏植物谁都知道，但也不能这样发穷恶啊，这个老头真是严重影响我们对今次梯田岀行的印象，连玩都没心情了，这个必须整治一下。
2017-10-10,未知,5,感觉平安寨更适合拍照，去时先到金坑大寨都说金坑梯田壮观，金佛顶景观如何好真就有哪种感觉，相反觉得平安寨比金坑更养眼，游平安寨先去七星伴月后去九龙五虎然后下山这样好些，不用担心山上走错路跟着人流，沿着石板跟走就好了
2016-06-03,未知,5,桂林去梯田没有直达车，交通不是很方便，建议包车。七星伴月”是平安壮寨梯田的最美景观，站在山巅，对面的七座梯田似乎是七颗绿色的星星，环绕着山顶那块银光闪亮的水田，宛如天上的月亮。因为“七星伴月”的存在，使得平安梯田景中有景，凭添了许多情趣和意味。新种的稻秧行云流水、潇洒流畅如道道绿波，飘渺沉浮云雾间；水满的田畴倒影如镜、秀美壮观如串串银链，错落有致挂山间，一条条依着山坡弯曲流转的田埂，妩媚、舒展，潇洒，仿佛天地也变成曲线云集的世界，无言地渗透着图画的美、雕塑的美和音乐的美。相信目之所至，每个人的心灵都会被深深地震撼！这是一种难以言表的、一种被大自然的雄奇以及人的伟力所引起的深深震撼
2016-05-08,未知,4,平安壮寨，位于桂林市龙胜县和平乡平安村，主要生活着壮族居民，以梯田和生态林为主，气候宜人，最高海拔880米，最低海拔380米，垂直落差500米，有15862块梯田，有九龙五虎，七星伴月景观，非常美，非常壮观，是旅游观光，摄影爱好者聚集之地，是桂林必游景区之一。
2017-10-16,未知,5,桂林之行，终于来到了让我念念不忘的梯田，或许有人说那不就是田地里的几棵水稻吗，而我眼里劳动人民智慧的结晶，楼梯般的梯田是大山深处人民的根
2020-07-17,未知,5,平安壮族梯田 从柳州走国道下午2点左右到达龙脊梯田景区。6月初的龙脊梯田正在灌水，是一年中最佳观赏时期之一，除了灌水期外十月初的收获季节也是最佳的观赏期。我们在携程买了票，比在现场买票节省10元。游客服务中心的工作人员很热情，根据时间建议我们先去平安壮寨景区，再去大寨金坑景区，住在金坑景区，回来时再去龙脊壮寨景区。 龙胜县一处名龙脊山，山体如恐龙背脊，梯田沿脊顶向两侧倾斜延伸，场景壮观，引来游人如织，因交相传诵而名闻遐迩。这一带的梯田，从广义说叫做龙胜梯田，从狭义上称为龙脊梯田。龙脊梯田分为金坑（大寨）瑶族梯田观景区和平安壮族梯田观景区。通常意义上的龙脊梯田是指龙脊平安壮族梯田，也是开发较早的梯田。梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路。 进入平安壮寨景区观景台只是景区一角，更壮观景色在九龙五虎观景台，需要座景区电瓶车到海拔近900米山顶的观景平台。景区电瓶车往返50元/人，时间大约需要15分钟左右。到达观景平台，一览无余的梯田呈现在眼前，刚灌水的梯田景色迷人。梯田一层层从山脚盘绕到山顶，小山如螺，大山似塔，层层叠叠，高低错落。在梯田的海洋里，最大的田不过一亩，大多数田都是只能种一二行禾的“带子丘”和“青蛙一跳三块田”的碎田块。从龙脊梯田看到了劳动人民的勤劳和智慧。
2017-08-12,未知,5,平安壮寨位于龙胜，壮寨建筑很有特色，连体大宅是集体聚会之处。村里建有博物馆，介绍壮寨的组成，梯田的起源、发展，以及现在仍在发挥的巨大作用。
2017-05-21,未知,5,平安壮族人民居住在龙脊梯田景区内，特别好客，进去景区内有壮族的姐妹们表演当地的民俗文化舞蹈，还会送给游客每人一碗民族特色小吃，表演极具民宿特色动情又感触，很感人的表演！很接地气的少数民族文化！
2017-06-23,未知,4,依山而建，像阶梯一样，建筑大部分都是木制的，有些近期建筑也用水泥砖，空气很好，很舒服，路上有附近的瑶族阿姨在摆摊卖纪念品。还尝了当地的特色菜竹筒饭，味道不错。
2016-10-09,未知,5,寨子很大，因为现在有人居住，自然也多了很多的现代建筑，显的不是那么的融洽，整体比较满意，还遇到了传说中的马帮，看他们真的辛苦
2017-10-11,未知,5,网上老是说平安不如金坑，这次金秋10月到龙脊，反而觉得平安寨的梯田更壮观，更有层次感，更加金黄。而且还可以车子直接开上观景台，很方便。
2017-07-26,未知,5,平安寨梯田七星伴月壮观和震撼，极致漂亮和诱惑，古寨古色古香极具人文景观特色，空气清新、景色秀丽。新建的云山酒店干净清爽、菜色可口，性价比高，老板服务热情。
2016-07-30,未知,4,一进寨子，我们就懵了，我们订的云景山庄没有详细的地址，不知怎么去啊？问了一下当地人，看样子好像也不是很清楚，随便指了一个方向给我们。我们顺着他指的方向走了一段，还没找到，又问了一个当地人，那个人说，我们走过了，应该往回走，结果就这样，寨子像个迷宫一样，我们在里面转来转去的。十几分钟，最后还是被我们找到了山庄。后来发现，云景山庄就在田头寨的最左边，从寨子入口到酒店就三四分钟路程。山庄是一座四层高的木质楼房，我们订的房间在三楼，房间带一个阳台，可以看到有名的“七星追月”景点，当初订这酒店也是看中了这点。 进了寨子往右走几米就看到这个稻香阁了，左边那条楼梯走上去就到了寨花楼，再沿着寨花楼左边的路往前走十来米就到云景山庄了，十分近啊。
2016-10-04,未知,5,10月份是最适合去的，13号就开始收割了，要去赶紧去
2024-08-02,黑龙江,5,太美了，非常值得一起去休闲玩。性价比又超级的好。如果有机会的话，一定会再去一次的，美美回忆这段时光都觉得非常震撼。那好吧好吧。
